freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.159890634e+11,0.6457513567
1,4733276438,0.7589615215
2,1048335176,0.8091095319
3,406305603.5,0.8334045022
4,140458369.8,0.8434829217
5,133848850.5,0.8594898575
6,74671016.44,0.8675267495
7,73432927.17,0.8780649302
8,45198292.87,0.8856322768
9,29436125.55,0.8905606347
10,29627924.31,0.8965840625
11,20715636.19,0.9005478632
12,20548956.01,0.9054627477
13,19009512.4,0.9106914314
14,16580579.49,0.9150537356
15,13021662.88,0.9187911499
16,11711984.98,0.9221526668
17,9008974.039,0.9252770687
18,8776094.675,0.9284256587
19,6620782.991,0.9308009899
20,5429026.835,0.9328136815
21,5141787.543,0.9350273378
22,4228834.655,0.9367468021
23,4903380.903,0.9387991796
24,4191669.816,0.9407040447
25,3979995.34,0.9427031027
26,2754111.064,0.9441523006
27,2449809.802,0.9453534853
28,2361230.773,0.946539476
29,2289712.78,0.9478538404
30,1948291.323,0.9489489191
31,1741230.368,0.9500317312
32,1617063.49,0.9509986514
33,1820653.305,0.9521308541
34,1634902.823,0.9532453035
35,1986701.45,0.9544807658
36,1565911.754,0.9555669134
37,1434872.854,0.9565450102
38,1475715.932,0.9576744843
39,1307135.848,0.9586436677
40,1243417.463,0.9595209968
41,1157816.362,0.9604625441
42,1066070.919,0.961303985
43,816058.0081,0.962006648
44,825022.7503,0.9626874308
45,852184.4126,0.9633804353
46,725579.1974,0.9640225463
47,735411.4037,0.9646645636
48,684451.046,0.965303019
49,629203.8337,0.9658748906
50,680167.7409,0.9665581551
51,658474.542,0.9671960037
52,589364.9817,0.9677457628
53,588877.0017,0.9683514057
54,632452.2459,0.9689640471
55,503355.4019,0.9695298903
56,540214.785,0.9700854855
57,441567.9861,0.9705607481
58,415959.9518,0.9710134231
59,492729.5748,0.9715555363
60,469949.5345,0.972106307
61,434030.8084,0.9726097912
62,408410.0599,0.973088439
63,373938.951,0.9735356313
64,351701.2088,0.9739436115
65,329319.4053,0.97436895
66,393428.5633,0.9748394498
67,406747.1763,0.9753550629
68,508653.399,0.9760424383
69,363110.557,0.9764940506
70,330154.7052,0.9769362611
71,302847.7078,0.9773237878
72,279428.8296,0.9777247893
73,234530.7043,0.9780501396
74,228296.1677,0.9783668412
75,233352.9703,0.9786989297
76,240707.4018,0.979044363
77,222517.1933,0.9793743363
78,206215.1301,0.9796678045
79,208139.1582,0.9799764565
80,175857.2751,0.9802498557
81,190794.8902,0.9805350694
82,190632.0581,0.9808405575
83,180473.6158,0.9811125004
84,185075.3517,0.9814090839
85,167799.3208,0.9816840026
86,182795.8443,0.9819813053
87,165739.5273,0.9822548313
88,158511.1976,0.9825031588
89,156478.0753,0.9827838562
90,134823.8261,0.9830063609
91,138660.8498,0.9832451475
92,126340.4765,0.9834642282
93,132176.9843,0.9836950104
94,134999.949,0.9839404082
95,121824.4885,0.9841516579
96,135876.4063,0.9843953991
97,137907.8703,0.9846559783
98,137608.4552,0.9849061177
99,138094.3047,0.9851720036
100,135060.3337,0.9854175112
101,110181.9851,0.9856362431
102,114001.3161,0.9858557405
103,105400.7193,0.9860523759
104,105835.6842,0.986265011
105,102916.2391,0.9864631652
106,110296.7183,0.9866926772
107,128511.0731,0.9869508696
108,108696.633,0.9871666529
109,105900.1792,0.9873832169
110,109233.5865,0.987607904
111,86071.99491,0.9877931838
112,90905.71183,0.987983433
113,87308.86314,0.9881692869
114,105513.4503,0.9884039876
115,91260.91106,0.9886004371
116,92856.0776,0.9887992099
117,93608.8491,0.9890051914
118,71521.36002,0.9891659918
119,80512.71782,0.9893479702
120,66768.68073,0.9894980853
121,78892.24973,0.9896716837
122,65908.80491,0.9898238065
123,66258.39502,0.9899870371
124,62003.88061,0.9901264395
125,52770.598,0.990253918
126,50539.61636,0.9903681499
127,53337.42548,0.9904982734
128,50756.6588,0.9906233148
129,61830.73399,0.9907689828
130,50300.7218,0.9908953071
131,50495.85353,0.9910172905
132,47640.07353,0.9911403513
133,48001.08384,0.9912614744
134,51254.44173,0.9913840644
135,49235.26704,0.9915136011
136,48437.35409,0.9916369836
137,52859.78371,0.9917747919
138,47417.8887,0.9918972787
139,42797.7759,0.9920062958
140,47427.51462,0.9921356137
141,41996.32355,0.9922451004
142,41959.08183,0.9923575007
143,41889.92345,0.9924702167
144,39366.05149,0.9925775539
145,36357.8379,0.9926792976
146,37018.07649,0.99277979
147,38438.54354,0.9928845983
148,38110.67298,0.9929930701
149,36846.83591,0.9930970635
150,35353.47615,0.993197265
151,37487.15648,0.9933003757
152,32706.50522,0.9933958129
153,37837.65181,0.9935030552
154,36777.45105,0.9936130102
155,33201.70829,0.9937083042
156,30187.89666,0.993796392
157,29203.54224,0.9938854493
158,30718.70239,0.9939736166
159,28451.61765,0.9940586796
160,28416.09437,0.9941439762
161,26242.63243,0.9942268285
162,22880.71841,0.9942968777
163,22600.95882,0.9943641785
164,23127.72255,0.9944360902
165,24749.61105,0.994512453
166,24738.40019,0.9945923313
167,22773.70659,0.9946623252
168,21479.61864,0.994728085
169,22928.00257,0.9948032144
170,20551.73668,0.9948693286
171,19993.64087,0.9949338864
172,20662.43585,0.9949996154
173,21561.37423,0.9950712982
174,17957.98503,0.9951307864
175,19470.62415,0.9951936555
176,19506.43853,0.9952585064
177,19704.11846,0.9953223651
178,16917.33499,0.9953806315
179,17126.38409,0.9954387986
180,17623.31718,0.9954971782
181,16579.95245,0.995553886
182,19380.02509,0.9956215614
183,19775.97564,0.9956910924
184,17189.223,0.9957484451
185,17758.17187,0.995810457
186,16821.20735,0.9958708063
187,16870.57134,0.9959299203
188,17654.29792,0.995992414
189,15305.3397,0.9960458605
190,17694.32966,0.996108919
191,15833.40722,0.9961670498
192,14659.01263,0.99621859
193,14039.88773,0.9962709755
194,14439.01909,0.9963226056
195,14195.82538,0.996375573
196,13291.97174,0.996425168
197,12912.6972,0.9964724212
198,13511.63639,0.9965233206
199,14818.20824,0.9965779014
200,13901.73727,0.9966317665
201,15628.01871,0.996689517
202,12021.67205,0.9967340847
203,12297.52208,0.9967829105
204,10926.21532,0.9968243317
205,10581.90346,0.9968660927
206,11130.91305,0.9969081568
207,11497.21972,0.9969529801
208,11480.37754,0.9969984243
209,10236.9588,0.9970383343
210,10111.16548,0.9970779957
211,9650.889588,0.9971168905
212,9504.945354,0.997154856
213,9240.190012,0.9971919851
214,11154.10213,0.9972368046
215,11531.24462,0.9972824501
216,10135.18157,0.9973243875
217,8948.426118,0.9973612002
218,7905.180417,0.9973932485
219,7854.424802,0.9974257486
220,7874.360668,0.9974583311
221,8315.827686,0.9974930387
222,9238.062099,0.9975323688
223,9269.006591,0.9975705004
224,8610.398659,0.9976073642
225,8656.306382,0.9976434928
226,8511.728273,0.9976797306
227,9095.476292,0.997718236
228,8642.64515,0.9977557546
229,7367.244351,0.9977887058
230,7634.49673,0.997820661
231,7416.036765,0.9978525887
232,6697.694114,0.9978816641
233,6537.830613,0.9979104364
234,6290.6476,0.9979388732
235,6953.631723,0.9979688934
236,6616.108104,0.9979981684
237,6767.904998,0.9980289245
238,6562.804792,0.9980574144
239,6297.810291,0.9980863354
240,6067.495654,0.9981128927
241,6318.309907,0.9981425124
242,6130.209652,0.9981708838
243,6251.330579,0.9981991428
244,5667.427046,0.9982254401
245,5397.3063,0.9982495159
246,5115.756762,0.9982742322
247,5182.032341,0.9982981533
248,4920.700401,0.9983206327
249,4868.94001,0.9983433996
250,5121.100909,0.9983671619
251,4458.74406,0.9983884907
252,4867.912583,0.9984114857
253,4449.248193,0.9984326627
254,4464.309477,0.9984542316
255,3860.078923,0.9984729736
256,3876.180385,0.9984914693
257,3994.325002,0.998510481
258,3876.225365,0.9985296722
259,3871.605676,0.9985484239
260,3267.021599,0.9985644426
261,3723.416769,0.9985826992
262,3729.793327,0.9986010316
263,3627.707581,0.9986189925
