freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.547890446e+11,0.8476145041
1,1285979796,0.9039500222
2,298017977.9,0.9300608479
3,147816334.2,0.946249496
4,29475311.73,0.9501232123
5,20427622.71,0.9545976244
6,9210426.339,0.9564133089
7,6452564.717,0.958109332
8,8284595.222,0.960649822
9,4368458.616,0.9619894197
10,4884180.654,0.9638081102
11,5142135.322,0.9656102216
12,3337658.18,0.9670723651
13,2324858.242,0.9682435959
14,2389015.834,0.9693948199
15,1772175.144,0.970326434
16,1997729.9,0.9713766199
17,1587048.213,0.972384726
18,1103708.235,0.973109986
19,774296.4503,0.9736187855
20,1219291.93,0.9744467039
21,912625.888,0.9751663408
22,808494.7942,0.9757684487
23,657005.0317,0.9762721289
24,785650.7179,0.9769260589
25,729355.7024,0.9775970346
26,585598.111,0.9781614132
27,699397.3929,0.9787895091
28,592673.7214,0.9793347434
29,508743.4506,0.9798696257
30,474139.2386,0.9803577404
31,366004.0019,0.9807746168
32,377625.8233,0.9811881876
33,356997.6069,0.9815948058
34,321902.4825,0.9819967051
35,353732.0225,0.9823996039
36,335573.9759,0.9828259226
37,274391.0317,0.9831685033
38,233462.7089,0.9834957804
39,276255.8046,0.9838709445
40,220065.2696,0.9841553393
41,239188.6221,0.9845115997
42,246855.1976,0.9848684651
43,195137.1058,0.9851762097
44,194059.6301,0.9854695032
45,162209.572,0.9857111069
46,168466.5654,0.9859841704
47,172294.5861,0.9862596647
48,154366.7087,0.9865233989
49,145128.3603,0.9867649917
50,138480.4722,0.9870197838
51,135085.9299,0.9872594536
52,122610.6258,0.9874689328
53,137246.5714,0.987727467
54,125378.4589,0.9879499138
55,107970.914,0.9881722206
56,118628.1619,0.988395683
57,114546.0173,0.9886214917
58,97097.31773,0.9888150299
59,106529.3097,0.9890297017
60,94281.49375,0.9892320832
61,93948.68922,0.9894316924
62,104462.0858,0.9896559272
63,86435.11578,0.9898452523
64,72189.87423,0.9899986314
65,74838.13627,0.9901756688
66,67684.86088,0.9903239239
67,64154.7655,0.9904728782
68,65823.21834,0.9906357986
69,71425.7534,0.9907985057
70,56640.83797,0.990937458
71,64809.13545,0.9910893511
72,61613.0438,0.9912512978
73,61997.98071,0.9914088244
74,65700.04788,0.9915757572
75,50189.4844,0.9917065783
76,54494.25991,0.9918498137
77,44169.11944,0.9919697798
78,44865.97862,0.9920867249
79,47127.4829,0.9922147261
80,45103.64991,0.9923431581
81,48664.13466,0.9924763989
82,52547.8462,0.9926306321
83,41197.17761,0.992744331
84,43207.65506,0.9928711498
85,43072.81349,0.9930004032
86,41794.00034,0.9931249036
87,34605.24016,0.9932295054
88,40231.86032,0.9933449463
89,38434.65203,0.9934712257
90,36276.95141,0.9935808805
91,36451.11886,0.9936958524
92,35992.3208,0.9938101655
93,34033.50794,0.9939190028
94,37484.60388,0.9940438028
95,34977.61109,0.9941548931
96,34835.3958,0.9942693469
97,30786.66804,0.9943758931
98,29125.34324,0.9944728621
99,25230.12548,0.9945618362
100,27541.13539,0.9946535307
101,26911.8485,0.9947513827
102,24471.51405,0.9948376816
103,25722.75173,0.9949255758
104,27371.04694,0.9950262965
105,23984.73393,0.9951108787
106,23847.48496,0.9952017674
107,22696.65306,0.9952852872
108,21148.56154,0.9953621837
109,23575.15486,0.9954504854
110,20902.43318,0.9955292341
111,20554.63248,0.9956102743
112,19369.74,0.9956845215
113,17490.36765,0.995752714
114,15810.14337,0.9958171261
115,18224.86573,0.9958889807
116,16896.15548,0.9959552266
117,16873.92462,0.9960232334
118,17101.06905,0.9960936539
119,15590.36992,0.996158195
120,16102.46011,0.9962245034
121,17197.15451,0.9962938128
122,15915.65498,0.996361095
123,13872.53221,0.9964236902
124,15773.71329,0.9964886448
125,13874.58264,0.9965500337
126,15210.89043,0.9966130038
127,12855.05992,0.9966704449
128,13465.70544,0.9967312044
129,13341.86801,0.996788775
130,15035.92498,0.996857937
