freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.748276632e+11,0.9035895717
1,163739378.7,0.9056486681
2,923815805.9,0.9288834672
3,244412465.3,0.936567459
4,226474486.1,0.9451115148
5,94010941.26,0.9510226643
6,53485565.35,0.954049387
7,31032219.25,0.9563908518
8,22466983,0.9583685787
9,25748584.52,0.960635179
10,18710526.59,0.962635172
11,17957199.91,0.964441731
12,12787156.4,0.9660497734
13,18454519.31,0.9687186231
14,13979982.28,0.9706524734
15,11689666.93,0.9724165073
16,9673946.487,0.973876358
17,7304727.856,0.9752083315
18,9521683.973,0.9770044234
19,4459667.63,0.9778456584
20,4556828.339,0.9787338729
21,6344741.413,0.9801700566
22,4900821.466,0.9812177672
23,3334563.385,0.9819516058
24,2417260.1,0.9825291703
25,1922275.418,0.9830368134
26,1954101.563,0.9835774349
27,2194574.653,0.9841431891
28,2863703.649,0.9848994487
29,2069336.234,0.9855239967
30,1085645.968,0.9858448302
31,1114649.923,0.986209278
32,1694276.014,0.9867419351
33,1405958.422,0.9872016296
34,1012594.708,0.9875645439
35,874807.9729,0.9878505726
36,829377.603,0.9881530367
37,596339.7565,0.9883667651
38,741788.6539,0.9886652715
39,749407.9943,0.9889574199
40,831664.6212,0.9892659474
41,497987.1909,0.9894788694
42,440679.6914,0.989661747
43,651769.6335,0.9899568137
44,684601.969,0.9902538303
45,511119.9272,0.9904723675
46,585631.4828,0.9907448569
47,680956.8995,0.9910574188
48,488890.1892,0.9912971914
49,397708.3497,0.9914872431
50,379295.987,0.9916875754
51,385043.5841,0.9918836803
52,393198.8994,0.9920765218
53,286984.606,0.9922317071
54,458587.3919,0.9924652683
55,365080.9967,0.992681048
56,297582.8267,0.9928419643
57,257698.532,0.9929877946
58,283470.4713,0.9931499916
59,264003.0622,0.9933027096
60,226551.1279,0.9934423098
61,277813.7088,0.993611751
62,328868.6644,0.9938143989
63,231558.6186,0.9939599965
64,160276.7358,0.9940577508
65,181564.8395,0.9941810468
66,154326.1703,0.9942780829
67,149484.8625,0.9943777144
68,161757.7666,0.9944926454
69,144980.3113,0.9945874514
70,115248.4191,0.9946686122
71,111336.6952,0.9947435181
72,127186.6176,0.9948394838
73,125517.4521,0.9949310332
74,98423.88413,0.9950028213
75,98878.23594,0.9950768058
76,104351.4598,0.9951555418
77,92493.84669,0.9952276572
78,91327.61732,0.9952959922
79,102825.6511,0.995376163
80,104710.6232,0.9954617539
81,97077.3131,0.9955380534
82,83644.75161,0.9956085287
83,76840.79571,0.9956694061
84,80021.86016,0.9957368289
85,75895.21395,0.9958022064
86,81765.1328,0.9958721263
87,82737.64418,0.9959439183
88,81196.45069,0.9960107991
89,81421.44767,0.9960875925
90,70925.30972,0.9961491348
91,80353.799,0.9962218897
92,68600.57154,0.9962844342
93,66505.53768,0.9963454869
94,71080.60826,0.996413421
95,66800.82619,0.9964743247
96,55744.27649,0.9965269004
97,50362.60952,0.9965769336
98,50872.01511,0.9966255538
99,57759.50759,0.9966840251
100,60207.55017,0.9967415675
101,51130.38881,0.9967949355
102,46652.05277,0.9968421625
103,43660.8962,0.9968849888
104,38662.39133,0.9969258293
105,40711.69171,0.9969670427
106,40195.7725,0.9970110195
107,36186.67737,0.9970492449
108,36206.15503,0.9970870355
109,29955.25135,0.9971192434
110,32814.26265,0.9971547316
111,35841.02899,0.9971952962
112,38502.63313,0.9972376626
113,34308.32488,0.997276061
114,32799.73252,0.9973144209
115,31003.75476,0.9973495106
116,34102.89953,0.9973878935
117,37255.66822,0.9974309961
118,37218.43585,0.9974749918
119,35866.52885,0.9975176148
120,33179.18837,0.9975568357
121,29346.86777,0.9975907883
122,32254.57519,0.9976299302
123,35174.96374,0.9976754914
124,29513.48052,0.997710379
125,24180.49907,0.9977410912
126,26020.34908,0.9977720132
127,24818.67082,0.997803848
128,27585.85227,0.9978395792
129,31462.25401,0.9978785509
130,31175.22587,0.9979197154
131,25500.91397,0.9979521046
132,20803.63365,0.997980359
133,25357.54058,0.9980140011
134,24759.35593,0.9980451371
135,20631.13747,0.9980736762
136,20570.18772,0.9981012255
137,21602.52809,0.9981308366
138,20549.74754,0.9981587463
139,17419.97457,0.9981820766
140,18573.7492,0.9982087039
141,20200.83208,0.9982363937
142,16792.3081,0.9982600448
143,13899.51329,0.998279709
144,15007.71758,0.9983012241
145,17561.78058,0.9983270632
146,16722.17779,0.998350931
147,14651.25921,0.9983719351
148,16730.49115,0.9983969719
149,15945.02302,0.9984206328
150,12918.04136,0.9984398831
151,14242.03865,0.9984604796
152,18220.25936,0.9984884332
153,16908.05908,0.9985136295
154,14532.66273,0.9985364738
155,16032.46165,0.9985606677
156,14996.82843,0.9985836759
157,11716.05649,0.998602461
158,12192.73944,0.9986208605
159,13616.99321,0.9986422655
160,14115.57608,0.998664543
161,11890.19127,0.9986842802
162,14021.42558,0.9987068499
163,16921.59816,0.9987333431
164,12820.23053,0.9987543017
165,11109.39594,0.9987723238
166,10856.91584,0.9987907554
167,12121.94,0.9988103438
168,10492.33343,0.9988272328
169,9379.237413,0.9988433917
170,10176.42091,0.9988606041
171,10351.45678,0.9988781776
172,9767.462041,0.9988945141
173,9080.715077,0.998910387
174,9336.468617,0.9989266484
175,7737.312989,0.9989397839
176,7572.690136,0.9989530209
177,8749.432121,0.9989679297
178,10230.58581,0.9989864559
179,8219.171013,0.999001133
180,7119.955947,0.9990135338
181,7160.628168,0.9990264107
