freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.044611214e+11,0.7592414047
1,1825564480,0.7956610076
2,499475995.9,0.8155898763
3,715158906.8,0.8512580266
4,176377626.6,0.8618141092
5,184621147.2,0.880229862
6,75173175.64,0.8869784582
7,42092867.83,0.8920169179
8,44041936.96,0.8981673054
9,39906592.14,0.9037401985
10,20600994.75,0.907233573
11,29859618.94,0.9119991147
12,23489234.02,0.9166851644
13,14386663.61,0.9199857876
14,14053357.59,0.9230697624
15,8525742.309,0.9251108022
16,11753836.28,0.927924639
17,6377025.64,0.9297693324
18,8770041.734,0.932393738
19,7779590.611,0.9347217543
20,8203604.784,0.9372584856
21,4816300.514,0.9389879997
22,5538936.319,0.9408665089
23,4663801.037,0.9424947401
24,3925748.496,0.9439827784
25,4987649.92,0.9460723309
26,3263396.25,0.9475046195
27,2974335.22,0.9487210346
28,2366060.083,0.9497122843
29,2420452.208,0.9508711838
30,2466945.691,0.9520277367
31,1828624.428,0.9529762335
32,1722715.032,0.953835428
33,2103147.064,0.9549263181
34,1666025.699,0.9558735681
35,1713566.408,0.956762385
36,1448077.127,0.9576001606
37,1709647.166,0.9585722124
38,1584595.177,0.9595838066
39,1383549.118,0.9604394529
40,1574890.534,0.961366305
41,1166313.048,0.9621574062
42,1207017.918,0.9629520376
43,1057895.16,0.9637118094
44,968747.9559,0.9643785669
45,906253.5585,0.9649932718
46,832814.9444,0.9656080072
47,793168.1454,0.966185566
48,898876.592,0.9668849291
49,731529.1712,0.9674394951
50,642948.8078,0.9679782159
51,667546.029,0.9685175703
52,704425.2296,0.9690656422
53,658090.6264,0.9696301789
54,744200.998,0.970231468
55,557147.3655,0.9707538713
56,634867.8538,0.9712984866
57,539484.1657,0.9717828031
58,499719.9862,0.9722364063
59,499736.8403,0.9726950097
60,452082.8913,0.9731369384
61,506665.148,0.9736271694
62,462967.3793,0.9740797381
63,410296.3072,0.9744890041
64,454049.8295,0.9749283264
65,446565.2628,0.9754094058
66,382396.3463,0.9757908418
67,326809.604,0.9761363901
68,358605.8418,0.9765405971
69,319451.7638,0.9768719926
70,324061.3491,0.9772340299
71,309797.3771,0.9775646807
72,300771.0244,0.9779246996
73,321732.5893,0.9782969722
74,343948.4183,0.9786949504
75,312638.4434,0.9790660559
76,302140.2621,0.9794277137
77,281521.3519,0.9797759236
78,247751.9583,0.9800700081
79,266718.9552,0.980399909
80,227874.6052,0.9806954021
81,231585.3785,0.9809841569
82,199578.2993,0.9812509202
83,212414.0786,0.9815178899
84,215222.723,0.9818055641
85,216016.8306,0.982100764
86,207178.0164,0.9823818185
87,188656.0903,0.9826415102
88,231291.73,0.9829437415
89,170583.44,0.9831989741
90,208821.5098,0.9834864241
91,163669.4167,0.9837215162
92,174386.1454,0.9839737411
93,192297.0501,0.9842537898
94,213346.582,0.9845772623
95,261728.0188,0.9849558149
96,161881.8048,0.9851980278
97,155033.4588,0.9854423656
98,174303.2573,0.9857066412
99,190857.9645,0.9860131509
100,242053.0115,0.9863801475
101,177850.872,0.9866746386
102,163611.9055,0.9869373923
103,150281.3906,0.9871712425
104,166313.4412,0.9874499475
105,169966.1224,0.9877229058
106,151568.6342,0.9879859729
107,145037.0798,0.9882290233
108,126025.5136,0.9884377003
109,114179.7967,0.9886324575
110,119553.1599,0.9888375725
111,100785.9943,0.9890185318
112,111525.6007,0.9892132114
113,99907.42822,0.9893906001
114,103703.6706,0.9895830045
115,107160.7344,0.9897754095
116,115053.3815,0.9899808379
117,111498.8461,0.9901854805
118,94174.27111,0.9903620836
119,105851.3259,0.9905616402
120,89486.59608,0.9907294525
121,92412.73248,0.990899065
122,88890.02913,0.9910701919
123,93766.53136,0.9912628659
124,93730.40781,0.9914386366
125,81248.62347,0.9916023466
126,74458.45473,0.9917427197
127,68409.05216,0.9918819237
128,77693.53782,0.9920415705
129,67783.42722,0.9921747685
130,68392.48946,0.9923180321
131,63093.97514,0.9924451619
132,59201.01844,0.992572715
133,71209.21659,0.9927225891
134,62277.03532,0.9928468304
135,67853.04936,0.9929957322
136,65202.58143,0.993134265
137,56365.24728,0.9932568326
138,63879.97158,0.9933944669
139,61618.59315,0.9935253849
140,52945.85086,0.9936457983
141,51162.94291,0.9937570534
142,48443.18257,0.9938652937
143,42777.06335,0.9939613004
144,57616.7576,0.9940923367
145,44572.37241,0.9941963741
146,49884.18715,0.9943093269
147,47388.54543,0.9944171014
148,42979.86787,0.9945191366
149,41215.45318,0.9946161608
150,41516.53366,0.9947143079
151,42235.03144,0.9948112046
152,50645.45275,0.9949344692
153,40969.45061,0.9950313229
154,36083.7182,0.9951213057
155,32718.05825,0.9951996318
156,33298.83022,0.995280677
157,34545.07307,0.9953685457
158,35208.14209,0.995452833
159,29266.61164,0.9955258158
