freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.698450047e+11,0.8753685796
1,592593232.4,0.8865892259
2,230131027,0.8953042051
3,226527303.1,0.9060273394
4,147536494.9,0.9144080704
5,80659164.85,0.9220444043
6,46758768.55,0.9260285642
7,47037635.63,0.9313724592
8,31167521.08,0.9355035191
9,31685959.24,0.9397032946
10,16872468.38,0.9424188505
11,18190962.27,0.9451743912
12,11720800.93,0.9473937038
13,10380314.89,0.9496540219
14,8196755.964,0.951361267
15,9587007.253,0.9535396061
16,7846018.515,0.9553223614
17,5726598.085,0.956894627
18,6176903.918,0.9586490054
19,3772172.624,0.9597203866
20,3910156.183,0.9608679772
21,4332083.418,0.9623444672
22,3965770.4,0.9636210167
23,3315184.166,0.964719534
24,2635591.243,0.9656677184
25,2805658.263,0.9667833358
26,2304528.903,0.9677433243
27,1823702.762,0.9684512197
28,1588518.461,0.9690828642
29,1498371.548,0.9697637777
30,2146714.49,0.9707189975
31,1646408.607,0.9715295333
32,1244026.093,0.9721184185
33,1010054.222,0.9726156736
34,1170858.79,0.9732475186
35,1010052.029,0.9737447726
36,940496.6305,0.9742612085
37,910428.0221,0.974752514
38,1001149.945,0.9753591251
39,906660.8344,0.9758913163
40,827668.7377,0.9763536332
41,703407.8466,0.9768064758
42,799970.0535,0.9773063364
43,872665.8678,0.9779011921
44,910873.4728,0.9784962214
45,606932.7306,0.9788869549
46,533445.5287,0.9792606806
47,562433.9738,0.9796493905
48,585295.9425,0.980081607
49,504955.5441,0.9804449342
50,556714.4509,0.9808876683
51,447956.2491,0.9812311881
52,549951.2347,0.981637304
53,529402.9192,0.9820683424
54,567852.2707,0.9825038057
55,493003.2813,0.9829425474
56,408967.0034,0.9832755272
57,418168.5972,0.9836318348
58,324622.9611,0.9839115086
59,314707.5199,0.9841856194
60,313299.1092,0.9844763003
61,297650.4141,0.9847496442
62,319628.3811,0.9850461974
63,259423.7126,0.9852918044
64,252677.5256,0.985523848
65,257850.1536,0.9857874947
66,239959.1343,0.9860146739
67,240684.825,0.986256212
68,230725.5305,0.9865030462
69,200362.3264,0.9867003251
70,206369.1543,0.9869191486
71,191852.9953,0.9871134981
72,179724.1687,0.9873176808
73,181689.8203,0.9875172162
74,212660.8776,0.9877507645
75,183913.6876,0.9879579657
76,156987.581,0.9881363176
77,175439.2961,0.9883422761
78,164061.9746,0.9885271119
79,155060.8865,0.988709147
80,159685.3739,0.9889056819
81,137337.4968,0.9890682107
82,145006.0011,0.9892521701
83,115140.5263,0.9893895205
84,131753.4916,0.9895566673
85,117312.168,0.9897088253
86,129423.9142,0.9898754673
87,109367.7906,0.9900183566
88,107418.3039,0.9901515801
89,102500.5433,0.9902971423
90,93035.92859,0.990418694
91,98829.68174,0.9905534292
92,93994.41527,0.9906824623
93,103739.6525,0.9908258556
94,91706.20731,0.9909578251
95,84218.09298,0.9910734376
96,85411.55234,0.9911947315
97,86949.77602,0.9913247954
98,75466.24173,0.9914333948
99,76540.98359,0.9915500626
100,84012.29876,0.9916709602
101,69401.28039,0.9917800306
102,66559.67876,0.9918814844
103,67521.53869,0.991981208
104,66660.77647,0.9920872336
105,62755.52111,0.9921828889
106,68337.55671,0.9922954634
107,63331.53577,0.9923961938
108,63903.55771,0.992496624
109,65705.86106,0.992602997
110,64197.43557,0.9927075357
111,57009.84344,0.9928046881
112,57144.69093,0.9928993653
113,55146.79331,0.9929922986
114,54132.61034,0.9930876228
115,46022.24233,0.9931660508
116,53891.5889,0.9932573791
117,47054.96207,0.993339349
118,49670.8932,0.9934277569
119,45117.2392,0.993508487
120,48358.18887,0.9935945584
121,50139.24452,0.9936819012
122,45461.44078,0.9937649688
123,40140.55602,0.9938432544
124,37119.14425,0.9939093217
125,37952.75809,0.9939819032
126,39118.35561,0.9940518993
127,40006.54184,0.994129166
128,41253.49669,0.9942096221
129,40577.41532,0.9942853022
130,35162.56533,0.9943552109
131,39103.31823,0.9944299927
132,38183.76222,0.994508077
