freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.151760825e+11,0.8193233873
1,2082303471,0.8827534828
2,274191167.9,0.8994580336
3,93480571.79,0.9065769306
4,38108568.97,0.9100594636
5,26181042.17,0.9140470332
6,29725776.96,0.9181217466
7,18810829.49,0.9215597836
8,14761802.83,0.9247074506
9,6931060.087,0.9261853642
10,7369670.419,0.9280935398
11,4493338.29,0.9291885305
12,3420575.952,0.9302304894
13,3091909.652,0.9313136079
14,3636435.54,0.9325320921
15,3237789.578,0.9337156274
16,2557254.101,0.9346504011
17,2736335.189,0.9358590179
18,1535615.656,0.9365606754
19,1758440.488,0.9373641465
20,1640862.396,0.9381388851
21,1846098.389,0.9391511139
22,1626600.369,0.9399934417
23,1148383.461,0.9406056177
24,1343518.393,0.941383204
25,1022805.469,0.942037484
26,729615.7735,0.9425264383
27,765078.3618,0.9430041997
28,636649.9624,0.9434114594
29,938868.8568,0.944097844
30,852696.2523,0.9447082426
31,579262.7022,0.9451670181
32,650336.6765,0.945662274
33,608632.8424,0.9461443106
34,608532.4216,0.9466726098
35,755305.5039,0.9472708111
36,621323.9641,0.9478196785
37,701879.3021,0.948429017
38,636450.4388,0.9490494086
39,603387.0466,0.949619191
40,661423.5837,0.9502135557
41,626015.0722,0.950861914
42,726725.7516,0.9515924403
43,818536.1305,0.9524900586
44,1172332.176,0.9537220881
45,1065650.986,0.9548257734
46,737087.7852,0.9556565271
47,774768.8794,0.9565179499
48,810146.0425,0.9574804023
49,566537.4561,0.9581361905
50,600239.8596,0.9589041272
51,630745.1007,0.9596822717
52,502766.0962,0.9602795572
53,588934.9363,0.9610509705
54,482877.411,0.9616466919
55,559942.4117,0.9624483563
56,557352.58,0.9631784016
57,655259.6113,0.9640766103
58,534750.3511,0.9648177734
59,581680.4321,0.965632841
60,500321.4761,0.9663796277
61,495913.3164,0.9671122816
62,509567.981,0.9678728697
63,489641.994,0.9686186313
64,518890.6448,0.9693852315
65,523443.2624,0.9702462544
66,441723.1985,0.9709190321
67,463393.8513,0.9716671628
68,377157.5109,0.9723162791
69,356917.1708,0.9728816353
70,345938.6762,0.9734717528
71,352170.622,0.9740456819
72,344895.0909,0.9746760433
73,333078.6901,0.9752645158
74,285078.1964,0.9757681826
75,257029.1725,0.9762340376
76,260763.2831,0.9767106321
77,244670.9541,0.9771727209
78,214330.5777,0.9775611864
79,229844.3791,0.9779952735
80,206258.5162,0.9784036649
81,200380.1133,0.9787851574
82,210545.7778,0.9792148647
83,207320.276,0.9796127278
84,223513.9863,0.9800689021
85,187522.8037,0.9804601896
86,207561.9681,0.9808901298
87,180269.7487,0.9812690287
88,178801.0369,0.9816257776
89,187067.9476,0.9820531554
90,168450.0101,0.982407211
91,154528.0872,0.9827461264
92,146836.7332,0.9830704093
93,162198.8361,0.9834310892
94,151239.3144,0.9837812194
95,144089.5841,0.9840994354
96,141718.6034,0.9844232075
97,129555.388,0.9847349772
98,127620.137,0.9850304273
99,114399.1985,0.9853109514
100,131772.0146,0.9856160135
101,116762.6977,0.9859112251
102,113345.8806,0.9861891664
103,102906.413,0.9864336717
104,98116.02741,0.9866847277
105,95145.83467,0.9869180397
106,95256.7031,0.9871704843
107,94916.1369,0.9874133525
108,95045.85277,0.9876536574
109,86488.05124,0.987878912
110,81754.54649,0.9880930835
111,83074.16602,0.9883208342
112,78476.25828,0.9885300034
113,79474.12264,0.9887454636
114,78011.10368,0.9889664628
115,83501.92241,0.9891953863
116,82067.23673,0.9894191266
