freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.39595845e+11,0.8570335607
1,1576165803,0.8816166318
2,342538269.9,0.8923016025
3,223016589.6,0.90099744
4,167058637.7,0.9088141577
5,88797291.65,0.9157389055
6,118337034.5,0.924044437
7,67841268.01,0.9303930586
8,65485237.48,0.9375425589
9,37972463.59,0.9416882892
10,27387129.7,0.9453190671
11,22706794.69,0.9481522855
12,15994180.73,0.9506468586
13,9488549.337,0.9523487502
14,12527853.19,0.9544980826
15,8733180.417,0.9561325939
16,8314793.384,0.9576887993
17,6841271.847,0.9592359731
18,6671783.909,0.9607968457
19,3823399.774,0.9616913351
20,4420580.375,0.9627600091
21,4193499.751,0.9639372989
22,3552505.378,0.9648792273
23,3088041.419,0.9657220872
24,2982334.004,0.9666058671
25,2850940.643,0.9675396409
26,2288221.593,0.9683247952
27,2579597.702,0.9691495789
28,2892955.614,0.970097114
29,2189561.7,0.9709167154
30,2294101.396,0.971757558
31,2643886.692,0.9728296953
32,1967275.165,0.973596773
33,1683157.877,0.9742793198
34,1602574.398,0.9749916762
35,1336382.056,0.9755336
36,1293581.643,0.9761186946
37,1180983.983,0.9766436508
38,1179254.845,0.9772322123
39,1022660.238,0.9777266679
40,966533.7658,0.9781713742
41,999623.1235,0.978701464
42,976046.8367,0.9792038284
43,1066511.717,0.9798026568
44,798823.0806,0.9802324939
45,757662.8096,0.9806342747
46,633223.9578,0.9809996955
47,732152.377,0.9814164963
48,699797.7505,0.9818421647
49,572520.0049,0.982181484
50,518522.3351,0.9825211491
51,456365.3548,0.9828094208
52,486978.1655,0.9831056367
53,511044.1575,0.9834483738
54,469255.3991,0.9837447876
55,399646.6287,0.9840377476
56,472029.3432,0.984354319
57,401476.5758,0.9846360969
58,374452.683,0.9849018281
59,450730.5087,0.9852252051
60,388066.2597,0.9855217812
61,393733.5672,0.985819618
62,333265.1886,0.9860743129
63,317369.8873,0.98632181
64,277962.8391,0.9865320729
65,329068.182,0.9868092223
66,311091.8648,0.9870518234
67,314174.5469,0.9873115289
68,243227.1514,0.9875258647
69,249836.3548,0.9877284898
70,213295.9157,0.9879147863
71,273084.4582,0.9881426552
72,229692.3471,0.9883576025
73,272791.5432,0.988604373
74,256818.2688,0.9888366938
75,231155.1828,0.9890512074
76,230133.3576,0.9892665674
77,223775.118,0.9894829577
78,210372.128,0.9896781845
79,168817.7639,0.989841431
80,161517.0394,0.9900051752
81,176481.0752,0.9901772085
82,171996.8069,0.9903569421
83,170671.7079,0.9905246434
84,165597.6732,0.9906976901
85,130179.0412,0.9908367705
86,127856.0449,0.9909723719
87,138099.6769,0.9911209915
88,122049.5891,0.9912456758
89,118192.366,0.9913839321
