freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.946531553e+11,0.6727683861
1,2310214557,0.7366456684
2,278017079.4,0.7520199768
3,300271528.7,0.7727761974
4,277753571.6,0.795815802
5,101414441.6,0.8098363156
6,57406629.92,0.8169791187
7,56211835.15,0.8263046402
8,36052037.05,0.8332824956
9,42540878.5,0.8415162633
10,34893055.23,0.8497169843
11,25283860.99,0.8553097612
12,18173423.56,0.860334701
13,16282817.54,0.8655122177
14,14478250.15,0.8699157672
15,16043554.46,0.875239006
16,10681421.88,0.8787830935
17,10958046.07,0.8831764378
18,11268814.15,0.8878501674
19,8043521.572,0.8911862102
20,8250459.945,0.8947221427
21,5407119.949,0.89741326
22,6762812.603,0.9005921126
23,5486495.207,0.9032468842
24,5400070.006,0.9060838043
25,3086574.966,0.9078760199
26,2905753.719,0.9096435857
27,3710629.237,0.9117468582
28,3543548.701,0.9138044149
29,2077181.084,0.915182829
30,3202251.191,0.9172635669
31,2267439.572,0.9188936253
32,2040477.34,0.920304102
33,2146185.183,0.9218469909
34,2407712.061,0.9237443237
35,2065057.346,0.92522889
36,2267647.312,0.9270471987
37,1954446.114,0.9285873475
38,2095557.074,0.930441492
39,2154892.602,0.9322885539
40,1529127.755,0.9335358222
41,1793694.705,0.9352220706
42,1609144.205,0.9366903308
43,1381830.832,0.938065802
44,1467072.222,0.9394652756
45,1170480.321,0.9405656415
46,1201055.969,0.9417943789
47,1251942.91,0.9430578681
48,1106462.586,0.9442510192
49,881323.7208,0.9451770238
50,830357.3014,0.9461413155
51,959652.8669,0.9472159562
52,932424.9904,0.9482214344
53,893073.5418,0.9492832517
54,1196058.995,0.9506226253
55,834258.5182,0.9517067834
56,860155.1835,0.9527294625
57,744729.6777,0.9536560902
58,771836.8611,0.9546271166
59,611218.8022,0.955404524
60,612295.5657,0.9562340906
61,639046.9007,0.9570910665
62,510304.8337,0.9577824514
63,595780.7558,0.9586061163
64,566025.6348,0.9593651691
65,627912.3167,0.9603027028
66,598523.3477,0.9611301593
67,508495.2943,0.961875332
68,457349.0799,0.9625898125
69,434433.4018,0.9632144394
70,391128.579,0.9638200614
71,399701.0642,0.9644113278
72,449366.2028,0.9651568246
73,366894.7907,0.9657452124
74,406555.0682,0.9663972032
75,445134.0409,0.9671295249
76,294542.0314,0.967618169
77,345470.745,0.9682104081
78,310444.449,0.9687211424
79,284385.4656,0.9692086632
80,293754.6699,0.9697366126
81,309437.9714,0.9702713588
82,265199.3546,0.9707626527
83,286172.2398,0.9712611493
84,250235.8188,0.9717247225
85,252119.7249,0.9722022425
