freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.365016593e+11,0.9474802812
1,549124323.3,0.9540195819
2,358100574.1,0.9625485333
3,201324065.3,0.9685422516
4,62613122.96,0.9707791551
5,46665135.12,0.9735577367
6,38418820.9,0.975616551
7,17838152.57,0.9768911153
8,13813832.43,0.9780426389
9,19808871.56,0.9796939101
10,12559017.03,0.9809651725
11,10827063.81,0.9819966537
12,9638498.547,0.9831444637
13,5620327.097,0.9839141612
14,5627671.466,0.9846513556
15,5296597.064,0.9854082562
16,4161390.536,0.9860029321
17,3670241.832,0.9866366899
18,2481621.708,0.9870799794
19,2454757.215,0.9875184701
20,1773346.46,0.9878458002
21,1482432.988,0.9881635668
22,1973947.835,0.988563185
23,1332022.96,0.9888407792
24,1192696.557,0.9891106427
25,1193756.519,0.989409178
26,821345.3963,0.9896243616
27,916725.8249,0.9898481584
28,812853.9747,0.9900514374
29,831692.802,0.9902891405
30,756908.7024,0.9905009629
31,627377.3211,0.9906952137
32,621687.3707,0.9908802993
33,635603.3897,0.9910770971
34,549133.6392,0.9912634703
35,583580.1055,0.9914441605
36,540980.5732,0.9916309877
37,465130.4706,0.9917888507
38,454104.0776,0.9919618985
39,403936.8253,0.9921110184
40,327367.5228,0.9922260238
41,436424.6931,0.9924027289
42,273052.1916,0.9925100339
43,318057.6338,0.9926463883
44,286848.0585,0.9927642388
45,316724.2598,0.992892478
46,281716.2642,0.9930166073
47,218333.0079,0.9931115088
48,190705.7586,0.9932000793
49,242818.6256,0.9933099612
50,267630.8514,0.9934438197
51,255321.9318,0.993566961
52,231782.0753,0.9936746088
53,218161.9934,0.993786323
54,220910.0881,0.9938928675
55,194339.016,0.9940016399
56,181534.3173,0.9940945981
57,167040.1653,0.9941841127
58,176921.4869,0.9942799761
59,154207.2389,0.9943644501
60,178059.6629,0.9944683517
61,138886.0685,0.9945485677
62,131783.7271,0.9946254663
63,141861.4222,0.9947099348
64,143064.5511,0.9947925642
65,106840.4061,0.9948612695
66,106484.8377,0.9949246737
67,113414.1543,0.9949962557
68,100674.8679,0.9950639934
69,104704.8679,0.9951288315
70,101776.5837,0.9951967045
71,86344.32765,0.9952517153
72,96286.86215,0.9953205138
73,92497.90074,0.995384402
74,119276.3777,0.995466786
75,85168.66694,0.9955271332
76,92160.03826,0.995592983
77,87297.14682,0.9956574374
78,97202.02044,0.995726311
79,94276.87329,0.9957959188
80,70195.42972,0.9958502542
81,87166.30901,0.9959151309
82,82599.57001,0.9959810352
83,79565.36709,0.9960407284
84,77694.34234,0.9961027189
85,70802.66511,0.9961604754
86,72566.53199,0.9962192386
87,71163.71713,0.9962777134
88,66415.29361,0.9963295182
89,62631.8056,0.9963854574
90,60368.76174,0.9964350621
91,59384.55092,0.9964859795
92,58044.97131,0.996536094
93,60224.40013,0.9965884487
94,51582.81682,0.9966351339
95,51577.48359,0.9966796645
96,54996.1879,0.9967287841
97,50827.18911,0.9967766013
98,55703.24818,0.9968270157
99,48577.15128,0.9968735838
100,44773.33833,0.996914106
101,46997.08936,0.9969605586
102,47391.54107,0.9970059901
103,43944.02315,0.9970468085
104,46533.94529,0.9970933574
105,43540.18092,0.9971350968
106,47713.26112,0.9971845301
107,43714.3056,0.9972282585
108,40065.86856,0.9972678601
109,41024.28519,0.9973096304
110,37368.32541,0.9973479008
111,36051.96241,0.9973865404
112,41815.9188,0.9974301126
113,37478.41196,0.9974698347
114,35220.14833,0.997508841
115,35252.81085,0.997546624
116,33923.75394,0.9975827806
117,31038.76194,0.9976167864
118,29676.68508,0.9976500068
119,30601.98808,0.9976844451
120,31166.70727,0.9977193333
121,31998.5641,0.9977543907
122,33494.63671,0.997792882
123,30150.31179,0.997829864
124,32756.08494,0.9978665314
125,31443.7076,0.9979043509
126,31733.04264,0.9979400621
127,28291.72066,0.9979744274
128,30037.64206,0.9980112711
129,29090.68747,0.9980453944
130,24315.82941,0.998075799
131,25894.28283,0.9981069438
132,25159.46427,0.9981393021
133,24759.8885,0.9981704094
134,22454.13689,0.9981971491
135,23305.4372,0.998227678
136,23403.60563,0.99825736
137,22236.48525,0.9982862237
138,20410.42104,0.9983124742
139,21130.21219,0.9983392729
140,21830.70226,0.9983689098
141,20823.9148,0.99839594
142,19804.25283,0.9984223542
143,19058.04263,0.9984478866
144,18375.00563,0.9984728321
145,18354.94618,0.9984984062
146,18018.15511,0.99852276
147,17205.38022,0.9985461177
148,17499.91047,0.9985709172
149,16852.10387,0.998594598
150,15904.35494,0.9986170418
151,15035.28605,0.9986376324
152,13969.19608,0.9986579275
153,13422.89615,0.9986768695
154,14783.89235,0.9986988765
155,13462.41204,0.9987181147
156,14062.51752,0.9987385454
157,12803.55474,0.9987579856
158,12758.48474,0.9987762179
159,11782.60108,0.9987937572
160,11139.25036,0.9988104051
161,12052.6855,0.9988293511
162,13366.68156,0.998849726
163,11085.74502,0.9988661619
164,10215.3832,0.9988819765
165,10968.12669,0.9988988259
166,11551.36199,0.9989173966
167,11182.38256,0.9989345084
168,10940.6384,0.9989511853
169,9544.002744,0.9989667561
170,8967.965942,0.9989811201
171,9307.970083,0.9989960842
172,9212.729748,0.9990106757
173,9907.43887,0.9990270755
174,8844.22979,0.9990416626
175,8476.334024,0.9990552897
176,9288.038034,0.9990706641
177,8379.238852,0.999084185
178,8549.051813,0.9990988452
179,8152.993285,0.9991126321
180,7937.345639,0.9991257235
181,7356.702199,0.9991382514
182,7172.115463,0.9991507213
183,7162.574686,0.9991632598
184,7098.485321,0.9991750522
185,7060.043344,0.9991873272
186,7108.941863,0.9992000258
187,6865.50909,0.9992120034
188,6535.586179,0.9992235222
189,6108.576482,0.9992341429
190,6278.093757,0.9992452827
191,5632.613637,0.9992555789
192,6427.758328,0.9992668311
193,5919.281231,0.9992778276
194,5972.748163,0.9992884611
195,5587.708368,0.9992988416
196,5639.53705,0.9993093184
197,5723.059092,0.9993197459
198,5197.123713,0.9993294937
199,5196.117153,0.9993390229
200,4883.102948,0.9993484434
201,4710.313178,0.9993571098
202,4700.125396,0.9993657854
203,4681.484285,0.9993750399
204,4528.709781,0.9993835879
205,4581.15017,0.9993925895
206,4277.327054,0.9994006375
207,4502.796935,0.9994093779
208,4505.439717,0.9994182576
209,4447.778854,0.9994268912
210,4647.742309,0.9994359683
211,4364.947347,0.999444727
212,4479.290822,0.9994536351
213,4364.902115,0.9994623677
214,4220.18707,0.9994708108
215,4223.896903,0.9994791356
216,4113.943865,0.9994876111
217,3805.746807,0.9994954063
218,3918.638735,0.9995033161
219,3875.856159,0.9995113011
220,3493.745395,0.9995184988
221,3907.366182,0.9995266185
222,3803.57347,0.9995346811
223,3672.76187,0.9995422039
224,3187.375733,0.9995489983
225,3209.966595,0.9995556687
226,2988.458301,0.9995620035
227,3152.663507,0.9995686487
228,2952.928163,0.9995750312
229,2944.776083,0.999581589
230,2860.401653,0.99958755
231,2942.160679,0.9995938567
232,2667.357882,0.999599622
233,2548.876641,0.999605207
234,2438.044739,0.9996106944
235,2583.713702,0.9996162481
236,2542.871163,0.9996218503
237,2636.238238,0.9996278151
238,2574.958436,0.9996333806
239,2384.841219,0.9996388335
240,2252.985422,0.9996437433
241,2185.886568,0.9996488454
242,2203.062952,0.9996539219
243,2315.480615,0.9996591334
244,2290.191239,0.9996644244
245,2179.981304,0.999669266
246,2223.178191,0.999674614
247,2219.764731,0.9996797158
248,2062.75845,0.9996844076
249,1983.296131,0.999689025
250,2001.71137,0.9996936495
251,1898.420914,0.999698171
252,1967.258917,0.9997027979
253,1841.68495,0.9997071623
254,1913.366989,0.999711765
255,2013.548768,0.9997166326
256,1989.932283,0.9997213603
257,1730.190765,0.9997254605
258,1785.453013,0.9997298618
259,1729.176212,0.9997340317
260,1667.79493,0.9997381032
261,1616.875151,0.9997420504
262,1697.226274,0.9997462039
263,1634.155923,0.9997502322
264,1652.442668,0.9997542662
265,1528.571313,0.9997581435
266,1549.249522,0.9997619902
267,1489.307902,0.9997656792
268,1467.795061,0.9997694198
269,1503.981952,0.999773172
270,1431.685704,0.9997767694
271,1376.086139,0.9997803091
272,1335.224131,0.9997837436
273,1359.971601,0.9997872013
274,1293.640037,0.9997904519
275,1249.593518,0.9997937406
276,1328.436923,0.9997971497
277,1232.39185,0.9998003785
278,1202.22361,0.9998034852
279,1147.836698,0.9998064719
280,1071.036768,0.9998093162
281,1108.081444,0.9998121928
282,1125.940097,0.9998151695
283,1053.74219,0.999817949
284,1088.80167,0.9998208923
285,1028.397221,0.9998236478
286,1036.470677,0.9998263694
287,1079.600902,0.9998292879
288,1037.946376,0.9998320813
289,937.0998424,0.9998346369
290,961.0474681,0.9998372978
291,885.0296442,0.9998396059
292,950.9063926,0.999842301
293,922.0387543,0.999844821
294,975.7210181,0.9998475051
295,927.603703,0.9998500458
296,862.821515,0.9998524707
297,906.933708,0.9998550249
298,859.8904893,0.9998573699
299,818.0092985,0.9998596494
300,782.9370983,0.9998618451
301,829.9494997,0.9998641776
302,791.3239776,0.999866477
303,763.1838099,0.9998685991
304,721.7378077,0.9998706361
305,713.1537197,0.9998727168
306,760.8428537,0.9998748642
307,680.7563326,0.9998768301
308,661.4576847,0.9998786969
309,676.0058583,0.9998807337
310,669.9148361,0.9998826523
311,666.267261,0.9998845962
312,640.011259,0.9998864407
313,651.3582735,0.9998883488
314,620.1128342,0.9998902208
315,647.9295479,0.9998921267
316,598.4389757,0.9998938798
317,611.7426569,0.9998956974
318,553.3890396,0.9998973581
319,557.8407159,0.9998990122
320,534.9477901,0.9999005953
321,509.9366402,0.9999021256
322,529.0623089,0.9999037448
323,496.7522575,0.9999052533
324,531.3407191,0.999906832
325,533.4294176,0.9999084709
326,510.1249566,0.9999100383
327,498.04629,0.9999115833
328,483.4736303,0.9999130802
329,479.3257674,0.9999145301
330,481.5499199,0.9999160268
331,473.5011444,0.9999174732
332,464.2631745,0.9999188996
333,444.654979,0.9999203293
334,461.27786,0.9999217547
335,421.9530747,0.9999230863
336,394.2745772,0.9999243118
337,386.7778243,0.9999255048
338,403.0706682,0.9999268272
339,422.9606533,0.9999281619
340,407.8737943,0.9999294831
341,399.3101894,0.9999307456
342,390.7432684,0.999931974
343,395.7475157,0.9999332842
344,366.5115062,0.9999344343
345,357.7900209,0.9999356145
346,360.1429273,0.9999367682
347,335.0218826,0.9999378614
348,343.4467851,0.9999389759
349,318.686575,0.9999399968
350,314.94783,0.9999410394
351,307.8285274,0.9999420604
352,341.3886072,0.9999431906
353,339.9602483,0.9999443201
354,317.9886173,0.9999453539
355,314.6349723,0.9999464198
356,302.957149,0.999947412
357,267.3964702,0.9999483259
358,249.4821657,0.9999491533
359,265.3455152,0.9999500318
360,250.5788179,0.9999508941
361,268.0831683,0.9999517833
362,262.6215242,0.999952684
363,255.3229028,0.9999535353
364,237.3907098,0.9999543608
365,237.6316088,0.9999551772
366,234.1038354,0.9999559801
367,224.2109217,0.9999567437
368,219.380554,0.9999575001
369,219.411366,0.9999582683
370,213.7788569,0.9999590065
371,223.5594595,0.9999597759
372,217.6011934,0.9999605313
373,225.4645717,0.999961318
374,202.9051673,0.9999620429
375,208.7792602,0.9999627676
376,198.7443206,0.9999634611
377,197.9526569,0.9999641683
378,192.1464357,0.9999648422
379,184.8615759,0.9999655026
380,190.0403424,0.9999661634
381,181.6716917,0.9999668233
382,185.5536919,0.9999674917
383,177.0800712,0.9999681244
384,160.2758485,0.9999687008
385,154.6858312,0.9999692562
386,156.7710351,0.9999698312
387,154.012821,0.9999703814
388,154.3940977,0.999970944
389,145.8100128,0.999971478
390,152.8926517,0.9999720315
391,146.8846375,0.9999725755
392,146.4048427,0.9999731029
393,134.5210974,0.9999736011
394,134.8400119,0.9999741085
395,136.7680924,0.9999746052
396,128.0325863,0.9999750832
397,130.8534754,0.9999755585
398,124.9717159,0.9999760377
399,130.9146273,0.9999765249
400,126.510386,0.999976995
401,115.2089506,0.999977434
402,117.9450201,0.9999778715
403,112.1010416,0.9999783
404,116.0609962,0.999978734
405,114.8334633,0.9999791662
406,104.8103786,0.9999795724
407,109.5301411,0.9999799833
408,104.4845354,0.9999803877
409,103.6886122,0.9999807773
410,95.57923395,0.9999811449
411,100.8387374,0.9999815376
412,98.1306629,0.9999819067
413,93.15153325,0.9999822464
414,89.64352803,0.9999825672
415,87.98062713,0.9999828902
416,86.56661003,0.9999831922
417,86.70151964,0.999983493
418,95.14909755,0.9999838179
419,88.97286614,0.9999841304
420,84.31504662,0.9999844216
421,87.90018282,0.9999847205
422,81.99157008,0.9999850005
423,87.19072033,0.9999852922
424,79.41670864,0.9999855587
425,79.99783464,0.9999858271
426,82.67344397,0.9999860991
427,80.09356187,0.9999863676
428,75.17945992,0.9999866158
429,75.25937563,0.9999868616
430,73.16937135,0.9999870964
431,73.74371437,0.9999873335
432,69.28939237,0.9999875672
433,72.90455778,0.9999878003
434,68.12669882,0.9999880234
435,70.74199014,0.9999882467
436,63.85405621,0.9999884516
437,64.76478154,0.9999886614
438,62.45227018,0.9999888585
439,57.46873218,0.999989044
440,59.59392297,0.9999892324
441,58.87804564,0.9999894189
442,55.97200994,0.999989595
443,57.17238347,0.9999897693
444,56.16917144,0.9999899509
445,57.41963443,0.9999901299
446,56.21314702,0.9999903073
447,55.82071033,0.9999904803
448,55.12551882,0.9999906447
449,51.90786123,0.9999908124
450,52.35966109,0.9999909748
451,54.00244572,0.9999911429
452,55.09168281,0.9999913108
453,52.79304487,0.9999914729
454,49.54362544,0.9999916265
455,49.57466152,0.9999917752
456,46.09823107,0.9999919186
457,43.51038235,0.9999920525
458,44.22247173,0.9999921867
459,43.87729308,0.9999923203
460,41.71514437,0.9999924441
461,40.25639268,0.9999925685
462,41.07459752,0.9999926912
463,40.12999048,0.9999928137
464,38.47503624,0.9999929299
465,40.27318194,0.9999930509
466,37.51717844,0.9999931652
467,39.69483089,0.9999932818
468,38.52850476,0.9999933979
469,35.48449407,0.9999935045
470,37.28570347,0.9999936169
471,40.28656432,0.9999937375
472,37.67188498,0.9999938475
473,36.33445216,0.999993956
474,34.34966262,0.999994059
475,32.08585502,0.9999941552
476,34.72426886,0.9999942566
477,30.76683949,0.9999943459
478,32.5516576,0.9999944444
479,34.57587355,0.9999945452
480,32.5635348,0.9999946423
481,30.19175966,0.9999947306
482,32.067431,0.9999948258
483,29.44434691,0.9999949126
484,29.90087631,0.9999949981
485,29.06025229,0.9999950851
486,29.59166474,0.9999951694
487,27.14256529,0.9999952514
488,28.80191151,0.999995336
489,27.81912505,0.999995415
490,27.20067607,0.9999954947
491,30.30234912,0.9999955817
492,26.62600783,0.9999956599
493,24.19123181,0.9999957306
494,24.87273435,0.9999958016
495,24.93204564,0.9999958755
496,24.97131889,0.9999959461
497,22.10641344,0.9999960111
498,24.26569363,0.9999960808
499,23.00424474,0.999996147
500,25.04593977,0.9999962197
501,23.26766175,0.9999962854
502,24.63322539,0.9999963567
503,21.64139304,0.9999964183
504,23.20021278,0.9999964856
505,23.29599974,0.9999965527
506,23.65111763,0.9999966197
507,21.46361753,0.9999966825
508,21.20486032,0.9999967424
509,21.44458907,0.9999968038
510,20.86362892,0.9999968627
511,20.68734482,0.9999969223
512,19.4158671,0.9999969782
513,21.12027439,0.9999970377
514,19.98130482,0.9999970952
515,20.06720772,0.9999971513
516,19.40062391,0.9999972069
517,18.79118881,0.9999972603
518,20.2315908,0.9999973168
519,18.76168135,0.9999973708
520,18.50696916,0.9999974226
521,18.17123601,0.9999974748
522,18.08619106,0.9999975253
523,16.51635129,0.9999975722
524,16.79364793,0.9999976196
525,17.32520435,0.9999976684
526,16.33373963,0.9999977144
527,15.14757777,0.9999977567
528,16.35843785,0.999997803
529,16.04335647,0.9999978481
530,16.69646406,0.9999978947
531,15.88897578,0.9999979402
532,15.26749205,0.9999979819
533,14.95400161,0.9999980248
534,14.93230112,0.9999980662
535,14.57658173,0.9999981067
536,14.48721484,0.999998148
537,14.45684082,0.9999981872
538,13.46868713,0.9999982261
539,14.19936503,0.9999982651
540,12.76634514,0.9999983007
541,12.79240262,0.999998336
542,14.28736615,0.9999983757
543,12.31742185,0.9999984106
544,12.62235223,0.9999984451
545,12.99115788,0.9999984818
546,13.69699278,0.9999985202
547,12.45540368,0.9999985539
548,11.35569857,0.9999985862
549,11.6806951,0.9999986179
550,11.42646319,0.9999986502
551,12.3315948,0.9999986842
552,11.85592926,0.9999987166
553,11.97912416,0.9999987503
554,12.69272943,0.9999987844
555,12.33022629,0.9999988196
556,12.48210744,0.9999988537
557,12.25544568,0.9999988876
558,10.55966596,0.9999989165
559,12.1228094,0.9999989494
560,11.85274625,0.9999989831
561,10.66796632,0.9999990119
562,10.305362,0.9999990404
563,10.25591613,0.999999069
564,10.60323418,0.9999990977
565,11.21001827,0.9999991289
566,11.29624658,0.9999991594
567,10.59260563,0.9999991888
568,10.26076064,0.999999217
569,9.309183884,0.9999992428
570,10.50749994,0.9999992712
571,10.22505907,0.9999992991
572,9.100061229,0.9999993241
573,9.379266945,0.9999993496
574,10.14143221,0.9999993774
575,9.235835034,0.9999994024
576,9.336617082,0.999999428
577,9.920202607,0.9999994554
578,10.26735767,0.9999994833
579,10.84959346,0.9999995132
580,10.3153673,0.9999995415
581,8.92481423,0.9999995659
582,9.749155316,0.9999995923
583,9.87382857,0.9999996188
584,7.830026868,0.9999996395
585,7.391558659,0.9999996578
586,6.664919976,0.9999996739
587,6.782891278,0.9999996896
588,5.976245006,0.9999997033
589,5.171807602,0.999999715
590,5.146581368,0.9999997261
591,5.171272925,0.9999997371
592,5.053232549,0.9999997479
593,5.40864645,0.9999997593
594,4.689304823,0.9999997689
595,4.388495106,0.9999997776
