freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.812257221e+11,0.8866044128
1,392538783.8,0.8939077315
2,446292589.1,0.9105145849
3,139582843.5,0.9170070515
4,85971869.72,0.9218056599
5,43745248.51,0.9258751367
6,57847447.05,0.9307183588
7,36898002.65,0.9348373588
8,26112119.31,0.9382381333
9,17066475.12,0.9404608267
10,12133578.65,0.9423796965
11,7358123.355,0.9434748998
12,7352588.962,0.9448428742
13,8756277.458,0.9467163799
14,7342323.226,0.9482190508
15,5819555.94,0.9495183488
16,5990566.313,0.9508558273
17,6035995.104,0.9524842028
18,4427195.48,0.9537197452
19,4836182.752,0.9550694277
20,4880949.903,0.9564770098
21,2778960.154,0.9574076729
22,3898898.007,0.9586408586
23,3236475.161,0.9596946339
24,3091101.903,0.9607873431
25,3222740.327,0.9620465071
26,2715419.947,0.9631579761
27,2150723.971,0.9639782827
28,2309768.357,0.9648807374
29,1872954.172,0.9657170643
30,2203411.76,0.9666804523
31,1842578.738,0.9675717793
32,1691889.721,0.968358734
33,1560788.603,0.9691137482
34,1470725.628,0.9698936038
35,1577521.413,0.9706567123
36,1367805.597,0.9713947186
37,1064074.585,0.9719589466
38,1047576.785,0.9725826434
39,861442.1101,0.9730794936
40,813306.379,0.973525883
41,855266.5,0.9740669089
42,765817.2419,0.9745371025
43,705037.4865,0.9750093312
44,738947.9448,0.9754836504
45,700455.4776,0.9759267456
46,609717.3932,0.9763464737
47,572772.6373,0.9767354407
48,517227.1045,0.977110745
49,678895.771,0.9775907264
50,588728.6768,0.9780507734
51,515575.1429,0.9784392677
52,440008.3071,0.9787585414
53,422228.4449,0.9790963367
54,502387.6491,0.9794748941
55,433138.2393,0.9798536523
56,450788.6006,0.9802142966
57,402178.53,0.9805510167
58,429236.009,0.9809143835
59,429085.8388,0.9812816148
60,409802.097,0.9816552157
61,368114.9866,0.9819873876
62,414402.1856,0.9823651823
63,342131.3806,0.9826834558
64,373614.2347,0.9830205901
65,369913.7612,0.9833922382
66,393695.2766,0.9837584799
67,298186.4463,0.9840525166
68,240780.8831,0.9843056259
69,250708.7414,0.9845481811
70,276569.315,0.9848363384
71,245629.856,0.9850808349
72,237981.0506,0.985346498
73,263239.3173,0.9856305622
74,260700.9815,0.9859118872
75,205213.0104,0.9861390617
76,182646.3504,0.9863429535
77,183260.1346,0.9865543498
78,196804.1927,0.9867722156
79,231257.4199,0.9870389783
80,191059.847,0.987270036
81,162013.0215,0.9874584302
82,164793.6008,0.987663855
83,154733.0922,0.9878452233
84,155221.5999,0.988038716
85,156251.0195,0.9882378526
86,156502.8893,0.9884358544
87,131872.1148,0.9886051477
88,116736.8024,0.988747409
89,147038.6792,0.9889525868
90,155894.2988,0.989152719
91,150153.254,0.989353862
92,154244.661,0.9895619207
93,118491.6074,0.9897228548
94,114381.3314,0.9898845907
95,121541.4332,0.9900485364
96,127949.8436,0.9902270777
97,119323.7708,0.9904024625
98,114074.0803,0.9905637639
99,114665.2786,0.9907355015
100,98424.30781,0.9908746741
101,92900.06766,0.9910181344
102,93491.65259,0.9911581597
103,104163.3468,0.9913093233
104,90064.77705,0.9914500809
105,92138.56419,0.9915880796
106,88087.64404,0.991730664
107,84355.97304,0.9918624996
108,96437.08895,0.992011422
109,90785.75411,0.99215584
110,85198.43958,0.9922921626
111,88801.6528,0.9924408593
112,85691.59115,0.9925803624
113,96980.91536,0.9927409507
114,73674.20633,0.992868429
115,73972.40521,0.9929922943
116,74917.07014,0.9931170446
117,65731.11781,0.993229556
118,68128.23299,0.9933487056
119,62909.42314,0.9934593133
