freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.582996189e+11,0.8273503945
1,2675129813,0.8958993057
2,414312520.1,0.9171324227
3,157868940.8,0.9272457114
4,138902803.1,0.9379236634
5,48131069.95,0.9440903407
6,31565190.2,0.9477301332
7,12618949.16,0.9496702601
8,6874123.927,0.9509032828
9,11325533.8,0.9529347622
10,7202026.654,0.9545034241
11,7099821.414,0.9559588601
12,5752095.957,0.957432807
13,5193100.443,0.95896312
14,4851450.479,0.9603305968
15,4255905.861,0.9616392633
16,3807281.281,0.9628099802
17,4230180.051,0.9643817269
18,3532002.946,0.965739315
19,2351817.717,0.9666432779
20,1458582.153,0.9672225976
21,1627303.834,0.9679731774
22,2042717.827,0.9688630196
23,2001885.05,0.969760723
24,1438052.229,0.9704608615
25,1500705.885,0.9712684137
26,1256841.469,0.9719769447
27,1037617.004,0.9725220076
28,722564.5179,0.9729108303
29,839007.76,0.9734268104
30,704807.0615,0.9738512284
31,635622.8175,0.9742747041
32,780239.3723,0.9747745356
33,638288.3666,0.9751997872
34,566361.5149,0.9756134003
35,585955.1591,0.9760037856
36,657257.0684,0.9764922006
37,502182.2615,0.9768589436
38,439613.2949,0.9772194198
39,373427.8371,0.9775160559
40,441774.0853,0.9778500032
41,413059.791,0.9782098748
42,498445.513,0.9786313648
43,352039.0696,0.9789561148
44,402809.3564,0.9793122167
45,391154.5401,0.9796530037
46,408021.3316,0.9800398516
47,392594.0724,0.9804070429
48,301571.887,0.9807084206
49,319801.5897,0.9810198215
50,259000.7321,0.9812985658
51,292183.7817,0.9816017921
52,269042.4206,0.9818706613
53,281492.2795,0.9821808248
54,263089.5507,0.9824538573
55,265278.1836,0.9827733457
56,215068.151,0.9830103194
57,212908.5482,0.983255825
58,229221.8015,0.9835230782
59,249597.5916,0.9838172859
60,171765.2122,0.9840329545
61,181746.1818,0.9842588267
62,144015.3428,0.9844396525
63,155660.505,0.9846390888
64,167707.1875,0.9848475135
65,155620.6903,0.9850628495
66,149854.2219,0.9852548467
67,152240.1357,0.9854616039
68,147546.406,0.9856752194
69,149908.2267,0.9858749684
70,150677.0697,0.9860911859
71,127181.5184,0.9862655405
72,116190.4937,0.98644418
73,136125.272,0.9866464924
74,129490.891,0.9868389446
75,139301.3415,0.9870513316
76,133772.086,0.9872570024
77,129364.7736,0.9874625268
78,112350.2157,0.9876338225
79,104113.8464,0.9877992303
80,116200.5643,0.9879927732
81,118376.221,0.9881823566
82,108772.7161,0.9883691022
83,117955.7486,0.9885595234
84,118387.649,0.9887627764
85,124129.75,0.9889806588
86,110442.2751,0.9891731008
87,94630.1565,0.9893404156
88,85903.69659,0.9894845969
89,79664.96704,0.9896377001
90,87394.13516,0.989792221
91,76596.06788,0.9899335381
92,66444.16639,0.9900569765
93,65709.29127,0.9901798917
94,64744.89925,0.99030598
95,69259.39559,0.9904346485
96,71373.42897,0.9905718168
97,73680.06812,0.99072097
98,75740.58069,0.990868472
99,68219.41382,0.9910091933
100,64708.40932,0.9911352105
101,62699.61024,0.9912685622
102,56752.37608,0.9913856295
103,55238.82442,0.9914960361
104,61836.06806,0.9916291357
105,68043.67596,0.9917694944
106,59190.69052,0.9919014502
107,52286.65728,0.9920139951
108,54031.02249,0.9921289101
109,54714.72822,0.9922487844
110,54775.9368,0.9923694946
111,43492.39737,0.9924697971
112,47639.84111,0.9925766125
