freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.119735801e+11,0.822759561
1,1420684961,0.845457757
2,385774032.3,0.8577847329
3,406424781.2,0.874018292
4,292557587,0.8880408156
5,116297309.2,0.8973311903
6,76981666.96,0.9028658814
7,47826234.94,0.9074505822
8,31725870.93,0.9109987582
9,23994321.8,0.9136822488
10,18780516.56,0.9162327176
11,26296702.32,0.919593844
12,32673899.32,0.9248141327
13,19917490.18,0.9284736686
14,9548017.616,0.9301516976
15,11272163.86,0.9323128336
16,15268972.09,0.9352402507
17,13955133.23,0.9384731751
18,7838662.141,0.9403517424
19,6078021.029,0.9418083649
20,6921136.583,0.9435223328
21,6452807.279,0.9453780627
22,4271191.302,0.9465381522
23,3821242.599,0.9476065579
24,2823252.986,0.9484635898
25,3707126.736,0.949707389
26,3104942.974,0.9507987536
27,3055488.823,0.9517995094
28,2773575.053,0.9527300874
29,2347527.367,0.9536302386
30,2323588.898,0.9545026488
31,2436764.427,0.9555148817
32,1961510.314,0.9562983549
33,1913951.097,0.957093411
34,1513761.264,0.9577826912
35,2213738.619,0.9587022791
36,1924297.877,0.9595938664
37,1810173.466,0.9604181157
38,1498137.275,0.9611840564
39,1360308.54,0.9618577969
40,1423683.08,0.9625288068
41,1440189.821,0.9633111408
42,1329411.294,0.9640120582
43,1182940.652,0.96469245
44,1074610.314,0.9652847799
45,1359295.247,0.9660231707
46,1165965.944,0.9667124276
47,877636.1412,0.9672242284
48,923287.7948,0.9677995295
49,840316.8076,0.9683097058
50,840032.6962,0.9688733941
51,924566.7666,0.9694716498
52,817191.1643,0.9699808421
53,755834.937,0.970500107
54,953833.8966,0.9711173005
55,752734.4936,0.9716825409
56,703253.0788,0.9721656817
57,652557.1499,0.9726348456
58,731715.499,0.9731667667
59,559685.0398,0.9735781012
60,603688.7509,0.974050711
61,601148.556,0.9745165299
62,562663.5549,0.9749570223
63,506255.23,0.9753614427
64,599252.4716,0.9758257924
65,524080.2426,0.976277945
66,537338.5794,0.9767071963
67,471660.8011,0.9771065882
68,430074.537,0.9774948152
69,447285.052,0.97786642
70,399201.0982,0.9782235886
71,341882.1759,0.9785158179
72,399292.1885,0.9788985859
73,374038.6269,0.9792451935
74,398187.1504,0.9796141785
75,319446.5727,0.9799178533
76,310026.1899,0.9802150495
77,339583.8724,0.9805514311
78,324304.8305,0.9808597243
79,380408.0245,0.9812365452
80,284061.2408,0.9815315431
81,302991.3127,0.9818340977
82,307448.4257,0.9821632073
83,259538.0558,0.9824244446
84,289056.5619,0.9827338666
85,250884.8339,0.9830084401
86,256875.4554,0.9832875177
87,242724.8512,0.9835550997
88,228870.5165,0.9837946103
89,217439.3527,0.9840551614
90,254460.0162,0.9843356804
91,237585.7357,0.9846089847
92,238552.3721,0.9848853066
93,270375.2664,0.9852006497
94,273257.2397,0.9855324516
95,266892.0566,0.9858416001
96,281264.0678,0.9861786305
97,295842.4897,0.9865520364
98,241859.5001,0.9868457137
99,219087.58,0.9871274918
100,234045.7939,0.9874116812
101,190415.2751,0.9876641882
102,173478.2339,0.9878873062
103,181675.173,0.98811371
104,167958.8363,0.9883391213
105,160791.6352,0.9885459224
106,158242.088,0.9887658779
107,161452.0159,0.9889825566
108,155652.7121,0.9891889655
109,139208.7058,0.9893791285
110,129257.7114,0.9895567308
111,116217.6574,0.989723843
112,132853.1476,0.9899095693
113,125534.9426,0.9900880734
114,135130.9626,0.9902888585
115,119019.6478,0.9904599997
116,118193.253,0.9906290085
117,118971.0022,0.9908038814
118,115169.874,0.9909768472
119,102454.4127,0.991131535
120,91959.51807,0.9912696428
121,105587.5824,0.9914248437
122,90874.43412,0.9915649516
123,104927.936,0.9917376236
124,108512.1816,0.9919005907
125,89709.83504,0.9920453528
126,89748.89461,0.9921808575
127,95506.71146,0.9923364998
128,82232.16441,0.9924718231
129,77569.06377,0.9925938958
130,70901.27276,0.9927128382
131,76167.4029,0.9928357473
132,70512.07892,0.9929574166
133,81336.33697,0.9930945144
134,64152.94815,0.9931970112
135,65854.72631,0.9933127484
136,59759.68492,0.9934144322
137,65722.15195,0.9935288864
138,55571.78275,0.993624776
139,57311.35914,0.9937222938
140,53134.4866,0.9938190714
141,58402.38814,0.9939207784
142,60142.04462,0.9940283976
143,49491.44044,0.9941173538
144,54412.50888,0.9942164592
145,52285.81807,0.9943141971
146,54795.50106,0.9944135623
147,47951.76621,0.9945009003
148,47433.25805,0.994591083
149,48736.24243,0.9946829644
150,47009.90745,0.9947719668
151,48637.78269,0.9948613313
152,44743.40353,0.9949485445
153,42049.32583,0.9950281551
154,42861.91857,0.9951137554
155,46859.9307,0.9952035968
156,43114.85161,0.9952876357
157,38714.76047,0.9953665
158,39722.16242,0.9954426566
159,38671.87569,0.9955198889
160,34648.86492,0.9955893635
161,35447.32047,0.9956641203
162,33916.3002,0.9957334808
163,31909.0766,0.9957969521
164,33449.21836,0.9958664261
165,31766.62002,0.9959318979
166,33761.75639,0.9960047182
167,29832.97478,0.9960659664
168,27180.51723,0.9961215519
169,28151.56706,0.9961831712
170,29178.53005,0.9962458729
171,29059.96211,0.9963085519
172,26417.64906,0.9963646876
173,26103.83919,0.9964226589
174,24828.48916,0.9964775995
175,23374.48649,0.9965280156
176,22448.74464,0.9965778697
177,21457.70655,0.996624323
178,22476.42127,0.996676034
179,23238.37616,0.9967287555
180,21993.6703,0.9967774232
181,19167.92461,0.9968212162
182,20418.43136,0.9968688449
183,21777.5979,0.996919992
184,20284.52542,0.9969652018
185,19695.74142,0.9970111447
186,17459.12418,0.9970529862
187,17545.02064,0.9970940525
188,15937.67472,0.9971317385
189,16067.49316,0.9971692181
190,16339.69538,0.9972081158
191,15435.55391,0.9972459708
192,16270.4851,0.9972841839
193,15324.2892,0.9973223781
194,15469.2959,0.9973593274
195,15796.15848,0.9973986978
196,14893.44502,0.9974358182
197,14036.19655,0.9974701293
198,13600.29511,0.9975043526
199,12540.79984,0.9975352086
200,12827.86937,0.9975684105
201,11642.60523,0.9975971496
202,11790.4123,0.9976263477
203,12272.60214,0.9976588967
204,11016.02776,0.9976867931
205,9883.20363,0.9977128471
206,11098.22708,0.997740863
207,12536.99123,0.9977735124
208,10141.66611,0.9978003288
209,10623.77885,0.9978279957
210,11211.4813,0.9978573722
211,10806.07526,0.9978864634
212,9724.899867,0.9979124109
213,10418.6939,0.9979403759
214,10493.12779,0.9979685408
215,9593.439751,0.9979939076
216,8718.47856,0.9980180056
217,8508.368925,0.9980413869
218,8346.335394,0.9980639895
219,8893.242078,0.9980885705
220,8054.511058,0.9981108333
221,8456.841977,0.9981344107
222,8424.028375,0.9981583678
223,8322.567122,0.9981812385
224,7653.265025,0.9982031258
225,7472.309922,0.9982239585
226,7406.106873,0.9982450207
227,8114.924698,0.998267969
228,7898.506557,0.9982908732
229,7229.261567,0.998312472
230,6801.150261,0.9983314877
231,7977.968374,0.9983544312
232,8000.121405,0.99837763
233,7247.855432,0.998398937
234,6704.517384,0.9984191822
235,6547.783214,0.998438065
236,6352.3793,0.9984568409
237,5728.526453,0.9984742305
238,5950.328694,0.9984914854
239,5950.219701,0.9985097381
240,5558.328579,0.9985259894
241,5817.065712,0.9985442054
242,5339.408789,0.9985607124
243,5545.627459,0.9985774582
244,5595.05745,0.9985948003
245,5438.832022,0.9986110063
246,4970.36404,0.9986270474
247,5194.194999,0.998643064
248,5533.75714,0.9986599507
249,4699.919565,0.9986746309
250,4375.732253,0.9986881936
251,5393.844569,0.998705429
252,5673.627191,0.9987233318
253,4792.824078,0.9987385702
254,4907.883531,0.9987544096
255,5033.9682,0.9987707364
256,4680.824145,0.998785656
257,4309.486131,0.9987993577
258,4093.699942,0.9988128965
259,4176.44952,0.9988264086
260,4254.05447,0.9988403418
261,4143.514155,0.998853913
262,3903.365132,0.9988667287
263,3640.030103,0.9988787671
264,3741.273843,0.9988910208
265,3537.454211,0.9989030591
266,3787.239546,0.9989156751
267,3756.476276,0.9989281587
268,3817.961736,0.9989412125
269,3591.15077,0.9989532327
270,3612.934377,0.9989654124
271,3632.489904,0.9989779482
272,3494.706255,0.9989900085
273,3211.798772,0.9990009642
274,3167.280269,0.9990116415
275,3179.654721,0.9990228685
276,3443.683123,0.9990347253
277,3673.27986,0.9990476366
278,3447.526334,0.9990595891
279,3272.21578,0.9990710123
280,3827.299188,0.9990846484
281,3765.812744,0.9990977646
282,3565.097017,0.9991104096
283,3743.200181,0.9991236564
284,3789.695167,0.9991374007
285,3421.786692,0.9991497014
286,3908.486549,0.9991634707
287,3472.898506,0.9991760661
288,2853.987264,0.9991863712
289,2970.689752,0.9991972401
290,3299.800625,0.9992094977
291,2888.26318,0.9992196036
292,2484.947738,0.9992290526
293,2824.343732,0.9992394087
294,2587.34955,0.9992489577
295,2429.002305,0.9992578836
296,2225.230512,0.9992662739
297,2287.824681,0.9992749186
298,2236.071179,0.9992830997
299,2472.812434,0.9992923446
300,2308.980634,0.9993010323
301,2252.221387,0.9993095244
302,2337.464771,0.9993186367
303,2486.509727,0.9993279129
304,2391.753451,0.9993369694
305,2316.694923,0.9993460377
306,2188.581527,0.9993543249
307,2102.272951,0.99936247
308,2157.277802,0.9993706386
309,2145.74626,0.999379312
310,1965.871876,0.9993868658
311,1803.372855,0.9993939248
312,1853.964902,0.999401093
313,1928.693825,0.9994086734
314,1795.600775,0.9994159459
315,1691.545685,0.9994226212
316,1605.734426,0.9994289323
317,1856.453365,0.9994363326
318,1856.126301,0.9994438057
319,1812.257273,0.9994510153
320,1612.920899,0.999457419
321,1815.021591,0.9994647267
322,1740.774468,0.9994718744
323,1634.653493,0.9994785342
324,1668.443224,0.999485185
325,1570.730273,0.9994916596
326,1501.277869,0.999497848
327,1444.123351,0.9995038584
328,1622.344442,0.9995105976
329,1528.015638,0.9995167985
330,1468.351881,0.9995229215
331,1382.563328,0.9995285874
332,1649.771831,0.9995353878
333,1586.671409,0.9995422324
334,1320.64977,0.9995477078
335,1437.186784,0.9995537927
336,1326.011341,0.9995593222
337,1443.377253,0.9995652949
338,1352.131053,0.9995712465
339,1336.527026,0.9995769052
340,1282.318778,0.9995824778
341,1475.652354,0.9995887373
342,1443.14165,0.9995948244
343,1290.038784,0.9996005542
344,1105.371958,0.9996052077
345,1064.859518,0.9996099204
346,1157.348443,0.9996148944
347,1156.181542,0.9996199558
348,999.1395772,0.9996243058
349,1061.99888,0.9996288701
350,1002.16813,0.9996333213
351,1007.06879,0.9996378023
352,1131.860664,0.9996428296
353,996.7618607,0.9996472727
354,928.1872767,0.9996513212
355,924.0191189,0.9996555213
356,930.2688912,0.9996596085
357,969.9724343,0.9996640562
358,1003.375979,0.9996685208
359,878.6783588,0.9996724236
360,924.9922586,0.9996766946
361,1018.256582,0.9996812254
362,888.8683679,0.9996853154
363,880.9284799,0.9996892562
364,839.925831,0.9996931747
365,968.9303594,0.9996976409
366,966.607165,0.9997020886
367,857.8365617,0.9997060084
368,808.889705,0.9997097497
369,812.5326574,0.9997135664
370,882.1305797,0.9997176536
371,829.8407196,0.9997214852
372,766.6106605,0.9997250555
373,712.5924725,0.9997283914
374,721.2489831,0.9997318484
375,733.7257867,0.9997352655
376,715.5023895,0.999738615
377,700.3559814,0.9997419718
378,737.2606433,0.9997454408
379,713.8987792,0.9997488626
380,749.4436055,0.9997523589
381,804.5809218,0.9997562796
382,676.8897192,0.999759551
383,692.5100058,0.9997628703
384,708.0162213,0.9997662865
385,633.6055855,0.9997693386
386,629.1603505,0.9997724346
387,621.9991661,0.9997754159
388,552.7685788,0.9997781184
389,619.3831673,0.9997811614
390,652.7042967,0.9997843315
391,538.3938438,0.9997870067
392,583.6512128,0.9997898275
393,584.9481632,0.999792734
394,607.9267418,0.9997958033
395,565.0338443,0.9997985567
396,534.9979442,0.9998012364
397,506.5807685,0.9998037049
398,503.7841175,0.9998062967
399,534.3195796,0.9998089644
400,531.7842378,0.9998116153
401,524.4724216,0.9998142967
402,519.3809096,0.9998168815
403,493.3212419,0.9998194116
404,485.8024687,0.9998218487
405,513.4589918,0.999824441
406,507.8467112,0.9998270821
407,448.8477579,0.999829341
408,481.8472896,0.999831843
409,503.3755189,0.9998343804
410,504.4280047,0.9998369835
411,426.1771698,0.9998392101
412,457.5777043,0.9998415193
413,436.89963,0.9998436571
414,420.8273122,0.9998456775
415,394.5617393,0.9998476207
416,416.6000273,0.9998495709
417,437.9966905,0.999851609
418,464.2230685,0.9998537358
419,480.9694617,0.9998560027
420,390.8122706,0.9998578134
421,411.1704024,0.999859689
422,434.3538535,0.9998616789
423,389.8509298,0.9998634291
424,377.4180316,0.9998651281
425,383.7781969,0.9998668557
426,360.3177546,0.999868446
427,347.3601354,0.9998700082
428,372.6672242,0.999871659
429,424.4334314,0.9998735187
430,421.1421287,0.9998753321
431,387.5090697,0.9998770037
432,349.2467613,0.9998785842
433,432.9383522,0.9998804414
434,369.8950829,0.9998820666
435,334.8205549,0.9998834842
436,321.6244283,0.9998848691
437,325.9915964,0.9998862857
438,388.4247418,0.9998879303
439,375.1957787,0.9998895548
440,300.3330415,0.9998908288
441,301.9795876,0.9998921121
442,365.005895,0.9998936532
443,339.6739612,0.9998950425
444,280.1835439,0.9998962578
445,295.4981083,0.9998974936
446,301.5876205,0.9998987705
447,329.9427895,0.9999001424
448,324.7623437,0.9999014421
449,317.922126,0.9999028199
450,310.931498,0.999904114
451,306.8698624,0.9999053949
452,302.2508024,0.9999066311
453,301.7945241,0.9999078739
454,298.1899307,0.999909115
455,288.5553585,0.9999102756
