freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.97445357e+11,0.9269441848
1,971877019.9,0.9414322203
2,337443662.8,0.9514929496
3,169310660.1,0.9578028499
4,102965927,0.9624076733
5,49745455.42,0.9661155186
6,37540919.19,0.9686338658
7,16240329.02,0.9700864599
8,11185892.08,0.9712537179
9,9578880.048,0.9722532827
10,7888132.771,0.9732528023
11,6827238.016,0.9740670063
12,5399177.554,0.9748718764
13,6147855.419,0.9759258256
14,4871639.907,0.9767246771
15,3256318.326,0.977307191
16,3347877.687,0.9779060837
17,2608813.183,0.9784699929
18,2125427.611,0.9789452578
19,2878320.437,0.9795888764
20,1988518.589,0.9800483489
21,1781228.514,0.9805263076
22,1741397.839,0.980967619
23,1412996.631,0.9813362377
24,1263707.319,0.9816941678
25,1050484.58,0.9820230249
26,1191373.165,0.9824137476
27,1069714.695,0.9827406514
28,1257218.305,0.9831342271
29,844862.2199,0.9834364973
30,859711.9598,0.9837376723
31,819767.1195,0.9840554051
32,630840.6385,0.9842905079
33,636012.5894,0.9845370195
34,646445.0803,0.9848116664
35,630172.1175,0.9850559142
36,499869.5271,0.9852720132
37,533225.0118,0.9854985578
38,528993.1877,0.9857509048
39,518473.3183,0.9859905045
40,472142.9455,0.9861981363
41,396049.7874,0.986398873
42,424066.1371,0.9866074881
43,345858.1023,0.9867930969
44,336705.3195,0.9869662648
45,331811.0703,0.9871344423
46,332976.6746,0.987318102
47,343810.2245,0.9875051744
48,359487.4253,0.9877141745
49,330007.9082,0.9879011162
50,334778.9115,0.9881107231
51,303545.1345,0.9882939868
52,277200.2728,0.9884551465
53,277851.7946,0.988633253
54,309048.8546,0.9888198396
55,281423.7028,0.9890170168
56,211752.1649,0.9891527526
57,228246.9699,0.9893058669
58,219847.6631,0.9894549854
59,200289.1985,0.9895923306
60,232007.6377,0.9897618021
61,204816.6973,0.9899098851
62,167658.737,0.9900323525
63,195426.5003,0.9901780163
64,202846.2881,0.9903246747
65,166325.8929,0.9904585658
66,160411.0433,0.9905781304
67,188852.2922,0.9907273398
68,174650.1129,0.9908744408
69,133840.7302,0.9909781912
70,145138.5403,0.9910993539
71,157447.0515,0.9912249241
72,135873.8123,0.9913464546
73,155668.2541,0.9914810487
74,134054.5058,0.9915969552
75,137719.4752,0.99171911
76,141906.7782,0.9918460366
77,135472.1586,0.9919712468
78,115040.1047,0.9920732854
79,137796.5114,0.992200644
80,125016.6826,0.9923217817
81,125820.0855,0.9924390089
82,123877.015,0.9925627356
83,133953.4958,0.9926885392
84,126603.4119,0.992814989
85,124063.8413,0.9929416766
86,125027.8886,0.9930684167
87,112549.6209,0.9931841854
88,106375.1711,0.993288053
89,95986.41341,0.9933953701
90,90379.39109,0.9934883345
91,89730.17185,0.993584644
92,87860.66081,0.9936796018
93,84322.25725,0.9937713639
94,87873.78491,0.9938709208
95,83047.26544,0.9939606764
96,73416.13427,0.9940427589
97,75718.10728,0.9941319302
98,76398.54118,0.9942184862
99,82403.75163,0.9943173736
100,83265.20784,0.9944117091
101,76165.33736,0.9945059488
102,73962.60105,0.9945947065
103,72343.77219,0.9946788255
104,66491.98408,0.9947620875
105,68235.07442,0.994843972
106,68242.78923,0.9949324783
107,77860.70068,0.9950299763
108,60992.05778,0.995105442
109,64500.31072,0.9951876523
110,65712.74705,0.9952718977
111,60656.84136,0.9953532782
112,56398.80784,0.995426844
113,53544.87959,0.9954978846
114,52447.19733,0.9955705961
115,52989.66343,0.9956416899
116,47969.62905,0.9957056911
117,50656.06642,0.9957751643
118,49477.19692,0.9958444959
119,45211.50596,0.995908187
120,49831.47775,0.995978015
121,46664.76244,0.9960420143
122,43928.37809,0.9961052076
123,43839.31734,0.9961725206
124,46721.23951,0.9962379903
125,43741.77929,0.9963038494
126,39951.00234,0.9963601299
127,38358.80406,0.9964184561
128,38686.66753,0.9964778575
129,35647.75477,0.9965302015
130,40587.63046,0.9965937318
131,37561.04153,0.996650285
132,34932.69896,0.9967065261
133,35813.8898,0.9967628513
134,31044.99547,0.9968091309
135,33164.47452,0.996863514
136,32789.60213,0.9969155716
137,35429.6731,0.996973141
138,34102.24108,0.9970280451
139,34648.75902,0.9970830543
140,29576.17166,0.9971333169
141,31880.97989,0.9971851201
142,25550.92286,0.9972277803
143,25641.07564,0.9972707821
144,28158.44624,0.9973186354
145,25558.65896,0.9973632135
146,26748.71041,0.9974084717
147,27297.65382,0.9974548621
148,23535.52261,0.9974966133
149,22476.07067,0.99753615
150,23029.99609,0.9975768328
151,23150.46815,0.9976165205
152,19926.30536,0.9976527602
153,18758.10333,0.9976858966
154,18972.44796,0.9977212501
155,20881.59917,0.9977586046
156,18795.1691,0.9977927871
157,18634.77959,0.9978282058
158,18320.63446,0.9978609791
159,18812.71629,0.9978960349
160,16459.13551,0.9979268277
161,17204.05134,0.9979606811
162,15924.73726,0.9979910676
163,16253.94941,0.9980212342
164,17504.10097,0.9980551562
165,16235.40156,0.9980863775
166,14782.91191,0.9981161278
167,15307.58847,0.9981454508
168,15947.23174,0.9981758802
169,14616.91551,0.9982057323
170,14489.20647,0.9982347835
171,15074.56134,0.9982651208
172,13955.62646,0.9982927902
173,13059.22124,0.9983198503
174,12552.33348,0.9983457666
175,13663.03064,0.9983732632
176,13016.44851,0.9984002347
177,12197.55377,0.998424873
178,12197.00087,0.9984510557
179,11897.02704,0.9984762397
180,10797.10075,0.998498532
181,10998.66977,0.9985219783
182,11886.19002,0.9985478481
183,11400.39891,0.9985728306
184,11336.36096,0.9985964053
185,10000.91742,0.9986181719
186,9987.376266,0.9986405046
187,9578.726989,0.9986614237
188,9205.625415,0.9986817339
189,9709.525322,0.9987028663
190,9132.419885,0.9987231511
191,9299.864938,0.9987444316
192,9190.23183,0.9987645708
193,8791.929025,0.9987850168
194,9078.840496,0.9988052502
195,7690.729997,0.9988231353
196,8306.515563,0.9988424524
197,7947.474975,0.9988605791
198,7229.561073,0.9988775533
199,7796.509534,0.9988954519
200,6816.890756,0.9989119146
201,7132.680595,0.9989283424
202,7185.706578,0.9989449459
203,6864.414086,0.9989619326
204,6559.507935,0.9989774314
205,6393.222707,0.9989931568
206,5979.228814,0.99900724
207,5969.823239,0.999021746
208,5935.915383,0.9990363908
209,5639.96042,0.9990500952
210,6008.959395,0.9990647859
211,5439.671407,0.9990784497
212,5509.291637,0.9990921651
213,5467.196654,0.9991058573
214,5387.227249,0.9991193492
215,5238.25786,0.9991322728
216,4942.604471,0.9991450196
217,4610.929298,0.9991568422
218,4813.190921,0.9991690041
219,4622.597046,0.9991809256
220,4520.944209,0.9991925849
221,4396.153837,0.9992040207
222,4442.946677,0.99921581
223,4410.817932,0.9992271196
224,3795.840073,0.9992372484
225,3959.618044,0.9992475487
226,3952.374452,0.9992580363
227,3673.076411,0.999267728
228,4102.861173,0.999278829
229,3369.215908,0.9992882212
230,4032.668341,0.9992987415
231,3784.725837,0.9993088971
232,3984.406458,0.9993196776
233,3747.843741,0.9993299577
234,3512.243416,0.9993398534
