freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.14639838e+11,0.6807144015
1,1172223693,0.7104553687
2,706708890.2,0.7463157699
3,800499018.5,0.7970902408
4,434120732.7,0.8301330054
5,212841213.5,0.8571334133
6,165419960.4,0.8760196322
7,65594561.42,0.8860049911
8,64854610.75,0.8975231613
9,49137804.85,0.9062500288
10,30876078.65,0.9129086707
11,12863343.85,0.91551956
12,14592996.15,0.9192220088
13,10734642.49,0.9223540684
14,12504335.54,0.9258438472
15,9756960.558,0.9288144213
16,14632853.69,0.9332694948
17,12265674.08,0.9377818577
18,10600230.94,0.9418159996
19,7433342.781,0.9446449154
20,5960590.873,0.9469889586
21,3648585.796,0.9486552143
22,4438477.514,0.9505695916
23,3188770.022,0.9519854045
24,3187906.541,0.9535221564
25,2922471.738,0.9550792482
26,2822449.711,0.9566546578
27,2630798.023,0.9580229724
28,2508464.409,0.9593594812
29,2598513.612,0.9609417521
30,2070250.274,0.9621760935
31,1860631.434,0.9634034714
32,1680363.325,0.9644693011
33,1118406.289,0.9652070652
34,1115470.961,0.9660136457
35,900165.4464,0.9666074458
36,849958.336,0.9672328204
37,853377.585,0.9678498851
38,840746.5235,0.9685324747
39,932537.329,0.969265928
40,869824.073,0.9699169536
41,1008517.181,0.9707869287
42,719955.7919,0.9713897163
43,757742.1692,0.9720818159
44,651794.3036,0.9726523403
45,569718.382,0.9731437953
46,490088.4449,0.973603862
47,451393.3767,0.9740218777
48,490687.839,0.974507406
49,515850.6325,0.9750047445
50,422701.6751,0.9754551751
51,469381.5579,0.9759374844
52,536486.3603,0.9764683296
53,562801.8481,0.9770823299
54,415411.8746,0.9775091831
55,406741.2944,0.9779942043
56,433885.0175,0.9784675601
57,289943.1094,0.978798592
58,267689.4602,0.9791076125
59,294645.6511,0.979451489
60,256376.7001,0.9797702162
61,250720.7004,0.9800787314
62,284117.4818,0.980431946
63,314205.7647,0.9808305381
64,279772.3482,0.9811748017
65,268053.8303,0.9815420505
66,244155.217,0.9818517786
67,189548.2736,0.9821066613
68,196304.5724,0.9823880609
69,184921.0982,0.9826320297
70,176447.8234,0.9828827266
71,209456.5691,0.9831670368
72,198497.3645,0.9834692063
73,288448.0696,0.9838936696
74,266124.181,0.9842852825
75,245757.0718,0.9846562771
76,230990.017,0.9850079096
77,207578.5692,0.9853344364
78,159146.0374,0.9855746831
79,162941.42,0.9858309944
80,127517.1967,0.9860412883
81,131764.0725,0.9862502283
82,129165.1747,0.9864697942
83,131689.2873,0.9866802862
84,126170.1742,0.9868947609
85,123956.9331,0.9871101908
86,142708.0523,0.9873563987
87,131417.9074,0.9875864625
88,113929.0872,0.9877757929
89,139054.139,0.9880403929
90,112226.5302,0.9882368597
91,106363.333,0.988431158
92,103228.4251,0.9886210392
93,98523.98084,0.9888035167
94,95794.7242,0.9889882307
95,97648.84547,0.9891678487
96,107830.1287,0.9893730338
97,93506.48763,0.9895604528
98,95243.75326,0.9897441043
99,99965.75291,0.9899482742
100,82817.61679,0.9901079654
101,79067.83764,0.9902744686
102,82129.41761,0.9904422096
103,77146.65494,0.9905948805
104,81245.12792,0.99076803
105,61272.51275,0.9908931729
106,64435.78307,0.9910354028
107,62155.61829,0.9911678687
108,72420.05918,0.9913203729
109,74844.65152,0.99148273
110,82033.72367,0.9916617228
111,68610.97997,0.991818391
112,72435.17603,0.9919791969
113,77934.44679,0.9921551772
114,60326.51204,0.9922975201
115,52770.30868,0.9924180172
116,55419.43444,0.9925438604
117,55936.47833,0.9926744257
118,44511.24232,0.9927805811
119,52397.52323,0.9929062093
120,48951.61265,0.9930229546
121,54266.95351,0.9931496229
122,53568.82223,0.9932807776
123,50456.6036,0.9934126336
124,44952.16988,0.9935198406
125,44588.58449,0.9936340994
126,42346.89334,0.9937356302
127,39524.31352,0.9938379146
128,38115.88191,0.9939375211
129,39811.32066,0.9940370129
130,40497.37998,0.9941448979
131,37272.68572,0.9942404096
132,37129.97727,0.9943421499
133,42186.85141,0.9944550707
134,39939.95091,0.994556404
135,35574.32062,0.9946556868
136,34428.16877,0.9947487136
137,35305.42324,0.9948463502
138,30789.03393,0.9949307156
139,26359.18713,0.9950019396
140,26775.96522,0.9950793848
141,25626.99483,0.9951502558
142,26635.25889,0.9952259425
143,28272.55227,0.9953066404
144,30121.56801,0.9953937622
145,28879.31331,0.9954794892
146,28905.24532,0.9955627263
147,29210.921,0.9956472142
148,27321.88337,0.9957297044
149,23102.58874,0.9957988695
150,20696.39596,0.9958610935
151,22104.01991,0.9959255867
152,20841.66317,0.9959900981
153,19712.9969,0.9960493655
154,23495.51498,0.9961238798
155,23448.18386,0.9961952694
156,23756.37357,0.9962688028
157,22147.83517,0.9963404478
158,18969.42899,0.9963982015
159,19795.63218,0.9964609819
160,17812.65265,0.9965176994
161,16123.91219,0.9965716988
162,17366.8163,0.9966280982
163,16982.20813,0.9966817406
164,14995.85379,0.9967312012
165,16127.28056,0.9967839844
166,14921.00916,0.9968350909
167,16234.72181,0.9968880198
168,14290.70928,0.9969344294
169,15197.88061,0.9969872555
170,13375.73596,0.9970328996
171,13958.67791,0.99708071
172,12294.65066,0.997122197
173,12353.86339,0.9971657645
174,12254.72421,0.9972088269
175,11684.96093,0.9972488495
176,11373.29508,0.9972889589
