freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.015318471e+11,0.8898324453
1,577722648.4,0.9000747483
2,187321919.7,0.906716717
3,377420505.6,0.9234447058
4,174812208.9,0.932742314
5,29738346.51,0.9353784332
6,51051052.72,0.9394512554
7,41389858.95,0.9438539993
8,26238654.66,0.9471102499
9,24979527.38,0.9502102413
10,16102167.55,0.952636748
11,9243034.619,0.953947688
12,13306436,0.9563067533
13,15585957.75,0.959484429
14,5340004.86,0.9605258169
15,8790449.982,0.9623959417
16,6409091.625,0.9637594443
17,3820202.044,0.9647414919
18,5333874.184,0.9661599361
19,5279813.921,0.967564004
20,3355517.74,0.9684860858
21,3307708.715,0.9695416338
22,2725102.218,0.9703629492
23,3026899.8,0.9713020545
24,2965260.169,0.9723008916
25,2421795.779,0.9732025354
26,2328522.562,0.9741107352
27,1873234.906,0.9747915427
28,2095270.756,0.97557162
29,1208012.703,0.9760856175
30,1695785.594,0.9767921254
31,1094600.771,0.977296679
32,939047.7135,0.9777128827
33,742864.9259,0.9780553045
34,837449.2275,0.978478442
35,1055714.033,0.9789650709
36,938742.198,0.9794477101
37,750264.5779,0.9798267959
38,949425.8176,0.9803654243
39,748591.3167,0.9807768436
40,721811.3247,0.9811543497
41,769453.9782,0.9816181594
42,652551.9103,0.9819999341
43,675513.1041,0.9824310704
44,645119.3584,0.9828256525
45,585730.0906,0.9831787175
46,560946.7503,0.9835466783
47,610358.2841,0.9839416409
48,461455.1521,0.9842607009
49,411061.2943,0.9845376298
50,381857.9953,0.9848219642
51,401542.2453,0.9851102774
52,366815.5725,0.9853639016
53,386681.6636,0.9856586831
54,436365.2616,0.9859719997
55,318817.1782,0.9862376546
56,256594.8671,0.9864332662
57,319452.397,0.9866881234
58,288353.6356,0.9869207262
59,269907.0416,0.9871408416
60,223963.6808,0.9873354008
61,278922.7954,0.9875752311
62,242459.1129,0.9877858575
63,216131.7731,0.9879774449
64,230846.9403,0.9881759373
65,220807.1833,0.9883873277
66,213297.2373,0.9885764024
67,198457.9327,0.9887628783
68,189146.4258,0.9889523414
69,186174.0555,0.9891239744
70,210433.2034,0.9893328947
71,143709.9815,0.9894692019
72,179798.3771,0.989660458
73,181302.9093,0.9898468859
74,162244.7943,0.990013717
75,167172.2135,0.9901900604
76,182198.4202,0.9903838695
77,162752.1714,0.9905627639
78,127240.7271,0.9906969852
79,171716.9376,0.9908857335
80,128028.6658,0.9910332697
81,103738.2816,0.9911482166
82,122846.1217,0.9912941365
83,145231.2253,0.991456347
84,127657.1512,0.9916079815
85,110345.9693,0.9917419878
86,127115.4098,0.9918952325
87,102308.4961,0.9920203848
88,100694.6452,0.9921373148
89,109819.8353,0.9922833375
90,95568.84675,0.9924002453
91,90373.40357,0.9925156043
92,106094.2934,0.992651971
93,94871.29255,0.9927747533
94,86084.53686,0.9928907424
95,81995.58306,0.9929961341
96,82177.61411,0.9931054021
97,75863.29021,0.9932116541
98,90822.72836,0.9933340273
99,68039.80279,0.9934311313
100,89010.11538,0.9935510623
101,68111.76295,0.9936512878
102,77847.13377,0.9937623885
103,72418.7279,0.9938625322
104,58259.27577,0.9939492928
105,71258.45652,0.9940509904
106,53470.52384,0.9941334634
107,72477.76311,0.9942413984
108,56567.48319,0.9943246367
109,61180.06342,0.994417374
110,54228.20897,0.9945000542
111,65023.0518,0.9946038042
112,58211.63219,0.994694106
113,48826.8313,0.9947711478
114,56867.0924,0.9948649088
115,53563.25707,0.9949503737
116,53713.73304,0.9950356025
117,42729.25746,0.9951052959
118,62876.22584,0.9952100793
119,40698.82589,0.9952782648
120,51942.58533,0.9953648273
121,44814.97412,0.9954379225
122,48641.74709,0.99552114
123,37741.31102,0.995590058
124,55254.8336,0.9956821403
125,37265.83157,0.9957488687
126,41682.70339,0.9958187025
127,40419.78488,0.995891795
128,33189.32947,0.9959524007
129,36541.59899,0.9960162127
130,33992.0765,0.9960794896
131,39666.69984,0.9961505169
132,27202.97148,0.9962026026
133,31925.19111,0.996262315
134,28702.70749,0.9963132013
135,29041.9724,0.9963698379
136,25729.17666,0.9964184175
137,32223.84442,0.9964806879
138,20954.34588,0.9965208093
139,25851.69257,0.9965696202
140,23807.12127,0.9966177363
141,24925.59484,0.9966659033
142,24884.31654,0.9967153142
143,23863.19041,0.9967629089
144,20520.45243,0.9968043824
145,24081.67781,0.9968543341
146,21935.2754,0.9968984726
147,20122.00374,0.9969391407
148,21606.75215,0.996984725
149,20663.30275,0.9970279524
150,18238.04401,0.997066268
151,16679.9348,0.9971002751
152,17410.76083,0.997137933
153,16540.89783,0.9971726831
154,16065.37332,0.9972082855
155,16874.2139,0.9972441845
156,19528.6553,0.9972864232
157,15207.41697,0.9973207983
158,15903.03351,0.9973546312
159,15765.31598,0.9973895686
160,15532.63809,0.9974241281
161,16323.22587,0.9974623277
162,14392.50255,0.9974949883
163,13372.67049,0.9975245048
164,13786.98235,0.9975562802
165,15956.68215,0.9975927733
166,11422.53799,0.9976201118
167,14523.05206,0.9976531974
168,13676.3435,0.9976842329
169,14111.7356,0.997718508
170,12729.56533,0.9977488619
171,15756.75167,0.9977865738
172,12083.19495,0.9978150651
173,10194.60345,0.9978401876
174,13693.75572,0.9978738117
175,10825.72081,0.9978997218
176,10596.19685,0.997925834
177,11528.33379,0.9979535279
178,12611.06612,0.9979857232
179,9994.987183,0.9980108854
180,10678.15731,0.9980371049
181,12426.64094,0.998068609
182,9936.302785,0.9980943281
183,10269.29657,0.9981210912
184,11332.61136,0.9981491186
185,10329.90758,0.9981758565
186,9750.291873,0.9982017856
187,10538.23293,0.9982291562
188,9413.853865,0.9982538568
189,8289.037389,0.9982753121
190,8395.074147,0.9982974884
191,9433.054897,0.9983231592
192,8908.506689,0.9983463759
193,7757.615966,0.998367831
194,8439.142505,0.9983901985
195,7603.553993,0.9984112275
196,7819.882509,0.9984328549
197,7306.219161,0.998452673
198,7562.29834,0.998473789
199,7154.265729,0.9984933218
200,6271.813823,0.9985113348
201,7015.86326,0.9985305519
202,6509.26394,0.9985484391
203,6164.172862,0.9985665801
204,7049.35403,0.9985863888
205,6324.521041,0.9986048896
206,6852.218634,0.9986240837
207,6274.913381,0.9986422168
208,6406.136874,0.9986610131
209,5918.537443,0.9986781164
210,6819.820342,0.9986979452
211,5683.901575,0.9987149247
212,6881.111991,0.9987352976
213,6583.180847,0.9987549051
214,5871.891973,0.9987723942
215,5334.544289,0.9987880463
216,6462.314349,0.9988078667
217,5713.433403,0.9988252889
218,4928.804922,0.9988401001
219,6409.290036,0.9988597579
220,5128.386259,0.998875487
221,4963.847618,0.9988908435
222,6087.589992,0.9989100542
223,5346.39362,0.9989263572
224,3843.045178,0.9989385529
225,5065.7994,0.9989542248
226,4712.892316,0.9989690974
227,4048.570751,0.9989818018
228,4134.396428,0.9989951053
229,4085.355643,0.9990086494
230,4164.30883,0.9990215693
231,4270.195332,0.9990351962
232,4904.726446,0.9990509785
233,4362.296135,0.9990652087
234,4017.766462,0.9990786712
235,3734.310952,0.9990906211
236,3879.690345,0.9991033458
237,3506.200324,0.9991151563
238,3732.475881,0.9991271666
239,3515.541116,0.9991391332
240,3721.821919,0.9991512081
241,3133.249561,0.9991620957
242,3576.102999,0.9991743635
243,3179.959818,0.9991850187
244,3965.211792,0.9991986566
245,3206.600225,0.9992092589
246,3469.742357,0.9992216848
247,3111.776325,0.9992323322
248,3556.845512,0.9992443764
249,3269.266189,0.9992557076
250,2975.564909,0.9992659416
251,4006.00219,0.9992801459
252,2491.540682,0.9992888699
253,3784.305885,0.999302221
254,2828.914498,0.9993123519
255,3837.025204,0.9993261611
256,2457.390771,0.9993348527
257,3307.046063,0.99934652
258,2682.52117,0.9993563644
259,3570.840034,0.999369184
260,2767.525559,0.9993792423
261,2743.588687,0.9993892136
262,2729.566784,0.9993991581
263,2357.101265,0.9994078083
264,2792.558279,0.9994179576
265,2065.641706,0.9994257579
266,2639.005339,0.9994355128
267,2109.95925,0.9994432935
268,2734.346355,0.9994536675
269,1837.852676,0.9994604936
270,2392.460938,0.9994694432
271,1927.511681,0.9994768245
272,2266.95766,0.9994855056
273,1971.102743,0.9994929664
274,1913.612847,0.9995001247
275,1935.890497,0.9995077097
276,1956.07939,0.999515183
277,1829.380978,0.9995223181
278,1614.14361,0.999528528
279,1909.624176,0.9995359254
280,1737.359274,0.999542794
281,1811.010442,0.9995497933
282,1700.121564,0.9995564847
283,1875.46172,0.9995638494
284,1556.868202,0.9995701149
285,1453.320108,0.9995759122
286,1407.114088,0.9995814129
287,1201.990338,0.9995862502
288,1220.721163,0.9995911413
289,1473.695487,0.9995971243
290,1457.768111,0.9996031331
291,1456.911318,0.9996087897
292,1264.92425,0.999614127
293,1352.15644,0.9996196286
294,1205.092075,0.9996245638
295,1328.370427,0.9996299804
296,1175.490421,0.9996348987
297,1106.561278,0.9996395383
298,1222.373177,0.999644501
299,1036.797677,0.9996488022
300,1264.229353,0.9996540805
301,954.2467226,0.999658073
302,1316.60301,0.9996637684
303,1022.075933,0.9996679995
304,1225.209739,0.9996731475
305,1089.785234,0.999677881
306,1158.137233,0.9996827472
307,1120.778043,0.9996875656
308,1051.718859,0.9996919847
309,1081.814109,0.999696837
310,895.4695866,0.9997006551
311,1165.484592,0.9997057174
312,981.0609432,0.9997099265
313,1000.342821,0.9997142893
314,940.7578726,0.9997185173
315,1192.233201,0.9997237381
316,837.2086974,0.9997273894
317,876.06498,0.9997312645
318,945.5861062,0.999735489
319,892.2137115,0.9997394277
320,1006.493359,0.9997438619
321,823.5123008,0.999747541
322,981.3431032,0.9997520123
323,797.0241557,0.9997556155
324,932.8642194,0.9997597419
325,690.5064587,0.9997629003
326,786.0823431,0.9997664958
327,729.6263507,0.9997698655
328,773.201039,0.9997734295
329,708.9247658,0.9997766219
330,697.8543977,0.999779851
331,633.3394285,0.9997827311
332,614.0918486,0.9997855399
333,608.5370571,0.9997884529
334,591.5201468,0.9997911742
335,593.208449,0.9997939612
336,680.3272626,0.9997971092
337,599.9101127,0.9997998638
338,577.5728418,0.9998026849
339,578.590902,0.9998054032
340,584.2837437,0.9998082207
341,581.6723921,0.9998109586
342,578.8537535,0.9998136679
343,653.5977062,0.9998168892
344,605.4706452,0.9998197177
345,585.0883992,0.999822591
346,528.9946203,0.9998251138
347,643.4434596,0.9998282394
348,471.448431,0.999830517
349,584.3970413,0.999833304
350,503.2058803,0.9998357841
351,496.2351377,0.9998382343
352,508.2913802,0.9998407394
353,527.354959,0.9998433479
354,548.4894548,0.9998460025
355,415.3708137,0.9998480976
356,490.4548321,0.9998504888
357,408.7325638,0.9998525685
358,434.4989452,0.9998547138
359,396.7644881,0.9998566693
360,480.9808428,0.9998591336
361,393.3455856,0.9998610758
362,361.9450237,0.9998629238
363,377.7092453,0.9998647988
364,344.1697091,0.9998665805
365,375.239908,0.9998684997
366,369.3629316,0.9998703857
367,436.9257967,0.9998726011
368,328.474006,0.9998742869
369,418.9938135,0.9998764708
370,304.8847969,0.9998780384
371,333.1508934,0.9998797453
372,328.2933763,0.9998814419
373,311.3181237,0.999883059
374,283.7948075,0.9998845684
375,303.8837247,0.9998861389
376,334.7499706,0.9998878778
377,319.0832578,0.9998895748
378,296.9833524,0.9998911254
379,261.2591004,0.999892515
380,298.9459034,0.9998940625
381,299.3252661,0.9998956811
