freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.583620138e+11,0.7984613924
1,4216793931,0.8736244292
2,293004692.8,0.8840698638
3,248037142,0.8951228255
4,121118695.8,0.9015995345
5,70543554.11,0.9078866188
6,98073198.8,0.9157531776
7,39493644.44,0.919976949
8,35854924.82,0.9244506689
9,18488027.52,0.9267574722
10,33741025.04,0.9318695698
11,19510595.31,0.934651732
12,13315424.38,0.9370251649
13,18856799.31,0.9408905054
14,21432984.23,0.9450929043
15,9743998.301,0.9471771091
16,10476193.84,0.9494179277
17,6717216.386,0.9511540459
18,5111292.588,0.9525206538
19,3509878.497,0.9534590912
20,4181601.298,0.9546143951
21,3794323.121,0.9558317824
22,3730588.445,0.9569622242
23,3396586.912,0.9580217285
24,3478871.755,0.9591999148
25,3232165.328,0.9604097739
26,2495153.898,0.9613882314
27,2056316.649,0.962139622
28,2415739.925,0.9630438781
29,2375112.213,0.9640599333
30,3141394.09,0.965375801
31,3419553.737,0.9669605654
32,1846056.155,0.9677831998
33,1843623.225,0.968637612
34,1482238.148,0.9693905944
35,1274941.177,0.9699814555
36,1048167.475,0.97052327
37,1151756.318,0.9711083664
38,1383616.162,0.9718975672
39,1248759.541,0.9725875885
40,878406.7366,0.9730494796
41,1075118.703,0.9737010439
42,1052211.516,0.9743199702
43,990975.7007,0.9749558682
44,922972.4365,0.9755234517
45,1292326.291,0.9763066523
46,832981.9063,0.9768560151
47,755033.7728,0.9773472409
48,716918.6016,0.9778456161
49,583901.3263,0.9782411147
50,626755.3839,0.9787103269
51,743891.8491,0.9792473424
52,646153.6464,0.9796965244
53,493053.6431,0.980074431
54,482769.7745,0.9804229425
55,546065.4859,0.9808804145
56,548335.7616,0.9813006928
57,505799.7432,0.9817064003
58,413175.4254,0.9820414952
59,524213.1085,0.9824713162
60,488730.2807,0.982898178
61,407741.9711,0.9832506699
62,371268.5777,0.9835749395
63,361480.6366,0.9838971034
64,453437.1439,0.9842890987
65,355503.0415,0.9846312821
66,367111.5957,0.9849584646
67,310285.8823,0.9852515943
68,282831.7507,0.9855364327
69,260426.4947,0.9857778178
70,230145.8916,0.9860075454
71,273659.6932,0.986268513
72,219483.8593,0.9865032469
73,219033.4741,0.9867296907
74,196481.629,0.9869328197
75,208695.5752,0.9871541557
76,195391.0551,0.9873631228
77,176649.5632,0.9875583436
78,172595.6945,0.9877413933
79,136533.6993,0.9878922808
80,190620.5475,0.9881131347
81,165760.3828,0.9882977989
82,158572.3036,0.9884871745
83,146710.7158,0.9886519241
84,138370.5393,0.9888171737
85,128511.3017,0.9889740849
86,143096.7192,0.9891475294
87,104705.6427,0.9892763072
88,147057.9849,0.9894479999
89,119590.2403,0.9896078743
90,111434.0251,0.9897449274
91,107911.9266,0.9898834191
92,96873.12602,0.9900086073
93,114072.8884,0.9901570392
94,80534.28223,0.9902661371
95,103450.5707,0.9903998252
96,89685.66285,0.9905197216
97,92654.58183,0.9906501932
98,86816.30288,0.9907678012
99,87111.38327,0.9908927962
100,85824.71914,0.9910090609
101,84520.06128,0.9911341041
102,73459.13113,0.9912395097
103,74827.6006,0.9913435444
104,72770.02788,0.991452501
105,77976.87946,0.9915643891
106,63764.8762,0.9916632723
107,72677.30862,0.9917720902
108,60925.80711,0.9918622268
109,66333.72655,0.9919633201
110,67531.3736,0.9920668405
111,71431.15209,0.9921814319
112,78589.35888,0.9923040046
113,69728.82875,0.9924146223
114,70415.74617,0.9925313502
115,61621.75885,0.9926302051
116,59428.156,0.9927250114
117,56826.5632,0.9928181997
118,63518.6003,0.9929246264
119,61269.50057,0.9930278308
120,52445.06785,0.9931157036
121,52563.482,0.9932019009
122,53484.52879,0.9932938987
123,50490.42241,0.9933865963
124,47718.69086,0.9934665499
125,43513.58151,0.9935448871
126,45925.0524,0.9936222448
127,46934.91767,0.993707578
128,41675.15086,0.9937840912
129,38568.4331,0.9938518071
130,38831.50678,0.9939244838
131,46135.38808,0.994007541
132,39943.9409,0.9940844358
133,45574.96346,0.9941701397
134,39466.37984,0.9942404873
135,43247.82482,0.994325284
136,34696.7372,0.9943911498
137,35271.4413,0.9944596784
138,37701.08874,0.9945322555
139,45665.89656,0.9946189444
140,37660.85719,0.9946954718
141,42596.7801,0.9947782327
142,37445.4098,0.9948529874
143,38867.79513,0.9949309281
144,31591.33062,0.9949951222
145,30142.47547,0.9950579839
146,31142.17854,0.9951209878
147,28041.72145,0.9951779689
148,31657.24056,0.9952451183
149,27378.5739,0.995302704
150,26995.90781,0.9953597255
151,24222.51293,0.9954093777
152,23847.93481,0.9954612377
153,24547.42129,0.9955130874
154,26848.33369,0.9955729078
155,25490.91104,0.9956274319
156,24414.01525,0.9956805229
157,25387.25322,0.9957382192
158,26843.05291,0.9957956355
159,26164.685,0.9958539327
160,25728.36745,0.995911487
161,24043.98737,0.9959680591
162,24103.82113,0.9960230534
163,23052.18811,0.9960742102
164,21289.19261,0.9961235417
165,23527.84443,0.9961776413
166,19835.68293,0.9962253726
167,17766.52349,0.9962660663
168,19341.1324,0.9963101942
169,19817.11061,0.9963585873
170,19310.96859,0.9964048838
171,19305.3453,0.9964513389
172,19393.77082,0.9964973154
173,19781.42581,0.9965463265
174,21905.65078,0.9966004054
175,18534.26697,0.996645005
176,18370.72594,0.9966905209
177,15826.80596,0.9967287465
178,19313.08347,0.9967783184
179,18104.2752,0.9968241423
180,18586.88651,0.9968700281
181,17947.35289,0.9969157746
182,18751.09545,0.9969645726
183,16149.08481,0.9970068869
184,16235.02244,0.997047256
185,14096.21406,0.99708394
186,15473.44127,0.9971253114
187,13836.51531,0.9971614429
188,11859.84724,0.9971927299
189,12514.11558,0.9972252966
190,12163.96726,0.9972576027
191,12828.89605,0.9972927037
192,11902.89438,0.997323892
193,11464.19248,0.9973557699
194,11713.32578,0.9973869835
195,12467.65116,0.9974216517
196,12774.1085,0.997457172
197,12985.24246,0.9974925851
198,12522.79084,0.9975277414
199,13328.50482,0.9975643282
200,10874.76192,0.9975957301
201,12183.7455,0.9976292831
202,12413.48896,0.9976635794
203,11493.05012,0.9976975862
204,11393.86939,0.9977297763
205,10953.75459,0.9977619921
206,10481.99987,0.9977915126
207,10268.04881,0.9978213456
208,10273.47089,0.9978516522
209,9023.670239,0.9978778698
210,8410.428506,0.9979024556
211,8080.801329,0.9979267259
212,8670.09914,0.9979525344
213,8079.474148,0.9979767288
214,8060.28492,0.9980008657
215,7436.416802,0.998022803
216,8010.237297,0.998047504
217,7595.054541,0.9980707892
218,8172.952576,0.998095482
219,7907.359571,0.9981198657
220,8488.327457,0.9981460409
221,7666.435101,0.9981698867
222,8232.192886,0.9981960057
223,7102.103332,0.9982177797
224,7011.849715,0.9982401518
225,7307.192939,0.9982628802
226,6159.564308,0.9982824232
227,6449.504985,0.9983027712
228,5371.592608,0.9983201493
229,6108.325166,0.9983405097
230,5525.702276,0.9983577461
231,5450.518456,0.9983752338
232,5475.261485,0.9983929472
233,5429.865808,0.9984107558
234,5212.527632,0.9984283161
235,6244.497164,0.9984484069
236,5575.353016,0.998466792
237,6096.181517,0.9984874379
238,6184.491045,0.9985074458
239,5133.79096,0.9985250154
240,5798.474061,0.9985439295
241,6291.559241,0.99856591
242,6345.775686,0.998587797
243,5487.232527,0.9986062828
244,5683.498132,0.9986259363
245,4283.854103,0.9986401771
246,5249.693625,0.9986590791
247,4627.678417,0.9986749991
248,5158.121058,0.99869256
249,4701.494271,0.9987089434
250,5092.763272,0.9987265541
251,4401.636437,0.9987422457
252,4646.074637,0.9987586016
253,5028.977268,0.99877644
254,4153.051019,0.9987913934
255,4208.307605,0.9988066208
256,3901.156301,0.9988204934
257,4049.654705,0.998834858
258,3901.5869,0.9988492537
259,4586.199092,0.9988658076
260,4111.687458,0.9988808319
261,3586.473488,0.9988939371
262,3846.404808,0.9989080264
263,3809.330987,0.9989220817
264,3528.906799,0.9989349766
265,3596.886188,0.9989486327
266,2961.124701,0.9989596376
267,3754.941675,0.9989735592
268,3010.154073,0.9989850413
269,2931.968607,0.9989959901
270,2998.602875,0.9990072679
271,2986.34598,0.9990187657
272,3184.955605,0.9990310282
273,2673.195101,0.9990412012
274,2701.095621,0.9990513601
275,2793.211521,0.9990623633
276,2887.146473,0.9990734534
277,2808.969564,0.9990844686
278,2676.253956,0.9990948202
279,2574.288202,0.9991048463
280,2935.87091,0.9991165161
281,2715.436768,0.9991270677
282,3376.935034,0.9991404305
283,2734.73247,0.9991512277
284,2991.225492,0.9991633308
285,2872.714768,0.999174852
286,2443.54915,0.999184456
287,2502.377213,0.9991945811
288,2406.225469,0.9992042743
289,2387.934968,0.9992140215
290,2123.566649,0.9992228221
291,2197.981199,0.9992314021
292,1989.311111,0.9992398413
293,2504.543925,0.9992500868
294,1916.433983,0.9992579778
295,2177.973753,0.9992669068
296,2062.467777,0.9992755828
297,2021.428192,0.9992841042
298,1968.568062,0.9992921396
299,2398.466797,0.9993021435
300,1866.171324,0.9993099772
301,2351.746728,0.9993198701
302,2086.052359,0.9993289428
303,2182.805385,0.9993380278
304,2051.471264,0.9993466941
305,1806.275007,0.9993545822
306,2082.474733,0.9993633796
307,1642.244493,0.9993704781
308,2078.756429,0.9993792597
309,1571.31333,0.9993863458
310,1991.310416,0.9993948822
311,1803.520106,0.9994027583
312,1721.320822,0.9994101833
313,1566.491564,0.9994170522
314,1741.686784,0.9994249221
315,1452.045971,0.999431315
316,1589.32062,0.999438284
317,1562.157183,0.9994452313
318,1612.056446,0.9994524724
319,1476.381857,0.9994590251
320,1376.872347,0.9994651239
321,1341.783508,0.9994711509
322,1233.478151,0.9994768014
323,1412.019125,0.9994832194
324,1261.348618,0.999488829
325,1283.74335,0.9994947326
326,1169.307574,0.99950011
327,1245.050077,0.9995058912
328,1094.085638,0.9995109616
329,1179.649195,0.9995163025
330,1082.737989,0.9995213396
331,1130.881045,0.99952651
332,1012.110753,0.9995311645
333,1122.220184,0.9995365654
334,1028.559808,0.999541323
335,999.4087588,0.9995460437
336,1055.459369,0.999550954
337,964.3603278,0.9995554061
338,1096.18695,0.9995607891
339,1093.487962,0.9995659542
340,1156.229704,0.99957156
341,979.5256856,0.9995761956
342,1051.008521,0.9995811413
343,866.2340081,0.9995854337
344,1026.685243,0.9995902559
345,887.2916086,0.9995946368
346,1042.886775,0.9995996373
347,883.6995277,0.9996039533
348,800.9771608,0.9996078438
349,725.9610598,0.9996113247
350,814.3428083,0.9996153599
351,816.1737955,0.9996194116
352,749.8097503,0.9996231271
353,827.9596601,0.9996272446
354,822.2514204,0.9996312458
355,786.823981,0.9996352359
356,788.0311393,0.9996390986
357,868.8410156,0.9996435433
358,788.0196207,0.9996474552
359,974.7076135,0.9996522851
360,775.9591061,0.9996562824
361,944.8505604,0.9996609728
362,757.6418266,0.9996648621
363,842.5754954,0.9996690674
364,710.4725069,0.9996727652
365,1007.941413,0.9996779485
366,795.6862878,0.9996820332
367,765.0584174,0.9996859333
368,759.3830986,0.9996898519
369,733.8449465,0.9996936976
370,833.1718985,0.9996980044
371,724.0173141,0.9997017341
372,761.9136711,0.9997056929
373,669.7836787,0.9997091909
374,734.284975,0.9997131174
375,634.4629553,0.999716414
376,739.5181207,0.9997202763
377,642.9192484,0.9997237142
378,777.0294904,0.9997277931
379,568.4682372,0.999730833
380,638.7081265,0.9997341573
381,663.4439753,0.9997377642
382,662.6104735,0.9997413369
383,517.4338832,0.9997441039
384,525.2534654,0.9997469313
385,609.1954574,0.9997502052
386,544.6039036,0.9997531951
387,542.0234224,0.9997560935
388,471.7006132,0.9997586663
389,579.0903732,0.9997618404
390,401.7517224,0.9997640174
391,509.7770186,0.9997668433
392,464.3971797,0.9997693473
393,567.3174689,0.9997724922
394,432.4652799,0.9997749281
395,505.5405558,0.9997776765
396,419.5860233,0.9997800212
397,521.6895859,0.9997828574
398,469.051934,0.9997855495
