freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.348012147e+11,0.7358757104
1,788566844.7,0.7556468922
2,404324849.2,0.7759215972
3,273183654.7,0.7930449512
4,308544787.2,0.8162527304
5,113012678.8,0.8304201674
6,88090366.69,0.8403589925
7,62630193.1,0.8497806891
8,40065800.53,0.8568124806
9,36131721.59,0.8631538172
10,23978737.55,0.8682640344
11,17001101.87,0.8716740877
12,16278743.07,0.8757555425
13,16350557.36,0.8804699217
14,14256944.39,0.8844019194
15,13180947.17,0.8883676388
16,11112058.25,0.8917108967
17,8448421.08,0.8947823058
18,7044072.361,0.8974314718
19,7995652.777,0.9004385125
20,6212933.54,0.9028529864
21,5625873.773,0.9053919508
22,5971559.154,0.9079372027
23,3883976.653,0.9096413565
24,4280612.952,0.9116805276
25,3638835.842,0.913596441
26,2935901.493,0.9152158565
27,2622668.867,0.9165638613
28,2978595.943,0.9181321463
29,3282364.177,0.9201072601
30,2950059.199,0.921845432
31,2606791.557,0.9235447465
32,1893198.141,0.9247314171
33,2076563.573,0.9260850868
34,1912508.437,0.9274516897
35,1729088.026,0.9285788471
36,1580518.366,0.9297280366
37,1737858.598,0.9309698416
38,1517837.441,0.9321876231
39,1240613.097,0.9331518787
40,1408241.383,0.9341934601
41,1254469.432,0.9352628427
42,1452094.789,0.9364642853
43,1495301.785,0.9378139487
44,1129258.488,0.9387907508
45,921089.0229,0.9395759406
46,1100970.241,0.9405972831
47,902453.7833,0.9414231536
48,983117.051,0.9423844647
49,896731.2747,0.943238823
50,644378.0857,0.9439173766
51,795570.2247,0.9447252209
52,722833.4531,0.9454320216
53,656867.2019,0.9461401958
54,668858.4777,0.9468193735
55,719883.5298,0.9476676827
56,613469.9395,0.9483290701
57,605008.7487,0.9490116732
58,575750.2545,0.949668483
59,645925.0037,0.9504134449
60,628809.0699,0.9511859636
61,512377.8233,0.9518090183
62,538708.6117,0.9524708447
63,469774.4628,0.953059761
64,443314.3837,0.9535988341
65,450095.9094,0.9542082208
66,513956.9867,0.9548525248
67,494294.6134,0.9555093592
68,384817.7479,0.9560544862
69,386111.1603,0.9565578822
70,439382.988,0.9571747973
71,458596.3553,0.9577899437
72,385426.3661,0.9583697552
73,342913.845,0.9588684181
74,295896.3908,0.9592987087
75,289489.9744,0.9597305703
76,285060.4651,0.9601593975
77,329590.1995,0.9606717397
78,308006.1053,0.9611312237
79,316505.7193,0.9616232263
80,327796.8454,0.9621574365
81,301933.2753,0.9626305716
82,299410.4389,0.9631335344
83,275297.7761,0.9635683823
84,290169.1553,0.9640558211
85,259643.6153,0.9645017467
86,259096.2167,0.964943484
87,218774.3714,0.9653219611
88,225721.4178,0.9656926488
89,248821.653,0.9661605386
90,235201.1043,0.9665674338
91,233843.4599,0.9669895693
92,245621.3422,0.9674360454
93,238773.0647,0.9678730664
94,216871.3428,0.9682863135
95,205405.5051,0.9686596876
96,210293.2322,0.9690551277
97,198306.7878,0.9694479162
98,196159.6882,0.9698216974
99,181782.5449,0.9701885928
100,191849.1476,0.9705541603
101,149319.6686,0.9708648946
102,167435.7476,0.9712028335
103,163833.6572,0.971523233
104,189749.0338,0.9719228583
105,182328.2085,0.972290855
106,174784.8656,0.9726721114
107,167000.7016,0.973023827
108,170297.7997,0.9733782169
109,172024.9345,0.9737469835
110,169227.4254,0.9741118747
111,137018.9691,0.9744210589
112,140063.8134,0.9747283345
113,135440.8278,0.9750305618
114,138555.4275,0.9753536348
115,138001.3067,0.9756650357
116,129659.5912,0.975955988
117,127209.9305,0.9762494169
118,125564.1774,0.976545346
119,129947.4262,0.9768532346
120,129487.6736,0.9771584107
121,130239.9582,0.9774588288
122,114691.7811,0.9777363229
123,119994.4104,0.9780462021
124,115672.0699,0.9783188175
125,110746.0633,0.97859926
126,101991.3341,0.9788409113
127,106045.4372,0.9791121092
128,113945.2486,0.9794063667
129,106438.7904,0.9796692302
130,105342.2107,0.9799465532
131,103938.3352,0.9802097564
132,103012.9657,0.9804886957
133,95796.06138,0.9807420885
134,87855.30985,0.980962362
135,100918.7401,0.9812406911
136,93536.85171,0.9814904531
137,80327.53409,0.9817099787
138,89034.28415,0.9819510664
139,87063.2174,0.9821835426
140,81933.36164,0.9824177279
141,86365.78312,0.9826537553
142,93595.95451,0.9829165818
143,82345.81847,0.9831488492
144,73811.2292,0.9833598195
145,78549.76893,0.983590242
146,68873.75379,0.9837862365
147,73505.48345,0.9839963329
148,84370.06216,0.9842480597
149,73850.47528,0.9844665486
150,69520.85296,0.9846730998
151,72467.1917,0.9848820454
152,70888.20783,0.9850988797
153,60441.96154,0.9852784568
154,62479.37236,0.9854742695
155,68192.38017,0.9856794383
156,66572.42574,0.9858830713
157,63123.48882,0.9860848593
158,62362.89342,0.986272489
159,60536.18182,0.9864622117
160,55854.75868,0.9866379628
161,53039.74829,0.9868135001
162,57719.25224,0.9869987358
163,55741.62441,0.9871727334
164,51292.02416,0.9873399145
165,52036.2435,0.9875082167
166,55807.28118,0.9876971109
167,54656.50121,0.9878732027
168,49268.078,0.9880313165
169,43053.11803,0.9881791999
170,50231.16778,0.9883485906
171,44030.47481,0.9884976232
172,49320.44424,0.9886620879
173,43904.29118,0.9888150965
174,38833.51056,0.9889499464
175,44370.72594,0.9891001307
176,42860.81477,0.9892495027
177,44613.93107,0.9894010694
178,47266.96537,0.9895717226
179,42192.52931,0.9897219392
180,45244.84239,0.9898790525
181,45008.96267,0.9900404249
182,44005.42909,0.9902015092
183,40728.41651,0.990351619
184,38593.82283,0.9904866042
185,38754.10425,0.9906284657
186,35882.82007,0.9907634154
187,37902.16425,0.9909026335
188,34131.05914,0.9910292836
189,33001.61599,0.9911500879
190,36009.24961,0.9912846102
191,32124.53395,0.9914082446
192,33903.49227,0.9915332003
