freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.750533069e+11,0.7743959822
1,1718242551,0.8130968477
2,576641455.3,0.839072835
3,144039960.2,0.8471835513
4,168999142.3,0.8586029165
5,113823242.3,0.8714214152
6,49530107.97,0.8764415802
7,47893661.4,0.8829139824
8,47139687.84,0.8903462434
9,23358770.77,0.8940290951
10,32175904.42,0.9001891686
11,24428034.2,0.9045908106
12,16879815.39,0.9083927387
13,14362119.1,0.9121128212
14,13468247.05,0.9154496964
15,10526207.46,0.918294743
16,12064299.33,0.9215555084
17,10911374.69,0.9251190652
18,6756542.294,0.9274017816
19,8929367.884,0.9304185931
20,7366025.073,0.9329901794
21,6828003.821,0.9357584113
22,5721703.626,0.9379492504
23,5277619.377,0.9400294851
24,3888195.762,0.9416934261
25,3760271.849,0.9434720116
26,4091725.874,0.9454995328
27,2408258.294,0.946611503
28,2534038.498,0.9478100876
29,3124345.8,0.9494989978
30,2369885.791,0.9507533846
31,2432138.857,0.952177673
32,2195455.578,0.9534139075
33,1652123.499,0.9543814099
34,2028762.266,0.9556837135
35,1570298.528,0.9566032983
36,1394025.791,0.9575138508
37,1454043.417,0.9584472307
38,1195507.383,0.9593088957
39,1087341.908,0.9600681094
40,1134474.48,0.9608219039
41,1217218.204,0.9617540491
42,1190177.02,0.9626386792
43,1064294.155,0.9635016585
44,861686.8613,0.964171242
45,822669.8914,0.9648012423
46,826574.8162,0.965490085
47,864905.5152,0.9662011311
48,719349.0717,0.9668330197
49,763568.6425,0.9674865532
50,745788.5473,0.96819206
51,694483.735,0.9688255698
52,644638.0016,0.9693918309
53,619800.9419,0.9699921151
54,547241.7043,0.9704913103
55,540021.1076,0.9710629795
56,597746.8239,0.971641904
57,499199.3855,0.9721478717
58,464350.6949,0.9726237476
59,453348.1847,0.9730934534
60,415244.0606,0.9735517384
61,437605.0392,0.9740297741
62,466003.8303,0.9745440803
63,390519.635,0.9749838741
64,405696.2121,0.9754270528
65,404860.5049,0.9759194724
66,378322.9649,0.9763455306
67,294312.3433,0.9766968649
68,331633.8035,0.977118895
69,285631.9491,0.9774534337
70,237579.3602,0.9777530966
71,264972.8765,0.9780723911
72,228359.5546,0.9783809987
73,246833.7518,0.9787034534
74,216099.0094,0.9789857574
75,247576.3458,0.9793175466
76,268546.6319,0.9796804635
77,227753.8758,0.9799985123
78,223630.0428,0.9802982099
79,226330.8537,0.9806142714
80,221648.5632,0.9809387713
81,186727.1588,0.9812016308
82,185784.6253,0.9814819938
83,185084.6411,0.9817446255
84,184557.8895,0.9820231374
85,169849.6598,0.9822851918
86,175136.4576,0.9825534306
87,152688.3854,0.9827907271
88,159441.2325,0.9830259492
89,157845.5223,0.9832925919
90,141545.0117,0.9835125702
91,140396.3065,0.98374025
92,162932.0484,0.9840063107
93,137032.4433,0.9842316217
94,121899.6556,0.984440288
95,127138.9009,0.9846479001
96,113326.1946,0.9848393379
97,110842.122,0.9850365657
98,122508.4795,0.9852462742
99,128598.8512,0.9854794423
100,130240.8955,0.985702387
101,109635.3153,0.985907345
102,111159.0058,0.9861088922
103,107575.7838,0.986297885
104,94521.72422,0.9864767178
105,100001.1692,0.9866580342
106,92051.56342,0.9868384135
107,100409.9601,0.9870283867
108,86324.71899,0.9871897666
109,88030.68399,0.9873592926
110,88933.33209,0.9875315585
111,81668.73716,0.9876971105
112,76532.88598,0.9878479421
113,77894.29648,0.9880040885
114,71580.48564,0.9881540272
115,75737.65924,0.9883075563
116,78494.14858,0.9884657891
117,76736.41538,0.9886247995
118,74165.60606,0.9887818237
119,62763.39646,0.9889154138
120,63823.66018,0.989050542
121,64730.62481,0.9891846744
122,64446.07917,0.9893247492
123,66166.92481,0.9894782513
124,62397.11207,0.9896103592
125,57534.96493,0.989741244
126,60951.6483,0.9898709779
127,59076.33267,0.9900066998
128,55343.47705,0.9901350924
129,56278.74599,0.9902599505
130,54695.65256,0.9903893041
131,52444.49844,0.9905086088
132,53836.07273,0.9906395672
133,50490.02492,0.9907595431
134,56524.33019,0.9908868558
135,47207.72267,0.991003817
136,50294.12346,0.9911244603
137,48244.40701,0.9912429034
138,44963.10972,0.9913522779
139,44021.74656,0.9914578753
140,49374.71229,0.9915846538
141,47443.02159,0.9917011294
142,42917.71975,0.9918093951
143,40832.27115,0.9919128598
144,43129.44261,0.9920236025
145,47619.88703,0.9921490928
146,41725.76464,0.9922557614
147,44547.83371,0.992370146
148,39970.89903,0.99247728
149,37096.82685,0.992575875
150,36035.20971,0.9926720543
151,36499.76159,0.9927665961
152,37473.58081,0.9928695686
153,36370.39161,0.9929666425
154,36601.15309,0.9930696909
155,39242.18991,0.9931757555
156,36796.97136,0.9932768688
157,36282.49887,0.993381063
158,35122.70741,0.9934759934
159,33206.99996,0.9935694857
160,33872.91483,0.9936652343
161,33469.18366,0.9937647417
162,31420.31623,0.9938553268
163,29426.1951,0.9939378431
164,27102.11145,0.9940171996
165,29931.19929,0.9941041657
166,26916.2242,0.9941860092
167,28014.29706,0.9942670902
168,28207.65429,0.9943484132
169,26678.96628,0.994430737
170,26346.50847,0.9945105515
171,26195.30338,0.9945902029
172,26546.80125,0.9946697272
173,23674.0185,0.9947438451
174,24480.06155,0.9948202108
175,24094.6571,0.9948934748
176,24445.16106,0.994970007
177,24636.0035,0.9950451945
178,22036.38079,0.995116667
179,20154.62761,0.9951811284
180,20858.77994,0.9952461975
181,21131.64671,0.9953142596
182,19027.25328,0.9953768295
183,20261.72849,0.9954439152
184,21378.72679,0.9955110878
