freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.977602338e+11,0.7189165242
1,4051291078,0.7971684805
2,588365938,0.8198974253
3,385066475.6,0.8384916243
4,213955973.9,0.8508895043
5,85338910.8,0.8591312433
6,60778724.47,0.8644140637
7,46240466.8,0.8697729583
8,28524308.1,0.87362965
9,32188572.27,0.8779817765
10,22500815.02,0.8816759639
11,27693881.85,0.8859552919
12,8488181.28,0.8875948108
13,13912541.34,0.8906851493
14,16848502.6,0.8942649245
15,10672353.1,0.8967386026
16,9806805.093,0.8990116608
17,7927695.906,0.9012319868
18,6495040.378,0.9031137928
19,5652239.409,0.9047514145
20,6945707.79,0.9068308716
21,5109312.831,0.9086072552
22,4984499.052,0.9102439669
23,4631437.006,0.9118094759
24,4525474.496,0.9134702841
25,5793115.59,0.9158200968
26,3694665.604,0.9173900965
27,3903930.994,0.9189359123
28,3798700.968,0.9204767474
29,2495017.566,0.9216333565
30,2819535.916,0.9229131717
31,2729444.87,0.9242838938
32,2397424.896,0.9254415691
33,2918935.317,0.926907453
34,2741670.317,0.9284167053
35,2693902.989,0.9297695784
36,2127421.42,0.9309612409
37,2379738.795,0.9322712548
38,1759411.931,0.9333587298
39,2117387.846,0.9346265681
40,1842443.384,0.9356763955
41,1651984.299,0.9367612878
42,1656436.903,0.9378171095
43,1299438.634,0.9387206758
44,1415653.694,0.9396640367
45,1836980.118,0.9408704195
46,1534600.636,0.9419671473
47,1354507.794,0.9429220874
48,1068090.887,0.9437266773
49,1097823.452,0.9445324598
50,996380.4476,0.9453407666
51,1137707.773,0.9462307615
52,852144.5959,0.9468726797
53,1007743.043,0.9477096692
54,955319.1592,0.9484569869
55,867346.5102,0.9492443812
56,916534.0413,0.9500056163
57,771959.4393,0.950676595
58,699960.9188,0.9512917534
59,787895.8453,0.9519918023
60,762427.8485,0.9527134024
61,715476.6238,0.9533836557
62,716467.3869,0.9540617565
63,831182.0588,0.9548644836
64,713994.4416,0.9555333484
65,713670.2811,0.9562777257
66,658538.9091,0.9569137199
67,597475.0216,0.9575253621
68,545644.506,0.9581208322
69,631423.566,0.9587550317
70,551028.1696,0.9593510555
71,557316.312,0.959926969
72,552340.0237,0.9605670862
73,638149.3322,0.9612819974
74,571174.6912,0.9619218776
75,549190.2387,0.9625530406
76,548105.9396,0.9631882509
77,483158.3117,0.9637668569
78,457177.193,0.9642922728
79,465156.8112,0.9648493211
80,402745.8346,0.9653549666
81,477197.7511,0.9659310431
82,426144.1125,0.9664825273
83,408837.8075,0.9669800276
84,427183.2504,0.9675328566
85,539925.8517,0.9682472319
86,426143.1931,0.968806946
87,436004.4465,0.9693880338
88,408445.7961,0.9699047802
89,362361.7599,0.970429715
90,314023.7167,0.9708482322
91,358012.5264,0.9713461212
92,418397.4351,0.9719320283
93,364347.292,0.9724457645
94,324562.6134,0.9729222106
95,321498.27,0.973372424
96,315100.8506,0.9738288944
97,351911.9428,0.9743658803
98,292816.6013,0.9747957244
99,296361.6396,0.975256532
100,290620.4207,0.9756831523
101,302226.2191,0.9761676726
102,252821.3613,0.9765607802
103,262961.1406,0.976956956
104,272040.6674,0.9773983382
105,253071.1267,0.9777918341
106,236186.543,0.9781887296
107,218108.7571,0.9785426081
108,256387.5204,0.9789536411
109,238847.3067,0.9793480877
110,233495.0969,0.9797359504
111,214960.788,0.9801096335
112,192572.0264,0.9804350976
113,195716.9095,0.9807715473
114,209156.8462,0.9811472607
115,188110.7678,0.9814742684
116,170561.0749,0.9817691208
117,154447.9233,0.9820435762
118,171885.3407,0.982355658
119,153143.3109,0.98263519
120,151996.4171,0.9829111607
121,152469.3959,0.9831821002
122,168526.5037,0.9834962214
123,147728.0048,0.9837901229
124,141092.0616,0.9840462952
125,146488.093,0.984332071
126,131758.741,0.9845725699
127,129645.6125,0.9848279927
128,120412.0803,0.9850675498
129,135436.3778,0.9853252254
130,123902.7546,0.9855765136
131,114195.7376,0.9857992919
132,114433.8144,0.986038007
133,108865.0027,0.9862598484
134,115449.9549,0.9864828436
135,115880.3132,0.9867290527
136,107716.412,0.9869506341
137,115807.4133,0.9871944514
138,93244.38419,0.9873889642
139,105890.3507,0.9876067892
140,98591.49646,0.9878238824
141,102389.8221,0.9880394507
142,100447.6683,0.9882567507
143,92646.44333,0.9884580689
144,85788.32326,0.9886469701
145,82568.35502,0.9888335656
146,76554.06781,0.9890013942
147,69855.80319,0.9891552129
148,68712.38425,0.9893131499
149,76049.0154,0.9894864813
150,67805.13664,0.9896416781
151,60767.25321,0.989776658
152,63743.78275,0.9899268682
153,71840.36504,0.9900913011
154,66304.98516,0.9902513888
155,62269.41865,0.9903957192
156,56274.10939,0.9905283273
157,56144.3727,0.9906665942
158,54739.29255,0.990793471
159,61714.77911,0.990942476
160,53671.06646,0.9910725785
161,49221.65278,0.9911980751
162,47465.49995,0.9913154269
163,51861.56471,0.9914401414
164,45950.81497,0.9915555234
165,42411.33457,0.9916611987
166,48141.34829,0.9917867305
167,43722.50704,0.9918952506
168,46437.35836,0.9920100604
169,45368.08669,0.9921301134
170,38657.3978,0.9922305418
171,45639.32819,0.9923495494
172,38257.95059,0.9924478317
173,36957.97625,0.9925470575
174,40785.68426,0.9926561662
175,42055.34218,0.9927658283
176,44743.02528,0.9928859557
177,37619.26976,0.9929844137
178,32686.84508,0.9930753291
179,36727.57808,0.9931760646
180,31803.20946,0.9932611436
181,30841.01893,0.9933463293
182,33492.4423,0.9934407791
183,33546.56592,0.9935360296
184,31533.42688,0.993620996
185,32567.67522,0.993712838
186,32018.70145,0.9938056057
187,33788.52962,0.9939012169
188,27806.89106,0.9939807075
189,26275.06115,0.9940548041
190,27224.11712,0.9941331546
191,30778.17031,0.9942244088
192,28977.80342,0.994306687
