freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.015610367e+11,0.7836773711
1,1255857422,0.8097865012
2,152170720.8,0.8161137245
3,291676474.3,0.8312735247
4,95313728.94,0.8372182088
5,72093000.94,0.8447122344
6,39208562,0.848380371
7,38524945.66,0.8531859459
8,32931674.11,0.8579784656
9,20612893.7,0.8609782433
10,20802067.92,0.8646542603
11,26020607.03,0.8689819835
12,15366621.56,0.8721766863
13,16422461.53,0.8761030286
14,13956515.96,0.8792947264
15,11756374,0.8822276902
16,10458926.46,0.8848369686
17,8590304.764,0.8874265445
18,7593161.611,0.8897944587
19,7046113.98,0.8919917771
20,7145610.769,0.8942944016
21,6083004.826,0.896570771
22,5898235.507,0.8986553727
23,5173558.171,0.900537632
24,4325405.118,0.9022462008
25,4141277.101,0.9040542308
26,3521860.196,0.9056650503
27,4530503.906,0.9075959176
28,3786952.919,0.9092492542
29,2964390.858,0.9107283584
30,3863193.611,0.912615769
31,2919210.774,0.9141937104
32,2522191.263,0.915504612
33,2889222.222,0.9170663435
34,2192402.215,0.9183653674
35,2319940.367,0.919619381
36,2012701.807,0.9208328523
37,1628049.116,0.9217974904
38,1892287.653,0.9230563845
39,1866553.282,0.9242593527
40,1844584.542,0.9253906393
41,1576995.515,0.9265053482
42,1443886.016,0.9274959495
43,1512898.104,0.9286282566
44,1374051.518,0.9296137965
45,1428355.2,0.930623438
46,1409861.773,0.9317079399
47,1143589.773,0.932575731
48,1038191.358,0.9334175022
49,1223127.09,0.9343837917
50,1169769.348,0.9354052052
51,1176136.984,0.9363955012
52,1087100.544,0.9372769282
53,1289488.368,0.9384296857
54,966789.3069,0.9392437129
55,1065999.704,0.9402853274
56,1041089.016,0.9412160246
57,893400.1981,0.9420518405
58,832660.7678,0.9428394873
59,914722.2974,0.943714268
60,789261.5759,0.9445182922
61,780110.8585,0.9453048853
62,710865.5371,0.946029047
63,693528.8225,0.9467499662
64,715604.8551,0.9474715173
65,761252.962,0.9483261408
66,711030.3628,0.9490652527
67,593677.661,0.9497194047
68,606637.9602,0.9504319789
69,572361.0975,0.9510507436
70,536807.3899,0.9516757127
71,550394.0733,0.9522878934
72,546826.6755,0.9529700012
73,582034.0935,0.9536718256
74,563450.3574,0.9543512415
75,546913.0244,0.9550277719
76,510453.0191,0.9556645074
77,545828.6064,0.9563680657
78,511973.7715,0.9570013762
79,479565.3446,0.9576195229
80,499823.5533,0.9582949557
81,499348.109,0.9589437925
82,481588.194,0.9596146074
83,444763.9626,0.9601971427
84,464939.534,0.9608447673
85,428490.4834,0.9614549836
