freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.844812924e+11,0.6300716708
1,3363795684,0.7219804964
2,538849562.9,0.7514264172
3,430535147.5,0.7808351443
4,152658015.2,0.7933483469
5,110117513.4,0.8083920242
6,73915614.22,0.8174801914
7,45640057.4,0.8249623178
8,39164267.23,0.8324529014
9,32003133.89,0.8385738419
10,21561599.34,0.8435814174
11,18830248.45,0.8476974011
12,17330101.59,0.8524324963
13,16176296.52,0.8575153141
14,12696187.9,0.8613311847
15,9385107.608,0.8644083308
16,10155595.1,0.8677381007
17,11089278.88,0.8721314822
18,10794479.07,0.8765555376
19,8426441.457,0.8800090663
20,5985772.606,0.8825440754
21,5352364.657,0.8851764386
22,5749390.111,0.8878469738
23,7410422.73,0.8913902796
24,4667263.374,0.8938132244
25,4954115.436,0.8966558066
26,3799255.187,0.8989395576
27,3929763.744,0.9011406988
28,4079915.689,0.9034816809
29,3972322.05,0.9060865344
30,3581315.365,0.9083860589
31,3028964.933,0.9105378257
32,2928638.345,0.9125383018
33,2796443.512,0.9145248861
34,2740807.806,0.9166591644
35,3082129.083,0.9188486988
36,2130723.998,0.9205370112
37,1878734.879,0.9219999898
38,1741287.43,0.9235224574
39,2067368.8,0.9252735425
40,1572849.291,0.9265413016
41,1344774.215,0.9277905704
42,1444909.015,0.9290933833
43,1190718.575,0.9302646053
44,1270035.435,0.9314617939
45,925291.3064,0.9323213713
46,1056282.897,0.9333892196
47,1012187.437,0.9343986617
48,1167073.693,0.9356422897
49,928241.4457,0.936606057
50,884198.3991,0.9376207312
51,782755.6293,0.9384869126
52,736842.5938,0.9392720884
53,797005.5922,0.9402084798
54,688517.3988,0.9409703791
55,698830.3747,0.9418678022
56,633255.3348,0.9426118056
57,697246.4823,0.943469093
58,717199.16,0.9443607109
59,622256.2603,0.9451427973
60,601984.3085,0.9459487487
61,604948.6021,0.9467504043
62,589847.0194,0.947540106
63,607500.528,0.9483700414
64,509284.7069,0.9490449267
65,501338.3277,0.949784621
66,504212.0419,0.950473449
67,543543.4036,0.9512605632
68,410020.8601,0.9518935315
69,484713.2042,0.9525822089
70,417180.8329,0.9532205311
71,453786.1422,0.9538838657
72,454397.4244,0.9546287944
73,412124.2326,0.9552819005
74,493873.9812,0.956064558
75,371761.3134,0.9566689362
76,410076.5143,0.9573412062
77,443864.3487,0.9580931226
78,369593.4542,0.9586939765
79,365587.4156,0.95931329
80,376668.7296,0.9599822505
81,336532.4903,0.9605569419
82,335488.3454,0.9611710995
83,350249.4238,0.9617739999
84,332022.7366,0.9623818132
85,341158.083,0.9630203323
86,323793.2672,0.9636219274
87,271557.9825,0.9641338913
88,328644.5667,0.9647220511
89,293402.1494,0.965323297
90,310308.2203,0.9659083161
91,286254.7703,0.9664714515
92,281495.2501,0.9670290693
93,275548.8325,0.9675786723
94,258035.3818,0.9681144942
95,263466.2645,0.9686363982
96,250200.7556,0.9691491149
97,233706.6741,0.9696535738
98,228017.331,0.9701270619
99,218022.9039,0.9706066028
