freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.576440492e+11,0.8737172751
1,908463030.8,0.8875925101
2,193258543.6,0.8934959044
3,183275003.6,0.900493943
4,98356120.2,0.9050006127
5,68655210.27,0.9102435734
6,50683476.62,0.9137270428
7,30800937.56,0.9165496359
8,21521125.66,0.9188505272
9,23035756.36,0.9213133525
10,13662205.42,0.9230870226
11,13462930.68,0.9247320104
12,11716487.8,0.9265215056
13,10133525.33,0.9283013887
14,10565570.41,0.930076472
15,9374612.578,0.931794648
16,7070693.635,0.9330905625
17,7445218.508,0.9347394026
18,5645361.671,0.9360327528
19,7645920.208,0.9377844301
20,3787282.973,0.9386810174
21,4937864.464,0.9400385327
22,5186453.344,0.9413851758
23,4724930.036,0.9426480687
24,4685444.866,0.9440077512
25,4441659.262,0.9454323666
26,3748816.181,0.9466920166
27,4508886.872,0.9481037618
28,3050004.605,0.9490820186
29,2723642.43,0.9500803952
30,2231672.171,0.9508813931
31,2295062.259,0.951792776
32,1932761.568,0.9525307676
33,1903468.501,0.9532866463
34,2703624.73,0.9544635051
35,2063624.47,0.9552829828
36,1676541.371,0.9560255664
37,1888527.435,0.9568476221
38,1539139.985,0.9575998703
39,1928745.334,0.9585130783
40,1439760.44,0.9591617804
41,1263218.02,0.95981776
42,1385465.002,0.9605160609
43,1303153.937,0.9612325858
44,1089524.386,0.9618066879
45,1208090.466,0.9624340402
46,1164720.492,0.9630922381
47,1162580.46,0.9637403485
48,950670.611,0.964306624
49,1327846.555,0.9650772871
50,1116506.633,0.9657935026
51,973115.1118,0.9663954414
52,821855.5746,0.966884987
53,747931.8123,0.9673761929
54,802284.6498,0.9678724613
55,862162.9017,0.968491361
56,851006.6826,0.9690502615
57,842740.0093,0.9696294757
58,752684.396,0.9701525428
59,676251.379,0.9706276582
60,765695.2954,0.9712006985
61,746937.0462,0.9717539961
62,656516.0528,0.9722453275
63,655469.0715,0.9727458866
64,630081.2383,0.9732126227
65,629484.4451,0.9737317954
66,535728.3531,0.9741409125
67,562391.9906,0.9745961606
68,560182.3374,0.9750795654
69,497810.5308,0.9754749325
70,521443.7038,0.975920926
71,400093.448,0.9762478511
72,467841.849,0.9766765807
73,424988.2874,0.9770530573
74,491892.2687,0.977488801
75,493165.9278,0.9779369713
76,447700.9388,0.9783472438
77,421615.1028,0.9787464901
78,389295.9187,0.9791002673
79,354812.5856,0.9794362554
80,318603.7666,0.979752554
81,288014.5846,0.9800274875
82,296879.1967,0.9803312874
83,280842.9425,0.9806015196
84,271782.7226,0.9808796381
85,283288.285,0.9811760204
86,261582.7543,0.9814476963
87,246760.4262,0.9817077468
88,269829.2132,0.9819776843
89,255350.5783,0.9822701879
90,220707.3221,0.9825027822
91,230600.5654,0.9827563686
92,212821.1126,0.9829920285
93,193937.9407,0.9832082599
94,233864.3259,0.9834797229
95,218975.1082,0.9837221973
96,187574.039,0.983937063
97,166566.9321,0.9841380412
98,171392.0947,0.9843369882
99,173500.914,0.9845503078
100,166879.6361,0.9847440169
101,155138.4281,0.9849406835
102,149957.6046,0.9851250566
103,165317.0753,0.9853220018
104,176607.8305,0.9855485822
105,174699.3308,0.9857633752
106,160851.7495,0.9859771114
107,148653.0024,0.986167827
108,167003.3472,0.9863795345
109,150792.3398,0.9865764494
110,144624.1254,0.9867664138
111,148455.9126,0.9869704809
112,148134.164,0.9871684496
113,153234.9196,0.9873767455
114,146804.4812,0.9875852692
115,145617.865,0.9877854352
116,136464.5538,0.9879719769
117,157043.8893,0.9881926462
118,145013.7549,0.9884008411
119,144168.0274,0.9886089228
120,122739.5356,0.9887851389
121,120986.0019,0.9889551416
122,119047.716,0.989130603
123,112976.5932,0.9893083322
124,97028.92804,0.9894476357
125,103385.0926,0.989607118
126,111374.3336,0.9897678677
127,109920.4477,0.9899391102
128,104362.9117,0.9901032888
129,108954.5469,0.9902672023
130,103251.5986,0.9904327866
131,108207.5254,0.990599708
132,95701.34491,0.990757569
