freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.496135448e+11,0.8179885699
1,206899515.3,0.8270380949
2,127658795,0.8382053656
3,43010707.31,0.8429084515
4,49917684.09,0.8494584619
5,31979510.27,0.85645218
6,28392781.16,0.8620405706
7,24256326.67,0.8684062182
8,18937065.65,0.8742042025
9,13798484.65,0.8784289013
10,6280374.524,0.8807638147
11,7606573.909,0.8834254306
12,7076275.027,0.8865205044
13,8349065.271,0.8907200472
14,5323136.75,0.8932811476
15,6308144.551,0.8965920715
16,6189556.329,0.8998407525
17,3845374.083,0.9022795341
18,3528741.59,0.904594675
19,2574852.695,0.9062839874
20,1878398.924,0.9075574489
21,2298441.214,0.9093670057
22,3234017.776,0.9117716876
23,2333553.711,0.913557855
24,2935897.02,0.9159976915
25,2236988.023,0.9180523955
26,1875812.878,0.9198574009
27,1699002.723,0.9213808019
28,1663633.956,0.9229088724
29,1439835.484,0.9244203107
30,1088615.201,0.9255392552
31,1021904.938,0.926701373
32,1140972.582,0.9279489907
33,1304620.345,0.9294326146
34,1233475.845,0.9309702091
35,1042593.479,0.932155854
36,803642.8135,0.9331752135
37,996840.9363,0.9344178298
38,830434.9598,0.9355801396
39,844186.4097,0.9367247729
40,807794.799,0.9377670648
41,565139.1376,0.938607493
42,543933.9879,0.9393925957
43,462431.0885,0.9401207373
44,579061.5613,0.9409945334
45,527590.7429,0.9417791228
46,512718.501,0.9426088723
47,438880.8899,0.9433095299
48,389801.8507,0.9439744582
49,419087.4179,0.9446710118
50,482534.6615,0.9455574411
51,479123.8837,0.9464061703
52,413105.2245,0.9471108498
53,315950.7525,0.9477050792
54,362830.9823,0.9483478049
55,291846.7774,0.9489477605
56,341071.1551,0.9495892355
57,327410.8689,0.9502336598
58,311560.7571,0.9508537009
59,275793.0249,0.9514085916
60,294973.4623,0.9520407782
61,327619.8534,0.9527357678
62,307023.1823,0.9533937794
63,277751.9339,0.9540012054
64,333475.4052,0.9547086165
65,309656.4653,0.9554399917
66,313208.7894,0.9561249596
67,261415.6691,0.9567309613
68,302443.4263,0.9574783713
69,308744.093,0.9581805834
70,372170.7928,0.9590921672
71,346260.2221,0.959902424
72,340415.2141,0.9607957841
73,346759.0018,0.9616754587
74,200323.0485,0.9621836476
75,205497.0667,0.9627184446
76,197707.3892,0.9632372929
77,231147.3424,0.9638641188
78,204771.3642,0.9643970271
79,179613.9839,0.9648841047
80,168528.3471,0.9653632339
81,141479.3965,0.9657499921
82,136573.3983,0.9661502199
83,163640.0664,0.9666011367
84,229681.6586,0.9672742179
85,163946.2,0.9677654178
86,152729.196,0.9682196702
87,139427.0144,0.9686404572
88,137597.6349,0.969034659
89,125089.3995,0.969445003
90,129770.2585,0.9698366462
91,119502.8084,0.9702129832
92,137954.8977,0.9706504463
93,192109.587,0.9712638384
94,634945.2859,0.9733744884
95,205274.6326,0.9740254263
96,135184.0356,0.9744688848
97,123787.8342,0.9748966164
98,120609.8212,0.9752975409
99,127345.4605,0.9757459203
100,113760.5403,0.9761240768
101,96943.94399,0.9764760139
102,92765.30377,0.9768026377
103,83464.1536,0.9770873858
104,89427.44265,0.9774159471
105,89555.03943,0.9777312676
106,97294.06469,0.9781014979
107,91920.49909,0.9784392188
108,92108.27118,0.9787736009
109,88891.9992,0.979106027
110,91941.1025,0.9794518664
111,90003.40312,0.9798061636
112,87236.75962,0.9801400309
113,108433.5446,0.9805621354
114,91797.31102,0.9809355396
115,93819.13056,0.9813048574
116,114960.5994,0.9817548842
117,159491.8883,0.9823966739
118,115165.0078,0.9828701682
119,91674.30733,0.9832490866
120,73486.41566,0.9835512217
121,63424.41225,0.9838064393
122,66113.89553,0.9840854921
123,55221.30093,0.9843342691
124,62228.473,0.9845901178
125,54759.1329,0.9848320225
126,60554.73005,0.985082314
127,57730.19957,0.9853398688
128,54729.71109,0.9855864311
129,51385.37573,0.985807813
