freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.327592958e+11,0.7968034675
1,766717895.9,0.8114909244
2,347239421.6,0.8247945503
3,251841964.6,0.8368554336
4,136186630,0.8446819182
5,64572754.33,0.8508667845
6,89398449.76,0.8585732193
7,67185258.42,0.866295334
8,29562871.67,0.870259535
9,29625880.95,0.8742321851
10,20176650.44,0.8775175151
11,31173142.01,0.8822948048
12,14053155.25,0.8849868655
13,20748941.64,0.8895577978
14,12350503.37,0.8921602835
15,11493602.26,0.8948023784
16,10736941.84,0.8972705358
17,9604586.32,0.8999383629
18,8938327.297,0.9025067384
19,8025419.943,0.9048127954
20,8296868.945,0.9072763201
21,5331059.339,0.9091145382
22,5345649.921,0.9108553845
23,4500549.962,0.9123641254
24,5027682.985,0.914194047
25,4481733.6,0.9159969665
26,3755497.635,0.9175796759
27,3237993.562,0.9188512476
28,3063630.757,0.9200836903
29,2640756.302,0.9212977794
30,3412319.88,0.9228339116
31,2422149.537,0.9240402949
32,2393407.769,0.9251865142
33,2809860.767,0.9265860021
34,2201961.247,0.9277881711
35,1913656.589,0.9287412928
36,2127312.538,0.9299230828
37,1930768.233,0.930977193
38,1965418.006,0.9321819957
39,2032104.359,0.9333887495
40,1596680.634,0.9342910498
41,1462407.13,0.935243535
42,1448151.23,0.9361589939
43,1449104.652,0.9371583339
44,1446710.062,0.9381144521
45,1406371.196,0.9390304403
46,1236233.288,0.9399066603
47,1301416.119,0.9408166156
48,1115297.36,0.9416498483
49,1066111.691,0.9424259119
50,1044561.511,0.9432663279
51,967169.7152,0.9440166862
52,865362.3177,0.9446631937
53,945627.6003,0.9454421258
54,832969.5698,0.9460883678
55,771691.4366,0.9467831562
56,859875.5795,0.9474914527
57,835760.622,0.9482119053
58,754888.6045,0.948869874
59,726645.7277,0.9495101859
60,710160.2857,0.9501767831
61,645965.2288,0.950776936
62,706935.854,0.9514405065
63,588792.309,0.9520044598
64,661212.1834,0.9526187783
65,632139.0828,0.9532726874
66,596298.5964,0.9538438304
67,624201.6173,0.9544775713
68,596636.1814,0.9551233282
69,529359.9957,0.9556506375
70,533763.0914,0.9562232325
71,477637.5229,0.9567127444
72,530299.3127,0.9573222579
73,515059.4097,0.9578945218
74,537923.4781,0.9584921891
75,434233.752,0.9589871279
76,428897.186,0.9594800922
77,503981.889,0.9600786659
78,428974.8533,0.9605676107
79,390839.6646,0.9610318066
80,365769.5595,0.9614872474
81,410410.3361,0.9619786182
82,395649.7359,0.9624864228
83,408046.806,0.9629788721
84,392911.3032,0.9634831621
85,443592.9753,0.9640652469
86,376118.7563,0.9645551891
87,349059.2026,0.9650165696
88,319741.7853,0.9654177611
89,375548.4265,0.9659573192
90,346097.8713,0.9664147854
91,335258.8487,0.9668771917
92,277525.6115,0.9672626275
93,292599.785,0.9676718014
94,303683.9163,0.9681139277
95,289154.608,0.9685155142
96,313712.0958,0.9689662308
