freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.749374339e+11,0.8668317131
1,3756357307,0.9216790156
2,254802411.6,0.9291198546
3,203566559.9,0.9365506418
4,104720148.5,0.9411377595
5,51952380.55,0.9449305935
6,46359003.3,0.9479766291
7,41103412.36,0.9515775826
8,36096383.4,0.9552669347
9,26524947.69,0.9579780061
10,18954462.81,0.9603304473
11,16550912.7,0.962263752
12,10019565.34,0.9637267282
13,10127065.63,0.9654272016
14,6597546.645,0.9664868543
15,10226479.6,0.9682786801
16,8200471.04,0.9697155201
17,3816314.911,0.9705235
18,4655869.212,0.9715432188
19,3803744.429,0.972376307
20,3125569.602,0.9730836812
21,3002098.774,0.9738726973
22,2984168.625,0.9746134286
23,2712166.5,0.9753064438
24,2221273.002,0.9759226753
25,2460989.787,0.9766772765
26,2087591.142,0.9773478656
27,1650568.553,0.9778419212
28,1762630.255,0.9783823878
29,1265033.173,0.9788256917
30,1379584.94,0.979299066
31,1399408.724,0.979830325
32,1183593.81,0.9802623721
33,912555.2365,0.9806088064
34,1093009.093,0.9810636447
35,932065.1534,0.9814174856
36,845381.4673,0.9817754493
37,871308.9861,0.9821380307
38,753717.9865,0.9824901965
39,696873.3247,0.9828056272
40,689306.6781,0.9831025359
41,672815.1355,0.9834365486
42,680947.7985,0.9837646561
43,599562.0241,0.9840798117
44,455656.9197,0.9843093448
45,597852.142,0.9846061429
46,487133.9162,0.9848693142
47,510425.0727,0.9851413419
48,405780.4889,0.9853724122
49,392257.1256,0.9855900543
50,381241.7639,0.9858238509
51,355666.0288,0.9860341734
52,332700.7115,0.9862236287
53,394316.5819,0.9864712009
54,372737.0283,0.9866916183
55,283672.3494,0.9868862902
56,301524.4231,0.9870756027
57,286821.3945,0.9872640598
58,261190.1599,0.9874375826
59,275057.2509,0.9876223262
60,262789.2263,0.9878103409
61,262865.5556,0.9879964913
62,227880.8415,0.9881595306
63,195110.9671,0.9883019732
64,210029.2566,0.9884507071
65,228169.1334,0.9886306104
66,201818.6408,0.98877795
67,211735.1628,0.9889418041
68,215366.2899,0.9891194743
69,187544.6838,0.9892618698
70,184477.2279,0.9894127108
71,176126.3182,0.9895502943
72,191188.0581,0.9897177887
73,161204.2793,0.9898543077
74,161547.9192,0.9899911176
75,145214.1992,0.9901172755
76,150772.9581,0.9902493634
77,147869.2137,0.9903832256
78,139145.2492,0.990504111
79,144843.2773,0.9906352338
80,135249.7489,0.9907635963
81,152865.8649,0.9909030978
82,139369.5741,0.9910394403
83,149502.5098,0.991176964
84,134698.071,0.9913087364
85,124070.236,0.9914328292
86,116678.1653,0.9915486768
87,119954.2267,0.9916695285
88,104641.398,0.9917696053
89,120177.6191,0.9919012105
90,110390.0201,0.9920124265
91,105075.5281,0.992122891
92,124126.017,0.9922542891
93,108868.0306,0.9923703301
94,101956.7847,0.9924834706
95,96138.57329,0.9925852416
96,92955.66539,0.9926870364
97,92129.2014,0.9927933069
98,97352.88535,0.9929013385
99,100902.4353,0.9930199389
100,94613.64197,0.9931249307
101,85867.46416,0.9932289935
102,76602.93053,0.9933190322
103,83730.02014,0.9934143918
104,81148.17523,0.9935139201
105,75519.40183,0.9936026853
106,82565.05583,0.993707568
107,78362.44067,0.9938036795
108,81045.27962,0.9939018982
109,74646.23163,0.9939950867
110,69610.10501,0.9940824963
111,67001.21423,0.9941705431
112,68774.77477,0.9942584101
113,64957.15105,0.9943428223
114,67187.80974,0.9944340574
115,58540.45528,0.9945109858
116,55883.01275,0.9945840142
117,54727.26053,0.9946575298
118,62793.69633,0.9947437149
119,54269.03312,0.9948185961
120,57814.55278,0.9948979472
121,59508.86926,0.9949778861
122,57324.87178,0.9950586577
123,49942.00839,0.9951337666
124,55644.54379,0.9952101395
125,48220.55772,0.9952812513
126,51962.75919,0.9953529502
127,51603.14816,0.9954298039
128,46916.65661,0.9955003629
129,40783.3337,0.9955590182
130,44485.77159,0.9956272205
131,42992.31626,0.9956906222
132,44597.62658,0.9957609494
133,43693.99292,0.9958282568
134,35713.90925,0.9958804034
