freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.830956394e+11,0.8306212645
1,556125499.1,0.850804363
2,242802766.5,0.8684281265
3,210818478.5,0.8875558689
4,77982872.67,0.8960464129
5,42135096.27,0.9036923201
6,27759895.11,0.9082259427
7,25037590.11,0.9136779799
8,22399454.55,0.919368481
9,17815643,0.9238944812
10,11686289.5,0.9274995255
11,8009440.362,0.9298249765
12,10050863.34,0.9334726705
13,5587097.301,0.9358045124
14,5332259.31,0.9379332345
15,4584762.087,0.9399299357
16,4362321.366,0.9418297622
17,4404136.7,0.9441473907
18,3747223.989,0.9461873239
19,3122772.006,0.9478873147
20,2387645.745,0.9492304402
21,2734041.899,0.9510164865
22,2278318.871,0.9524221406
23,2151287.039,0.9537884575
24,2540590.038,0.9555403329
25,1851390.609,0.9569513504
26,1327080.867,0.9580109336
27,1315602.697,0.9589897329
28,1220571.193,0.9599199782
29,986501.0186,0.9607792366
30,1045334.265,0.9616707709
31,1013372.023,0.9626269898
32,1032382.864,0.9635636796
33,754805.1708,0.9642759145
34,691555.808,0.9649912127
35,706878.1269,0.9656582236
36,587199.8204,0.9662762385
37,669455.3118,0.9669686774
38,557293.3209,0.9676158929
39,597642.9471,0.9682882786
40,540728.8708,0.968867196
41,515780.4006,0.969503638
42,564946.6683,0.9701802449
43,367055.5642,0.9706598119
44,347261.0978,0.9710946127
45,385546.5234,0.9715703538
46,326724.1013,0.9720090844
47,304453.7158,0.9724123853
48,364667.9439,0.9729285369
49,279691.1696,0.9733142615
50,296703.7015,0.9737665206
51,258218.0153,0.9741460597
52,260771.0795,0.9745151555
53,275914.5397,0.9749457397
54,275331.4272,0.9753504328
55,291271.3556,0.9758472661
56,232839.9478,0.9762106293
57,242959.4545,0.9766074199
58,225671.8941,0.9769800723
59,210885.3921,0.9773321344
60,234832.7807,0.9777497434
61,210148.4716,0.9781196423
62,205530.1482,0.9784851417
63,191864.2875,0.9788333019
64,176328.4705,0.9791436715
65,177526.9335,0.9794915864
66,166008.7931,0.9797928289
67,173775.6818,0.9801270854
68,144987.7174,0.9804243853
69,135462.8407,0.980680031
70,126537.2631,0.9809372017
71,144085.6157,0.9812169642
72,124924.0034,0.9814889913
73,120241.298,0.9817420939
74,112117.9638,0.9819780973
75,107143.133,0.9822094616
76,117189.1531,0.9824646457
77,117184.7395,0.9827283261
78,114472.5079,0.9829755174
79,96890.97365,0.9831935342
80,98767.33848,0.9834265266
81,92855.58777,0.9836371483
82,105116.0722,0.9838927472
83,109199.2511,0.9841424223
84,96898.82121,0.9843780402
85,101552.8912,0.9846305033
86,98979.3833,0.9848747725
87,86287.32118,0.9850908508
88,80767.67443,0.9852828475
89,80011.18753,0.9855006321
90,89281.98793,0.9857242095
91,96610.95596,0.9859766586
92,92723.93146,0.9862206334
93,75549.46707,0.9864207897
94,76283.61713,0.9866311966
95,78320.36756,0.9868372727
96,78523.79656,0.9870510087
97,76667.03823,0.9872708204
98,78452.452,0.9874872094
99,75521.11135,0.9877078468
100,66827.26058,0.987892171
101,62660.93881,0.9880809223
102,62174.70398,0.9882625678
103,66998.38315,0.9884522271
104,60217.59125,0.9886358038
105,55366.38524,0.9887975586
106,62003.87273,0.9889933317
107,61518.45141,0.9891808742
108,56448.49869,0.989350912
109,52175.54381,0.9895128125
110,53525.87533,0.9896798744
111,55593.04858,0.9898614585
112,51899.2288,0.9900262687
113,53261.56457,0.9901983046
114,50067.54127,0.9903672919
115,54651.74279,0.9905458015
116,55128.73785,0.9907248688
117,50411.85526,0.9908931887
118,47768.02041,0.9910561483
119,52310.14437,0.9912355526
120,50390.9971,0.9914074605
121,49904.85737,0.9915740876
122,45767.26014,0.9917343742
123,41538.1286,0.9918896484
124,42248.34217,0.9920337778
125,45487.80217,0.9922005146
126,39225.46234,0.9923350432
127,39499.14406,0.9924812619
128,33848.99564,0.9926077933
129,36636.54114,0.9927387614
130,36294.94727,0.9928770704
131,35020.07985,0.9930054375
132,32922.32684,0.9931344789
133,33127.93035,0.9932613206
134,29725.21924,0.9933692004
135,30379.57931,0.9934904804
136,32683.97762,0.9936168084
137,29088.88756,0.9937318801
138,31257.06928,0.9938543945
139,29529.4541,0.9939685298
140,32080.82647,0.9941012587
141,29680.49836,0.9942186708
142,28704.01189,0.9943353452
143,27142.25602,0.994446164
144,30555.69623,0.9945725829
145,28796.48522,0.9946948587
146,26039.54828,0.9948021203
147,24594.73706,0.9949038768
148,24240.88382,0.9950085681
149,26166.16383,0.9951206246
150,23325.16926,0.9952209378
151,21914.9805,0.9953124026
152,20725.56937,0.9954041685
153,21504.26978,0.9954966507
154,21634.03127,0.9955947944
155,19961.81687,0.9956817297
156,19035.56218,0.9957660128
157,19502.07998,0.9958562543
158,20701.03615,0.995946409
159,19335.51361,0.9960341254
160,15812.4786,0.9961061463
161,14621.04498,0.9961761897
162,15134.30717,0.996246495
163,14975.76208,0.9963141614
164,13879.35343,0.9963796443
165,13038.42794,0.9964406864
166,12764.01078,0.9965032233
167,12190.18105,0.996560073
168,12201.55987,0.9966167544
169,12138.22261,0.9966771062
170,11833.74815,0.9967348705
171,11397.41073,0.9967907118
172,10263.91756,0.9968402545
173,9611.121407,0.9968887391
174,9860.669259,0.9969383037
175,9269.759186,0.9969837205
176,9439.057081,0.9970313371
177,9054.096417,0.9970758617
178,9929.057409,0.9971277519
179,9658.314207,0.9971775261
180,8881.019326,0.9972221665
181,8717.204592,0.9972674071
182,8690.739627,0.9973134566
183,8875.868879,0.9973608091
184,8977.153637,0.9974062585
185,7948.219988,0.9974483736
186,8030.00759,0.9974920877
187,7781.532195,0.9975334608
188,8752.823661,0.9975804746
189,9102.523598,0.9976287059
190,9617.66687,0.997680714
191,8246.04276,0.9977266517
192,7387.365544,0.9977660631
193,7303.122609,0.9978074105
194,7231.049951,0.9978466441
195,6547.812162,0.9978837152
196,6428.049405,0.9979201083
197,5611.215883,0.9979512659
198,5570.218394,0.9979831055
199,5212.952233,0.9980122408
200,5488.632988,0.9980445104
201,5120.989011,0.9980732247
202,5387.084314,0.9981035287
203,5356.840961,0.9981358011
204,5255.993448,0.9981660354
205,5053.569077,0.9981962974
206,5103.368289,0.998225561
207,5054.043193,0.998255459
208,4518.159289,0.9982825968
209,4974.472635,0.998312024
210,4807.028087,0.9983406352
211,4815.211881,0.9983700815
212,4350.420868,0.9983964486
213,3709.914143,0.9984190684
214,4163.040969,0.9984444509
215,3765.963677,0.9984670707
216,4080.915745,0.9984926931
217,3860.232174,0.9985167897
218,3927.638456,0.9985409508
219,3448.609335,0.9985626032
220,3255.446086,0.9985830427
221,3598.278387,0.9986058307
222,3742.323518,0.9986300062
223,3705.94642,0.9986531398
224,3253.241369,0.9986742739
225,2942.741421,0.9986929103
226,3132.591046,0.998713147
227,3332.396223,0.9987345535
228,3200.661713,0.9987556364
229,2679.990031,0.9987738246
230,2452.657076,0.9987894018
231,2886.775032,0.9988082601
232,2802.507727,0.9988267203
233,2621.925943,0.998844229
234,2308.111417,0.9988600609
235,2130.817905,0.9988740194
236,2030.475548,0.9988876522
237,1890.4399,0.9989006878
238,1792.05081,0.9989124922
239,2032.304557,0.9989266535
240,2202.192625,0.9989412794
241,1938.713669,0.9989550701
242,1901.914075,0.9989684264
243,1929.721684,0.9989816628
244,2219.178964,0.9989972874
245,2034.235641,0.9990110562
246,1714.855608,0.9990236279
247,1713.696547,0.9990356314
248,1822.331979,0.9990482635
249,1857.683584,0.999061444
250,1719.54248,0.9990735508
251,1619.729433,0.9990853076
252,1641.342857,0.9990970723
253,1621.71633,0.9991087846
254,1468.349323,0.9991195492
255,1402.887454,0.9991298847
256,1414.972049,0.9991401296
257,1518.89419,0.9991510993
258,1345.328595,0.9991612061
259,1387.917864,0.9991714062
260,1308.971549,0.9991811448
261,1250.484754,0.9991904484
262,1401.020158,0.9992008973
263,1406.375766,0.9992114627
264,1372.419734,0.9992216734
265,1287.245199,0.9992316242
266,1257.054818,0.9992411362
267,1289.197044,0.9992508681
268,1243.190238,0.9992605234
269,1217.671086,0.9992697817
270,1101.475762,0.9992782165
271,1002.834117,0.9992860778
272,1150.457347,0.9992950964
273,1064.706581,0.9993033462
274,1112.591602,0.9993118661
275,1112.28834,0.9993207873
276,1088.074984,0.9993292972
277,1067.699598,0.999337822
278,967.715584,0.9993454432
279,952.3702681,0.9993529954
280,955.7124999,0.9993607301
281,989.0040218,0.9993685549
282,969.5762637,0.9993763666
283,938.5046769,0.9993839111
284,912.8957768,0.9993914318
285,826.6382681,0.999398182
286,772.8762889,0.9994043669
287,813.4419629,0.9994110683
288,895.8420634,0.9994184161
289,768.814995,0.9994248056
290,804.1736935,0.9994315912
291,717.1814989,0.9994372914
292,734.1706437,0.9994436329
293,786.903594,0.9994501871
294,827.8599572,0.9994571275
295,850.5087565,0.9994642269
296,815.9378456,0.9994712154
297,803.7902735,0.9994781144
298,879.7840694,0.9994854262
299,843.2066989,0.9994925871
300,810.6273939,0.9994995154
301,818.6382605,0.999506527
302,816.3584449,0.9995137562
303,756.3305399,0.9995201655
304,704.1777732,0.9995262223
305,630.9558222,0.9995318326
