freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.002531916e+11,0.8948321624
1,174029174,0.8973225317
2,286564057.4,0.9055240341
3,493887993.8,0.9231929613
4,113345916.4,0.9280589247
5,88197704.63,0.9343695006
6,99183411.76,0.9407564468
7,42284786.87,0.9443870359
8,35285559.51,0.9479216073
9,24473840.55,0.9503731636
10,18774580.01,0.9526568205
11,13390405.13,0.9541897614
12,22103732.47,0.9573528206
13,13581515.53,0.9595878734
14,8799057.146,0.9609729395
15,5243713.13,0.9618733943
16,7883984.04,0.9632272385
17,8045388.297,0.9648966243
18,5070689.016,0.9659850528
19,3653478.275,0.9667692757
20,3372108.414,0.9675172298
21,3038432.436,0.9682998729
22,3539653.201,0.9691609685
23,4409236.18,0.9702651567
24,2520030.611,0.9709503311
25,1901293.713,0.9715216916
26,1767381.761,0.9720781014
27,1694107.935,0.9725750788
28,1510470.056,0.9730289923
29,1315254.16,0.9734807053
30,1774102.826,0.9740773123
31,2089388.48,0.9748546939
32,1838105.976,0.9755122795
33,1599098.211,0.9761072428
34,1349006.771,0.9766574176
35,1687987.948,0.9772854534
36,1074771.297,0.9777314748
37,1361841.908,0.9782868843
38,1147357.386,0.9788122847
39,911370.4185,0.9792165796
40,999160.2169,0.9796383721
41,807198.1443,0.9800311082
42,737476.8439,0.9803793685
43,836103.9703,0.9808100979
44,694064.6072,0.9811527558
45,606523.7689,0.9814478553
46,704482.0315,0.9818208591
47,503573.4326,0.9820838844
48,600854.2065,0.9824192167
49,542296.7441,0.9827141082
50,382602.8326,0.9829440613
51,395197.8158,0.9831731012
52,404504.317,0.9833988521
53,428792.2225,0.9836627021
54,469870.1273,0.983935019
55,377604.887,0.9841889859
56,732429.8749,0.9846396741
57,369228.777,0.9848774401
58,652233.8897,0.9853021149
59,389687.2463,0.9855586316
60,352319.6371,0.9858056758
61,266352.043,0.9859905344
62,312912.5477,0.9862099465
63,412977.39,0.9865054333
64,446991.5051,0.9868156625
65,323378.1195,0.9870655509
66,477116.3026,0.9874069292
67,313094.181,0.9876443904
68,248138.217,0.9878450148
69,249575.6505,0.9880307299
70,273693.4921,0.988250058
71,224361.6046,0.9884218267
72,198869.7931,0.9885925771
73,218520.7824,0.9887739459
74,205936.0054,0.9889448694
75,181896.1963,0.9890997448
76,158270.7626,0.9892356367
77,176523.9625,0.9893922531
78,161872.0989,0.9895300789
79,200581.5825,0.9897080397
80,144736.1679,0.9898426667
81,210794.2723,0.9900311968
82,150027.3533,0.9901750392
83,145245.4943,0.990305983
84,176538.9417,0.990475244
85,141673.4932,0.990614118
86,122599.176,0.9907334174
87,137068.0625,0.9908687576
88,127094.0118,0.9909878841
89,130962.1698,0.9911284399
90,98839.68879,0.9912260337
91,119889.9596,0.9913495593
92,103142.4638,0.9914565675
93,120310.7444,0.9915822483
94,90002.68499,0.9916801321
95,90560.4464,0.9917740868
96,98205.8788,0.9918794867
