freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.52163031e+11,0.8506553442
1,1048579914,0.8709182345
2,858001315.9,0.9040784854
3,161645629.9,0.9118876366
4,78269139.58,0.9164250848
5,51099629.73,0.9213623632
6,51088413.51,0.9258049384
7,42080538.42,0.9306839561
8,27383285.18,0.9343880625
9,19924268.09,0.9370831959
10,22477080.71,0.9407751704
11,24857049.03,0.9446178964
12,12147488.05,0.9469652922
13,8608485.644,0.948878334
14,13020869.08,0.9516461201
15,7596730.575,0.9534077222
16,7087301.596,0.9550511931
17,7273220.726,0.9570891483
18,5771294.065,0.9587620265
19,5509562.519,0.9603590387
20,4616849.845,0.9617418958
21,4060164.987,0.9631541603
22,3076133.904,0.9641647015
23,2730843.706,0.9650881969
24,2417734.343,0.9659758884
25,1975755.703,0.9667776632
26,1965968.42,0.9676134569
27,2126073.247,0.9684556893
28,1642742.643,0.9691223251
29,1501648.169,0.969818758
30,1433244.441,0.9704696187
31,1288383.625,0.9711169377
32,1417315.214,0.9718016472
33,1199221.008,0.9724041685
34,1071773.577,0.9729944345
35,932097.657,0.9734627458
36,957352.6921,0.9739992459
37,947677.248,0.9745211674
38,884159.0093,0.9750679066
39,1075936.279,0.975712444
40,1063171.593,0.9763185174
41,971406.2764,0.976956751
42,1002105.561,0.9775957899
43,774659.3215,0.978134696
44,763620.5949,0.9786437884
45,562976.7711,0.9790136755
46,643746.1854,0.9794739493
47,590958.5645,0.9798907705
48,424099.7381,0.9802103894
49,486548.08,0.9805676698
50,455474.15,0.9809373387
51,467882.6224,0.9813035163
52,377634.9355,0.9815881174
53,389645.3701,0.9819118883
54,352284.5737,0.9821875958
55,310373.6519,0.9824694877
56,327542.4612,0.982741655
57,279347.5773,0.9829845716
58,314634.8218,0.9832612136
59,269235.8486,0.9835005399
60,264075.3137,0.9837505881
61,294144.9163,0.9840262667
62,309787.8083,0.9843195992
63,321304.018,0.9846300452
64,296237.3981,0.9849076848
65,258548.6867,0.9851774811
66,212483.0611,0.9853827836
67,215811.7891,0.9856038134
68,231872.9769,0.9858569754
69,239253.18,0.98609739
70,218302.9678,0.9863336268
71,210429.1058,0.986551177
72,175367.5225,0.9867545064
73,183483.0194,0.9869601541
74,187629.6842,0.9871704493
75,146324.0881,0.9873386906
76,158513.3363,0.9875224785
77,154195.8921,0.98770722
78,151707.8814,0.9878816515
79,154667.5895,0.9880669581
80,131963.1937,0.9882327128
81,131806.5535,0.9883919032
82,129203.2566,0.9885591848
83,129288.4689,0.9887165832
84,130956.7179,0.988886135
85,110660.44,0.9890326165
86,125912.7181,0.9891980709
87,129683.2317,0.989370986
88,128713.1566,0.9895339021
89,107293.0328,0.9896894029
90,110494.3851,0.9898367322
91,111055.4253,0.9899912478
92,114021.6459,0.990150992
93,115466.3672,0.9903138759
94,116465.3955,0.9904849209
95,99732.26609,0.9906246457
96,97038.46343,0.9907652845
97,84284.17554,0.9908939532
98,99372.87291,0.9910398955
99,87853.82103,0.9911765603
100,98422.19027,0.9913211064
101,82465.51931,0.991453373
