freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.713519626e+11,0.8842236933
1,1461028244,0.906149997
2,591960667,0.9239176336
3,617772634.2,0.9470956086
4,190022371.7,0.9556508605
5,100256730.7,0.9631738483
6,65494520.55,0.9675969233
7,42152997.84,0.9713925765
8,16479323.89,0.9731237646
9,25464515.53,0.9757988661
10,16256218.74,0.977872563
11,8143242.014,0.9788502372
12,6906968.589,0.9798867968
13,6449402.075,0.980999871
14,6786343.666,0.9821201736
15,5715342.794,0.983149446
16,4370948.336,0.9839366073
17,2682067.472,0.9845202466
18,3600584.598,0.9853307804
19,2475169.811,0.9858879701
20,1842060.388,0.9863164617
21,1751975.74,0.98678973
22,1604293.685,0.987199028
23,2012104.008,0.9877274675
24,1998564.772,0.9882973413
25,1270966.823,0.9886978946
26,1019568.341,0.9890345192
27,1377259.361,0.9894582367
28,1025067.571,0.9897812933
29,935569.6145,0.9901182655
30,784332.4697,0.99039488
31,550064.3971,0.9906095116
32,613823.1948,0.9908398096
33,611623.179,0.991078461
34,490207.6684,0.9912881289
35,644609.144,0.9915396512
36,666348.6903,0.9918296568
37,649477.4469,0.9921074463
38,391239.6254,0.9922953345
39,345052.5954,0.9924558636
40,373629.4019,0.9926212767
41,362685.2255,0.992806338
42,261450.6965,0.9929358204
43,437367.4691,0.993172116
44,263873.9954,0.9933087386
45,292149.5792,0.9934578089
46,273446.3849,0.993609647
47,271230.6887,0.9937582195
48,248090.029,0.9939034242
49,198214.5446,0.9940164626
50,156946.9509,0.9941153883
51,177766.4338,0.994223435
52,190052.8666,0.9943346711
53,149027.6296,0.9944308417
54,145833.7947,0.9945194797
55,162557.3625,0.9946341395
56,150356.7017,0.9947311677
57,128182.0295,0.9948177336
58,157314.7932,0.9949251542
59,123977.2101,0.9950107409
60,110990.8498,0.9950923597
61,112202.6057,0.9951740276
62,104257.7331,0.9952506951
63,100440.8994,0.9953260632
64,96270.00558,0.9953961344
65,89959.86301,0.9954690381
66,99473.04133,0.9955436799
67,121095.4599,0.9956399986
68,108394.1227,0.9957319082
69,96041.77695,0.995806858
70,89482.83672,0.9958820609
71,69996.57798,0.995938261
72,79892.02045,0.9960101995
73,72024.66338,0.9960728921
74,76665.6953,0.9961396244
75,76854.50592,0.9962082511
76,75839.00798,0.99627654
77,65011.17271,0.9963370305
78,77237.00318,0.9964059987
79,78658.0146,0.996479187
80,79825.88313,0.9965570559
81,84949.33106,0.9966367354
82,68172.1863,0.9967052824
83,76352.57173,0.9967774714
84,72718.21575,0.9968505895
85,65159.26599,0.9969175739
86,71914.96116,0.9969909636
87,58599.77041,0.9970516445
88,66294.04035,0.9971168107
89,76471.65204,0.997202884
90,59581.51723,0.9972645815
91,53168.15426,0.9973220316
92,66144.50194,0.9973939995
93,52219.19304,0.9974512079
94,48915.08704,0.9975069988
95,52893.91217,0.9975645495
96,49647.85958,0.997620431
97,45821.60195,0.9976747566
98,40726.13687,0.9977212074
99,37167.53369,0.9977661095
100,54871.32781,0.9978286939
101,57020.92536,0.9978997202
102,35014.19589,0.9979420208
103,43508.97846,0.9979929516
104,39297.56843,0.9980424911
105,40792.32377,0.9980917723
106,33807.73717,0.9981359133
107,40019.35823,0.9981863627
108,33593.01864,0.9982282068
109,30690.3268,0.9982675867
110,40492.7468,0.9983198482
111,26158.38542,0.9983551796
112,23823.66374,0.9983864637
113,23750.43871,0.9984181863
114,28800.18579,0.9984583825
115,24665.34243,0.9984916972
116,38636.21283,0.9985435921
117,25317.35754,0.9985785474
118,29728.69343,0.9986204856
119,25815.05554,0.9986570966
120,25034.80257,0.9986924132
121,18278.86898,0.9987176506
122,24334.91473,0.9987528929
123,18552.2758,0.9987815704
124,17925.45599,0.9988068578
125,26515.44181,0.9988470487
126,17697.49866,0.9988721473
127,17775.19086,0.9988993569
128,22375.90288,0.9989339448
129,16826.43296,0.9989588182
130,15555.75531,0.9989833307
131,14780.40373,0.9990057341
132,13937.97312,0.9990283248
133,13806.07524,0.9990501838
134,18780.75931,0.9990783689
135,15881.78956,0.9991045869
136,24452.56439,0.9991436692
137,16501.93884,0.9991706633
138,10744.42308,0.9991880779
139,10318.26356,0.9992045695
140,8990.653691,0.9992199512
141,12558.32789,0.9992404942
142,11026.6336,0.9992590282
143,17827.22408,0.9992891265
144,9670.986624,0.9993056721
145,8058.481918,0.9993198218
146,6407.845192,0.9993307366
147,9335.289775,0.9993467078
148,8362.733688,0.9993616427
149,6800.095464,0.9993736849
150,8614.80706,0.9993890053
151,10781.67292,0.9994076129
152,5697.367176,0.9994180443
153,6420.705097,0.9994294627
154,6323.424058,0.999441325
155,6884.331469,0.999453723
156,5159.380432,0.9994631693
157,4654.718861,0.9994720759
158,4561.580336,0.9994802908
159,4770.082298,0.9994892392
160,4649.655856,0.9994979965
161,4442.583117,0.9995067972
162,4059.395689,0.9995145951
163,3911.43465,0.9995219033
164,3655.336136,0.9995290348
165,5832.592443,0.9995403264
166,3665.208898,0.9995477522
167,3488.56448,0.9995544797
168,2747.88459,0.9995597583
169,2895.664782,0.9995657118
170,2787.587382,0.9995713386
171,2770.297102,0.9995769512
172,2369.384988,0.9995816805
173,2364.752141,0.9995866134
174,2538.110017,0.999591889
175,2486.022565,0.9995969257
176,2272.922091,0.9996016671
177,2502.80135,0.9996067565
178,2276.151778,0.9996116755
179,2213.07934,0.9996163917
180,2776.098799,0.9996221619
181,2418.200704,0.9996273515
182,2444.553687,0.9996327077
183,2694.666961,0.9996386524
184,2709.835633,0.9996443256
185,2360.940654,0.9996494986
186,2210.689679,0.9996544751
187,2278.43967,0.9996594845
188,2283.193034,0.9996645557
189,2351.146239,0.9996697072
190,2375.709163,0.9996750196
191,2210.641952,0.9996801121
192,2024.81724,0.999684579
193,1604.14254,0.9996883346
194,1739.069639,0.9996922364
195,1793.468109,0.9996964352
196,1648.952221,0.9997002957
197,1699.478501,0.9997041979
198,1670.473942,0.9997081464
199,1750.886479,0.9997121929
200,1711.339744,0.9997163535
201,1490.536207,0.9997198096
202,1327.389936,0.9997228973
203,1205.909698,0.9997259015
204,1400.930331,0.9997292339
205,1308.464634,0.9997324739
206,1292.7273,0.9997355392
207,1620.097227,0.9997395023
208,1737.954583,0.9997438189
209,1591.837104,0.9997477129
210,1346.576635,0.9997510271
211,1372.777622,0.9997544985
212,1069.554913,0.9997571791
213,1120.342742,0.9997600038
214,1155.064438,0.999762916
215,1558.79711,0.9997667876
216,1432.944641,0.9997705079
217,1549.119369,0.9997745067
218,1258.593135,0.9997777082
219,1296.788262,0.999781075
220,1048.682768,0.9997837977
221,968.6921406,0.9997863345
222,762.5992971,0.9997883717
223,931.7762576,0.9997907769
224,755.9634878,0.9997928076
225,830.386221,0.9997949823
226,741.3388309,0.9997969626
227,822.1122185,0.9997991464
228,789.1293186,0.9998012959
229,741.4983835,0.9998033768
230,843.8222595,0.9998055929
231,727.5512558,0.9998075583
232,792.9627981,0.9998097182
233,660.1138516,0.999811541
234,746.2714869,0.9998136578
235,822.7671923,0.9998158865
236,861.224386,0.9998182776
237,929.4011617,0.9998209277
238,845.7929897,0.9998232315
239,743.0885208,0.9998253727
240,736.3495311,0.999827395
241,690.3939448,0.9998294257
242,667.5717133,0.9998313643
243,707.4394117,0.9998333709
244,641.4086735,0.9998352383
245,767.1166604,0.9998373854
246,669.4404225,0.9998394148
247,612.942136,0.9998411902
248,597.712308,0.9998429035
249,598.2790333,0.9998446588
250,566.3734629,0.9998463077
251,577.4808145,0.9998480411
252,537.7652201,0.999849635
253,534.8663865,0.9998512323
254,535.3738408,0.9998528553
255,512.2787618,0.999854416
256,537.8232284,0.9998560262
257,555.2904818,0.9998576846
258,585.0471811,0.9998595021
259,615.6654109,0.9998613731
260,641.0282089,0.9998633452
261,553.6603673,0.9998650486
262,553.8226709,0.9998667566
263,603.1402387,0.9998686303
264,636.2534378,0.9998705877
265,664.510593,0.9998727119
