freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.834968132e+11,0.807006181
1,5625382416,0.9017077425
2,758226109.8,0.9272367434
3,128084204.7,0.9326273877
4,169741290,0.941200013
5,90632242.52,0.9488288409
6,37557017.03,0.951674014
7,52359698.77,0.9569627694
8,42652358.45,0.9619890436
9,9291116.781,0.963083935
10,13400584.4,0.9650014897
11,15817481.32,0.9671317487
12,6289471.635,0.9681905616
13,6170783.202,0.9693852186
14,5096274.497,0.9703289547
15,4694073.892,0.971277234
16,3198010.8,0.9719232842
17,3628624.535,0.9728090423
18,3543616.702,0.9737038775
19,3665070.729,0.9746293824
20,3698429.398,0.975594442
21,2700149.017,0.976412653
22,2583513.523,0.977152028
23,2836970.16,0.9779878194
24,2543473.793,0.9788013726
25,2404957.053,0.9796515933
26,1859055.986,0.9803401192
27,1724032.482,0.980935102
28,2091092.777,0.9816743628
29,1525869.504,0.9822908637
30,1002489.913,0.9826874639
31,1300362.804,0.9832566352
32,1164476.448,0.9837467251
33,1108054.215,0.9842317226
34,1109009.225,0.9847638126
35,779976.7826,0.9851052099
36,852150.5023,0.9855212349
37,770902.7606,0.9858911053
38,644205.6665,0.9862381453
39,551985.2846,0.9865262128
40,625082.3275,0.9868366433
41,500612.3917,0.9871231835
42,446905.0727,0.9873714593
43,495758.1694,0.9876719129
44,502694.494,0.9879638762
45,393558.9172,0.9881891413
46,469992.0704,0.9884818916
47,434301.1477,0.9887487549
48,403099.2304,0.9890134109
49,420314.4533,0.9892822937
50,425159.3453,0.9895829055
51,309576.8281,0.9897939765
52,341072.4083,0.9900179086
53,331163.86,0.9902576353
54,341547.1341,0.9904905038
55,260701.3409,0.9906967786
56,309693.9455,0.9909209635
57,269862.8736,0.9911254011
58,248923.3657,0.991316071
59,263160.2116,0.9915198611
60,188176.3168,0.9916750877
61,230054.7368,0.9918629233
62,216868.7468,0.9920418183
63,152224.0986,0.9921699506
64,201628.063,0.9923345764
65,192307.5306,0.992509398
66,166515.979,0.9926495602
67,173386.9343,0.9928042627
68,141103.9547,0.9929384751
69,140518.2898,0.9930614854
70,141312.1565,0.9931947064
71,147495.6689,0.9933275492
72,126719.0026,0.9934555457
73,130497.0032,0.9935829645
74,144929.4571,0.9937244754
75,129137.7066,0.993853828
76,107692.6696,0.9939626063
77,135260.1107,0.9941037842
78,115517.5722,0.9942194939
79,107795.2955,0.9943320054
80,114254.5364,0.9944570289
81,77095.09502,0.9945381459
82,90520.99647,0.9946402467
