freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.562041344e+11,0.9321153452
1,322927997.5,0.9364447793
2,310919242.7,0.9447816493
3,179841692.7,0.9508094075
4,135104583.2,0.9562433716
5,39658487,0.9589018405
6,21066212,0.9601727786
7,26682122.93,0.9623191114
8,17314405.21,0.9639440279
9,15856133.34,0.965432089
10,14126173.74,0.9670418778
11,19150645.11,0.9690958701
12,9895891.033,0.9704225934
13,7754185.251,0.9716181205
14,8024275.065,0.9728014997
15,6769610.817,0.9738906063
16,5131458.583,0.9747161641
17,4130926.529,0.975519211
18,4367272.45,0.9763974788
19,3422693.105,0.9770857898
20,3553119.236,0.9778241476
21,2693727.279,0.9784742048
22,2919853.936,0.9791396855
23,2539702.768,0.9797355485
24,2215357.114,0.980299865
25,2128418.616,0.9808991064
26,2441108.257,0.9816191108
27,1906294.53,0.982143036
28,1980047.19,0.9827005044
29,1440120.452,0.9831638825
30,1294569.207,0.9835717495
31,1373016.839,0.9840503516
32,1201869.725,0.9844531826
33,991073.2996,0.984798648
34,849959.9747,0.9851234126
35,796615.6574,0.9854010946
36,758946.0504,0.9856961709
37,820049.6365,0.986009507
38,689264.8024,0.9863052139
39,597731.0232,0.9865536376
40,581538.51,0.9867836365
41,553775.6053,0.9870360649
42,548706.4809,0.9872788262
43,492850.2184,0.987516698
44,469175.9128,0.9877337082
45,535837.3062,0.9879779598
46,377932.6338,0.988165434
47,361108.0923,0.9883421417
48,319041.8145,0.9885089577
49,369894.166,0.9886974035
50,350574.887,0.9888948073
51,299156.6043,0.9890572421
52,289916.1025,0.9892088292
53,255865.3944,0.9893563338
54,287424.4083,0.9895123983
55,269468.3815,0.9896821957
56,301928.011,0.989856255
57,245011.4418,0.990004072
58,223754.8642,0.9901405647
59,224329.6628,0.9902789117
60,226620.025,0.9904277861
61,206206.326,0.9905618677
62,190883.8268,0.9906872657
63,165124.9673,0.9907979556
64,176670.578,0.9909128322
65,186569.5631,0.9910479025
66,207678.7447,0.991187118
67,164633.4666,0.9913041001
68,163818.0022,0.9914281897
69,151834.9026,0.991534042
70,147104.498,0.9916444853
71,178853.8738,0.9917727708
72,146863.3404,0.991890909
73,135576.2059,0.9919963323
74,145400.1685,0.9921093948
75,120310.0316,0.9922053667
76,132283.7744,0.9923117769
77,138088.2568,0.9924265589
78,125878.984,0.9925269732
79,114160.8639,0.9926218663
80,122061.5157,0.9927282359
81,115818.9735,0.9928252836
82,122514.7668,0.9929353332
83,106318.861,0.9930251332
84,91953.52075,0.993107731
85,93691.36286,0.993193774
86,95049.10043,0.9932804268
87,91669.04916,0.9933652271
88,93040.75959,0.9934469304
89,92795.90533,0.9935402377
90,85684.23719,0.9936195016
91,88023.81358,0.9937044701
92,90236.52984,0.9937921795
93,83765.53138,0.9938741606
94,81856.20751,0.9939575653
95,92208.82464,0.9940471917
96,82315.00852,0.9941299603
97,82326.38071,0.9942171553
98,78627.17861,0.9942972699
99,75123.78036,0.9943783471
100,72397.91845,0.9944521146
101,68919.9749,0.9945288064
102,70689.52189,0.9946050979
103,66338.50249,0.9946744701
104,68427.32915,0.9947515311
105,65204.51193,0.9948219029
106,63467.5983,0.994895931
107,58563.82479,0.994961884
108,55739.51088,0.995023909
109,55073.15965,0.9950870384
110,49592.77601,0.9951442181
111,56350.27728,0.9952122111
112,51383.46831,0.9952724888
113,53578.30176,0.9953364188
114,52758.12914,0.9954021993
115,44304.88881,0.9954556582
116,46471.71283,0.99551142
117,47581.04122,0.9955701078
118,45197.42732,0.9956270674
119,50164.8394,0.9956906234
120,44123.48119,0.9957462296
121,43142.64031,0.9957994428
122,45321.08435,0.9958580773
123,43281.43985,0.9959178447
124,41819.0884,0.9959705468
125,43341.69559,0.9960292353
126,41906.85859,0.9960823289
