freq_radius,radial_mean_power,cumulative_energy_fraction
0,1960274681,0.741075926
1,15780147.22,0.7888010222
2,3676193.945,0.8110374065
3,2654682.03,0.8311092971
4,1081158.874,0.8409187895
5,916712.0548,0.8547811985
6,407811.9102,0.8603313927
7,311408.7209,0.8659822948
8,249312.6006,0.8712603999
9,213844.148,0.8757876154
10,112333.9714,0.8786754067
11,133649.0743,0.8819090469
12,89568.0996,0.8846179229
13,69810.89217,0.8870459682
14,71909.93379,0.8894382776
15,55685.95304,0.8914592606
16,46426.41783,0.8931441918
17,50666.38932,0.8953660878
18,41257.49052,0.8972377602
19,29373.96529,0.8985703288
20,32412.67872,0.9000897648
21,21080.30505,0.9012373505
22,30453.54083,0.9028031007
23,23445.90713,0.9040440124
24,20767.88697,0.9052374004
25,26577.11101,0.906925363
26,22333.8907,0.9084113768
27,22369.69596,0.9097982913
28,18549.78283,0.9109764231
29,19440.75394,0.9123875307
30,16393.49614,0.9135526629
31,15580.83865,0.914777843
32,13003.46258,0.9157610269
33,12999.28869,0.91678321
34,12834.29763,0.9178894586
35,14000.30247,0.9189903552
36,11708.84289,0.9200173015
37,12265.84861,0.9210745528
38,10911.15792,0.922130535
39,12478.27372,0.9233004437
40,11085.29193,0.9242894633
41,10322.02733,0.9253508647
42,9239.070217,0.9262729646
43,9431.581938,0.927299852
44,8100.450984,0.9281450609
45,8533.621054,0.9290225627
46,8071.451478,0.9299257735
47,7692.257264,0.9307749196
48,7274.792347,0.9316329862
49,7538.160144,0.9324993189
50,6776.658603,0.9333601157
51,7742.087437,0.9343084225
52,6642.725668,0.9350919364
53,6070.683337,0.9358814176
54,6330.300684,0.9366567985
55,6871.222722,0.9376335131
56,6411.530888,0.9384673209
57,6038.62651,0.9392891593
58,6134.954886,0.9401333849
59,6325.391682,0.9410133816
60,6068.165426,0.9419126498
61,5131.993018,0.942665422
62,4841.148698,0.9433828532
63,5581.434411,0.944226871
64,5688.015963,0.9450612018
65,4683.053198,0.9458260207
66,5712.698101,0.946689888
67,5232.792801,0.9475286624
68,4759.80927,0.9483420055
69,4334.980322,0.9490237572
70,4267.743805,0.9497465638
71,4705.836056,0.9505079874
72,4252.218086,0.9512796058
73,3997.862094,0.9519808859
74,4008.715253,0.9526840699
75,3629.00623,0.9533371109
76,3523.023647,0.9539764078
77,3389.702592,0.9546120153
78,3484.984523,0.9552391395
79,3591.507135,0.9559125877
80,3045.06665,0.9565112004
81,3458.415458,0.9571649222
82,3824.546157,0.9579399021
83,3572.579644,0.958620606
84,3429.625538,0.959315562
85,2898.171352,0.9599159754
86,2804.56104,0.9604927546
87,3000.97271,0.9611190034
88,2834.23127,0.961680455
89,2504.847377,0.962248625
90,2431.20925,0.9627559744
91,2986.468771,0.9634062931
92,2728.060921,0.9640044675
93,2601.382552,0.9645787993
94,2426.46453,0.9651365284
95,2261.455313,0.9656323915
96,2226.801001,0.9661374927
