freq_radius,radial_mean_power,cumulative_energy_fraction
0,8.878585699e+10,0.7419551264
1,606864520.8,0.7825261144
2,317744416.5,0.8250107365
3,120230472.3,0.8451052917
4,48115279.44,0.8547553093
5,20034267.83,0.8614521091
6,16821020.7,0.8665125539
7,13582389.17,0.8719607315
8,12200956.18,0.8776704637
9,11408927.02,0.8830095468
10,8526974.012,0.8878550368
11,6053278.586,0.8910924973
12,5255824.014,0.8946061971
13,5446917.026,0.898793867
14,4147624.4,0.9018439801
15,3532420.602,0.9046778342
16,3260121.178,0.9072932384
17,3204248.111,0.9103993566
18,2457009.588,0.9128632502
19,2230449.933,0.9150999494
20,2189225.245,0.917368487
21,1720020.952,0.919438295
22,1716990.51,0.9213896697
23,1639445.601,0.9233077151
24,1370547.687,0.9250486061
25,921842.1245,0.926342801
26,876198.6072,0.9276314929
27,742477.5123,0.9286490551
28,652268.9979,0.9295647903
29,680885.3474,0.9306572591
30,667334.8081,0.9317056795
31,652912.6152,0.9328405656
32,485604.4558,0.9336521739
33,621522.9474,0.9347324987
34,530639.8499,0.9357435392
35,407190.6446,0.9364513138
36,475201.4425,0.9373726107
37,413305.9415,0.9381600922
38,356406.6767,0.9389225567
39,341029.7811,0.9396293262
40,300978.3934,0.9402229089
41,272245.4894,0.9408417276
42,294608.459,0.9414916821
43,332657.0206,0.9422922959
44,261253.1205,0.9428948616
45,269160.4298,0.9435066679
46,218884.19,0.944048095
47,246742.2673,0.9446501833
48,210840.6429,0.9451999049
49,232824.6047,0.9457913798
50,233852.6645,0.9464480018
51,206375.8762,0.9470067779
52,247164.1833,0.9476512053
53,210988.1539,0.9482577326
54,205935.1021,0.9488153152
55,177175.7704,0.9493720214
56,179209.9751,0.949887196
57,170158.1355,0.9503991006
58,143063.6831,0.9508342763
59,138220.709,0.9512593408
60,132146.9336,0.9516922302
61,109593.8006,0.9520475763
62,115954.5865,0.9524274226
63,132022.0611,0.9528687291
64,122803.1637,0.9532669052
65,130112.5046,0.9537366226
66,107480.5289,0.9540958948
67,113479.5422,0.9544979792
68,114725.1345,0.9549313213
69,101121.4452,0.9552828578
70,102114.1274,0.955665152
71,98392.91178,0.95601707
72,97576.05932,0.9564084677
73,104753.7795,0.9568146505
74,69623.79312,0.9570846168
75,91513.76146,0.9574486385
76,96095.55311,0.9578340976
77,97196.65079,0.9582369694
78,79874.77058,0.9585546937
79,82264.49538,0.9588956729
80,75821.17164,0.9592251519
81,72562.33838,0.9595283421
82,74129.39273,0.9598603811
83,82285.18376,0.9602069471
84,79737.41587,0.9605641055
85,71919.81894,0.9608934595
86,73942.58281,0.9612296051
87,68581.15826,0.9615459623
88,70365.80987,0.9618540872
89,66519.10594,0.9621876146
90,72439.56709,0.9625217702
91,68656.63233,0.9628522454
92,67398.21326,0.9631789161
93,58867.76411,0.9634662086
94,62033.02343,0.9637813898
95,55491.686,0.9640503511
