freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.465995968e+11,0.8663789778
1,902131142.5,0.8844191017
2,307252479.3,0.8967074986
3,125251382.2,0.9029692004
4,130222494.4,0.9107814678
5,111346859,0.9219146115
6,73017748.69,0.9284852987
7,33676132.79,0.9325258749
8,24089947.2,0.9358980004
9,39944848.85,0.9414895047
10,23809749.8,0.9455366016
11,15092184,0.9479510165
12,15001378.57,0.9509508767
13,10573373.59,0.9533824158
14,11209225.04,0.9558481038
15,15580531.46,0.9595869134
16,10655785.88,0.9621439478
17,5852755.53,0.9638410118
18,6257390.527,0.965717969
19,5887840.26,0.9674840764
20,3273254.667,0.9684986448
21,4932833.111,0.9702742188
22,3393478.137,0.9714278415
23,4343879.968,0.9729479889
24,2883027.272,0.9740433876
25,2792218.2,0.9752159568
26,2267041.14,0.9762133167
27,1573754.842,0.9768584668
28,2171381.181,0.9777703206
29,1397485.884,0.9784410209
30,1420171.941,0.9791084093
31,1073012.389,0.9796662985
32,1401744.919,0.9803670738
33,1241232.04,0.9810124251
34,943695.2851,0.9815502569
35,1024095.293,0.9820827127
36,799240.5501,0.982546208
37,679707.3455,0.9829335876
38,619812.9051,0.9833302129
39,579513.9242,0.9836894617
40,579481.7623,0.9840313086
41,565990.9373,0.9844161292
42,450315.7962,0.9847132964
43,484932.0258,0.9850623991
44,403298.6538,0.9853406366
45,356462.5968,0.9855829976
46,331448.8646,0.9858282358
47,372978.26,0.9861004722
48,303115.2879,0.9863368694
49,288916.2275,0.9865564153
50,335928.5308,0.9868385562
51,267435.489,0.987055149
52,312656.8287,0.9872989875
53,265220.4731,0.9875270455
54,218500.0247,0.987704006
55,230273.4572,0.9879204331
56,226659.4472,0.9881153332
57,214231.9852,0.9883081153
58,180905.2587,0.9884727163
59,188875.6842,0.9886464579
60,186718.9937,0.9888294171
61,181108.2355,0.9890050678
62,199622.5287,0.9892006708
63,177600.1814,0.9893782464
64,170491.1334,0.9895435998
65,194844.5768,0.9897540028
66,177339.4901,0.9899313178
67,193340.2268,0.99013623
68,155411.8209,0.9903118211
69,145122.7473,0.9904627278
70,124372.2169,0.9906020054
71,129720.9779,0.9907407876
72,126891.8993,0.9908930368
73,135517.7309,0.9910502156
74,124653.194,0.9911947933
75,118373.8781,0.9913356387
76,131465.8161,0.9914933758
77,100148.9598,0.9916175433
78,133833.8926,0.9917767836
79,127579.095,0.9919349598
80,116329.8904,0.9920861677
81,111186.515,0.9922251316
82,90377.35321,0.9923462205
83,93391.06207,0.9924638769
84,92944.73093,0.9925884056
85,82790.62704,0.992701813
86,94345.05197,0.9928301045
87,85819.55324,0.9929485191
88,84530.41106,0.9930592386
89,79656.35397,0.9931787066
90,77145.19112,0.9932851522
91,74585.28811,0.9933925402
92,63398.05802,0.9934844546
93,63572.9249,0.9935772582
94,65525.0528,0.9936768425
95,65391.80411,0.9937716475
96,60185.06299,0.9938619126
97,60167.62286,0.9939569643
98,60002.42211,0.9940481553
99,57780.08633,0.9941411684
100,51524.69034,0.994219475
101,47217.4389,0.9942978451
102,47792.59924,0.9943747806
103,54478.76713,0.9944597557
104,48243.83207,0.9945407941
105,51043.93802,0.9946229634
106,43331.09846,0.9946983491
107,50053.37157,0.9947824271
108,45407.57008,0.9948577933
109,42450.3761,0.9949303733
110,42685.8247,0.9950037828
111,38504.99137,0.9950730822
112,39319.87995,0.9951418824
113,33370.28629,0.9952012733
114,35264.50194,0.9952668562
115,36822.78726,0.995333128
116,34022.77306,0.9953940204
117,32082.09679,0.9954530433
118,29680.34346,0.9955088346
119,31721.7993,0.9955687805
120,34029.70707,0.9956327475
121,32098.32797,0.9956918002
122,28844.56486,0.9957474625
123,24839.92396,0.9957986257
124,29546.91788,0.9958541662
125,26347.35022,0.9959073804
126,26199.98664,0.9959568916
127,24733.82345,0.9960073416
128,22709.0462,0.9960541157
129,25046.11256,0.9961034497
130,23238.34141,0.9961522435
131,24650.66039,0.9962020309
132,21613.2508,0.9962487091
133,20952.16303,0.996292912
134,24992.08949,0.9963428893
135,22233.8362,0.9963917969
136,21509.2892,0.9964376054
137,19704.94255,0.9964805562
138,20331.47125,0.9965244661
139,20640.84182,0.996568425
140,19641.98607,0.9966132025
141,18271.72715,0.9966530294
142,19384.32627,0.9966964443
143,20120.22161,0.9967417085
144,19840.91041,0.9967869395
145,17093.17077,0.996826932
146,18995.47895,0.9968700457
147,16127.01828,0.9969068103
148,16305.64714,0.9969456123
149,15307.52667,0.9969817331
150,13929.84158,0.9970147422
151,15459.02593,0.9970502931
152,14364.46421,0.9970853375
153,14455.80901,0.997119593
154,14015.48549,0.9971546269
155,13386.4533,0.9971867499
156,12447.67081,0.997217118
157,13223.8419,0.9972508342
158,14052.40942,0.9972845553
159,12393.14432,0.9973155338
160,13520.7606,0.9973494663
161,13193.96545,0.9973842935
162,12347.145,0.9974158978
163,12352.40132,0.997446651
164,12377.08464,0.997478827
165,11553.20491,0.9975086301
166,11684.24066,0.9975401732
167,11878.01007,0.9975706955
168,10796.10457,0.9975983297
169,10867.12964,0.9976281015
170,10582.13575,0.9976565635
171,9336.644318,0.9976817689
172,9768.705291,0.9977077501
173,10912.30733,0.9977380821
174,9991.965521,0.997765756
175,9629.817496,0.9977917529
176,9126.026755,0.9978171198
177,9030.947763,0.9978415902
178,9406.313051,0.9978686767
179,9400.904858,0.9978953715
180,9573.429601,0.9979218863
181,8824.620716,0.9979471212
182,8489.814888,0.997971908
183,8852.798517,0.9979979316
184,8452.4708,0.9980215108
185,7940.595276,0.9980446941
186,7764.852855,0.9980679854
187,7742.171116,0.9980906668
188,7643.317955,0.9981132879
189,7619.737951,0.9981355345
190,7709.653731,0.9981585061
191,6807.540514,0.9981794023
192,6708.910369,0.9981991238
193,6954.517998,0.9982208189
194,6194.015611,0.9982393364
195,7160.125357,0.9982616729
196,6865.551488,0.9982830905
197,6441.875152,0.9983027999
198,6296.84758,0.9983226322
199,6438.899167,0.9983424613
200,6282.961278,0.9983628152
201,6060.433465,0.9983815394
202,5911.902384,0.9983998637
203,5527.120947,0.9984182112
204,5872.620717,0.9984368249
205,5385.060751,0.9984545931
206,5672.083633,0.9984725144
207,5124.536423,0.9984892181
208,5288.68676,0.9985067212
209,5425.030384,0.9985244044
210,5342.379322,0.9985419249
211,5118.764242,0.9985591728
212,4922.932898,0.9985756131
213,5089.592985,0.9985927118
214,4801.626088,0.998608843
215,4585.068211,0.9986240175
216,5068.088994,0.9986415506
217,4676.911245,0.998657637
218,4512.992619,0.9986729339
219,4312.72124,0.9986878539
220,4534.295287,0.9987035403
221,4385.364244,0.9987188431
222,4455.975991,0.9987347042
223,4035.851135,0.9987485856
224,4114.760476,0.9987633144
