freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.440135467e+11,0.8470337631
1,3679415102,0.9195097188
2,482728299,0.9385269777
3,75851332.09,0.9422622166
4,92573848.3,0.9477326878
5,25054712.89,0.9502002869
6,20705996.45,0.9520356576
7,21250836.27,0.9545472112
8,14086110.63,0.9564894575
9,8848696.212,0.9577095492
10,6014274.583,0.9587165211
11,5791181.883,0.9596291041
12,9576927.42,0.9615155369
13,8231012.769,0.9633800537
14,6103066.396,0.9647024327
15,6752487.812,0.9662985331
16,7189727.411,0.9679979848
17,4724934.194,0.9693475036
18,6050381.513,0.9711351811
19,4771873.185,0.9725451039
20,3932415.668,0.9737457258
21,3460746.511,0.9749727623
22,2451559.773,0.9757936931
23,2042354.435,0.976497712
24,1901127.94,0.9772092206
25,1978898.756,0.9780277947
26,1764921.851,0.9787926219
27,1696278.499,0.9794775835
28,1824195.209,0.9802321643
29,1279675.516,0.9808371237
30,1379537.879,0.9814757057
31,1203571.787,0.9820921027
32,1283407.157,0.9827241064
33,963184.2139,0.9832173914
34,1117364.199,0.9838446618
35,932707.4706,0.9843223384
36,999248.4483,0.9848931419
37,995335.6803,0.9854519074
38,711074.1793,0.9859001159
39,708246.0873,0.9863325909
40,731616.6089,0.9867577199
41,631467.8511,0.9871806273
42,670121.3377,0.987616222
43,548868.0506,0.9880054335
44,578713.5534,0.9883987099
45,398550.7695,0.9886656278
46,505086.9096,0.9890337424
47,470563.987,0.9893720616
48,390724.0051,0.9896722196
49,409657.4133,0.9899788531
50,395239.1305,0.9903058355
51,415911.5281,0.9906376315
52,353692.6125,0.9909093416
53,287713.2762,0.9911530348
54,298634.5425,0.9913912724
55,252650.5489,0.991625174
56,252071.7978,0.9918386789
57,219819.2027,0.9920335257
58,195290.1784,0.9922085535
59,178210.8594,0.9923700292
60,177250.8064,0.9925411093
61,162611.7651,0.9926964584
62,183511.5124,0.9928735813
63,148010.2876,0.9930193543
64,132500.417,0.9931459369
65,131229.8026,0.9932855228
66,124405.4046,0.9934080477
67,113224.3982,0.9935262514
68,97433.08119,0.9936346865
69,91056.58141,0.9937279539
70,105484.8903,0.9938443112
71,100028.4304,0.9939497237
72,99810.5563,0.9940676859
73,99213.36636,0.9941810338
74,86094.24647,0.9942793935
75,86731.10824,0.9943810434
76,78538.303,0.9944738648
77,85044.63219,0.9945777261
78,67029.50864,0.9946562855
79,62652.34669,0.9947328001
80,72451.58459,0.9948255634
81,57696.6179,0.994896594
82,60008.62294,0.9949757901
83,55675.28948,0.9950448806
84,58068.02263,0.9951215156
85,54870.42504,0.9951955518
86,47788.40612,0.9952595616
87,54686.33647,0.995333888
88,61681.93926,0.9954134699
89,57417.65968,0.9954982945
90,52244.93776,0.9955693027
91,53062.58133,0.9956445578
92,48503.49387,0.9957138248
93,49956.56815,0.9957856589
94,46529.35115,0.9958553145
95,46692.18942,0.9959219947
96,43251.33521,0.9959858911
97,42522.19738,0.9960520606
98,38774.28228,0.9961101066
99,36226.55011,0.9961675497
100,36028.0785,0.9962214846
101,34167.35737,0.9962773451
102,30868.14603,0.9963262916
103,34761.99349,0.9963797006
104,32093.16044,0.9964328021
105,33937.1625,0.996486615
106,32763.63059,0.996542762
107,37479.18627,0.9966047753
108,32848.27906,0.9966584792
109,34655.23151,0.9967168439
110,34567.49055,0.9967754012
111,32966.38237,0.9968338438
112,28595.84722,0.9968831301
113,29711.58116,0.9969352172
114,29988.17937,0.9969901521
115,31469.8093,0.9970459415
116,32444.9744,0.9971031402
117,27032.73175,0.9971521285
118,28328.45905,0.997204581
119,26058.4604,0.997253087
120,27713.86316,0.9973044015
121,26533.8394,0.9973524858
122,25601.32001,0.9974011495
123,23117.86188,0.9974480524
124,20208.10888,0.9974854694
125,19134.24532,0.9975235363
126,18574.20187,0.9975581109
127,20119.30064,0.9975985339
128,19016.05759,0.9976371148
129,19341.24783,0.9976746412
130,19776.06256,0.9977155431
131,17926.08908,0.9977512065
132,18148.95898,0.9977898157
133,17308.77614,0.9978257851
134,17674.75091,0.9978606003
135,16626.1612,0.9978966249
136,14698.37407,0.9979274592
137,14055.85993,0.9979576378
138,14852.15315,0.9979892336
139,13162.075,0.998016845
140,13121.44533,0.9980463097
141,14467.85477,0.9980773729
142,13363.06121,0.9981068537
143,12625.84122,0.9981348324
144,12342.4809,0.9981625479
145,11571.94505,0.9981892169
146,10881.29413,0.9982135441
147,12195.23443,0.9982409289
148,11677.21558,0.9982683006
149,10945.32402,0.9982937411
150,10438.3872,0.9983181061
151,10127.05145,0.9983410463
152,10556.70623,0.9983664153
153,10803.91805,0.9983916335
154,9189.942634,0.9984142611
155,8517.743401,0.9984343947
156,8678.147047,0.9984552493
157,7973.917394,0.9984752754
158,8732.569023,0.9984959168
159,8718.560244,0.9985173837
160,8028.600491,0.9985372309
161,7554.499527,0.9985568733
162,7110.254328,0.9985748004
163,7326.076397,0.9985927666
164,7542.900148,0.9986120817
165,6636.497215,0.998628945
166,6922.992475,0.9986473546
167,6793.956405,0.9986645511
168,6807.940313,0.998681716
169,7485.219054,0.9987019155
170,6585.878602,0.9987193637
171,6136.965283,0.998735683
172,6422.073106,0.9987525075
173,6325.997796,0.998769828
174,5835.771853,0.9987857487
175,5372.625359,0.9988000355
176,5513.868412,0.9988151324
177,5749.974651,0.9988304793
178,5544.768224,0.9988462068
179,5298.363884,0.9988610267
180,5585.39357,0.9988762644
181,5779.165473,0.998892543
182,5252.590387,0.9989076487
183,4862.845892,0.9989217294
184,4741.569522,0.9989347584
185,4665.225823,0.9989481749
186,4848.258645,0.9989624998
187,4722.586915,0.9989761279
188,4580.824953,0.9989894821
189,4619.366051,0.9990027668
190,4137.886546,0.9990149113
191,4708.266363,0.9990291472
192,4422.883319,0.9990419539
193,3992.257871,0.9990542215
194,4293.901002,0.9990668662
195,4104.480253,0.9990794786
196,3747.212694,0.9990909932
197,3892.501534,0.9991027242
198,3738.267049,0.9991143217
199,3446.427708,0.9991247763
200,3524.315059,0.9991360224
201,3536.853793,0.9991467861
202,3388.273556,0.999157131
203,3130.570424,0.9991673674
204,3236.993586,0.9991774735
205,3292.309147,0.9991881739
206,3361.069545,0.9991986344
207,3134.275621,0.9992086977
208,3110.603118,0.9992188381
209,3241.601787,0.999229246
210,3194.083452,0.9992395642
211,3081.948646,0.9992497934
212,3239.493909,0.9992604498
213,3009.997968,0.9992704105
214,2648.842896,0.9992791761
215,3006.145966,0.999288976
216,2994.323057,0.9992991798
217,2808.319139,0.9993086943
218,2767.324084,0.9993179338
219,2702.490591,0.999327143
220,2316.416988,0.9993350367
221,2575.359254,0.9993438888
222,2558.41485,0.9993528591
223,2527.095238,0.9993614209
224,2429.337497,0.9993699865
225,2331.313293,0.9993779998
226,2168.418709,0.9993856027
