freq_radius,radial_mean_power,cumulative_energy_fraction
0,7.049012073e+10,0.5408813386
1,2201173329,0.6760008207
2,583657108.1,0.7476566465
3,438108283.4,0.8148900665
4,154657794.7,0.8433711691
5,100955431.3,0.8743570198
6,76900032.38,0.8955993799
7,50902622.62,0.9143473883
8,25004792.51,0.9250918589
9,15867357.8,0.9319100063
10,8306387.061,0.9362440654
11,5095144.774,0.9387461975
12,1711060.669,0.9397965357
13,1250722.275,0.9406794579
14,1440532.71,0.9416521593
15,2075066,0.9431806996
16,2736726.936,0.9451966342
17,3002830.178,0.9478694099
18,3071326.84,0.9506974204
19,3156398.918,0.9536037635
20,2410541.82,0.9558973234
21,1894905.04,0.9579910679
22,1231676.66,0.9592763823
23,734430.8627,0.9600653381
24,386392.3717,0.9605159949
25,323030.4389,0.96093241
26,337058.2056,0.9613875985
27,356631.3018,0.9618363822
28,572091.9962,0.9625738599
29,469415.5228,0.963265424
30,671877.6642,0.9642346427
31,754606.7181,0.9654390066
32,736674.203,0.9665695291
33,592554.6146,0.9675152554
34,556090.0574,0.968488123
35,322258.4569,0.9690024524
36,295570.9038,0.9695286192
37,319055.9202,0.9700868006
38,245592.3792,0.9705692243
39,226187.4433,0.9709996458
40,240207.3505,0.9714346285
41,251159.9023,0.9719588236
42,391869.903,0.9727526391
43,361048.4739,0.9735505084
44,407704.8647,0.9744139415
45,424140.9387,0.9752991649
46,251126.9834,0.9758695377
47,235700.5821,0.976397639
48,178722.3959,0.9768255045
49,138918.3632,0.9771495508
50,123040.9498,0.9774667723
51,120488.6221,0.9777663192
52,116371.9609,0.9780449164
53,182390.7345,0.9785263484
54,216826.0281,0.9790653998
55,239080.823,0.979755173
56,270566.7524,0.9804693512
57,213297.4493,0.9810585501
58,193989.1569,0.9816003671
59,145248.5586,0.9820105082
60,139608.2897,0.9824304326
61,95750.47625,0.9827154992
62,99656.77442,0.9830152543
63,91556.59681,0.9832962654
64,93092.93892,0.9835734201
65,89736.38915,0.9838708784
66,167865.0043,0.9843860998
67,105658.3449,0.9847298503
68,120742.8291,0.9851486183
69,95278.7089,0.9854527509
70,91084.29592,0.9857658597
71,95097.50508,0.9860781703
72,81805.01102,0.9863794673
73,71377.17876,0.9866335945
74,73773.31863,0.9868962527
75,53017.0974,0.9870898934
76,48647.39513,0.9872690673
77,46193.78521,0.9874448754
78,46891.68471,0.9876161435
79,51963.46935,0.9878139104
80,59133.72705,0.9880498562
81,57066.63009,0.9882687967
82,76279.7361,0.9885825207
83,62726.82577,0.9888251021
84,55025.69927,0.9890514123
85,64947.50438,0.9893245092
86,39051.87939,0.9894875193
87,37353.35148,0.9896457324
88,26394.64699,0.9897518582
89,28528.73574,0.9898832014
90,31003.03055,0.9900145171
91,31578.16577,0.9901540843
92,47800.49085,0.9903668169
93,54169.69744,0.9906095578
94,54127.83544,0.9908620791
95,50003.2236,0.9910846148
96,41276.32548,0.9912746465
97,38175.76967,0.9914597773
98,35656.10248,0.9916261228
99,25477.55003,0.9917520204
100,29414.61235,0.9918892477
101,22283.32861,0.9920027806
102,21801.0579,0.9921105107
103,28692.74997,0.9922478929
104,25176.11633,0.99237771
105,28640.43712,0.992519237
106,28278.37319,0.992670258
107,28438.76901,0.9928168985
108,27920.5387,0.9929591528
109,29659.51703,0.9931148189
110,21630.91085,0.9932290112
111,22187.26586,0.9933515885
112,17438.68023,0.9934452553
113,17206.1295,0.9935392572
114,13252.2875,0.9936149122
115,14351.12507,0.9936941974
116,15931.70078,0.9937817258
117,18274.75259,0.9938849314
118,17642.09424,0.9939867299
119,20370.79872,0.994104899
120,21861.80767,0.9942310462
121,19143.84456,0.9943391599
122,16877.80559,0.9944391385
123,15214.76134,0.9945353365
124,14430.09451,0.9946186011
125,10815.21015,0.9946856544
126,10184.1791,0.9947447318
127,8379.938564,0.9947972011
128,10713.62905,0.9948649399
129,11257.4416,0.9949330074
130,11874.46939,0.9950095436
131,13742.49233,0.9950947458
132,13975.32874,0.9951873967
133,15047.85468,0.9952848487
134,14130.98703,0.995371592
135,11258.16846,0.9954476114
136,11931.47974,0.9955256137
137,8806.620936,0.9955845387
138,7931.029655,0.9956371183
139,7609.311669,0.9956868643
140,7128.484359,0.9957367489
141,7962.625187,0.9957900267
142,7985.148024,0.9958449257
143,9127.182872,0.9959079566
144,10178.74593,0.9959791865
145,9298.196373,0.9960459668
146,11834.53982,0.9961284207
147,9743.264162,0.9961966032
148,9024.817854,0.9962625281
149,7969.4125,0.9963202541
150,6481.533298,0.9963674018
151,5708.55897,0.9964077002
152,5249.522288,0.9964470138
153,5051.269004,0.9964837575
154,5621.532183,0.9965268924
155,6163.238965,0.9965722922
156,6833.467286,0.996623468
157,6438.059913,0.9966738562
158,7605.816392,0.9967298823
159,7216.893273,0.9967852587
160,7162.885963,0.9968404404
161,5962.443303,0.9968887532
162,5586.68128,0.9969326494
163,3983.047389,0.9969630897
164,3833.78626,0.9969936836
165,3204.360169,0.997019058
166,4163.408987,0.9970535602
167,4839.519977,0.9970917343
168,5655.042837,0.9971361677
169,5626.833625,0.9971834881
170,6211.024373,0.9972347682
171,5443.949201,0.9972798823
172,5360.585963,0.9973236473
173,4118.197758,0.997358786
174,3943.632773,0.9973923142
175,3558.829039,0.9974218062
176,3007.177646,0.9974474651
177,2968.658853,0.9974721575
178,2772.657531,0.9974966663
179,2703.002822,0.9975202276
180,3282.317802,0.9975481334
181,3540.681933,0.9975792138
182,4304.343091,0.9976177903
183,4120.232229,0.9976549698
