freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.975725027e+11,0.840885968
1,2276555728,0.8794062128
2,486524610.5,0.8958705997
3,344635942.7,0.910449049
4,235299764.3,0.9223931509
5,80753671.26,0.9292250749
6,72116851.36,0.9347161834
7,32970278.66,0.9380634062
8,30280259.77,0.941649886
9,23802058.12,0.9444690693
10,19962608.41,0.9473401603
11,11866772.04,0.948946485
12,14567933.65,0.9514114384
13,9507013.414,0.9532613573
14,9822771.355,0.9550896153
15,6495565.038,0.9564085064
16,6952953.863,0.9578202679
17,6499103.871,0.9594147962
18,5203175.419,0.9607353938
19,3849146.523,0.9617123305
20,3936936.174,0.9627448561
21,4082449.873,0.9639882368
22,3169901.802,0.9649000492
23,2762782.948,0.9657181288
24,2707106.386,0.9665884302
25,2436489.196,0.9674541842
26,2186642.523,0.9682681595
27,1719256.53,0.9688645151
28,1952890.617,0.9695584328
29,1521164.023,0.9701761619
30,1800838.235,0.9708922283
31,1501682.132,0.9715528642
32,1406488.214,0.9721478229
33,1447664.254,0.9727846946
34,1265131.248,0.9733947808
35,1254819.868,0.9739468144
36,1108382.555,0.9744906885
37,1134980.198,0.9750380118
38,1158050.94,0.9756650419
39,884553.2991,0.9761290189
40,917267.4844,0.9765868747
41,841303.8421,0.9770708716
42,863645.6709,0.9775531083
43,746045.0551,0.9780075502
44,704194.6183,0.9784186266
45,645554.8207,0.9787900102
46,675720.2263,0.9792130483
47,651187.5723,0.9796152183
48,528563.6025,0.9799640152
49,569113.5972,0.9803299412
50,513804.7711,0.9806950802
51,512873.0658,0.98104654
52,400506.5905,0.9813108326
53,383898.6802,0.9815901486
54,418306.0794,0.9818768039
55,361162.4435,0.9821640216
56,364969.5002,0.9824295652
57,433337.7078,0.9827595164
58,441670.3944,0.9830995489
59,378773.8042,0.9833943632
60,354167.4035,0.9836880033
61,356708.7103,0.9839807326
62,300815.6347,0.9842301388
63,281422.0444,0.9844682276
64,274027.5332,0.9846931054
65,292970.5997,0.9849607932
66,271989.953,0.9851909022
67,281022.2388,0.9854429178
68,245532.7593,0.9856776478
69,211330.2781,0.9858635891
70,210703.8542,0.98606324
71,230409.3609,0.9862718161
72,208094.2324,0.9864830784
73,209491.0599,0.9866886695
74,235905.9487,0.9869201837
75,219515.2699,0.9871411838
76,197143.9767,0.9873413292
77,180966.873,0.9875311752
78,198880.7443,0.9877314012
79,207425.4366,0.987949004
80,191415.5953,0.9881595279
81,152747.1638,0.9883210619
82,154700.965,0.9884964413
83,153303.2035,0.9886598603
84,158835.0431,0.9888399263
85,160405.4995,0.989025844
86,142072.2131,0.9891893105
87,142100.9466,0.9893552145
88,165092.044,0.9895381838
