freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.995357757e+11,0.8964555845
1,595531430.6,0.9071453401
2,190952285.9,0.9140005057
3,231524591.3,0.9243901391
4,101990719.9,0.9298823222
5,49435760.35,0.9343191678
6,47852812.76,0.9381844666
7,33176335.99,0.9417575468
8,18144767.49,0.9440374296
9,6603601.281,0.9448671695
10,12691934.38,0.9468036353
11,8113822.265,0.9479687766
12,8509872.116,0.9494962938
13,6425676.294,0.9508227099
14,6345995.737,0.9520757228
15,5692088.888,0.9533017949
16,4371177.171,0.9542433435
17,3788036.985,0.9552292718
18,3258181.136,0.9561065343
19,2933486.334,0.956896373
20,3428578.109,0.9578502861
21,2800796.141,0.9587552205
22,2674067.477,0.9595712097
23,2342062.948,0.9603069079
24,1657275.788,0.96087212
25,1383599.851,0.9613936664
26,1642453.728,0.9620422693
27,1760106.502,0.9626899425
28,1503272.181,0.9632565991
29,1356722.303,0.9638410733
30,1249362.705,0.964368084
31,1457639.772,0.9650483624
32,1318752.932,0.9656401509
33,1166465.084,0.9661845384
34,912341.3991,0.966651268
35,735420.1075,0.9669944875
36,779298.9081,0.9674001503
37,893883.4151,0.9678574373
38,730782.5995,0.9682771975
39,792167.5515,0.9687179977
40,661275.0222,0.9690681583
41,616855.94,0.9694446243
42,686615.9488,0.96985134
43,567064.5143,0.9702177759
44,551579.6155,0.9705593543
45,609220.5912,0.9709311605
46,552396.4974,0.9712980334
47,545177.8527,0.9716552192
48,576676.884,0.9720589206
49,559280.9449,0.9724404049
50,427282.8442,0.9727625325
51,509575.2446,0.9731329798
52,486506.2515,0.9734735574
53,510066.1033,0.9738672507
54,489061.9667,0.9742227854
55,492406.8691,0.9746382031
56,598108.4193,0.9750998517
57,641327.3391,0.9756178822
58,561666.5485,0.9760766079
59,481984.3908,0.9764745812
60,607124.4348,0.9770085758
61,529018.1388,0.9774691243
62,508491.8753,0.9779163669
63,473792.4699,0.9783415943
64,352655.8402,0.9786486067
65,398751.0556,0.9790351149
66,346153.2204,0.9793457864
67,353174.1898,0.9796817777
68,341069.4532,0.9800276807
69,317329.3456,0.980323875
70,316707.3054,0.9806422282
71,323068.484,0.9809524779
72,328607.2838,0.9813063869
73,366931.6404,0.9816883982
74,386360.7234,0.9820906371
75,323694.8604,0.9824363502
76,271704.3409,0.9827289749
77,296448.7638,0.9830588916
78,249582.8112,0.9833254515
79,248648.0199,0.983602171
80,256023.1587,0.9839008851
81,255506.2213,0.9841875302
82,235956.2185,0.9844713021
83,227876.5944,0.9847289955
84,205960.1732,0.9849766928
85,237959.2379,0.9852692806
86,177543.9241,0.98548599
87,207353.0943,0.9857428064
88,164907.7279,0.9859366919
89,182370.3463,0.9861822072
90,149778.7589,0.9863677151
91,147571.8099,0.9865584363
92,148821.0674,0.9867521077
93,145982.6477,0.9869433955
94,127716.5901,0.9871176259
95,128421.6113,0.9872847501
96,134765.844,0.987466178
97,127449.7666,0.9876469076
98,130027.3197,0.9878242903
99,122161.1101,0.9880008095
100,125041.1718,0.9881713901
101,127654.8623,0.9883615761
102,126742.6238,0.9885447155
103,107275.11,0.9886949109
104,106203.3435,0.9888550438
105,117276.3561,0.9890245047
106,110825.3113,0.9891975745
107,102125.7868,0.9893515592
108,98561.73643,0.989498401
109,103059.6625,0.9896565687
110,100928.978,0.9898123723
111,88176.81968,0.9899548215
112,90046.35875,0.9900962501
113,71385.83788,0.9902102922
114,83073.09444,0.9903489698
115,72517.20914,0.990466121
116,80416.15664,0.9905953112
117,85437.79152,0.9907364027
118,75358.08188,0.990863554
119,75798.16968,0.9909921281
120,74903.19324,0.9911185119
121,65495.24821,0.9912266704
122,56514.02827,0.9913245623
123,56796.22216,0.9914295697
124,59338.25564,0.9915296908
125,51850.16758,0.9916236923
126,57400.46317,0.9917210589
127,63896.48605,0.9918380466
128,54820.92793,0.991939402
129,57203.3765,0.9920405415
130,48094.83692,0.992131188
131,51220.01581,0.992224047
132,55995.6571,0.9923325999
133,52080.46573,0.9924312256
134,51768.16597,0.9925241492
135,52235.63477,0.9926272881
136,45559.68461,0.9927143832
137,43967.32092,0.9928004072
138,46324.17278,0.9928902109
139,39715.52065,0.9929661339
140,39725.44473,0.9930474238
141,39316.4044,0.993124348
142,37215.14538,0.9931991651
143,39213.75167,0.9932783522
144,38057.41965,0.9933562288
145,32772.72845,0.9934250562
146,32707.95744,0.9934916928
147,34315.92491,0.9935619132
148,28915.30328,0.9936236776
149,32119.46266,0.9936917096
150,31845.8184,0.9937594478
151,30217.17102,0.9938218234
152,28022.73821,0.9938831902
153,29216.88395,0.9939453365
154,31011.791,0.994014919
155,29319.12075,0.9940780722
156,29833.945,0.9941434054
157,26409.28449,0.9942038461
158,26250.53771,0.9942603896
159,27446.19286,0.9943219718
160,25517.05279,0.9943794545
161,27681.41168,0.9944450427
162,28211.61094,0.9945098615
163,25152.7374,0.994566072
164,25016.02377,0.9946244467
165,24174.63569,0.9946804241
166,27321.25437,0.9947466301
167,23133.0804,0.9947999881
168,23667.52461,0.9948543665
169,24149.46187,0.9949137534
170,23603.25227,0.994970738
171,22653.11236,0.995025632
172,22664.00347,0.9950797387
173,20126.14528,0.9951299543
174,21271.68432,0.9951828371
175,20563.61297,0.9952326678
176,19759.50117,0.9952819685
177,19152.1355,0.9953285507
178,19572.02388,0.9953791403
179,18829.36972,0.9954271343
180,19772.0107,0.9954762889
181,17553.98423,0.9955213472
182,17915.44629,0.995568298
183,18827.16738,0.9956179762
184,17673.40086,0.9956622307
185,16363.96037,0.9957051156
186,16482.98446,0.9957494959
187,16875.32505,0.9957938724
188,15505.98959,0.9958350655
189,16686.83338,0.9958787965
190,15470.91934,0.9959201741
191,15312.20305,0.9959623641
192,15305.76731,0.9960027505
193,15254.90675,0.9960454672
194,15229.91229,0.9960863369
195,15037.55166,0.9961284449
196,14293.50989,0.9961684695
197,14675.00132,0.996208772
198,15094.60237,0.9962514462
199,14180.94701,0.9962906465
200,14131.19941,0.9963317385
201,13754.99485,0.9963698848
202,12643.83114,0.9964050629
203,13640.67603,0.9964457079
204,13880.70447,0.9964851995
205,13557.12233,0.9965253521
206,12977.37714,0.9965621572
207,12982.9282,0.9966001431
208,13443.88517,0.9966400811
209,12305.62787,0.9966760854
210,12445.26354,0.9967127217
211,12231.63955,0.9967497171
212,12435.20598,0.9967869933
213,12156.3884,0.996823652
214,12042.52677,0.9968599674
215,12152.44386,0.9968960688
216,11797.63916,0.9969327045
217,11924.17565,0.9969695191
218,11505.87577,0.9970045259
219,11343.64873,0.9970397518
220,10589.08479,0.9970726345
221,12842.9617,0.997112862
222,11218.82027,0.9971487072
223,9972.301987,0.9971794956
224,10187.45831,0.9972122283
225,10952.85822,0.9972465355
226,10311.98896,0.9972794833
227,10085.88066,0.9973115275
228,9145.021592,0.9973413212
229,10678.25816,0.9973771643
230,10203.88857,0.9974092172
231,10414.86382,0.9974428675
232,9806.525177,0.9974748163
233,9090.045201,0.9975048388
234,10236.55214,0.9975395667
235,8822.905185,0.9975681526
236,8970.896916,0.9975979426
237,8701.799374,0.99762762
238,8522.434565,0.9976553854
239,8894.862642,0.9976860405
240,8880.14847,0.9977152104
241,9154.552658,0.9977474179
242,8782.795377,0.9977779233
243,9251.14322,0.9978093081
244,8093.506968,0.9978374921
245,8243.752534,0.9978650894
246,8006.247631,0.9978941191
247,8445.0121,0.9979233755
248,9248.52128,0.9979550835
249,7602.706149,0.997981763
250,7886.372947,0.9980092257
251,7950.715823,0.9980377687
252,8065.222503,0.9980663608
253,8113.136121,0.9980953412
254,6972.675271,0.9981206234
255,7524.414732,0.9981480411
256,7989.833744,0.9981766528
257,8114.154842,0.9982056369
258,8161.360649,0.9982359616
259,7325.460408,0.9982625886
260,6926.363803,0.9982880758
261,7676.712086,0.9983163241
262,6650.327788,0.9983408553
263,6380.198714,0.9983645618
264,5828.592925,0.9983860095
265,5654.311523,0.9984076278
266,5834.778533,0.9984294649
267,5792.578919,0.998451092
268,5811.290683,0.9984734148
269,5303.236263,0.9984933577
270,5744.033156,0.9985151129
271,5781.014362,0.9985375269
272,5423.138474,0.9985585535
273,4787.898714,0.9985769022
274,5102.039288,0.9985962258
275,5014.68654,0.9986161188
276,4551.477269,0.9986337249
277,4668.143104,0.9986521593
278,5020.55151,0.9986717151
279,4884.430072,0.9986908721
280,4470.057101,0.998708765
281,4583.273515,0.9987266998
282,4853.934887,0.9987460421
283,4769.216692,0.9987650041
284,4661.524716,0.9987839982
285,4403.636742,0.9988017833
286,4497.268005,0.9988195833
287,4329.018833,0.9988372225
288,4358.407356,0.9988549032
289,4117.240202,0.9988718273
290,3936.028153,0.9988882537
291,4190.437685,0.9989047265
292,4123.628218,0.998922343
293,3914.823841,0.9989384702
294,3829.155031,0.9989543475
295,4045.165646,0.9989710479
296,3803.119619,0.9989871586
297,3557.876447,0.9990022624
298,3605.74759,0.999017084
299,3703.29826,0.9990326389
300,3580.421536,0.9990477741
301,3702.074594,0.9990634568
302,3473.047229,0.999078668
303,3137.283153,0.9990918173
304,2994.532485,0.9991045564
305,3265.050465,0.9991189153
306,3135.710711,0.999132255
307,3174.564602,0.9991460735
308,2941.309559,0.9991585862
309,2960.524954,0.9991720309
310,2785.226784,0.9991840546
311,2714.680369,0.9991959931
312,2626.398097,0.9992074019
313,2626.908631,0.9992190015
314,2691.346053,0.9992312479
315,2689.594194,0.9992431726
316,2705.930283,0.9992551211
317,2873.229193,0.9992679889
318,2508.985877,0.999279338
319,2382.852974,0.9992899883
320,2268.350175,0.9993001064
321,2376.380816,0.9993108557
322,2304.15755,0.9993214851
323,2424.580931,0.999332583
324,2394.101925,0.999343305
325,2078.313452,0.9993529298
326,2264.472806,0.9993634168
327,2154.957276,0.9993734933
328,1994.080494,0.9993827996
329,1991.6836,0.9993918803
330,2021.888013,0.9994013527
331,1993.958106,0.9994105332
332,2027.664922,0.9994199235
333,2000.957397,0.9994296211
334,1917.22301,0.9994385515
335,1887.587375,0.9994475303
336,1838.962243,0.9994561457
337,1818.045142,0.9994645979
338,1815.861842,0.9994735777
339,1640.531401,0.9994813813
340,1706.328032,0.9994897122
341,1657.396137,0.9994976109
342,1707.123772,0.9995057006
343,1574.643731,0.9995135582
344,1651.99069,0.9995213718
345,1529.146308,0.9995289749
346,1511.034097,0.999536271
347,1506.721214,0.9995436815
348,1576.462066,0.9995513925
349,1448.192202,0.9995583852
350,1444.815835,0.9995655949
351,1364.107997,0.9995724142
352,1389.315078,0.999579347
353,1237.496611,0.9995855444
354,1299.577435,0.9995919128
355,1378.167684,0.9995989507
356,1248.269842,0.9996051125
357,1193.424155,0.9996112606
358,1233.373187,0.9996174263
359,1199.012124,0.9996234094
360,1205.933477,0.9996296653
361,1216.404642,0.9996357461
362,1167.058947,0.9996417794
363,1097.014136,0.9996472929
364,1101.683544,0.9996530673
365,1054.117459,0.9996585261
366,1116.003826,0.9996642954
367,1029.149847,0.9996695787
368,1024.94487,0.9996749048
369,945.1021919,0.9996798924
370,977.5052255,0.9996849808
371,1008.632109,0.9996902131
372,1007.524207,0.9996954849
373,975.1172235,0.9997006133
374,853.5473963,0.9997052097
375,858.9137739,0.9997097039
376,827.7032291,0.999714057
377,858.7960632,0.9997186816
378,904.0463162,0.9997234607
379,835.136374,0.9997279579
380,870.843732,0.9997325223
381,850.1281001,0.9997371765
382,821.980961,0.9997416397
383,859.817391,0.9997462698
384,848.4826351,0.9997508694
385,791.9148433,0.9997551551
386,691.1286029,0.9997589761
387,782.7545744,0.9997631912
388,712.7829173,0.9997671063
389,682.6936945,0.9997708745
390,710.9909869,0.9997747542
391,666.1593661,0.999778473
392,696.3224418,0.999782254
393,673.1276686,0.9997860117
394,654.0134852,0.9997897213
395,592.8464347,0.999792967
396,625.3431452,0.999796486
397,589.0597837,0.999799711
398,579.3311508,0.9998030594
399,632.3365767,0.9998066064
400,632.2747793,0.9998101474
401,562.5212174,0.9998133785
402,575.4154121,0.9998165959
403,583.0091022,0.9998199552
404,566.0919944,0.9998231458
405,550.1666218,0.9998262665
406,477.5988022,0.9998290569
407,474.1233938,0.9998317377
408,474.949302,0.9998345085
409,478.726778,0.9998372196
410,478.6652427,0.9998399948
411,502.3697576,0.9998429435
412,498.6848463,0.999845771
413,426.6180676,0.9998481162
414,494.7525809,0.9998507849
415,530.010336,0.9998537175
416,406.2199058,0.9998558539
417,423.139388,0.9998580661
418,414.8728169,0.9998602015
419,414.6879677,0.9998623974
420,392.2441185,0.9998644392
421,429.8449569,0.999866642
422,420.9983563,0.999868809
423,379.7264499,0.9998707243
424,423.6180397,0.9998728667
425,405.7683088,0.9998749188
426,395.0924307,0.9998768779
427,361.4207685,0.9998787042
428,377.3159024,0.9998805819
429,365.9699084,0.9998823835
430,401.1182705,0.9998843239
431,402.3112695,0.9998862737
432,344.5909411,0.9998880257
433,373.3041002,0.9998898249
434,359.0187173,0.9998915971
435,352.6672754,0.9998932746
436,317.9536297,0.9998948127
437,312.8768382,0.9998963403
438,307.3349765,0.9998978022
439,321.4301458,0.9998993658
440,310.953274,0.9999008477
441,325.1025685,0.9999024
442,300.0861704,0.9999038234
443,307.4039365,0.999905236
444,287.0371852,0.9999066348
445,282.005271,0.9999079598
446,270.3558936,0.9999092458
447,268.900124,0.9999105019
448,286.7027256,0.9999117911
449,248.7286843,0.9999130021
450,256.6669559,0.9999142023
451,253.7056237,0.999915392
452,273.2987897,0.9999166479
453,258.8150829,0.9999178453
454,263.809607,0.9999190789
455,274.2437542,0.9999203182
456,247.8637414,0.9999214805
457,244.6926894,0.9999226159
458,236.7228757,0.9999236984
459,239.5796701,0.9999247982
460,248.107533,0.9999259082
461,236.5016958,0.9999270099
462,231.3094684,0.999928051
463,214.1709712,0.9999290361
464,218.3519556,0.9999300307
465,217.7601373,0.9999310166
466,208.2684526,0.9999319727
467,206.2226197,0.9999328861
468,200.4732336,0.9999337965
469,191.3374503,0.9999346629
470,198.8291501,0.9999355667
471,203.4576614,0.9999364843
472,191.3600625,0.9999373267
473,197.0623427,0.9999382137
474,193.2488478,0.999939087
475,202.507753,0.9999400021
476,187.8727451,0.9999408291
477,180.1261992,0.9999416172
478,191.612689,0.9999424917
479,185.9771451,0.9999433088
480,176.3075933,0.9999441007
481,182.3835335,0.9999449053
482,185.7734864,0.9999457364
483,173.3779672,0.9999465067
484,173.6979402,0.9999472557
485,163.2147023,0.9999479918
486,168.517867,0.9999487155
487,147.6365981,0.999949388
488,161.6682871,0.999950104
489,158.3341585,0.9999507812
490,155.5039258,0.9999514685
491,150.7317024,0.9999521206
492,162.2922357,0.9999528394
493,156.0846467,0.9999535265
494,161.6890964,0.9999542223
495,144.21796,0.9999548663
496,155.1210841,0.9999555276
497,148.8479843,0.9999561868
498,154.8038922,0.9999568572
499,142.6154902,0.9999574761
500,141.9566718,0.9999580972
501,145.4597666,0.999958716
502,135.7570771,0.9999593087
503,147.0374524,0.9999599389
504,141.0597998,0.9999605561
505,132.5979199,0.999961132
506,121.3552839,0.9999616499
507,128.07737,0.9999622149
508,127.1061965,0.9999627556
509,127.1666459,0.9999633052
510,111.561672,0.9999637793
511,122.7306023,0.9999643124
512,129.1086112,0.9999648727
513,127.2499365,0.9999654134
514,120.2845879,0.9999659349
515,112.2034355,0.9999664077
516,110.66881,0.9999668859
517,116.709668,0.9999673855
518,120.6891436,0.9999678941
519,115.4304384,0.999968395
520,116.5803665,0.9999688868
521,126.2897447,0.9999694337
522,111.8073876,0.9999699038
523,103.4214539,0.9999703465
524,105.6369804,0.9999707955
525,101.6259796,0.9999712273
526,101.6725927,0.9999716589
527,108.3014836,0.9999721143
528,105.9510196,0.999972567
529,100.0045758,0.9999729901
530,106.4111991,0.9999734381
531,93.24696724,0.999973841
532,100.8335314,0.999974256
533,104.745965,0.9999747081
534,97.46613147,0.9999751162
535,102.593349,0.9999755453
536,107.537545,0.9999760081
537,97.43702933,0.999976406
538,90.19701642,0.999976799
