freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.175127941e+11,0.7432433368
1,708921567.5,0.7791135574
2,293418455.4,0.8088065029
3,140242593.5,0.8265465922
4,58763715.65,0.8354666232
5,36978287.06,0.8448218141
6,16082304.54,0.8484836312
7,15273582.17,0.8531205343
8,14775073.18,0.8583536885
9,18098771.4,0.864764057
10,9902986.399,0.8690231877
11,10610359.46,0.8733181162
12,6956077.985,0.8768377729
13,5879976.535,0.8802592158
14,3729971.994,0.8823352481
15,3380936.678,0.8843880836
16,3009611.439,0.886215458
17,2480304.966,0.8880351963
18,2593897.792,0.8900038983
19,2963238.156,0.8922529201
20,2007283.312,0.8938271793
21,1523135.461,0.8952144043
22,1661892.139,0.8966439156
23,1635006.957,0.8980916654
24,1512496.155,0.8995457301
25,1522872.307,0.9011638796
26,1223268.64,0.9025255763
27,1221801.038,0.9037929078
28,1367170.717,0.9052456143
29,1331983.224,0.9068631202
30,1371973.238,0.9084944785
31,946812.868,0.9097400635
32,958176.1199,0.9109521153
33,884536.3631,0.9121157721
34,720296.0585,0.913154476
35,812348.9729,0.9142231662
36,665283.4551,0.9151993702
37,735187.8588,0.9162595489
38,783385.8245,0.9175279644
39,764762.7335,0.9187275307
40,685569.5864,0.9197508459
41,634366.4023,0.920842173
42,517158.3973,0.921705695
43,572395.2011,0.9227483349
44,630867.2069,0.9238496026
45,542624.5378,0.9247831023
46,486766.978,0.9256943967
47,479154.0499,0.9265793165
48,441654.1552,0.9274508473
49,514055.5167,0.9284392399
50,511655.4909,0.9295265735
51,395898.9104,0.9303378617
52,419319.1033,0.9311653181
53,389357.4386,0.9320124534
54,423077.4519,0.9328794368
55,402658.5987,0.9338370072
56,377842.8543,0.9346590899
57,338638.8213,0.9354301445
58,359028.7492,0.9362567085
59,326965.711,0.9370177282
60,301283.5254,0.9377647053
61,282308.7083,0.9384574957
62,290864.4991,0.9391786408
63,270650.5162,0.9398633635
64,287699.8337,0.9405693839
65,260541.4541,0.9412812633
66,269588.2032,0.9419632984
67,262090.8154,0.9426661499
68,278403.9575,0.9434620521
69,205517.7531,0.9440027921
70,206701.8606,0.9445884828
71,193784.9517,0.9451130603
72,246261.3611,0.9458606846
73,248574.7126,0.946590177
74,224414.2142,0.9472487656
75,195657.0861,0.9478378105
76,174664.3275,0.9483680735
77,168985.5392,0.9488981971
78,192345.0429,0.9494772707
79,195463.4236,0.9500904579
80,201848.561,0.9507543154
81,178524.1569,0.951318879
82,162357.625,0.9518692852
83,166790.7397,0.9524009628
84,163890.6479,0.9529565661
85,155922.9339,0.9534969924
86,147834.4267,0.9540056439
87,147130.7995,0.954519319
88,176538.4921,0.9551044008
89,133071.3936,0.9556093897
90,129868.5169,0.9560627974
91,122586.0484,0.9565093878
92,129914.1857,0.9569859619
93,137195.1797,0.9574927163
94,138903.659,0.9580268662
