freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.318272064e+11,0.7897868148
1,1462063111,0.8176258381
2,1228656743,0.8644153419
3,193026755.9,0.8736038583
4,141463161.2,0.8816846236
5,133052482.6,0.8943518304
6,134881018.7,0.9059089931
7,31757394.09,0.9095371326
8,44419850.54,0.9154576956
9,28334426.45,0.91923429
10,22822317.22,0.9229280318
11,22290293.14,0.9263234529
12,18855184.27,0.9299136531
13,11893041.04,0.9325178788
14,10824443.4,0.9347850595
15,7603355.302,0.9365223579
16,8559827.894,0.9384782016
17,6029047.766,0.9401427813
18,4746471.169,0.9414984388
19,4766783.063,0.9428598977
20,4159667.203,0.9440875579
21,3955475.748,0.9454432438
22,3227927.012,0.9464881096
23,2631289.698,0.9473648976
24,2422073.432,0.9482411491
25,1996265.897,0.9490393745
26,2363968.004,0.9500296412
27,1829587.782,0.9507438003
28,1681445.78,0.951416142
29,1832808.19,0.9522537024
30,1562750.184,0.952952973
31,1439204.033,0.9536654709
32,1497086.975,0.9543781187
33,1335445.748,0.9550392496
34,1062602.293,0.9556158879
35,1123090.649,0.9561718895
36,1260434.088,0.9568678843
37,1054937.646,0.9574403633
38,1013048.595,0.9580576233
39,878044.3653,0.9585759052
40,880257.9201,0.9590703523
41,821577.6408,0.9596022344
42,638443.63,0.9600034006
43,708741.3666,0.9604892237
44,769012.689,0.9609943971
45,653323.4038,0.9614173529
46,683243.8789,0.9618987078
47,619606.3625,0.9623293302
48,592681.9074,0.9627694533
49,502987.6161,0.9631333924
50,502340.8526,0.9635351237
51,443373.8749,0.9638770346
52,454398.8018,0.9642144693
53,379561.8006,0.9645252391
54,432785.074,0.9648589844
55,430669.7471,0.9652444007
56,495031.5197,0.9656497125
57,387220.6038,0.9659814991
58,426354.4545,0.9663508763
59,458994.2411,0.9667529012
60,397686.9689,0.9671239451
61,414022.0358,0.967506288
62,376528.5036,0.967857591
63,370036.6178,0.9682098828
64,390001.9426,0.9685700436
65,372971.1159,0.968953536
66,295094.1655,0.9692344792
67,233462.9806,0.9694700827
68,273177.9584,0.9697639708
69,249742.8429,0.9700112481
70,288344.187,0.970318707
71,265555.3146,0.9705892254
72,228827.038,0.97085065
73,265074.1243,0.9711433907
74,253779.0326,0.9714236575
75,298642.7504,0.9717620002
76,284767.8582,0.9720873347
77,274253.0807,0.9724111006
78,313053.202,0.9727657694
79,284121.5286,0.9731011853
80,288403.9595,0.9734581313
81,276131.5723,0.9737867437
82,258952.0695,0.9741170996
83,251255.1671,0.9744184997
84,242099.1745,0.9747273556
85,274973.0942,0.9750860038
86,275403.8453,0.9754425919
87,245567.6721,0.9757652244
88,224274.7705,0.9760449355
89,176368.4179,0.9762968017
90,176121.9895,0.9765281949
91,218649.1829,0.9768279511
92,199256.7008,0.9771030183
93,203572.4821,0.9773859814
94,198493.3027,0.977673223
95,196247.8598,0.9779441366
96,188236.9831,0.978212952
97,191973.7072,0.9785017251
98,161621.8396,0.9787356096
99,165694.756,0.9789895855
100,187266.6876,0.979260581
101,175208.0431,0.9795374791
102,138062.4905,0.9797491004
103,143141.789,0.9799616934
104,137482.1107,0.9801815874
105,143533.6983,0.980401595
106,123970.3958,0.9806069593
107,125070.2802,0.9808070014
108,134407.1441,0.9810194179
109,129602.744,0.981230411
110,132442.3133,0.9814472878
111,136534.5868,0.9816812647
112,152421.3092,0.9819352109
113,136664.2573,0.9821668078
114,128734.9591,0.9823947724
115,120802.3671,0.9826017893
116,153815.7099,0.9828639162
117,143259.9287,0.9831148738
118,149520.3864,0.9833824923
119,139482.138,0.9836334719
120,121842.8416,0.9838515518
121,138501.9843,0.9840941747
122,116422.0574,0.9843080942
123,112837.8471,0.9845293934
124,130558.3054,0.9847630727
125,118321.8667,0.9849906214
126,108168.3043,0.9851852558
127,116632.5056,0.9854117764
128,109992.2195,0.9856274947
129,122374.5352,0.9858570119
130,125295.845,0.9861075154
131,115722.1847,0.9863300645
132,120341.1908,0.9865775365
133,114454.8492,0.9868074553
134,122557.1228,0.9870408153
135,109175.2464,0.9872694829
136,97651.30403,0.9874675059
137,101865.544,0.9876789238
138,99550.65755,0.9878836416
139,100620.4915,0.9880876857
140,105844.7517,0.9883174391
141,93806.61274,0.988512131
142,87953.45004,0.988699699
143,80062.33175,0.9888712008
144,77492.84525,0.9890394118
145,79277.76079,0.9892160258
146,88461.92387,0.9894072047
147,80989.2908,0.9895830053
148,81721.18447,0.9897681748
149,80298.66623,0.9899485922
150,71353.19383,0.9901095899
151,82935.91423,0.9902911951
152,81455.52429,0.9904804156
153,76950.98024,0.9906540439
154,70856.59619,0.9908226907
155,64443.41933,0.9909699381
156,71572.83249,0.9911362012
157,71140.913,0.9913089112
158,68445.24827,0.9914653025
159,71840.48472,0.9916362911
160,68635.25814,0.9918003043
161,68831.66271,0.9919733059
162,66074.03411,0.992134344
163,57915.36954,0.9922716378
164,52240.79935,0.9924009505
165,45033.4913,0.9925115653
166,39386.65286,0.9926128096
167,40915.24039,0.9927129193
168,43020.85604,0.9928177713
169,42270.69885,0.9929280389
170,43650.12205,0.993039827
171,39199.52291,0.9931405903
172,35838.93081,0.9932313504
173,34972.64145,0.993323912
174,32510.3542,0.9934096472
175,30666.41295,0.993488476
176,30911.25706,0.9935702884
177,28991.39295,0.9936450875
178,29906.25669,0.9937270872
179,33379.10835,0.993817338
180,28907.48434,0.9938935719
181,27685.24083,0.9939689547
182,29131.75715,0.9940499402
183,29651.02802,0.9941329339
184,30342.47237,0.9942135298
185,29781.50032,0.9942963216
186,28700.39522,0.9943782939
187,29504.15738,0.9944605955
188,26003.54688,0.994533875
189,27522.08342,0.9946103857
190,24980.91994,0.994681259
191,22581.42707,0.9947472595
192,24973.15768,0.9948171598
193,21289.31869,0.9948803972
194,22858.6695,0.9949454671
195,22746.29094,0.9950130323
196,23844.13793,0.9950838585
197,20921.56177,0.9951448085
198,21798.10818,0.9952101798
199,19528.43813,0.995267443
200,17652.94077,0.9953218958
201,20862.60352,0.9953832699
202,18732.23733,0.9954385551
203,20595.5641,0.9955036534
204,18183.01503,0.9955585295
205,19882.91472,0.9956209967
206,18221.9164,0.9956758167
207,17753.63577,0.9957309181
208,17979.48988,0.9957875763
209,16708.19836,0.9958394331
210,16334.11072,0.9958904398
211,16795.88571,0.9959443276
212,19047.41882,0.9960048952
213,16057.10656,0.9960562599
214,17895.49076,0.9961135053
215,16075.03896,0.9961641621
216,14660.56844,0.9962124552
217,15577.81371,0.9962634731
218,14449.35927,0.9963101075
219,14296.9463,0.9963572028
220,13237.33825,0.9964008076
221,12542.192,0.9964424808
222,12495.88213,0.9964848329
223,11636.63413,0.9965229433
224,12229.38459,0.996564625
225,12266.78587,0.9966053831
226,11865.31953,0.996645598
227,10904.76709,0.9966823497
228,11471.60544,0.9967219948
229,11065.61215,0.9967613956
230,11377.07086,0.9967993058
231,11297.79405,0.9968380275
232,10999.95603,0.9968760425
233,12120.30942,0.9969185063
234,10940.11673,0.9969578769
235,10313.26644,0.9969933224
236,10460.03155,0.9970301686
237,9878.027583,0.9970659051
238,9364.412121,0.9970982678
239,9467.765088,0.9971328806
240,9690.895913,0.9971666484
241,8550.861934,0.9971985604
242,9023.276496,0.9972318059
243,8532.450116,0.9972625119
244,8204.137999,0.9972928175
245,8191.715654,0.9973219074
246,7842.251421,0.9973520707
247,8345.347926,0.997382739
248,7603.423373,0.9974103913
249,8133.034292,0.9974406665
250,7617.28303,0.9974688043
251,7818.904993,0.9974985801
252,7282.234365,0.9975259655
253,7819.52007,0.9975555948
254,7503.744356,0.9975844562
255,8365.022374,0.9976167896
256,7994.163317,0.9976471567
257,6840.346896,0.9976730758
258,7115.170955,0.99770112
259,6556.988722,0.9977264023
260,6361.307503,0.997751233
261,6404.142401,0.9977762308
262,6551.618163,0.9978018667
263,6338.013164,0.9978268478
264,6329.875617,0.9978515558
265,6613.518055,0.9978783783
266,6719.703062,0.9979050558
267,6556.495516,0.9979310228
268,6135.453824,0.9979560233
269,6809.365055,0.9979831864
270,6837.973903,0.9980106588
271,6761.792872,0.998038469
272,6162.459574,0.9980638142
273,6559.701804,0.9980904809
274,5926.078372,0.9981142897
275,6270.648678,0.9981406769
276,5762.760169,0.9981643233
277,5970.837563,0.9981893352
278,5805.168362,0.9982133214
279,5009.407311,0.9982341628
280,6022.471683,0.9982597349
281,6140.624005,0.9982852242
282,5829.547895,0.9983098662
