freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.514743679e+11,0.8598375864
1,980779920.6,0.8790324186
2,166795083.5,0.8855611078
3,139026531.2,0.8923633243
4,95472943.66,0.8979688239
5,45721793.48,0.9024429273
6,38114139.31,0.9057996184
7,37154196.37,0.9101624845
8,25544173.13,0.9136619574
9,23090124.45,0.9168252333
10,12842915.59,0.918961696
11,11094877.13,0.9206987976
12,8933369.29,0.9224471463
13,7356485.16,0.9241028436
14,6420708.336,0.9254850993
15,5291781.71,0.9267278841
16,4800159.081,0.9278552104
17,4032977.976,0.9289996861
18,4170870.252,0.9302241069
19,4682240.19,0.9315986479
20,4816293.826,0.9330596722
21,3175180.615,0.9341782178
22,3015748.809,0.9351815779
23,2663470.03,0.9360937959
24,2776345.226,0.9371261765
25,1872222.236,0.9378956425
26,2467612.83,0.9389581022
27,2973154.456,0.9401509473
28,3275739.809,0.9414972461
29,2454542.054,0.9426501536
30,2177942.814,0.9436518292
31,1853376.478,0.9445949119
32,1728783.843,0.9454407621
33,1842180.822,0.9463781478
34,1685977.478,0.9473185408
35,1697434.597,0.9481822731
36,1492764.479,0.9490295045
37,1410795.012,0.9498164081
38,1075303.917,0.9504898404
39,1405570.704,0.9513426011
40,988227.9905,0.9519131487
41,1086238.678,0.9526359467
42,888366.2603,0.9532096915
43,1042592.253,0.9539442557
44,959473.0424,0.954592091
45,905558.7446,0.9551946621
46,1037579.978,0.9559460013
47,931673.2701,0.9566115338
48,1009931.806,0.957382383
49,913667.6715,0.9580618754
50,1053771.791,0.9589280563
51,761396.5285,0.9595315582
52,745319.6325,0.9601004373
53,619509.0385,0.9606217866
54,688881.7377,0.9611678115
55,767731.0183,0.9618739985
56,613359.3221,0.9623901726
57,655954.2393,0.9629678678
58,629014.6277,0.9635279928
59,715665.4736,0.9641722817
60,585196.4047,0.9647334724
61,609435.9964,0.9653119447
62,606729.2589,0.965893785
63,488653.6349,0.9663719567
64,473024.7992,0.9668209485
65,471965.5563,0.9673197375
66,514711.5202,0.9678234081
67,514404.5542,0.9683569806
68,454422.6291,0.9688594633
69,477292.4418,0.9693451998
70,462115.026,0.9698516664
71,404359.1305,0.9702750498
72,355786.6297,0.9706928355
73,333604.5074,0.9710715158
74,327795.0928,0.9714436017
75,370956.5756,0.9718755709
76,407638.3835,0.9723542441
77,346726.6,0.9727749625
78,368040.8123,0.9732035364
79,345842.0511,0.9736231816
80,320337.8829,0.974030688
81,366226.3794,0.9744786512
82,307005.8021,0.9748812145
83,311582.4576,0.975265387
84,277546.914,0.9756293222
85,276251.8836,0.9759996689
86,269707.0141,0.9763586024
87,287598.4522,0.9767469748
88,281672.3956,0.9771080506
89,245915.636,0.9774690115
90,243598.2437,0.9777979661
91,222408.6117,0.9781113645
92,229458.7807,0.9784369428
93,214023.8525,0.9787427149
94,247860.4029,0.9791113812
95,217688.3493,0.9794202585
96,214589.6954,0.9797352384
97,194126.9615,0.9800353797
98,191276.1169,0.9803198828
99,212841.7702,0.9806552075
100,183765.2665,0.9809285391
101,195455.7308,0.9812460358
102,174643.9884,0.9815211812
103,182050.8154,0.9817990885
104,167685.8364,0.9820747578
105,170122.763,0.9823427802
106,169971.4826,0.9826321866
107,149707.458,0.9828783001
108,175292.1778,0.9831630433
109,159382.1654,0.9834297406
110,160837.8427,0.9837004476
111,134959.2961,0.9839381634
112,154311.7945,0.9842024164
113,148119.589,0.9844604137
114,118327.8163,0.9846757824
115,118574.3431,0.984884638
116,118318.1107,0.9850918844
117,141113.0532,0.9853459628
118,109923.949,0.9855481869
119,109597.5333,0.985750883
120,108570.4993,0.9859506172
121,109177.9157,0.9861471954
122,98821.78104,0.9863338302
123,103739.7544,0.9865429501
124,109901.2418,0.9867451324
125,87388.02982,0.9869178697
126,96754.10451,0.9870968124
127,85898.08759,0.9872682856
128,82584.47345,0.9874347604
129,78824.74245,0.9875867142
130,83111.43304,0.9877575043
131,81561.89332,0.9879187253
132,78443.09893,0.9880845278
133,83471.3973,0.9882568745
134,84804.63052,0.9884228455
135,74795.38233,0.9885838657
136,79989.45901,0.9887505885
137,71282.56753,0.9889026512
138,72948.49018,0.98905684
139,66492.10607,0.9891954302
140,57322.93266,0.9893233229
141,67143.01934,0.989466555
142,62784.98138,0.9896041765
143,59892.12239,0.9897360432
144,64570.41833,0.9898801058
145,64766.0952,0.9900284076
146,61150.88587,0.9901642425
147,58736.47909,0.990295289
148,52942.5185,0.9904185893
149,55466.78569,0.990546683
150,55215.0689,0.9906747357
151,53927.90022,0.9907961093
152,53609.03445,0.9909241095
153,50852.87973,0.9910420455
154,48554.77865,0.9911608287
155,41679.84503,0.9912587146
156,46347.11411,0.9913693757
157,45313.63606,0.9914824469
158,48909.61397,0.991597312
159,41221.41334,0.991698155
160,46207.16399,0.9918116471
161,41929.88448,0.9919199676
162,41194.89145,0.9920231643
163,44325.25153,0.9921311667
164,40899.65691,0.9922352248
165,42631.66252,0.9923428551
166,36368.67491,0.9924389442
167,36950.83123,0.9925318708
168,34060.09764,0.9926171943
169,33576.68474,0.992707221
170,32632.20722,0.9927931186
171,33696.94652,0.9928821488
172,33899.77854,0.9929703879
173,32254.78715,0.9930581328
174,30074.00499,0.9931396509
175,28914.10624,0.9932160443
176,31891.01794,0.9933027996
177,30311.54898,0.9933831819
178,28391.21346,0.9934631946
179,30753.50834,0.9935486611
180,29056.61506,0.9936274214
181,27167.07923,0.9937034526
182,27406.92521,0.9937817642
183,28203.41029,0.9938629036
184,26664.26373,0.9939357011
185,23949.99031,0.9940041349
186,26671.13092,0.994082432
187,26848.21602,0.9941594098
188,23253.25067,0.994226763
189,22341.0447,0.9942905995
190,24434.12371,0.9943618513
191,23604.08921,0.9944327615
192,24081.9762,0.9945020437
193,22631.69252,0.99457114
194,20512.15881,0.9946311557
195,22597.50395,0.9947001476
196,21152.17428,0.9947647268
197,21347.96583,0.9948286503
198,20847.0804,0.99489291
199,19840.90098,0.9949527091
200,19544.64674,0.9950146754
201,18251.12939,0.9950698617
202,18237.2349,0.9951251844
203,16107.89762,0.9951775154
204,18566.33004,0.9952351082
205,19130.7328,0.9952968854
206,17818.29212,0.9953519835
207,16973.48868,0.9954061301
208,18523.63365,0.9954661281
209,17789.82571,0.9955228789
210,16136.88607,0.9955746725
211,17687.62559,0.9956330012
212,16282.47944,0.9956862182
213,16122.4694,0.9957392276
214,15630.16865,0.9957906185
215,15483.98313,0.9958407711
216,14393.94213,0.9958895058
217,14536.9218,0.9959384401
218,15177.65168,0.9959887887
219,14333.97262,0.9960373204
220,14843.71359,0.996087578
221,14676.11257,0.9961376989
222,14483.70157,0.9961881548
223,14464.80829,0.9962368464
224,14761.88171,0.9962885603
225,14312.95495,0.9963374411
226,14797.49111,0.9963889901
227,14006.14749,0.9964375083
228,13102.46356,0.99648405
229,13778.5324,0.9965344764
230,13545.22451,0.9965808677
231,11592.72836,0.9966217063
232,11109.7631,0.9966611697
233,12273.90528,0.9967053688
234,11912.54786,0.9967494323
235,10757.39859,0.9967874335
236,11173.05339,0.996827887
237,11134.97737,0.9968692923
238,11303.47861,0.9969094438
239,10599.00638,0.9969492709
240,10867.57335,0.996988193
241,11144.56982,0.9970309426
242,10967.04896,0.9970724747
243,10602.75974,0.9971116934
244,10807.84329,0.9971527283
245,11325.0839,0.9971940648
246,10503.10113,0.9972355871
247,10653.4099,0.9972758272
248,10451.52915,0.9973148956
249,9951.537225,0.9973529715
250,10482.75325,0.9973927721
251,9082.407219,0.9974283224
252,9597.845749,0.9974654207
253,9135.617346,0.9975010005
254,9236.662302,0.9975375162
255,8852.210266,0.9975726852
256,8116.756962,0.9976043764
257,8368.583378,0.9976369689
258,8386.245935,0.9976709432
259,8879.047856,0.997706132
260,8646.280812,0.9977408213
261,6897.26419,0.9977684935
262,7994.909865,0.9978006477
263,8027.50167,0.9978331687
264,7285.961602,0.9978624004
265,7821.719164,0.9978950061
266,7358.514457,0.9979250329
267,7202.095775,0.997954351
268,6892.24128,0.997983217
269,7184.386101,0.9980126739
270,7078.179511,0.998041903
271,6270.6936,0.9980684114
272,6906.396751,0.998097607
273,6784.839527,0.9981259568
274,6097.945761,0.9981511382
275,6002.458788,0.9981770999
276,5927.427755,0.9982020991
277,5675.969858,0.9982265377
278,5429.454229,0.9982495961
279,5400.082024,0.9982726882
280,5980.764583,0.9982987902
281,6581.68666,0.9983268709
282,6516.831824,0.9983551849
283,5756.535251,0.9983801393
284,5555.160826,0.9984048188
285,5700.582057,0.9984299211
286,5564.909969,0.998453936
287,5423.16707,0.998478029
288,5005.948474,0.9985001705
289,4673.496475,0.998521116
290,4971.400149,0.9985437371
291,4608.431214,0.9985634891
292,4734.875138,0.9985855436
293,4694.756385,0.9986066303
294,4511.381947,0.9986270258
295,4300.177563,0.9986463823
296,4555.273239,0.998667422
297,4867.667233,0.9986899522
298,4585.973135,0.9987105054
299,4304.436944,0.9987302181
300,3940.923123,0.9987483817
301,3838.773671,0.998766112
302,3886.521043,0.9987846714
303,3963.971682,0.9988027861
304,3673.548268,0.9988198252
305,3440.395015,0.9988363215
306,3411.836148,0.9988521467
307,3379.638402,0.9988681863
308,3252.638102,0.9988832731
309,3166.743255,0.9988989531
310,3156.868389,0.9989138119
311,3166.921683,0.998928997
312,2942.158836,0.9989429316
313,3010.442148,0.9989574252
314,2752.24121,0.9989710798
315,3067.420779,0.9989859078
316,2899.798443,0.9989998688
317,2983.557157,0.9990144374
318,2928.148615,0.9990288787
319,2994.962718,0.9990434737
320,2869.356008,0.9990574285
321,2794.241193,0.9990712093
322,3205.645886,0.9990873329
323,2818.110205,0.999101397
324,2972.389951,0.9991159111
325,2733.83144,0.999129715
326,2628.570785,0.9991429875
327,2407.131756,0.9991552597
328,2366.779087,0.9991673029
329,2392.73941,0.9991791973
330,2481.131831,0.999191871
331,2377.745606,0.9992038072
