freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.260431705e+11,0.8733546996
1,912412651.6,0.888317688
2,390970024.9,0.9011410085
3,187476515.4,0.9088272482
4,101925615.6,0.9138417944
5,68392387.58,0.9194497531
6,124891646.1,0.9286663999
7,91016412.31,0.9376220683
8,37072577.19,0.9418778354
9,42470165.49,0.9467532218
10,28659056.25,0.9507481396
11,15875898.32,0.9528309768
12,11855464.68,0.9547751978
13,16727818.69,0.9579299423
14,12370148.8,0.9601614308
15,8748765.039,0.9618831211
16,7296059.347,0.96331893
17,5969859.43,0.9647385077
18,4966343.061,0.9659601808
19,5089016.273,0.9672120303
20,3486054.885,0.9680981512
21,2732126.032,0.9689046436
22,2630409.913,0.9696379735
23,4543090.783,0.9709417901
24,3295781.812,0.971968716
25,1094029.874,0.9723454853
26,1203800.883,0.9727797998
27,1476060.31,0.9732760321
28,1072535.283,0.9736453989
29,911553.4202,0.9740041725
30,1138050.97,0.9744427604
31,1215252.491,0.974960924
32,974997.6119,0.9753606575
33,950181.5581,0.9757657993
34,756661.3639,0.9761194491
35,921238.6713,0.9765122501
36,1057362.521,0.9770151122
37,963704.5407,0.9774655303
38,615031.5655,0.9777882864
39,739345.457,0.978164155
40,992976.4653,0.9786445385
41,649109.4811,0.9790064679
42,496700.8612,0.979275272
43,401934.5755,0.979512565
44,367768.0816,0.9797206401
45,366699.6191,0.9799251039
46,444473.953,0.9801948003
47,495137.3615,0.980491178
48,470569.8866,0.9807921429
49,406657.6731,0.9810455621
50,292180.6653,0.9812468084
51,237208.5941,0.9814043562
52,312069.5745,0.9816039482
53,339142.9555,0.9818431026
54,305636.6989,0.9820460986
55,237288.1995,0.9822289933
56,296851.999,0.9824383252
57,365769.642,0.9827082528
58,229163.4056,0.9828792479
59,253376.2729,0.9830703875
60,230298.288,0.9832554481
61,196709.5057,0.9834119048
62,234142.5945,0.9836000545
63,280207.0507,0.9838298154
64,283863.1328,0.9840555914
65,248709.9395,0.9842758404
66,252765.4241,0.9844831
67,263861.1196,0.9847124392
68,255090.5683,0.984948797
69,286068.6174,0.9851927468
70,375868.6556,0.9855379313
71,214444.2549,0.9857260774
72,196502.0741,0.9859194279
73,241113.1979,0.9861487659
74,244061.3809,0.9863809081
75,181776.9591,0.9865582792
76,202439.2463,0.9867574717
77,189843.2674,0.9869504969
78,208780.1593,0.9871542167
79,172083.5546,0.9873291845
80,176763.1365,0.9875176067
81,151303.9699,0.9876726872
82,133572.5796,0.9878194511
83,149150.3481,0.9879735473
84,143881.8926,0.9881316386
85,113205.7684,0.988258809
86,108982.4629,0.9883803416
87,104355.2948,0.9884984255
88,152008.9358,0.9886617071
89,165172.6085,0.9888648616
90,179120.6459,0.9890675467
91,157694.5942,0.9892537452
92,138203.1648,0.9894180624
93,154064.5792,0.9896025014
94,133381.2056,0.9897687413
95,136411.5932,0.9899309284
96,113413.5804,0.9900704217
97,101056.2854,0.9902013452
98,108242.3856,0.9903362533
99,132422.9709,0.9905110713
100,123974.8678,0.9906655876
101,129349.7608,0.9908416517
102,115210.0991,0.9909937462
103,114630.9011,0.9911403763
104,116782.4675,0.9913012496
105,109452.2835,0.991445743
106,140314.4642,0.9916459359
107,151669.0315,0.9918548671
108,145158.2032,0.9920524488
109,106162.5897,0.9922013042
110,85090.46629,0.9923213111
111,78152.75488,0.9924366601
112,71544.68696,0.9925393228
113,72534.86038,0.9926451906
114,71581.27478,0.9927543621
115,85499.09461,0.9928805539
116,81268.09724,0.9929998346
117,64182.27572,0.9930966691
118,67493.38001,0.9932007128
119,82481.19233,0.9933285372
120,91612.93764,0.9934697623
121,66911.86856,0.993570715
122,56408.95624,0.9936599843
123,59038.54921,0.9937597084
124,79539.47002,0.9938823217
125,51467.86832,0.9939675698
126,52083.261,0.9940482853
127,53559.14529,0.9941378756
128,53043.98781,0.994227474
129,52867.67514,0.9943128731
130,59167.05647,0.9944147549
131,44876.07201,0.9944890847
132,37800.19425,0.9945560338
133,39510.83079,0.9946243928
134,43365.21913,0.994695509
135,43798.23446,0.994774518
136,54490.025,0.9948696866
137,48506.54435,0.9949563935
138,41260.32274,0.995029471
139,38198.24544,0.9950961855
140,37836.9103,0.9951669226
141,34590.77444,0.9952287547
142,39844.6731,0.9953019385
143,41978.42011,0.9953793857
144,41939.32561,0.9954577925
145,34233.93684,0.995523478
146,33159.97616,0.9955851996
147,33264.15447,0.9956473878
148,34585.55366,0.9957148824
149,37326.01895,0.9957871129
150,31340.71667,0.9958480181
151,29353.87386,0.9959033774
152,24355.78566,0.9959521065
153,24812.91473,0.9960003261
154,26301.22569,0.9960542415
155,31401.06028,0.9961160364
156,40242.05072,0.9961965496
157,37930.47221,0.9962758591
