freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.973585264e+11,0.828233397
1,2065686274,0.8626782672
2,627256708.6,0.8835970061
3,331629294.1,0.8974216224
4,149952647.3,0.9049229059
5,80137009.14,0.911604242
6,66594603.23,0.9166012695
7,43987167.78,0.9210021284
8,30043523.32,0.924508913
9,23744452.04,0.9272804481
10,14917257.01,0.9293947553
11,16568420.37,0.9316049538
12,17507905.37,0.934524359
13,18764291.33,0.9381225996
14,10906719.23,0.9401231385
15,7553608.827,0.941634596
16,7003905.524,0.9430360592
17,6476595.006,0.9446019985
18,5594619.974,0.9460013346
19,6014073.193,0.9475055851
20,2954393.981,0.9482691752
21,4540512.816,0.9496319924
22,4423055.196,0.9508858017
23,3116470.937,0.951795215
24,3807915.678,0.9530016422
25,3242850.524,0.9541371926
26,4114142.659,0.9556464462
27,2805147.64,0.9566053383
28,2167276.126,0.9573642544
29,2345442.642,0.9583028883
30,2282764.183,0.9591974063
31,1722313.445,0.9599441056
32,2082937.532,0.9608124189
33,1473072.199,0.961451061
34,1693119.489,0.9622556844
35,1506741.951,0.9629089239
36,1441664.687,0.9636060678
37,1200484.42,0.9641765756
38,1230745.559,0.9648332929
39,1446214.053,0.9655808674
40,1341826.456,0.96624092
41,1146843.059,0.9668911142
42,1138535.092,0.9675176134
43,1132843.207,0.9681976504
44,1031733.93,0.9687911863
45,1179437.635,0.9694598597
46,1116146.306,0.9701484851
47,921422.7648,0.9707092903
48,948083.4912,0.9713258446
49,880886.9405,0.9718840114
50,856731.2824,0.9724840153
51,853377.4447,0.9730603256
52,784858.3921,0.973570732
53,641612.1718,0.974030778
54,697543.1965,0.9745018489
55,650487.8335,0.9750116459
56,618162.5964,0.9754548781
57,520123.8782,0.975845161
58,508298.337,0.9762308083
59,590423.3236,0.9766836866
60,502209.3827,0.977094024
61,533714.878,0.9775256536
62,422421.0773,0.9778707988
63,451481.0843,0.9782472163
64,412924.4633,0.9785811594
65,348896.1673,0.9788953189
66,378875.02,0.9792112018
67,368998.5086,0.9795373092
68,344027.3948,0.9798614261
69,351219.0116,0.9801659642
70,372316.5875,0.9805136289
71,339488.8735,0.9808164872
72,327949.2031,0.9811445961
73,298249.081,0.981433044
74,298717.2485,0.9817219446
75,305962.2897,0.9820255049
76,282287.1914,0.9823079296
77,248540.7942,0.9825648802
78,272112.5478,0.9828348565
79,270858.8661,0.9831148803
80,251840.5384,0.9833878404
81,259398.4672,0.9836581787
82,209041.5779,0.9838917222
83,243272.6459,0.9841472828
84,234220.2812,0.9844089562
85,216201.8241,0.9846559068
86,218150.7209,0.9849032647
87,197401.8105,0.9851303873
88,189748.3607,0.9853376301
89,212921.1276,0.9856039112
90,170100.3882,0.9857996219
91,158119.8631,0.9859894581
92,167562.82,0.9861920285
93,179195.5445,0.9864101559
94,146434.1183,0.9865957294
95,145615.0672,0.9867717666
96,152402.4363,0.9869623624
97,146226.6197,0.9871549879
98,142667.9643,0.9873357887
99,138252.8488,0.9875213682
100,130102.4038,0.9876862449
101,115068.4718,0.9878455004
102,119233.51,0.98800555
103,116669.5869,0.9881572943
104,140091.4773,0.9883535179
105,121217.1805,0.9885162301
106,104756.205,0.9886682006
107,100786.7517,0.9888093708
108,105232.9999,0.988955014
109,99367.35965,0.9890966814
110,96148.81628,0.9892345618
111,97855.66725,0.9893814168
112,105079.8993,0.9895347329
113,96688.02467,0.9896782234
114,86142.48725,0.9898118092
115,79625.06146,0.989931305
116,78058.12369,0.9900477984
117,75912.28336,0.9901642539
118,77055.53276,0.990285033
119,76986.02135,0.9904063451
120,73088.76239,0.9905209066
121,66576.65353,0.9906230405
