freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.861942383e+11,0.8987544789
1,1433217220,0.9199494713
2,276971634.5,0.928141407
3,216474103.4,0.9361446721
4,70566188.82,0.9392753556
5,46493048.84,0.9427131451
6,46010874.89,0.945775068
7,38712026.22,0.949210002
8,22206544.26,0.9515087972
9,17679462.8,0.9533389542
10,16055878.8,0.9553572009
11,14498850.79,0.9570725196
12,7945464.169,0.9582475267
13,8359995.432,0.9596692829
14,6168429.043,0.9606727162
15,4958016.056,0.9615525698
16,3579472.344,0.9621877859
17,4066814.317,0.9630598404
18,3489778.674,0.9638339641
19,2845202.913,0.9644651042
20,2711882.417,0.9650867225
21,2961996.273,0.9658751799
22,2160033.471,0.9664182185
23,2124101.067,0.9669679295
24,1942744.217,0.9675138011
25,1904611.382,0.9681052904
26,1159463.742,0.968482516
27,1318771.143,0.9688823176
28,1192521.601,0.9692526629
29,1230749.985,0.9696894827
30,924790.0689,0.9700108726
31,868183.3929,0.9703446878
32,821145.7686,0.9706482736
33,672773.1052,0.9709069538
34,627362.5231,0.971171368
35,669077.9376,0.9714286274
36,736151.2338,0.9717443359
37,796833.3278,0.9720801768
38,623733.725,0.9723753456
39,646445.2664,0.9726717023
40,603697.3227,0.97293507
41,544940.4895,0.9732090692
42,463757.9199,0.973435391
43,468110.9039,0.9736846051
44,444348.5824,0.9739113117
45,405477.9164,0.9741151882
46,383981.9008,0.974325292
47,376333.7929,0.9745284282
48,348914.6456,0.9747296639
49,370812.0729,0.9749380452
50,333350.6384,0.9751450935
51,346595.5905,0.9753526801
52,315399.1876,0.9755345859
53,333644.3719,0.9757467508
54,374548.7094,0.9759710793
55,272435.9424,0.9761604373
56,286306.9354,0.9763425002
57,300217.9928,0.9765422887
58,289507.0576,0.97673709
59,251499.8531,0.9769081769
60,302701.3191,0.9771275239
61,314792.8814,0.9773533051
62,320826.6443,0.9775857863
63,330454.4082,0.9778301309
64,363855.2154,0.9780911015
65,352856.1895,0.9783728832
66,375250.1513,0.9786503507
67,370749.6819,0.9789409389
68,375705.1909,0.9792548573
69,340965.0803,0.9795170584
70,318235.647,0.9797806054
71,462682.7771,0.9801466706
72,507847.5528,0.9805972858
73,383153.4498,0.980925927
74,266210.2837,0.9811542628
75,259315.6679,0.9813824372
76,270454.8253,0.9816224129
77,239977.7032,0.9818424439
78,201340.3975,0.9820196053
79,216688.8844,0.9822182832
80,200348.3868,0.9824108673
81,193726.5506,0.982589924
82,203233.0676,0.9827912919
83,214200.7849,0.9829908562
84,243137.7974,0.9832317627
85,258823.012,0.9834939519
86,257767.1874,0.9837531655
87,300893.4294,0.9840601971
88,278473.3866,0.9843299376
89,250922.5667,0.9846082434
90,260700.8076,0.9848742624
91,283612.8194,0.9851762434
92,270170.7274,0.9854659094
93,233436.0681,0.9857179161
94,207995.7364,0.9859516864
95,231361.551,0.9861997428
96,194734.8053,0.986415729
97,203373.8331,0.9866533274
98,174430.9494,0.9868493736
99,156460.7335,0.9870356348
100,155720.4781,0.9872106519
101,137527.5613,0.9873794584
102,117173.7089,0.9875189498
103,118085.8638,0.9876551613
104,112702.3744,0.9877951631
105,111898.2763,0.9879283742
106,112873.1823,0.9880735958
107,107789.9225,0.9882074952
108,104781.4427,0.9883361079
109,98130.04208,0.9884601843
110,104920.8243,0.9885936229
111,96371.15215,0.9887218887
112,97537.08816,0.9888481002
113,91040.55845,0.9889679249
114,94260.98783,0.989097564
115,91311.81013,0.989219096
116,87337.25871,0.9893346923
117,90345.11082,0.9894576098
118,92144.48121,0.9895857008
119,90283.44175,0.9897118722
120,74256.06201,0.9898150963
121,79881.11156,0.9899237772
122,80434.2008,0.9900385633
123,82660.70745,0.9901644725
124,80608.74597,0.9902765276
125,71172.84005,0.9903828333
126,80869.57737,0.9904958489
127,77189.64188,0.9906122831
128,69839.94845,0.9907186637
129,77416.4235,0.9908314329
130,70848.37019,0.990941445
131,65905.79675,0.9910398837
132,63735.6315,0.9911416789
133,59345.03838,0.9912342677
134,64397.8024,0.9913295017
135,51864.43838,0.9914138709
136,51308.36846,0.9914946797
137,53210.83076,0.9915804522
138,52008.55858,0.9916635175
139,55759.61402,0.991751337
140,48013.00225,0.991832281
141,49527.29598,0.9919121158
142,43314.48012,0.9919838576
143,43789.64706,0.9920567103
144,47014.3533,0.9921359707
145,44875.19223,0.9922136157
146,49758.73646,0.9922971349
147,46643.35165,0.9923757699
148,46125.76462,0.992456943
149,46499.57497,0.9925380862
150,45119.14911,0.9926171541
151,41007.88811,0.9926868949
152,38097.78379,0.9927556303
153,37671.48776,0.9928216468
154,39445.949,0.9928945646
155,37820.17637,0.9929616806
156,41180.47426,0.9930359778
157,37975.76393,0.9931075819
158,35925.2906,0.9931713352
159,35450.09753,0.9932368665
160,35309.5253,0.993302399
161,33418.39164,0.9933676341
162,35463.79283,0.993434764
163,33980.45355,0.9934973273
164,34138.4583,0.9935629583
165,35855.23319,0.9936313594
166,29944.07749,0.9936911408
167,34217.72706,0.9937561651
168,30296.52502,0.9938135138
169,31859.65219,0.9938780619
170,31668.94249,0.9939410526
171,31709.59191,0.9940043588
172,29790.69644,0.9940629528
173,27180.2752,0.9941188243
174,29650.9702,0.9941795552
175,30979.94227,0.9942414046
176,30477.67797,0.9943040542
177,26609.0117,0.994357374
178,26482.56378,0.9944137695
179,28352.38462,0.9944733081
180,25605.76446,0.9945257537
181,26824.73116,0.9945824811
182,26159.43933,0.9946389621
183,25096.45065,0.9946935191
184,26451.43165,0.994748088
185,26934.08027,0.9948062415
186,25248.41188,0.9948622491
