freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.828378473e+11,0.9271541689
1,2741901820,0.956937705
2,281693586.9,0.9630574216
3,284272085.5,0.9707770889
4,51822819.37,0.9724658439
5,35783254.51,0.9744092976
6,26456491.31,0.9757025078
7,24923655.32,0.9773268867
8,15156093.51,0.9784793038
9,11672562.01,0.9793668451
10,7446924.46,0.9800544203
11,5883255.258,0.9805656688
12,6195753.525,0.9812386741
13,4445878.407,0.9817940408
14,3439718.421,0.982205039
15,2763321.733,0.9825652335
16,3186937.192,0.9829806455
17,3318362.642,0.9835033018
18,2126933.24,0.9838498547
19,1808494.952,0.9841445227
20,1873516.818,0.9844599604
21,1831970.989,0.984818152
22,1395745.786,0.9850758907
23,1952175.395,0.9854469824
24,1691488.314,0.9857960801
25,1407075.457,0.9861170476
26,1617656.103,0.9865036221
27,1458052.764,0.9868282991
28,1439536.355,0.9871566712
29,1313666.711,0.9874991398
30,1386875.037,0.9878531613
31,1177788.703,0.9881857941
32,1254809.376,0.988526549
33,931398.567,0.9887895959
34,926232.4074,0.9890763365
35,854389.9796,0.9893176346
36,805799.7623,0.9895714684
37,837647.2984,0.9898307851
38,787016.461,0.9901043486
39,663867.513,0.9903278949
40,779704.0474,0.990577743
41,513690.5244,0.9907674594
42,578241.7976,0.9909747348
43,474739.8878,0.9911603795
44,382412.8895,0.9913036894
45,457675.9274,0.9914727184
46,424398.5266,0.9916432874
47,353961.021,0.9917836245
48,403932.2212,0.9919547432
49,352062.0533,0.9921000638
50,337738.2351,0.9922541465
51,320800.3348,0.9923952748
52,303613.6811,0.9925238954
53,310600.4944,0.9926689712
54,348121.2651,0.9928221187
55,259129.2024,0.9929544122
56,260887.1754,0.9930762678
57,237877.6384,0.9931925439
58,246897.9823,0.9933145702
59,230327.9872,0.9934296579
60,212080.5476,0.993542539
61,214274.2817,0.9936554239
62,221306.307,0.9937732155
63,211308.5492,0.993887981
64,204658.8385,0.9939958004
65,182820.0822,0.9941030367
66,177365.7151,0.9941993673
67,173139.7919,0.9942990448
68,181700.8174,0.9944105588
69,169528.5452,0.9945063158
70,150462.968,0.9945978413
71,159736.0128,0.9946906697
72,176173.8757,0.9948054896
73,174588.8156,0.9949154836
74,146769.1743,0.9950079507
75,149700.7891,0.9951047039
76,142920.9056,0.9951978514
77,166454.913,0.9953099532
78,108999.3575,0.9953804007
79,121636.7246,0.995462319
80,118009.699,0.9955456401
81,111152.2976,0.9956211012
82,122745.1003,0.9957104324
83,107008.3196,0.9957836613
84,122903.5962,0.9958731079
85,148279.2745,0.9959834383
86,102330.195,0.9960590236
87,93851.84634,0.9961293658
88,74856.50141,0.9961826251
89,78997.76393,0.9962469828
90,89977.52336,0.9963144212
91,72927.62489,0.9963714572
92,120814.5436,0.9964666012
93,106009.1127,0.9965506614
94,80952.79138,0.9966174912
95,72731.94721,0.9966747692
96,67001.32309,0.9967293536
97,74079.07815,0.9967929228
98,76864.33666,0.9968563774
99,55312.70181,0.996904744
100,71891.55556,0.9969640933
101,58602.8633,0.9970169282
102,56995.90926,0.9970667666
103,60394.17066,0.9971179365
104,50947.92986,0.9971644233
105,69762.65564,0.9972254252
106,48188.24702,0.9972709643
107,40406.31047,0.9973078326
108,40715.59227,0.9973445408
109,38755.60447,0.9973805344
110,45459.90414,0.9974230014
111,37870.39709,0.9974600239
112,37810.76716,0.9974959614
113,43294.78756,0.9975378167
114,32630.21895,0.9975707797
115,31586.7314,0.9976016593
116,30360.37685,0.9976311751
117,33914.46989,0.9976650671
118,39982.49045,0.9977058917
119,27963.51366,0.9977345961
120,26912.78577,0.9977620757
121,29402.89099,0.9977914591
122,26874.10532,0.9978196291
123,27463.96253,0.9978503564
124,26769.96145,0.9978776902
125,28892.73519,0.9979093884
126,27509.89514,0.9979376271
127,24252.62316,0.9979644981
128,24209.05172,0.9979915837
129,24537.08433,0.998017837
130,23395.41557,0.9980445206
131,23994.16417,0.9980708446
132,22469.55621,0.9980972044
133,22186.15023,0.9981226293
134,21674.49039,0.9981461729
135,22675.88628,0.9981732674
136,20079.06168,0.9981964957
137,21788.6076,0.9982222934
138,20003.3428,0.99824576
139,22032.90342,0.9982712486
140,21819.14761,0.9982982674
141,17756.3581,0.9983192909
142,16758.2984,0.9983396788
143,14439.88895,0.9983573246
144,15161.25532,0.9983760989
145,15924.3156,0.9983963371
146,15673.61491,0.9984156607
147,15679.75811,0.9984350771
148,16655.33691,0.9984566062
149,14070.12852,0.9984746407
150,14885.21675,0.9984938008
151,12853.32844,0.9985098568
152,13442.78375,0.9985276713
153,12977.96829,0.9985443764
154,11944.288,0.9985605943
155,12140.79313,0.9985764196
156,11888.76324,0.9985921747
157,12199.01194,0.9986090698
158,11799.49815,0.9986244502
159,11364.07915,0.9986398803
160,10694.33413,0.9986544591
161,10941.39986,0.9986701472
162,11008.65463,0.9986854535
163,12224.09518,0.9987019849
164,12312.85088,0.998719372
165,11929.41905,0.998736088
166,10523.00295,0.9987515192
167,12478.25035,0.9987689365
168,11274.48682,0.9987846123
169,11513.7144,0.9988017464
170,11576.03705,0.9988186588
171,10167.26402,0.9988335683
172,10689.55067,0.9988490114
173,9405.076754,0.9988632119
174,9972.784076,0.9988782153
175,9169.585946,0.9988916618
176,10459.93563,0.9989074549
177,11509.91624,0.9989243958
178,9573.191363,0.99893937
179,9362.806498,0.9989538117
180,9291.828673,0.9989677906
181,8245.807168,0.998980599
182,8755.842671,0.9989944849
183,7646.547167,0.9990066947
184,8561.131269,0.9990196674
185,7681.56598,0.9990318496
186,6892.335097,0.9990430797
187,7953.555352,0.9990557365
188,7875.232909,0.9990683969
189,6882.367016,0.9990793117
190,7406.740259,0.9990912995
191,6972.297242,0.9991029249
192,7293.900783,0.9991145715
193,6208.967873,0.9991250928
194,6820.383566,0.9991361686
195,6841.739784,0.9991477621
196,6415.573404,0.9991586335
197,6210.63178,0.9991689552
198,5900.525672,0.9991790499
199,5678.471155,0.9991885489
200,5530.132163,0.9991982803
201,5383.048358,0.9992073143
202,5240.103293,0.9992161369
203,5408.422857,0.9992258891
204,5038.005635,0.999234563
205,5055.382613,0.9992436237
206,5308.318332,0.9992527341
207,5847.383633,0.9992630873
208,5185.282557,0.999272409
209,5100.853883,0.9992814404
210,5444.529332,0.9992911394
211,4944.950625,0.9993001902
212,5074.999323,0.9993093963
213,4654.329671,0.9993178899
214,5564.161677,0.9993280438
215,4694.275817,0.9993364828
216,4157.270599,0.9993442951
217,4346.571316,0.9993524159
218,4342.085745,0.9993604104
219,3978.038538,0.9993678859
220,4227.51689,0.9993758302
221,4345.891789,0.9993840678
222,4111.25877,0.9993920169
223,3677.152491,0.999398887
224,3814.788685,0.9994063044
225,3764.418263,0.9994134398
226,3851.650759,0.9994208869
227,3577.890145,0.9994277659
228,3726.022709,0.9994351119
229,3558.308548,0.9994423397
230,3359.570108,0.999448726
231,3436.147226,0.9994554444
232,3448.913353,0.999462244
233,3398.415719,0.9994690363
234,3205.992483,0.9994756182
235,3137.573453,0.9994817699
236,2967.08888,0.9994877324
237,3260.067946,0.9994944607
238,2944.74637,0.9995002663
239,2937.372137,0.9995063924
240,2892.109942,0.9995121414
241,2884.5755,0.9995182827
242,2862.613641,0.9995242995
243,2867.218223,0.9995301859
244,2794.265003,0.9995360742
245,2873.466719,0.9995418954
246,2764.735546,0.9995479618
247,2736.744349,0.9995536992
248,2567.218724,0.9995590254
249,2742.66706,0.9995648497
250,2592.936913,0.9995703138
251,2443.767661,0.9995756228
252,2287.088489,0.9995805294
253,2533.677191,0.9995860062
254,2352.853395,0.9995911688
255,2258.323699,0.9995961486
256,2241.176897,0.9996010053
257,2312.184979,0.9996060033
258,2334.24759,0.9996112519
259,2339.028113,0.9996163969
260,2095.841147,0.9996210639
261,2164.968325,0.9996258848
262,2200.457166,0.9996307967
263,2045.133946,0.9996353952
264,2135.594702,0.9996401507
265,2134.939368,0.9996450903
266,1927.734024,0.9996494562
267,1936.825097,0.9996538322
268,1868.919244,0.9996581766
269,2087.872452,0.9996629279
270,1810.949395,0.9996670785
271,1743.373933,0.999671169
272,2058.41417,0.9996759986
273,1746.67136,0.9996800493
274,1771.747575,0.9996841101
275,1641.538687,0.9996880507
276,1666.495452,0.9996919517
277,1798.717546,0.9996962501
278,1730.110682,0.9997003282
279,1687.112997,0.9997043325
280,1977.035164,0.9997091215
281,1600.87525,0.9997129123
282,1555.405971,0.9997166631
283,1556.492354,0.9997204081
284,1556.363468,0.9997242457
285,1646.795355,0.9997282705
286,1352.508867,0.9997315099
287,1700.01037,0.9997357018
288,1541.061871,0.9997394849
289,1369.184641,0.9997428907
290,1475.624045,0.9997466174
291,1511.969817,0.9997502142
292,1513.851041,0.9997541278
293,1538.158451,0.9997579623
294,1409.416562,0.9997614989
295,1616.721744,0.999765538
296,1342.680548,0.99976898
297,1334.289408,0.9997724077
298,1329.558681,0.9997757149
299,1350.559421,0.9997791478
300,1552.841019,0.9997831201
301,1361.278342,0.9997866098
302,1342.346158,0.9997901675
303,1253.264009,0.9997933463
304,1360.591896,0.9997968489
305,1215.794404,0.9998000845
306,1206.805542,0.9998031913
307,1013.375236,0.9998058606
308,1169.776164,0.9998088721
309,1038.41909,0.9998117258
310,1028.224749,0.999814412
311,1022.972095,0.9998171344
312,980.5938008,0.9998197121
313,1035.718636,0.9998224797
314,938.9760574,0.9998250652
315,942.3186612,0.9998275935
316,925.9932966,0.9998300679
317,1038.210274,0.9998328816
318,916.9757515,0.9998353916
319,838.5584979,0.9998376597
320,791.5766491,0.9998397964
321,914.6630055,0.9998423001
322,829.9258512,0.999844617
323,779.2365945,0.9998467754
324,878.9231656,0.9998491574
325,902.2056027,0.9998516858
326,934.5735461,0.999854305
327,798.3070233,0.9998565639
328,725.8829562,0.9998586139
329,789.3750882,0.9998607919
330,776.4428528,0.9998629931
331,774.7667714,0.9998651518
332,802.3226587,0.9998674003
333,768.2130687,0.9998696533
334,800.4084966,0.9998719095
335,692.1754898,0.999873902
336,728.1223759,0.9998759662
337,695.4620216,0.9998779228
338,699.6922402,0.9998800167
339,641.7622576,0.999881864
340,669.8677119,0.9998838432
341,630.1416104,0.9998856605
342,627.9226542,0.9998874612
343,551.0673641,0.9998891252
344,657.7320324,0.9998910078
345,739.6459533,0.9998932333
346,592.8860075,0.9998949657
347,558.321312,0.9998966275
348,524.8716475,0.9998981811
349,592.4975862,0.9998999123
350,508.6969426,0.9999014485
351,482.3623429,0.9999029077
