freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.014254361e+10,0.4249565838
1,1178884006,0.5048846423
2,481638068.5,0.570194538
3,353228749.1,0.6300666034
4,244411767,0.6797797845
5,156284875.8,0.7327601737
6,133380081.5,0.7734542955
7,86372919.43,0.8085906773
8,57552181.97,0.8359048482
9,39658748.75,0.8547268251
10,30133794.14,0.8720928705
11,22524920.51,0.884310345
12,15171993.02,0.8945969206
13,11755709.84,0.9037628158
14,7738208.312,0.9095339515
15,4078853.924,0.9128524956
16,4948750.199,0.9168787848
17,1954401.923,0.9188001507
18,2649492.354,0.921494675
19,1584927.179,0.9231065404
20,2054938.243,0.9252660675
21,1928598.688,0.9276197212
22,2322402.738,0.9302965133
23,2232021.882,0.9329447981
24,2077653.829,0.9356212225
25,1994546.752,0.9384610483
26,1655536.159,0.9409304375
27,1451396.213,0.9429477261
28,1473769.886,0.9450460724
29,1015036.8,0.9466977345
30,780932.7224,0.9479419903
31,862740.72,0.9494628244
32,668748.0816,0.9505963484
33,488574.3166,0.9514576043
34,399929.7433,0.9522303858
35,381882.6295,0.9529035662
36,345182.5946,0.9535822619
37,354553.4094,0.954267363
38,343329.4709,0.9550122481
39,315157.7804,0.9556746444
40,333781.5579,0.9563422386
41,360136.627,0.9571724227
42,395981.0142,0.9580583875
43,421298.7035,0.9590866898
44,402127.6978,0.9600273034
45,342087.538,0.9608158809
46,256390.2678,0.9614590593
47,245929.8632,0.9620676598
48,198364.8345,0.9625921743
49,211499.0554,0.9631370786
50,186006.5656,0.963666749
51,154962.7036,0.9640922597
52,144906.6894,0.9644754206
53,147565.1295,0.9649056305
54,143584.883,0.9652998988
55,135758.3821,0.965732505
56,135166.1421,0.966126567
57,142545.0648,0.9665614705
58,150497.5232,0.9670257387
59,146229.3458,0.9674817972
60,133624.2853,0.9679257223
61,145389.8123,0.9684038059
62,126378.3026,0.9688236585
63,122933.141,0.9692404004
64,121346.0919,0.9696394213
65,96831.18738,0.9699939384
66,99598.53421,0.9703315763
67,86943.73885,0.9706439989
68,80919.20487,0.970953975
69,72458.42132,0.9712094335
70,72365.84021,0.9714841912
71,61570.61351,0.9717075255
72,60759.71162,0.9719546951
73,64281.83036,0.9722074761
74,68444.74273,0.9724766273
75,66865.48446,0.9727463684
76,66344.17567,0.9730162556
77,67328.46546,0.9732992765
78,65290.68888,0.9735626648
79,61841.99158,0.9738226229
80,58448.57074,0.9740802049
81,55318.48059,0.9743146161
82,54134.54769,0.9745605268
83,50022.74704,0.9747741933
84,47115.39241,0.9749882189
85,43102.56778,0.9751883995
86,43316.73834,0.9753881063
87,39496.78101,0.9755728795
88,38122.69359,0.9757421779
89,37340.8157,0.9759320553
90,44385.04429,0.9761396967
91,42672.06449,0.976348004
92,40674.34474,0.976547938
93,38791.7098,0.976739933
94,36524.71224,0.9769281369
95,33277.79119,0.9770917133
96,31105.13873,0.9772498824
97,36981.75592,0.9774479634
98,38554.14326,0.9776466245
99,38262.25343,0.9778554553
100,30770.38412,0.9780140084
101,30039.83316,0.978183054
102,29981.22903,0.978346688
103,26599.21492,0.9784873548
104,27364.90088,0.9786432028
105,29997.07701,0.9788069233
106,27649.90382,0.9789700185
107,27872.53141,0.9791287575
108,28581.44318,0.9792895962
109,26829.73329,0.9794451249
110,27368.4183,0.9796047042
111,25202.07049,0.9797584867
112,26577.69403,0.9799161583
113,24127.74074,0.9800617494
114,22994.16075,0.9802067363
115,23603.49303,0.9803507643
116,22476.57569,0.9804871539
117,22547.7981,0.9806277976
118,20272.3305,0.9807569968
119,19940.59409,0.9808847577
120,18777.62733,0.9810044309
121,19201.59555,0.9811242023
122,20960.79847,0.9812613421
123,20508.97922,0.981404564
124,19197.54535,0.9815269133
125,17960.06655,0.9816498998
126,17611.1279,0.9817627357
127,20538.18281,0.9819047691
128,21453.0159,0.9820545836
129,21855.14878,0.9822005383
130,17771.4734,0.982327053
131,15829.11254,0.9824354472
132,14647.6608,0.9825427028
133,16432.2365,0.9826602406
134,16175.96823,0.9827699133
135,18516.98662,0.9829080125
136,18546.28235,0.9830419292
137,18309.12281,0.9831772368
138,18505.40939,0.9833127403
139,17042.47239,0.9834357985
140,15264.05636,0.983553777
141,15581.22574,0.983668925
142,15906.45198,0.9837897118
143,17149.35217,0.983920518
144,18167.56866,0.9840609383
145,16941.67564,0.9841953294
146,15112.69367,0.9843116257
147,16042.43947,0.9844356205
148,14003.07222,0.9845485997
149,13814.49093,0.9846591207
150,14854.46499,0.9847784655
151,13401.136,0.9848829538
152,13684.19635,0.9849961437
153,15128.14441,0.9851176873
154,15251.26048,0.9852469413
155,14953.66186,0.9853686038
