freq_radius,radial_mean_power,cumulative_energy_fraction
0,7.140481422e+11,0.9307863874
1,1211544617,0.9434207091
2,309433393.9,0.9498744227
3,176316016.7,0.9544711029
4,130328163.3,0.9585483971
5,82845541.99,0.962868078
6,40180045.54,0.9647536167
7,27025942.97,0.9664446207
8,21465801.04,0.9680115797
9,13686341.85,0.9690106544
10,20753244.71,0.9708502292
11,16525207.92,0.9722288646
12,7928641.663,0.9730556853
13,11492555.41,0.974433932
14,8492115.808,0.9754080714
15,7153571.986,0.9763032644
16,5720724.454,0.977019152
17,4890548.139,0.9777586518
18,4404363.823,0.9784476006
19,4010874.905,0.9790749982
20,3471871.332,0.9796361855
21,3157239.248,0.9802288277
22,3822877.317,0.98090655
23,2644068.598,0.9813890788
24,2857446.792,0.9819552455
25,2788943.634,0.9825660068
26,2482157.855,0.9831354686
27,2277228.424,0.9836222937
28,1934208.998,0.9840458735
29,1703792.059,0.9844722962
30,1560321.269,0.9848546756
31,1407883.694,0.9852364024
32,1110967.407,0.9855260392
33,1195954.626,0.9858503046
34,955934.1232,0.9861344138
35,1257131.784,0.9864752665
36,876314.8663,0.9867402816
37,771872.9797,0.9869696868
38,847804.0005,0.9872526031
39,807690.0527,0.9875137103
40,874406.801,0.9877827077
41,539688.3727,0.9879740604
42,753224.7568,0.98823327
43,629410.1426,0.9884695618
44,601360.569,0.9886859166
45,624900.0936,0.9889074821
46,653915.5356,0.9891597929
47,657577.1245,0.9894100879
48,581927.1363,0.9896467592
49,547666.044,0.9898637853
50,454092.808,0.9900626723
51,327922.5182,0.9902011688
52,360522.0303,0.9903477941
53,281717.6993,0.9904741208
54,305925.5466,0.990603327
55,264304.6343,0.9907328703
56,252242.4057,0.9908459798
57,266527.9291,0.9909710541
58,282929.3024,0.9911053002
59,249956.8345,0.9912252047
60,267219.7923,0.9913617501
61,243896.7917,0.9914851061
62,192397.2291,0.9915834183
63,199607.8959,0.9916874966
64,211787.9812,0.9917946129
65,169795.792,0.9918902295
66,168503.274,0.9919780895
67,191856.9473,0.9920841285
68,157545.8929,0.9921769542
69,149463.8273,0.992258004
70,152392.1019,0.9923469985
71,162582.0124,0.992437705
72,148651.0931,0.9925307155
73,141319.8609,0.9926161914
74,157836.8104,0.9927116574
75,181545.0827,0.992824303
76,122136.7953,0.9929007235
77,115787.1866,0.9929755861
78,125257.9121,0.9930533064
79,103150.9038,0.993119999
