freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.828020731e+11,0.6141275618
1,1375071024,0.6510842112
2,815267178.2,0.6949067378
3,187418929.7,0.7074994976
4,129063548.5,0.7179057012
5,67920730.46,0.7270329483
6,97552672.56,0.7388312404
7,88641519.45,0.7531253103
8,61296900.49,0.7646572939
9,42797522.9,0.7727089299
10,40711106.47,0.7820092798
11,54468578.48,0.7937205362
12,58258414.02,0.8093781694
13,72628084.95,0.8318257683
14,62766318.3,0.8503818723
15,23438254.76,0.85794104
16,22264896.35,0.8651217829
17,22742301.42,0.873984561
18,15103096.4,0.8800732629
19,11991716.22,0.8849076348
20,7005651.252,0.887826054
21,8512041.84,0.8919439343
22,6536243.849,0.8949303112
23,7120133.151,0.8982791453
24,7322997.06,0.9020186141
25,8050625.916,0.9065623848
26,5941316.333,0.9100753416
27,6104340.832,0.9134385989
28,3684057.359,0.9155178797
29,3161938.276,0.917557419
30,2891003.865,0.9193833485
31,3604475.7,0.921902086
32,2814773.115,0.9237933444
33,6082068.669,0.9280433756
34,3531079.88,0.9307480804
35,3352338.324,0.9330906292
36,2461126.878,0.9350088538
37,1839093.141,0.9364175458
38,2060847.49,0.9381899521
39,2019578.849,0.9398725873
40,1767819.461,0.9412741979
41,1378032.781,0.9425334304
42,1442813.698,0.9438130818
43,1182401.365,0.9449571051
44,1311188.715,0.9461728761
45,1281408.806,0.9473438145
46,1043267.154,0.9483812587
47,1127327.655,0.949487145
48,1169472.583,0.950712952
49,1168591.749,0.9519064285
50,1036618.611,0.9530765629
51,881196.7762,0.9540357325
52,856443.0455,0.9549334311
53,870049.8731,0.9559389264
54,787693.167,0.9567963187
55,1581046.543,0.9587934654
56,808624.9364,0.9597279735
57,694085.9303,0.9605674203
58,664346.0766,0.9613798265
59,593386.6409,0.9621134328
60,477411.8282,0.962742152
61,481034.3255,0.9633691776
62,507897.2102,0.964038044
63,416054.2187,0.9645971413
64,455334.6107,0.9651906675
65,424714.5228,0.9658070614
66,494087.1307,0.96647102
67,410758.4291,0.9670561196
68,481850.762,0.9677878118
69,446414.8546,0.9684117039
70,380078.6284,0.9689837472
71,386663.2563,0.9695397208
72,312576.7074,0.9700437727
73,343690.7449,0.9705795241
74,262142.2804,0.9709881563
75,281343.6668,0.971438062
76,312086.2893,0.9719413232
77,429391.0567,0.9726568273
78,289893.5828,0.9731204055
79,231045.3574,0.9735054017
80,223382.195,0.9738956395
81,244380.0209,0.9743061395
82,246867.7518,0.9747506752
83,206459.2441,0.9751002518
84,234133.1539,0.9755218562
85,217286.7601,0.9759218851
86,215123.432,0.9763150403
87,205556.2856,0.9766962354
88,275492.952,0.9771812103
89,199853.246,0.9775840571
90,185616.6443,0.977928275
91,172071.1659,0.9782612473
92,175861.7735,0.978603918
93,177446.513,0.9789520611
94,155964.7823,0.9792706331
95,216122.3152,0.9796917523
96,215308.1207,0.9801257517
97,247205.1237,0.980650622
98,225005.754,0.9811102164
99,239254.3286,0.9816278508
100,189061.0115,0.9820140248
101,311137.3243,0.9827080858
102,182707.9298,0.9831033803
103,135233.7293,0.9833868764
104,150059.7128,0.983725651
105,146384.843,0.9840423593
106,113509.878,0.9843077712
107,113881.7965,0.9845648706
108,99128.96262,0.9847859998
109,102045.1436,0.9850204906
