freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.179433993e+11,0.8895188579
1,3106399077,0.9321984335
2,725801955.2,0.9521423742
3,226494767.9,0.9599220415
4,108716510,0.9644030896
5,40544307.92,0.9671883303
6,52073884.79,0.9704078815
7,40617253.16,0.9737561837
8,15801481.92,0.9752758866
9,7281471.616,0.97597618
10,5645187.33,0.9766354452
11,10261480.07,0.977763325
12,7137864.29,0.9787440137
13,4163577.065,0.9794018643
14,5078437.789,0.9801693772
15,2357753.999,0.9805581022
16,2859468.349,0.9810295455
17,3581460.909,0.9817430407
18,2825012.704,0.9823252438
19,2237547.398,0.9827863769
20,2374968.226,0.9832921461
21,2085367.375,0.9838078708
22,1576102.701,0.9841759966
23,1381224.508,0.9845080937
24,1234131.12,0.9848302583
25,1122505.744,0.9851541283
26,650138.0188,0.9853506412
27,731048.4127,0.9855565443
28,826008.4315,0.9857948676
29,1024381.055,0.986132649
30,762340.4569,0.9863787875
31,595561.1415,0.9865915341
32,812796.9103,0.9868707145
33,520276.6537,0.9870565679
34,422252.6038,0.9872219087
35,392899.5814,0.9873622604
36,427348.782,0.9875325324
37,331146.7905,0.9876621991
38,347171.5611,0.9878148351
39,394579.7641,0.9879828931
40,438793.5964,0.9881607396
41,412703.8167,0.9883535277
42,536693.76,0.988596862
43,603971.4409,0.988895594
44,613607.0914,0.9891864461
45,458815.3153,0.9894007745
46,409919.1466,0.9896091577
47,483053.6785,0.9898514007
48,427233.2262,0.9900803253
49,510026.9247,0.9903466059
50,466352.1009,0.9906157135
51,398806.6023,0.9908376253
52,392917.4234,0.9910481624
53,291209.4769,0.9912202053
54,266450.0719,0.9913684686
55,331877.5317,0.9915827767
56,246774.9196,0.9917285683
57,368413.9242,0.9919563461
58,208586.138,0.9920867407
59,191546.1005,0.9922077988
60,181835.3905,0.9923302146
61,209028.0393,0.9924695011
62,182158.899,0.9925921347
63,153389.8826,0.9926975077
64,183082.2974,0.9928195052
65,204967.421,0.9929715745
66,176098.665,0.9930925476
67,156804.9426,0.9932067298
68,152949.9816,0.9933254599
69,151944.1294,0.993434015
70,122851.4262,0.9935285366
71,148262.9629,0.9936375172
72,148000.6397,0.9937595222
73,142166.2488,0.9938728111
74,114352.5258,0.9939639359
75,102884.7405,0.9940480426
76,102652.0473,0.9941326643
77,105440.6161,0.9942224822
78,125424.7346,0.994325015
79,100878.0138,0.9944109462
80,111414.201,0.9945104448
81,91591.70112,0.9945890948
82,83650.48407,0.9946660976
83,88849.81188,0.9947430035
84,81433.75184,0.9948179657
85,77855.71187,0.9948912386
86,68893.24729,0.9949556034
87,65527.93511,0.9950177244
88,67823.36727,0.9950787601
89,62509.52755,0.9951431726
90,60042.55564,0.9952000934
91,65135.70743,0.9952645273
92,58612.12626,0.9953229106
93,55915.37909,0.9953789917
94,46634.32972,0.9954276865
95,37595.69421,0.9954651354
96,39747.98967,0.9955060934
97,38147.03795,0.9955474982
98,38283.43787,0.9955874731
99,46984.16368,0.9956394381
100,43184.92052,0.995684531
101,40352.40862,0.9957305472
102,44853.10431,0.9957801551
103,51621.35648,0.9958354757
104,43073.52254,0.9958851867
105,51361.82295,0.9959419934
106,49637.82492,0.9960013262
107,46060.18823,0.9960544841
108,53179.44118,0.9961151276
109,50680.57636,0.9961746624
110,42751.22449,0.9962251761
111,38816.02433,0.9962731734
112,47464.6601,0.9963302346
113,48162.98263,0.996389128
114,44527.46,0.9964460229
115,44010.77739,0.9965004437
116,48432.80861,0.9965599997
117,40660.05874,0.9966113944
118,42940.58401,0.9966668517
119,36042.9689,0.9967136484
120,38294.53233,0.9967631054
121,35944.32065,0.9968085394
122,34474.11027,0.9968542464
123,34732.23395,0.9969033975
124,40278.8245,0.9969554171
125,43754.32442,0.9970161334
126,46465.52383,0.9970764623
127,36371.03324,0.9971274328
128,33479.4167,0.9971748109
129,33656.20725,0.9972203584
130,40226.25133,0.9972783896
131,46967.64637,0.9973435649
132,34702.47999,0.9973950578
133,30037.65499,0.9974385971
134,23107.96424,0.9974703457
135,25954.05388,0.9975095705
136,25442.36191,0.9975467985
137,34366.71321,0.9975982653
138,31452.65215,0.997644936
139,33203.35841,0.9976935201
140,25209.90224,0.9977330057
141,23545.85063,0.9977682674
142,26420.11011,0.9978089226
143,24827.11267,0.997847297
144,27287.9615,0.9978900374
145,19246.85694,0.9979209766
146,20772.38697,0.9979533691
147,21949.10022,0.9979877474
148,19924.0036,0.9980203226
149,19286.39193,0.9980515903
150,16269.83337,0.9980780792
151,20234.66412,0.9981100502
152,18899.55725,0.9981417294
153,18891.4893,0.9981724867
154,21918.25912,0.9982101292
155,16716.04242,0.9982376891
156,14958.41394,0.9982627622
157,14704.92183,0.9982885216
158,13823.831,0.9983113131
159,13151.38124,0.9983338993
160,15380.03232,0.9983604187
161,12420.97557,0.9983829452
162,12494.12532,0.9984049176
163,10850.4711,0.9984234778
164,11569.46485,0.998444142
