freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.464890173e+11,0.7822908161
1,1268212966,0.8051974321
2,788935778.4,0.8336971389
3,420247796.8,0.8526735552
4,294954911.8,0.8686560891
5,215493131.1,0.888117404
6,64699389.73,0.8933761409
7,60256363.73,0.8999062873
8,47786110.66,0.9059481169
9,45686913.09,0.9117245347
10,28169895.2,0.9160494032
11,30398876.14,0.9204419486
12,14851086.74,0.9231243698
13,24426189.1,0.9281980408
14,11942484.34,0.9305708134
15,9877367.251,0.9327116878
16,10451953.41,0.9349771011
17,9432380.75,0.9374474488
18,7510345.103,0.9394822402
19,7404838.351,0.9414884465
20,7567939.762,0.9436071886
21,3766541.93,0.9448317599
22,3648875.012,0.9459521691
23,5588468.441,0.9477186119
24,4502758.287,0.9492638699
25,4429474.07,0.9509439895
26,4330832.792,0.952664918
27,4043516.484,0.954162125
28,3004274.611,0.9553016599
29,3764692.867,0.9569336201
30,2631039.602,0.9580503907
31,2333235.638,0.9591461135
32,2326001.731,0.9601964266
33,1834997.627,0.9610581693
34,2105096.996,0.962141811
35,2162149.866,0.9631571893
36,1731689.04,0.9640642507
37,1657130.525,0.9649172925
38,1593102.638,0.9658380865
39,1239988.238,0.9665323878
40,1518740.502,0.9673416222
41,1569064.881,0.968305204
42,1186912.395,0.9690126631
43,1074227.557,0.9697111649
44,968358.1662,0.9703145907
45,886974.6315,0.9708592925
46,806100.4076,0.9713980082
47,892606.6167,0.9719864747
48,692972.9593,0.9724746206
49,866379.3796,0.9730692692
50,671591.9517,0.973578745
51,657213.3689,0.974059507
52,741558.1961,0.9745818774
53,769725.34,0.9751797009
54,768400.7218,0.9757417983
55,624282.4266,0.9762717639
56,535441.8506,0.9766876262
57,567482.8204,0.9771488736
58,493464.758,0.9775544161
59,599907.5269,0.9780528538
60,450822.505,0.9784518515
61,571353.0938,0.9789523641
62,398147.3882,0.9793047421
63,463250.0198,0.979723106
64,397652.9793,0.9800714551
65,428538.5595,0.9804894321
66,359362.3663,0.9808139744
67,396198.1203,0.9811932519
68,325488.3512,0.981525416
69,367910.2783,0.9818709684
70,318441.7147,0.9821930655
71,325429.5677,0.9825075357
72,323328.8007,0.9828579359
73,309224.7894,0.9831818808
74,248406.1856,0.9834421118
75,294571.893,0.9837586871
76,269350.6591,0.9840505898
77,236496.1154,0.9843154303
78,243878.314,0.9845775254
79,224452.9804,0.9848288794
80,204638.7788,0.9850691331
81,237465.6241,0.9853372039
82,212704.2401,0.9855946105
83,188492.7204,0.9858090989
84,172495.6157,0.9860178466
85,165163.0244,0.9862221954
86,166014.3983,0.9864260983
87,170316.4153,0.9866383613
88,170800.8304,0.9868404305
89,139679.1272,0.9870296481
90,176648.4783,0.9872498027
91,144645.4026,0.9874379101
92,140410.0129,0.9876217775
93,159984.7854,0.987832723
94,144198.4135,0.9880306672
95,134901.0084,0.9882073206
96,140141.8986,0.9883971651
97,120356.5611,0.9885689028
98,130709.3746,0.9887483303
99,117743.1233,0.9889195289
100,119736.3991,0.9890838936
101,112782.2496,0.9892529718
102,117657.0849,0.9894240453
103,108339.7491,0.9895766792
104,113330.9716,0.989748627
105,99302.56398,0.989893013
106,92988.86721,0.9900391362
107,92761.33673,0.9901798754
108,105094.6322,0.9903374286
109,102133.0243,0.9904951538
110,98770.00054,0.9906485774
111,95835.30435,0.9908043664
