freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.040319598e+11,0.8974826445
1,810745690.7,0.9090315976
2,510311660.9,0.9235702268
3,286547035.9,0.9337747777
4,183441898.3,0.9416140863
5,117922394.8,0.9500130222
6,59946262.29,0.9538556878
7,29692406.48,0.9563934716
8,18565682.18,0.9582447295
9,34410151.8,0.9616759024
10,19886474.97,0.9640837816
11,25316549.8,0.9669688259
12,18493702.95,0.9696032267
13,8880703.728,0.9710580263
14,9895649.618,0.9726086091
15,5996910.252,0.9736337104
16,7412584.512,0.9749008045
17,7396489.129,0.9764285521
18,5388697.404,0.9775799701
19,4785863.026,0.9786025788
20,3133318.483,0.9792944006
21,3184713.143,0.9801109844
22,2572703.125,0.9807339967
23,3001929.139,0.9814823323
24,1676165.112,0.9819359901
25,1495105.528,0.9823832389
26,1303509.283,0.9827917414
27,1559453.691,0.9832471323
28,1516194.985,0.9837006897
29,1017173.656,0.9840484375
30,1083609.824,0.9844111803
31,962809.4286,0.9847677723
32,845782.1028,0.9850689733
33,1081521.061,0.9854695322
34,922318.2751,0.9858439734
35,781441.0063,0.9861333927
36,685250.0338,0.98641647
37,638253.847,0.9866755872
38,520829.2965,0.9869129996
39,532146.1243,0.9871479902
40,595135.0462,0.9873980798
41,509622.0392,0.9876449024
42,539740.174,0.9878986236
43,390720.3692,0.9880989907
44,399779.0054,0.9882954611
45,414205.2132,0.988496071
46,416183.3565,0.9887154245
47,440143.0163,0.9889442712
48,402769.9001,0.9891680297
49,352726.0222,0.9893589618
50,267889.0365,0.9895192355
51,264492.1542,0.9896718254
52,272561.6272,0.9898232468
53,221840.4708,0.9899591305
54,264074.8525,0.9901114796
55,219594.4601,0.9902584999
56,271968.8023,0.9904250886
57,203230.0192,0.9905553628
58,263486.9202,0.9907261394
59,189621.4827,0.9908503914
60,232818.7527,0.9910128983
61,177598.6865,0.9911355969
62,192277.4989,0.9912698062
63,209099.6341,0.9914187359
64,234699.4088,0.9915808839
65,189696.425,0.9917268026
66,171573.022,0.9918490042
67,170436.3565,0.9919776798
68,149259.1682,0.9920978086
69,135848.4744,0.992198436
70,161715.4338,0.9923274383
71,148617.3914,0.9924406996
72,158612.2575,0.9925762641
73,119968.6219,0.9926753823
74,137843.6631,0.992789269
75,101600.7065,0.9928753825
76,120818.509,0.992978645
77,95771.94573,0.993063229
78,108915.9005,0.9931555427
79,106254.4182,0.9932493846
80,107871.7633,0.9933492647
81,103962.6395,0.993441823
82,84795.1587,0.9935227519
83,94282.81211,0.9936073638
84,83578.26311,0.9936871313
85,96823.11592,0.9937816086
86,91154.48092,0.9938699054
87,92975.25065,0.9939612903
88,83128.0005,0.9940388519
89,79692.04727,0.994123992
90,83380.89951,0.9942059466
91,86419.36524,0.9942945809
92,81252.98691,0.994378495
93,65284.62036,0.9944463828
94,66118.55719,0.9945179634
95,67218.4521,0.9945873834
96,61687.68023,0.9946532883
97,61970.59048,0.9947230264
98,55073.03804,0.994782649
99,59433.05754,0.9948508015
100,55450.64919,0.9949108329
101,54742.52718,0.9949755562
102,49146.94222,0.9950319135
103,57184.05898,0.9950954507
104,56908.83835,0.9951635459
105,52915.54665,0.9952242248
106,48441.5615,0.9952842585
107,47127.72205,0.99534065
108,44559.58241,0.9953933338
109,47490.86042,0.9954511746
110,46817.85223,0.9955085292
111,42469.50357,0.9955629766
112,42092.5821,0.9956154418
113,45802.35167,0.9956735097
114,42751.84593,0.9957301461
115,41662.09229,0.9957835585
116,39581.02984,0.9958340209
117,42346.26756,0.9958895168
118,34655.86659,0.9959359215
119,34612.6911,0.995982515
120,31281.69951,0.9960244017
121,36223.21796,0.9960718732
122,34070.42299,0.9961187074
123,29170.29114,0.9961615066
124,33506.81623,0.9962063728
125,29885.04519,0.9962493693
126,30686.26192,0.9962906773
127,31870.35865,0.9963369841
128,31748.93298,0.9963835668
129,33188.01438,0.9964301335
130,31563.74778,0.9964773437
131,33946.61821,0.9965261837
132,27108.95583,0.9965678893
133,28592.86558,0.9966108596
134,25972.35672,0.9966478568
135,27610.79393,0.9966911211
136,23232.53446,0.9967263666
137,24250.77812,0.9967640205
138,22417.01882,0.9967985079
139,22304.29676,0.9968323452
140,22667.10983,0.9968691546
141,21231.66799,0.9969021208
142,21758.4463,0.9969368347
143,21767.53948,0.9969717182
144,23444.50549,0.9970097901
145,23863.76512,0.9970495626
146,25611.01244,0.9970909702
147,23568.9957,0.9971292442
148,21000.61041,0.9971648431
149,20757.65493,0.9971997345
150,18394.85893,0.9972307853
151,18472.45898,0.9972610461
152,16671.48612,0.997290019
153,17085.56567,0.9973188597
154,15108.16294,0.9973457614
155,18582.20821,0.9973775255
156,16779.29725,0.9974066858
157,17180.1172,0.9974378887
158,16265.75751,0.9974656931
159,16376.1369,0.9974948525
160,17342.60793,0.9975258564
161,16893.47886,0.9975576216
162,18013.10532,0.9975904656
163,14468.42447,0.9976161251
164,15338.97243,0.9976445303
165,13737.7213,0.9976697745
166,14116.69529,0.9976969217
167,13589.11126,0.9977217961
168,12401.95613,0.9977444091
169,12929.00272,0.9977696406
170,11349.30593,0.9977913851
171,12648.98282,0.9978157098
172,11811.56129,0.9978380876
173,12637.243,0.9978631098
174,12731.39246,0.9978882277
175,11946.4339,0.9979112013
176,12229.03682,0.9979354153
177,10887.69419,0.9979564304
178,11401.58641,0.997979818
179,11156.91812,0.9980023859
180,11850.67598,0.9980257663
181,10840.65023,0.9980478488
182,11361.84039,0.9980714786
183,11026.0131,0.998094567
184,11391.76872,0.9981172042
185,10105.35628,0.9981382208
186,10868.65751,0.9981614442
187,9554.112156,0.9981813824
188,10349.28358,0.9982032011
189,11288.34069,0.998226678
190,11205.81793,0.9982504622
191,10190.19473,0.9982727439
192,10349.62304,0.998294416
193,10225.54134,0.9983171391
194,10040.83006,0.9983385221
195,10043.85687,0.9983608416
196,8886.084658,0.9983805882
197,9557.952075,0.9984014194
198,9310.451854,0.998422308
199,8793.414019,0.9984415982
200,9820.401171,0.9984642604
201,9949.214003,0.9984861569
202,10084.71589,0.9985084235
203,8812.032516,0.9985292608
204,8754.225876,0.9985490262
205,8305.059962,0.9985685464
206,8819.35765,0.998588396
207,8045.610957,0.9986070772
208,7732.320909,0.9986253063
209,8322.540574,0.9986446305
210,7768.899381,0.9986627799
211,7866.643968,0.9986816619
212,7403.495522,0.998699274
213,7733.682592,0.9987177817
214,6429.168251,0.9987331676
215,7056.744815,0.998749804
216,7016.086072,0.9987670942
217,7839.539567,0.998786302
218,7386.918278,0.9988041377
219,6446.163799,0.9988200234
220,6330.188553,0.9988356232
221,6128.425101,0.9988508568
222,6071.000823,0.9988662503
