freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.410090341e+11,0.8586284368
1,507045450.2,0.868841976
2,347295625,0.8828332956
3,354781106.1,0.9006993998
4,146742375.8,0.9095670014
5,77690228.39,0.9173916667
6,42225866.69,0.9212192131
7,45969091.34,0.9267750122
8,44110338.38,0.9329946888
9,39639770.66,0.9385840032
10,18539146.76,0.9417582306
11,14825067.19,0.94414723
12,9690087.574,0.9460991278
13,5199068.572,0.9473034779
14,4121769.217,0.9482167616
15,4478139.208,0.9492992125
16,5536154.837,0.9506374058
17,4147154.696,0.9518486943
18,2689310.07,0.9526612657
19,2933991.474,0.9535477672
20,2463318.781,0.9543168652
21,1818293.584,0.9549761391
22,2434917.779,0.9558099404
23,2258307.834,0.9566060092
24,1944144.143,0.9573500751
25,1713349.295,0.9580748357
26,2363979.944,0.9591224366
27,1865085.598,0.9598925984
28,1832720,0.9606678538
29,1803678.387,0.9615398201
30,1744775.7,0.9623657379
31,1573005.82,0.9631895593
32,1185623.054,0.9637866166
33,1098539.046,0.9643619482
34,1056448.25,0.9649684365
35,1098914.502,0.9655439647
36,1208826.164,0.9662501054
37,1097177.592,0.9668799757
38,944260.404,0.9674886306
39,1315181.717,0.9683098834
40,965359.7676,0.9688835249
41,762447.8875,0.9694057027
42,780555.8021,0.9699245593
43,1028732.766,0.9706705517
44,777036.0569,0.9712105466
45,718883.298,0.9717028884
46,629567.4876,0.972172105
47,507698.2347,0.9725453791
48,587808.4697,0.9730071535
49,526150.8518,0.9734098921
50,487947.8964,0.9738227039
51,655348.7708,0.9743573382
52,535504.3167,0.9747780232
53,442186.0316,0.9751610268
54,425623.3696,0.9755082509
55,410843.1379,0.9758972094
56,436394.144,0.9762751963
57,374791.1952,0.9766149242
58,372898.3687,0.9769566921
59,462358.8758,0.9773851088
60,418550.9149,0.9777982264
61,316101.0965,0.9781070405
62,353216.4503,0.9784556718
63,314763.9629,0.9787726902
64,325391.8757,0.9790905809
65,315524.6019,0.979433788
66,319495.9922,0.9797555723
67,274829.2247,0.9800489777
68,263132.7589,0.9803484473
69,307961.2934,0.9806710209
70,255942.2308,0.9809597293
71,348220.9036,0.9813349942
72,266679.2068,0.9816573013
73,292992.3684,0.9819996066
74,281936.6892,0.9823289955
75,239078.2851,0.9826155363
76,252049.0447,0.9829201614
77,243271.9866,0.9832239791
78,229437.8611,0.9834989657
79,211200.404,0.9837627298
80,223522.3342,0.98405539
81,226634.9549,0.9843407127
82,234980.3791,0.9846578416
83,208628.5489,0.9849225963
84,189500.3068,0.9851783453
85,190311.5294,0.9854409395
86,212457.5103,0.9857319511
87,201055.1725,0.9860113944
88,165927.943,0.9862303168
89,185895.3567,0.986511157
90,174240.5395,0.9867533311
91,186657.9405,0.9870240436
92,165557.5424,0.9872658213
93,155562.1128,0.9874945687
94,163691.5354,0.9877451618
95,152094.115,0.9879672778
96,144070.7068,0.9881849316
97,135884.038,0.9884011661
98,157317.925,0.988642002
99,136543.8367,0.988863412
100,132033.1449,0.9890655398
101,115962.9834,0.989259417
102,139074.9319,0.9894849313
103,154186.0308,0.9897271842
104,136164.6024,0.9899575792
105,118484.2189,0.990149705
106,98967.64401,0.990323142
107,103120.7156,0.9904976256
108,89878.13699,0.9906478919
109,105271.1162,0.9908291948
110,99734.76066,0.9910019672
111,93043.15099,0.9911706443
112,76028.54216,0.9913046472
113,83672.28849,0.9914546506
114,77780.19652,0.9916003579
115,72073.07684,0.9917310186
116,74456.59133,0.9918652504
117,68345.15589,0.9919919062
118,65362.20187,0.9921156672
119,66666.33351,0.992242569
120,60043.61699,0.9923562595
121,55016.06299,0.992458214
122,52747.42557,0.9925607457
123,56104.6146,0.992677149
124,48714.51676,0.9927693882
125,50470.14021,0.992872068
126,48875.55395,0.9929651044
127,42309.89231,0.9930520348
128,44345.35365,0.9931440405
129,46437.71881,0.993236178
130,46059.05932,0.9933335948
131,44297.04367,0.9934237157
132,37613.91583,0.9935055436
133,39631.28124,0.9935897645
134,39862.43168,0.9936700604
135,35889.08885,0.9937495819
136,36417.21126,0.9938277061
137,38174.53882,0.9939115226
138,35178.72592,0.9939880529
139,34372.871,0.9940617915
140,37612.24889,0.9941481616
141,32920.38084,0.994220442
142,30058.2091,0.9942882546
143,32149.02736,0.994361108
144,31342.53461,0.9944330808
145,31392.07675,0.9945070644
146,30051.19486,0.9945757692
147,28789.99251,0.9946418805
148,30814.18219,0.9947157435
149,28398.77834,0.9947832446
150,27848.69875,0.9948497187
151,27457.37836,0.994913323
152,26251.93985,0.9949778365
153,29664.8083,0.9950486456
