freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.317909892e+11,0.8831775157
1,381702305.2,0.8948125114
2,156453325.2,0.9043504876
3,99380522.64,0.9119237452
4,33787132.17,0.9150134289
5,39204926.87,0.9209886241
6,26681593.92,0.9246484946
7,29900614.81,0.9301170525
8,16378966.39,0.9336118818
9,14748795.57,0.9367588767
10,8294466.975,0.9389079382
11,7464216.078,0.9407281237
12,6420264.794,0.9426851397
13,5316836.059,0.9445489107
14,6085848.258,0.9465894983
15,5724917.397,0.9486835718
16,3996571.305,0.9501454468
17,3961567.889,0.9518964081
18,3367103.664,0.9534359418
19,2631449.999,0.9546391141
20,2255435.438,0.955704737
21,1690532.274,0.9566322872
22,1527056.756,0.9574235951
23,1490011.473,0.9582184157
24,1825675.561,0.9592757654
25,1602694.72,0.9603016808
26,1454989.775,0.9612773982
27,1144388.997,0.9619925018
28,1253091.017,0.9627946293
29,971961.2065,0.9635056817
30,941531.5076,0.964180123
31,976193.9005,0.9649537843
32,950184.9465,0.9656778694
33,747465.7101,0.9662702571
34,847544.442,0.9670065469
35,618178.7496,0.9674964711
36,618497.8819,0.9680432071
37,688433.6856,0.9686412721
38,604942.7453,0.969231345
39,520562.427,0.969723244
40,530452.6696,0.9702002349
41,474974.5459,0.9706924906
42,470636.924,0.9711659049
43,425991.3673,0.9716333652
44,438998.2809,0.9720950264
45,422920.7183,0.9725333343
46,405648.4543,0.9729908363
47,376834.0024,0.9734100972
48,346526.8571,0.9738220457
49,354498.2211,0.9742326648
50,352531.611,0.9746839892
51,333442.0793,0.9750956285
52,329259.9144,0.9754870502
53,293541.9459,0.9758718015
54,248104.4827,0.9761780903
55,300634.7202,0.9766087938
56,244044.4785,0.9769286678
57,266710.2794,0.9772945099
58,223662.981,0.9776047136
59,221299.4826,0.9779150121
60,195171.9316,0.978206523
61,232924.1042,0.9785508711
62,208133.3673,0.9788617414
63,193936.0018,0.9791573178
64,186917.4074,0.979433651
65,164914.2861,0.9797051032
66,159932.2604,0.9799488549
67,187552.1205,0.9802518525
68,186167.1574,0.9805724743
69,155487.0121,0.98081893
70,158893.3157,0.9810901583
71,158426.0089,0.9813485162
72,145871.3226,0.981615302
73,145804.3403,0.9818730764
74,126791.501,0.9820972372
75,133417.356,0.9823392123
76,115835.0279,0.9825510643
77,131991.2472,0.9828005113
78,110455.8284,0.9830008418
79,126109.3093,0.9832391727
80,115765.8788,0.983468542
81,115332.2747,0.9836882634
82,107313.3948,0.9839074279
83,114679.2378,0.984127653
84,122852.397,0.9843785525
85,93835.0579,0.9845744808
86,108268.0097,0.9847988951
87,85599.18401,0.9849789314
88,96174.57096,0.9851709499
89,76396.35665,0.9853456026
90,86693.38789,0.9855279403
91,88999.85618,0.9857232677
92,86329.91911,0.9859140512
93,72536.75914,0.9860754583
94,69345.41885,0.9862361053
95,76421.19624,0.9864049912
96,69241.51402,0.9865632869
97,63429.58753,0.9867160296
98,63255.9534,0.9868625697
99,53980.71783,0.986995027
100,53717.82941,0.9871194709
101,47713.07198,0.9872401847
102,50171.4875,0.987363295
103,51216.75641,0.9874850672
104,48914.22224,0.9876103109
105,51054.73341,0.9877355884
106,46237.6168,0.987858207
107,52655.95893,0.9879930313
108,48302.73446,0.9881152369
109,45546.58871,0.9882339404
110,54233.45105,0.9883761101
111,45795.89777,0.9885017451
112,49130.83866,0.988632785
113,48645.18073,0.9887647538
114,46710.6579,0.9888971698
115,47542.53078,0.9890275964
116,41214.79759,0.9891400356
117,39690.283,0.9892513403
118,37358.1278,0.9893583823
119,44132.17347,0.9894855066
120,40674.51178,0.9896020511
121,40269.2542,0.9897149794
122,35892.79239,0.9898205581
123,35838.87966,0.9899330789
124,34569.8302,0.9900321317
125,30749.11589,0.990126798
126,33537.95701,0.9902234053
127,28796.69026,0.9903129385
128,29549.27633,0.9904057123
129,31826.66289,0.9905012707
130,30132.0724,0.9905977113
131,29700.27068,0.9906891485
132,29238.65541,0.9907854034
133,28847.98279,0.9908781738
134,28548.44059,0.9909651947
135,28021.6947,0.9910591516
136,26887.78343,0.9911464379
137,27137.27552,0.9912366021
138,28256.12663,0.9913296224
139,25411.3396,0.9914121157
140,26506.31863,0.9915042233
141,29706.3456,0.9916029233
142,26857.15467,0.9916946128
143,23940.94242,0.9917767113
144,23995.73222,0.9918600948
145,23154.63612,0.991942673
146,25492.81782,0.9920308703
147,24196.29236,0.9921149507
148,22195.55891,0.9921954616
149,22941.2161,0.9922779779
150,24699.28275,0.9923671942
151,22503.26363,0.9924460775
152,21222.35851,0.9925249989
153,21128.44192,0.9926013169
154,19454.48333,0.9926754431
155,18679.47483,0.9927437693
156,21571.0936,0.9928239876
157,20553.08151,0.9929038658
158,20679.38213,0.9929795073
159,18345.31692,0.9930494073
160,18159.67816,0.9931188766
161,20113.27364,0.9931998045
162,17735.1786,0.9932690014
163,16906.24144,0.9933331605
164,17566.89067,0.9934027718
165,15973.89037,0.9934655837
166,17611.97101,0.9935380578
167,16668.05407,0.9936033452
168,17616.9527,0.9936720809
169,17547.25727,0.9937453585
170,17164.83267,0.9938157311
171,18346.8121,0.9938912291
172,16989.56431,0.9939601063
