freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.817928227e+11,0.8142160949
1,1557906570,0.8407953815
2,515092788.7,0.8583712735
3,335542196.2,0.8726829022
4,234961292.1,0.8847088548
5,54560658.71,0.8893631242
6,77867949.01,0.8953413616
7,43667666.07,0.8998114195
8,58611564.02,0.9068111812
9,35663618.72,0.911070355
10,31039353.22,0.9155716088
11,46699783.83,0.9219455311
12,14618818.34,0.9244396329
13,14951026.44,0.9273730294
14,16932081.46,0.9305506712
15,7867151.271,0.9321613193
16,7560241.364,0.9337091334
17,5731931.404,0.935127116
18,6396769.66,0.9367641356
19,4570133.397,0.9379336944
20,6159704.94,0.939562591
21,5947775.324,0.9413891301
22,4243090.294,0.942619776
23,5039220.426,0.9441243145
24,3477669.643,0.9452516257
25,3086777.715,0.946357553
26,3180172.034,0.9475511981
27,1819710.991,0.9481876391
28,2013598.731,0.948909069
29,2843812.635,0.950073501
30,1872822.108,0.9508243737
31,1567804.661,0.9515198258
32,1596522.788,0.9522007786
33,1682896.119,0.9529472833
34,1296655.941,0.9535777636
35,1323496.551,0.9541648447
36,1209827.925,0.9547634265
37,1234851.518,0.9553638553
38,1006378.107,0.9559132862
39,784467.8787,0.9563281817
40,791934.3714,0.9567267595
41,797164.1079,0.957189171
42,998512.6331,0.9577513432
43,899360.7042,0.9583037237
44,716668.1753,0.9587255553
45,652143.6504,0.9591038447
46,733121.0537,0.9595666297
47,834912.6892,0.9600865489
48,608701.7909,0.9604915639
49,580021.7297,0.9608676002
50,586487.0187,0.961287852
51,534198.4756,0.9616569652
52,563272.3872,0.9620317526
53,505421.093,0.9624025389
54,436188.8569,0.9627039308
55,420879.1929,0.9630414179
56,387115.5216,0.9633254131
57,386754.0681,0.9636223398
58,458786.0708,0.9639784821
59,439240.3297,0.9643231985
60,390298.7779,0.9646494821
61,374869.4501,0.9649596692
62,307812.0714,0.9652169951
63,282862.1699,0.9654582893
64,301413.1099,0.9657076946
65,260937.3084,0.9659480932
66,299065.477,0.9662032095
67,242323.9709,0.9664223255
68,220988.2614,0.9666353451
69,292919.3138,0.9668952134
70,269686.1146,0.9671528743
71,314008.7557,0.9674394883
72,233405.989,0.9676784153
73,321396.4242,0.9679964474
74,223928.8971,0.9682180322
75,317641.7532,0.9685404778
76,244304.7244,0.9687905613
77,236600.6382,0.9690408317
78,202086.523,0.9692459745
79,198338.0498,0.9694557717
80,242152.9965,0.9697243093
81,203482.914,0.9699412844
82,206943.3711,0.9701778372
83,232642.1722,0.9704278896
84,270304.1142,0.9707368689
85,231798.9109,0.9710077657
86,189124.3574,0.9712271766
87,220856.6674,0.9714871695
88,214226.2123,0.9717265649
89,155448.5439,0.9719254718
90,192777.0638,0.9721524094
91,184985.2504,0.9723796424
92,168122.624,0.9725875959
93,176323.1242,0.9728071967
94,193075.184,0.9730575435
95,155359.1167,0.9732497095
96,135624.7159,0.9734232505
97,130563.1956,0.973599225
98,138753.4796,0.9737791367
99,164624.1223,0.9740052319
100,127145.0437,0.9741700917
101,146079.4832,0.9743769482
102,148543.4785,0.9745809582
103,140674.932,0.9747681614
104,124664.0608,0.9749468194
105,150499.5971,0.9751535159
106,141065.6093,0.9753628993
107,160434.7257,0.9755928208
108,147805.2353,0.9758021211
109,169696.3291,0.9760496583
110,159119.6854,0.9762831246
111,143358.7464,0.9765032493
112,122103.2715,0.9766855285
113,140637.2667,0.976899075
114,170303.6113,0.9771692895
115,167796.0746,0.9774269372
116,179180.3848,0.9777005367
117,195616.5489,0.978007577
118,190656.7356,0.9783133379
119,191896.1753,0.9786227234
120,194959.6983,0.9789353851
121,223992.5976,0.9792869645
122,139392.8494,0.9795164576
123,147005.0538,0.9797747856
124,165434.8047,0.9800400974
125,176306.2504,0.9803438997
126,179350.6696,0.9806330587
127,177729.9831,0.9809423465
128,148880.0651,0.9812039693
129,182736.1455,0.9815110572
130,137373.6007,0.9817571474
131,165437.1882,0.9820422207
132,151701.7499,0.9823217428
133,158759.0982,0.9826074973
134,157027.702,0.9828754007
135,149612.1836,0.9831561777
136,173131.206,0.9834707546
137,172489.2283,0.9837915221
138,140042.1317,0.9840495605
139,136795.0955,0.9842981153
140,87150.175,0.9844676174
141,94126.55291,0.9846426587
142,110742.9075,0.9848542685
143,124955.4471,0.9850941019
144,132372.579,0.9853515589
145,110450.9147,0.9855720328
146,106995.1017,0.9857792194
147,113206.6279,0.9859993998
148,107816.4136,0.9862182937
149,87437.82322,0.9863943223
150,92312.12998,0.9865809513
151,78325.78849,0.9867346268
152,88374.22122,0.9869185715
153,78421.29404,0.9870771171
154,82887.14096,0.9872538832
155,82191.50313,0.9874221546
156,68766.73906,0.9875652877
157,61157.74748,0.987698322
158,66533.48988,0.9878345365
159,67614.28861,0.9879787316
160,60300.6242,0.9881078438
161,59733.24515,0.9882423654
162,64089.8923,0.9883823246
163,61641.43205,0.988513256
164,57029.42652,0.9886397426
165,50196.90298,0.9887502187
166,56974.47587,0.9888814436
167,54760.83072,0.9890014971
168,61772.5476,0.9891363957
169,52595.21862,0.9892593288
170,58189.4165,0.9893928555
171,59621.24039,0.9895301764
172,58031.51183,0.9896618557
173,48869.16789,0.9897777472
