freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.669637577e+11,0.8840360425
1,1211494197,0.9073844961
2,489151029,0.9262387674
3,147651189.8,0.9333527655
4,58118778.62,0.9367130382
5,38313518.15,0.9404050138
6,24389348.73,0.9425202043
7,16864959.21,0.9444703782
8,16811458.05,0.9467383633
9,11533801.15,0.9482943551
10,10780838.98,0.9500604265
11,9568168.257,0.9515356424
12,9064169.305,0.9532825293
13,7020972.226,0.9548386092
14,5292938.736,0.9559606957
15,5190284.328,0.9571610492
16,3080507.341,0.957873476
17,3241098.772,0.9587792025
18,3031487.626,0.9596555651
19,3080280.717,0.9605460332
20,3096252.638,0.9614709547
21,2905728.605,0.9624789635
22,2826494.195,0.9634050121
23,3162840.534,0.9644717363
24,2449491.273,0.9653686823
25,2323325.232,0.9663089815
26,1932299.654,0.9671282645
27,1595421.196,0.9677585916
28,1299972.639,0.9682847183
29,1248632.347,0.968862259
30,1129323.45,0.9693737323
31,978776.938,0.9698641813
32,1224773.617,0.9704542908
33,974426.343,0.9709425598
34,911743.3648,0.9714433482
35,889445.3199,0.9718890346
36,660668.698,0.972258283
37,545326.5767,0.9725578116
38,684125.0792,0.9729797239
39,694532.649,0.9733946695
40,703796.3926,0.9737948039
41,647700.8797,0.9742192184
42,531682.8811,0.9745573637
43,521338.3494,0.9749190724
44,528454.0963,0.9752704412
45,530805.4493,0.9756182584
46,466587.4978,0.9759509728
47,436283.5313,0.9762578739
48,388244.6276,0.9765496884
49,400394.7229,0.9768429186
50,425929.6162,0.9771876842
51,337670.4039,0.9774512474
52,329776.8459,0.977699116
53,287218.2262,0.9779371381
54,293426.1269,0.9781661672
55,305100.34,0.9784425285
56,292667.2009,0.9786850663
57,232965.3525,0.9788871078
58,277702.1368,0.9791306237
59,279085.5676,0.9793780421
60,234114.6898,0.9795991283
61,221575.4923,0.9798062379
62,249306.5735,0.9800416705
63,238129.2656,0.9802711371
64,289076.9039,0.9805413412
65,246677.7394,0.9807980617
66,239202.5268,0.9810285625
67,249241.8648,0.981283148
68,249719.8641,0.9815550663
69,211396.3514,0.9817669207
70,204068.2569,0.9819871628
71,186294.1884,0.9821792462
72,204928.2432,0.9824162143
73,227045.0322,0.9826700056
74,212737.1488,0.9829078036
75,199355.7591,0.9831364069
76,164283.8234,0.9833263759
77,173439.9062,0.9835336178
78,178958.1324,0.9837388309
79,192311.7407,0.9839686226
80,210660.3441,0.9842325187
81,214678.2731,0.9844911046
82,190185.253,0.984736682
83,189513.5418,0.9849667825
84,151439.1116,0.9851623289
85,161362.0939,0.985375353
86,148559.0249,0.9855700435
87,151978.2957,0.985772144
88,139585.1822,0.9859483487
89,132163.1024,0.9861393817
90,121216.2938,0.9863005749
91,110516.6435,0.9864539296
92,110412.2876,0.9866082034
93,116613.0097,0.9867722649
94,110274.1046,0.986933784
95,107616.3912,0.9870841512
96,96952.35251,0.9872242894
97,100468.5322,0.987377255
98,104145.818,0.987529798
99,108824.7624,0.9876986322
100,98071.39329,0.9878422779
101,92305.12534,0.9879899304
102,92931.98636,0.988134108
103,101544.9965,0.9882867556
104,98205.91636,0.9884457397
105,82627.02742,0.9885739299
106,76162.10549,0.9887016311
107,72832.54345,0.9888195386
108,71005.05591,0.9889331192
109,73627.86037,0.9890544428
110,87456.85223,0.9891993964
111,75799.44542,0.989330872
112,61008.37445,0.9894337528
113,61023.62897,0.9895384235
114,58073.32018,0.9896425104
115,64920.31221,0.989755116
116,57737.92931,0.9898547072
117,60709.50495,0.9899623491
118,60924.90166,0.9900727212
119,62932.95049,0.9901873376
120,55504.5333,0.9902878902
121,54133.52002,0.9903838724
122,52919.5951,0.9904822918
123,53661.43854,0.9905888131
124,47484.51389,0.9906748365
125,50651.48022,0.9907734304
126,44745.29951,0.9908549226
127,49037.53407,0.9909513201
128,43257.7545,0.9910371894
129,44971.10113,0.9911225596
130,44756.616,0.9912131294
131,46881.61793,0.9913043853
132,42986.41296,0.9913938582
133,40627.19342,0.9914764632
134,38314.33004,0.9915503042
135,36658.57498,0.9916280193
136,37225.4391,0.9917044251
137,37790.27022,0.9917838109
138,39203.69105,0.9918654104
139,36808.61751,0.9919409607
140,37767.72684,0.9920239386
141,37418.57342,0.9921025437
142,41027.70032,0.9921911025
143,32454.69405,0.9922614692
144,36320.18864,0.9923412667
145,29210.16434,0.992407132
146,30764.64554,0.9924744273
147,31320.41019,0.9925432401
148,33106.68611,0.9926191677
149,29115.48916,0.9926853806
150,29817.13149,0.9927534765
151,28142.84151,0.9928158503
152,31145.78381,0.9928890815
153,30797.97775,0.9929594175
154,30914.13104,0.9930338913
155,29761.66391,0.9931027209
156,30974.99713,0.9931755505
157,26462.47162,0.9932405751
158,28521.73359,0.9933065371
159,26124.89533,0.9933694734
160,25025.34836,0.993430002
161,24409.42275,0.9934920987
162,25791.73563,0.9935557236
163,21581.84751,0.9936075075
164,22492.66552,0.993663861
165,22379.31139,0.9937194992
166,23603.45823,0.9937809102
167,24015.87532,0.9938403858
168,22391.40396,0.9938956225
169,19508.55952,0.9939471314
170,18963.95073,0.9939962887
171,18836.20292,0.9940452964
172,19364.31619,0.9940949317
173,19089.95451,0.9941460712
174,19018.69676,0.9941968365
175,17178.84057,0.9942415321
176,17988.43742,0.9942897208
177,18785.77984,0.9943387782
178,18281.69526,0.9943895142
179,18216.42923,0.9944393668
180,16037.55296,0.9944821748
181,16933.72583,0.9945288435
182,17623.56813,0.9945784323
183,18159.04769,0.9946298777
184,19177.45085,0.9946814364
185,16053.78854,0.9947266082
186,16688.52188,0.9947748525
187,15616.25346,0.9948189436
188,16374.45817,0.9948656489
189,18088.99965,0.9949165473
190,16786.23663,0.9949647505
191,16668.02964,0.9950140599
192,16110.91072,0.9950597029
193,16045.53255,0.9951079438
194,16899.92412,0.9951566364
195,16296.69117,0.9952056324
196,15735.03327,0.9952529398
197,16266.41344,0.9953009043
198,16284.89433,0.9953503356
199,14933.81154,0.9953946585
200,12377.88128,0.995433304
201,14279.65063,0.9954758229
202,14794.95351,0.9955200189
203,15116.59113,0.9955683802
204,13888.32518,0.9956108047
205,13524.6452,0.9956538124
206,13497.32543,0.9956949124
207,14032.80049,0.9957389951
208,12573.69861,0.9957791001
209,13135.64916,0.9958203645
210,13339.00748,0.9958625249
211,11862.00705,0.9959010456
212,12636.26304,0.9959417154
213,12751.45951,0.9959830017
214,13846.80872,0.9960278345
215,12795.31354,0.9960686463
216,11772.65979,0.9961078979
217,11266.83573,0.9961452459
218,11133.10028,0.9961816142
219,11330.9952,0.9962193932
220,12370.19001,0.9962606371
221,12931.49266,0.9963041262
222,11733.91144,0.9963443793
223,11662.67936,0.9963830395
224,10674.52668,0.9964198641
225,9957.274089,0.9964533508
226,11252.59437,0.9964919528
227,12545.82475,0.9965347494
228,10595.89943,0.9965718133
229,10920.94728,0.9966111718
230,9260.985169,0.9966424061
231,9253.126014,0.9966745056
232,10574.5717,0.9967114949
233,10929.61149,0.9967502527
234,10435.14928,0.9967882627
235,9730.38005,0.9968221115
236,9755.951224,0.9968568954
237,8422.280126,0.9968877358
238,9767.443704,0.9969219018
239,9471.743856,0.9969569502
240,8837.374782,0.9969881184
241,9138.306868,0.9970226374
242,9084.352842,0.9970565149
243,8770.64254,0.9970884619
244,7921.961079,0.997118081
245,8403.190185,0.9971482847
246,8780.940827,0.9971824692
247,8063.963704,0.9972124637
248,7731.022806,0.9972409219
249,7773.107118,0.9972702091
250,8181.292266,0.9973007978
251,7488.318683,0.9973296614
252,7883.8972,0.99735967
253,7776.550432,0.9973894947
254,7108.465243,0.9974171682
255,6545.444612,0.997442776
256,7092.583944,0.9974700459
257,7688.507798,0.997499533
258,7392.188486,0.9975290234
259,6952.375007,0.9975561562
260,6828.967295,0.9975831364
261,6611.053931,0.9976092557
262,6942.419898,0.9976367511
263,6654.482474,0.9976632985
264,7229.572037,0.9976918614
265,6789.846713,0.997719734
266,7009.336712,0.9977478996
267,6309.197296,0.9977731911
268,6144.006305,0.9977985308
269,6330.047801,0.9978240889
270,6385.188828,0.9978500542
271,6335.87752,0.9978764295
272,6416.643092,0.997903141
273,5918.754008,0.9979274947
274,5860.032861,0.9979513244
275,5666.045659,0.9979754573
276,5781.963307,0.997999471
277,5657.066535,0.9980234566
278,5607.315981,0.9980469071
279,5277.809806,0.9980691321
280,5378.041208,0.9980922456
281,5361.471291,0.9981147712
282,5178.192655,0.998136926
283,5586.135693,0.9981607724
284,5147.700281,0.9981832928
285,5040.042477,0.9982051479
286,4798.265007,0.9982255385
287,5277.060288,0.9982486248
288,5601.671092,0.9982730233
289,5237.009796,0.9982961363
290,4859.161759,0.9983179094
291,4580.534566,0.9983372423
292,4740.657556,0.998358987
293,4577.319259,0.9983792326
294,4796.395952,0.9984005858
295,4515.226832,0.9984206003
296,4648.971233,0.9984417452
297,4419.878553,0.9984618907
298,4373.350274,0.998481192
299,3999.797535,0.9984992301
300,4186.538066,0.9985182314
301,4323.935876,0.9985378979
302,4011.981222,0.9985567641
303,3929.030165,0.9985744452
304,4210.902136,0.9985936788
305,3804.62571,0.9986116433
306,4062.873973,0.9986302008
307,3957.42595,0.9986486961
308,3958.944525,0.9986667788
309,3579.753715,0.9986842334
310,3259.204707,0.9986993399
311,3643.739846,0.9987165447
312,3835.615659,0.9987344338
313,3605.625303,0.9987515281
314,3295.028367,0.9987676262
315,3322.096619,0.9987834404
316,3233.977025,0.9987987727
317,3160.587343,0.9988139703
318,3320.63675,0.9988300975
319,3270.26526,0.998845791
320,3516.537928,0.9988626324
321,3086.976742,0.9988776248
322,3093.704912,0.998892948
323,3063.655636,0.9989080042
324,3018.155515,0.9989225169
325,3120.320662,0.9989380321
326,3244.575929,0.9989541651
327,3041.758346,0.9989694361
328,2843.740523,0.9989836856
329,2675.576666,0.9989967831
330,2839.51546,0.9990110662
331,2763.604876,0.9990247277
332,2875.286379,0.9990390245
333,2567.000038,0.999052382
334,2552.874002,0.9990651495
335,2368.503142,0.9990772459
336,2514.3896,0.9990898935
337,2610.011533,0.9991029216
338,2445.701258,0.9991159072
339,2367.846062,0.9991280002
340,2374.82694,0.9991404493
341,2123.377309,0.9991513143
342,2272.916541,0.9991628787
343,2278.788937,0.9991750879
344,2249.56387,0.9991865118
345,2430.527251,0.9991994871
346,1996.351137,0.9992098368
347,1910.670484,0.9992199263
348,1915.362602,0.9992299853
349,1911.694101,0.9992398961
350,2119.521078,0.9992512519
351,1943.788472,0.999261685
352,1881.452071,0.9992717653
353,1876.128355,0.9992818533
