freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.534084171e+11,0.789119514
1,738206388.5,0.8075098444
2,379731213.4,0.8264297092
3,418852039.7,0.8525160027
4,52106756.39,0.8564102814
5,52329494.51,0.8629284904
6,23215876.3,0.8655311018
7,27746870.56,0.869678512
8,18114792.63,0.8728374648
9,18263065.29,0.8760222742
10,11818545.32,0.8785248929
11,10741236.09,0.8806655938
12,12311857.66,0.8837327459
13,9017108.959,0.8863160581
14,8355808.812,0.8886058336
15,3262155.301,0.8895810424
16,9040696.94,0.8922837241
17,7228779.852,0.8948949517
18,3610489.813,0.8962441293
19,6177030.017,0.8985523786
20,7073929.789,0.9012838973
21,4729920.005,0.9034048844
22,4097324.967,0.9051401305
23,5143987.731,0.9073827196
24,4193938.235,0.9093678423
25,2395627.238,0.9106211285
26,2336547.936,0.9119017156
27,3464543.719,0.913671057
28,2569303.086,0.9150152028
29,2880786.017,0.9167376026
30,2708806.312,0.918323436
31,2495453.339,0.9199397827
32,1995664.08,0.9211826913
33,2089009.984,0.9225357779
34,1826835.741,0.923832826
35,1994607.025,0.9251247663
36,1428918.239,0.9261570929
37,1766333.009,0.9274111842
38,1371743.047,0.9285047238
39,1393937.299,0.9295812303
40,1257945.726,0.9305057063
41,1476917.584,0.9317566764
42,1454880.132,0.9329527361
43,2026491.68,0.9347701719
44,1544759.51,0.9360978466
45,1292662.354,0.9371927499
46,1077519.167,0.9381859539
47,938779.8678,0.9390395814
48,1144043.838,0.9401511058
49,1396025.801,0.9414726715
50,878908.9456,0.9423922841
51,1124753.188,0.9435270963
52,911476.1464,0.9444126638
53,940208.7801,0.9454198377
54,858840.2104,0.9462863588
55,768450.4767,0.9471861163
56,925365.4257,0.9481773897
57,841168.8437,0.9491203804
58,742126.6326,0.9499615841
59,706617.3202,0.9507713395
60,580807.6633,0.9514803295
61,619640.713,0.9522290047
62,454534.9268,0.952783854
63,466201.9481,0.9533645594
64,632776.6213,0.9541291059
65,523179.8907,0.9548329177
66,445388.4799,0.9553876976
67,467961.3225,0.9560055682
68,487401.099,0.9566916039
69,381538.0612,0.957185861
70,424173.8498,0.9577776183
71,461586.1509,0.9583928211
72,457070.0223,0.9590760177
73,456756.3971,0.959735988
74,351776.1276,0.9602442716
75,489560.8869,0.9609699353
76,464109.7628,0.9616636545
77,471115.8257,0.9623913189
78,522886.2998,0.96316638
79,370526.5738,0.9637386787
80,272538.327,0.9641799978
81,419043.914,0.9648324539
82,361745.3374,0.9654362488
83,306557.9782,0.9659173816
