freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.534118812e+11,0.886021839
1,373983061.9,0.8935225978
2,212743533.1,0.9020563423
3,111907985.5,0.9076675242
4,84939712.64,0.9127782822
5,55703449.49,0.9183643391
6,46129531.91,0.9225277074
7,35427628.89,0.9267910144
8,35492902.03,0.9317740366
9,27140783.51,0.9355844639
10,20423666.63,0.9390662807
11,11067050.78,0.9408420034
12,9715530.652,0.9427905904
13,10034125.6,0.9451049489
14,9817399.983,0.9472708691
15,6322662.586,0.9487925883
16,6028359.819,0.9502434756
17,4823261.56,0.9516461668
18,3530985.759,0.9527084504
19,3904186.934,0.9538830102
20,3139962.564,0.9548591442
21,2672502.319,0.9558239588
22,2418169.409,0.9566484555
23,3015518.814,0.9577068641
24,1688968.698,0.9583504825
25,1500496.417,0.9589824686
26,1796767.972,0.9597752765
27,1914635.565,0.9605624913
28,1602264.311,0.9612373405
29,1573656.537,0.9619948262
30,1981235.605,0.9629286335
31,1383310.13,0.9636499837
32,1579336.443,0.9644418793
33,1254236.201,0.9650959218
34,1176050.364,0.9657681613
35,1206059.216,0.9663970811
36,1379541.559,0.9671994721
37,1014751.626,0.967779512
38,772690.2352,0.9682754286
39,797035.0991,0.9687709843
40,919934.0458,0.9693152763
41,741691.9913,0.9698210494
42,697101.9196,0.9702824345
43,619740.6541,0.9707299063
44,652170.0047,0.9711811729
45,761288.2247,0.9717003091
46,765781.7477,0.972268586
47,669566.7876,0.9727587485
48,769550.0878,0.9733606906
49,738676.7625,0.9739236685
50,722811.7648,0.974532543
51,590741.0076,0.9750123929
52,536124.9505,0.9754317499
53,606807.4692,0.9759550762
54,470475.5907,0.9763372364
55,442964.5284,0.9767547975
56,420114.5415,0.9771171151
57,412877.0764,0.9774897526
58,449870.1611,0.9779002892
59,533863.3781,0.9783928289
60,332357.4598,0.9787194579
61,345239.9621,0.9790552853
62,277224.8109,0.9793277319
63,317709.1445,0.9796463372
64,326891.9888,0.9799643168
