freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.212249572e+11,0.7479878556
1,1802642499,0.7967474427
2,518292476.3,0.8247859774
3,113727341.4,0.8324764904
4,173557799.9,0.8465601593
5,70879640.3,0.8561462586
6,62454386.34,0.8637482237
7,51756919.44,0.8721480457
8,41861031.29,0.8800741244
9,30560297.09,0.885860492
10,28661331.91,0.892450193
11,23670511.81,0.897572293
12,16062490.13,0.9019170279
13,15942589.42,0.9068761764
14,9548979.136,0.9097173649
15,11482003.34,0.9134442786
16,7110123.768,0.9157521352
17,5446687.189,0.9178883791
18,7422037.789,0.9208997541
19,4673249.798,0.9227958516
20,6343197.426,0.9254552925
21,4962500.687,0.9278714403
22,4689658.643,0.9300278961
23,3495247.405,0.9316823946
24,3302050.501,0.9333794176
25,3011210.267,0.9350898692
26,2452822.905,0.9365494875
27,2189406.139,0.9377635208
28,2083655.601,0.9389470954
29,2390092.246,0.9404986831
30,1765998.052,0.9416212404
31,1404900.448,0.9426092685
32,1722127.274,0.9437738119
33,1450066.74,0.9447936042
34,1261045.688,0.9457657381
35,1355748.318,0.9467191989
36,1184821.273,0.9476485959
37,1051849.397,0.9484594614
38,1181362.799,0.9494820094
39,1153743.718,0.9504494436
40,1128622.723,0.9513500214
41,1051803.752,0.9523173278
42,884370.2142,0.9531067302
43,848039.4718,0.953932519
44,778585.1754,0.9546590859
45,781006.2222,0.9553773495
46,798939.8414,0.9561769374
47,782871.6562,0.9569498561
48,679457.4455,0.957666622
49,633468.5532,0.958317739
50,549478.5342,0.9589419773
51,616488.1803,0.9596173293
52,579972.469,0.9602291476
53,458214.2058,0.9607620987
54,642968.1074,0.961466459
55,519670.1071,0.962127116
56,510905.3993,0.9627213525
57,397019.5004,0.9632046058
58,437223.1738,0.9637427082
59,415682.3784,0.9642599217
60,410170.6297,0.9648035613
61,427298.8168,0.9653641235
62,396148.3084,0.9658891779
63,377676.9612,0.9663999662
64,343607.1789,0.9668507356
65,316673.4878,0.9673132826
66,341269.1794,0.9677748312
67,325351.7003,0.9682412536
68,293089.132,0.9686891716
69,334819.1238,0.9691601099
70,303247.0627,0.9696194508
71,292443.8173,0.9700426517
72,253614.1278,0.9704542515
73,235357.7687,0.9708234899
74,249000.9717,0.9712141324
75,230210.219,0.9715846356
76,240026.2875,0.9719741832
77,201385.1271,0.9723119131
78,221981.382,0.9726691727
79,238600.8869,0.9730693147
80,188669.7795,0.9734010305
81,188609.0164,0.9737198852
82,164614.0511,0.9740182119
83,169649.8783,0.9743073095
84,142035.1042,0.9745647168
85,149322.7068,0.9748413899
86,138250.3115,0.9750956776
87,149310.9118,0.9753743482
88,157844.1208,0.9756540016
89,131830.6954,0.9759214427
90,149101.6627,0.9761997227
91,113882.9205,0.9764215125
92,134088.7099,0.976684467
93,113387.516,0.976908359
94,115469.2627,0.9771457315
95,120086.1194,0.9773812262
96,106330.9201,0.9775969367
97,111417.7244,0.9778350216
98,104602.6495,0.9780500554
99,102279.8947,0.9782727637
100,105441.3127,0.9784895216
101,80237.96653,0.9786696609
102,100521.2135,0.9788885398
103,88235.54225,0.9790747008
104,91187.91763,0.9792818899
105,88623.23914,0.9794748617
106,69623.56455,0.979638704
107,82898.59361,0.9798270589
108,77704.11725,0.9800015095
109,73939.87396,0.9801725092
110,79435.88343,0.9803572937
111,74708.36202,0.9805391641
112,69980.18635,0.980704792
113,60872.16903,0.9808513331
114,70226.21383,0.9810279908
115,66673.31659,0.9811903007
116,64498.18328,0.9813464431
117,63880.35275,0.9815054096
118,67785.48267,0.981677761
119,56956.8212,0.9818233498
120,61777.30621,0.9819804249
121,53128.75968,0.982112636
122,49028.98722,0.9822406126
123,53598.68203,0.9823899408
124,50224.72852,0.9825176423
125,56081.07078,0.9826708526
126,51083.97266,0.9828014297
127,54167.12465,0.9829508764
128,51857.40012,0.9830953533
129,48728.97334,0.9832251829
130,48802.26833,0.9833637882
131,43748.13518,0.9834833056
132,49997.11889,0.9836293615
133,48023.58814,0.9837664047
134,46262.40214,0.9838915397
135,50920.16722,0.9840430468
136,45761.03945,0.9841748712
137,44486.6635,0.9843060328
138,43718.48004,0.984433747
139,42698.47784,0.9845567491
140,43157.51388,0.9846898287
141,41225.18607,0.9848113744
142,42200.29308,0.9849392195
143,42973.43704,0.9850699879
144,35418.40532,0.9851792034
145,37737.47634,0.9852986322
146,37844.97627,0.9854148184
147,34337.95332,0.9855207023
148,36885.5936,0.9856394306
149,32769.09368,0.9857440222
150,33851.75043,0.9858525272
151,32068.25414,0.9859522796
152,32640.53341,0.9860599925
153,33426.80793,0.9861671355
