freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.067116487e+11,0.8491230884
1,1556578299,0.8699906028
2,436533067.5,0.8816949417
3,173779859.2,0.8875191809
4,263348848.4,0.8981105579
5,125779162.4,0.9065415455
6,133737983.2,0.9146095667
7,77804409.64,0.9208678499
8,59521490.99,0.9264534725
9,37044341.94,0.9299297919
10,27343345.69,0.9330455973
11,35480190.56,0.9368507815
12,29236453.07,0.9407702252
13,16206401.94,0.943268753
14,9313081.552,0.9446421176
15,10237548.46,0.9462890545
16,11936245.86,0.9482092646
17,9054042.185,0.9499692549
18,7011655.181,0.9513792304
19,9532952.405,0.9532962141
20,6459982.998,0.954638555
21,5128508.363,0.9558761066
22,6166795.418,0.9572815334
23,5799963.04,0.9586422354
24,4606616.879,0.9598156066
25,4427455.899,0.9610620521
26,4528536.574,0.9623976641
27,3812825.099,0.9634455174
28,4320543.04,0.9646618641
29,4112363.228,0.9659849939
30,4239572.492,0.9673206347
31,3110742.017,0.9684049038
32,4381432.421,0.9698733427
33,2922112.52,0.9708918638
34,2210725.477,0.971736519
35,1952874.987,0.9724172061
36,1889118.416,0.9731516471
37,1681074.964,0.9737939379
38,1618543.828,0.9744882811
39,1297120.644,0.9750273469
40,2081471.817,0.9758505222
41,1812049.405,0.9766764626
42,1554390.811,0.9773641228
43,1426632.498,0.9780526393
44,1646836.876,0.9788143138
45,1299334.595,0.9794065565
46,888823.9448,0.9798474332
47,1092804.975,0.9803821641
48,1128587.186,0.9809722286
49,1173777.999,0.9815701847
50,1033898.044,0.9821523238
51,892396.3788,0.9826368448
52,834227.0661,0.9830730076
53,967679.7004,0.983630835
54,1144440.353,0.9842522016
55,978171.9473,0.9848685309
56,819076.1752,0.9853406945
57,738319.4114,0.985786101
58,636738.5149,0.9861744948
59,495299.2645,0.9864799343
60,489503.8872,0.9868014869
61,519408.1389,0.9871392018
62,488608.9347,0.9874601665
63,433144.3598,0.9877505035
64,350255.4409,0.9879782367
65,335264.5216,0.988220943
66,300712.0156,0.9884225105
67,342975.6801,0.9886662012
68,308276.5335,0.9888997022
69,254151.0841,0.9890768742
70,248016.1447,0.9892630691
71,266839.0311,0.9894544518
72,243008.6204,0.9896499185
73,241847.3555,0.9898379667
74,240636.1033,0.990025073
75,224085.6005,0.9902038167
76,240043.0307,0.9903968979
77,270535.5725,0.9906217598
78,279718.4833,0.9908448795
79,259250.1446,0.9910603612
80,238815.2397,0.9912684627
81,188564.9177,0.9914264567
82,165864.1166,0.9915754364
83,157241.4241,0.9917082392
84,144034.0146,0.991837611
85,169363.0895,0.9919931391
86,148725.8821,0.992128719
87,126900.7856,0.9922461042
88,119445.8731,0.9923509889
89,118696.621,0.9924703325
90,154100.6806,0.992612878
91,120835.4355,0.9927295124
92,96736.24919,0.9928235338
93,105067.4532,0.992926357
94,101098.2386,0.9930293616
95,95025.50881,0.9931217204
96,104101.1942,0.993226389
97,97870.65709,0.9933300414
98,84164.5771,0.9934157931
99,102243.3316,0.9935261325
100,103955.8444,0.9936320487
101,99781.99947,0.9937430761
102,105717.0717,0.9938571643
103,95025.52827,0.9939565296
