freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.914810787e+11,0.9143035763
1,460468473.3,0.925858576
2,349087434.1,0.9433785819
3,82311231.61,0.9485423787
4,70068299.45,0.9538172622
5,49588583.55,0.9600391438
6,32047960.26,0.9636580968
7,23426236.45,0.9671852459
8,10062115.36,0.9689527375
9,9380777.416,0.9706005467
10,7808010.321,0.972265988
11,4313352.929,0.9731319025
12,3142839.032,0.9739205668
13,3152664.371,0.9748303661
14,1883543.45,0.9753502883
15,3381143.197,0.9763684456
16,1801504.899,0.9769109293
17,2120553.74,0.9776825206
18,1928566.419,0.9784084525
19,1601705.003,0.9790113505
20,1016349.884,0.9794066671
21,1077462.04,0.9798933482
22,868366.5076,0.9802637917
23,843300.8426,0.9806341232
24,616610.455,0.9809281145
25,630843.3858,0.9812605527
26,772436.5555,0.9816869904
27,584132.1083,0.9819874838
28,494280.6861,0.9822479569
29,432901.9067,0.9825086748
30,533176.4943,0.9828230939
31,438473.2774,0.9831091732
32,393725.7701,0.9833561772
33,352011.6186,0.9835858451
34,295910.657,0.9837974743
35,259794.9383,0.983966976
36,265552.9963,0.9841602259
37,315380.9886,0.9843857798
38,259683.9286,0.9845943081
39,283200.519,0.9848146139
40,203894.9654,0.9849655519
41,219880.0285,0.9851531527
42,224037.8049,0.9853386789
43,241317.7151,0.9855566815
44,167113.1302,0.9857013586
45,165813.2683,0.9858428299
46,144410.9017,0.9859769123
47,190798.1466,0.9861516702
48,167745.3905,0.986315837
49,173762.8014,0.9864815324
50,161381.7721,0.9866516205
51,243496.4446,0.9868990877
52,176771.9136,0.9870720884
53,151407.2322,0.9872354632
54,142327.5208,0.9873801117
55,145525.542,0.9875517472
56,121942.4967,0.9876833283
57,112408.9762,0.987810264
58,113966.7584,0.9879403886
59,118766.1884,0.9880774833
60,101584.9059,0.9882023928
61,100363.9295,0.9883245417
62,106266.2776,0.9884552074
63,99537.68949,0.9885800973
64,107771.561,0.9887112617
65,96345.06907,0.9888418167
66,96181.37122,0.9889624955
67,86155.778,0.9890770811
68,94909.22668,0.9892116445
69,90853.712,0.9893301985
70,85674.20847,0.9894505934
71,85471.30553,0.9895653412
72,90847.92168,0.9897021255
73,81990.67849,0.989821459
74,90332.25707,0.9899529333
75,90805.31234,0.9900885141
76,87711.83561,0.9902205766
77,81545.95796,0.9903474482
78,84787.48638,0.9904740438
79,83391.12655,0.9906037861
80,91247.10078,0.9907526202
81,80987.47354,0.990879639
82,90136.94326,0.9910311861
83,91844.21038,0.9911763847
84,87187.88487,0.9913229735
85,82351.80761,0.9914645313
86,86234.74869,0.9916116816
87,69422.53405,0.9917318858
88,77820.90973,0.9918597968
89,75018.20315,0.9920009848
90,72060.00449,0.9921257557
91,73060.59595,0.9922577593
92,61806.41527,0.9923702047
93,68969.56851,0.9924965475
94,65897.04093,0.9926222227
95,72406.88155,0.9927539536
96,64787.87911,0.9928758877
97,63283.77825,0.9930013432
98,64584.90479,0.9931245159
99,59083.01058,0.9932438676
100,60733.11833,0.9933596944
101,46039.86418,0.9934555864
102,51184.17392,0.9935589819
103,44089.50023,0.9936452797
104,49661.45923,0.9937499609
105,40989.94283,0.9938327634
106,46863.08022,0.9939350739
107,37925.33763,0.9940150165
108,36020.88765,0.994090041
109,39908.29882,0.9941756657
110,40563.02264,0.9942632041
111,39534.14805,0.9943524905
112,38491.2787,0.9944370068
113,34279.16436,0.9945135647
114,35541.01301,0.9945965083
115,33552.64749,0.9946722856
116,35850.34246,0.9947528024
117,35155.05387,0.9948339631
118,31426.6499,0.9949080934
119,32078.40269,0.9949841636
120,28217.42136,0.9950507239
121,27646.32784,0.9951145496
122,26331.822,0.995178314
123,26006.65488,0.9952455329
124,24716.56712,0.9953038353
125,23985.25049,0.9953646258
126,24179.51009,0.9954219647
127,23184.44791,0.9954813073
128,23832.65257,0.9955429072
129,23247.0218,0.9956003682
130,23032.11106,0.9956610549
131,22138.08124,0.9957171637
132,24054.15987,0.9957823542
133,20869.36072,0.9958376041
134,21219.83334,0.9958908531
135,21218.00842,0.9959494221
136,21623.4863,0.9960072111
137,21800.20778,0.9960668401
138,19356.92749,0.9961193003
139,18386.55998,0.9961684386
140,18509.77865,0.9962213898
141,19981.85716,0.9962760451
142,18104.87629,0.9963269294
143,16752.26148,0.9963742223
144,15111.84174,0.996417453
145,16868.45712,0.9964669788
146,16245.89769,0.9965132499
147,16475.5003,0.9965603816
148,18917.30426,0.9966168722
149,17392.83829,0.996668374
150,16951.36354,0.9967187813
151,16209.65491,0.9967655593
152,16985.35893,0.9968175594
153,15923.58777,0.9968649105
154,16405.17203,0.9969163694
155,15837.85345,0.9969640616
156,14600.35239,0.9970087602
157,13994.20083,0.9970535344
158,14418.94354,0.9970969539
159,14346.17816,0.9971419543
160,14026.06776,0.9971861266
161,13227.64333,0.9972299419
162,12154.3993,0.9972689823
163,11181.33533,0.997303915
164,11059.41861,0.9973399933
165,10748.96648,0.9973747891
166,11202.56825,0.9974127399
167,10699.63374,0.9974472417
168,10490.44032,0.9974809374
169,9767.447053,0.9975145167
170,9276.023481,0.9975458246
171,9499.830832,0.9975780071
172,9406.236891,0.9976094004
173,8792.054922,0.9976400677
174,9539.654558,0.997673223
175,8763.483709,0.9977029109
176,8475.164177,0.9977324729
177,8366.211923,0.99776092
178,8038.767584,0.9977899684
179,8008.403433,0.9978185051
180,7267.554748,0.9978437637
181,7690.306831,0.9978713599
182,8101.837323,0.9979010428
183,8125.076827,0.9979310147
184,8147.776939,0.997959537
185,7542.686354,0.9979871713
186,7721.884125,0.9980162372
187,8373.238958,0.9980470195
188,7434.96137,0.9980746323
189,7087.932469,0.9981006006
190,7192.741678,0.9981274943
191,6441.186081,0.9981523053
192,6220.567363,0.9981752518
193,6247.109231,0.9981997072
194,6157.093354,0.9982228059
195,6134.25678,0.9982468194
196,6110.863581,0.9982707414
197,6518.865772,0.9982957698
198,6341.228989,0.9983208323
199,6457.003963,0.9983457852
200,5636.930875,0.9983687007
201,6294.123652,0.9983931031
202,5460.842052,0.9984143435
203,5220.218502,0.9984360888
204,5154.997047,0.9984565923
205,4888.650846,0.9984768338
206,5495.380828,0.9984986222
207,5081.087667,0.9985194055
208,5607.235243,0.9985426927
209,5451.118537,0.9985649895
210,4667.599852,0.9985841986
211,4587.860754,0.9986035977
212,4306.08713,0.9986216432
213,4120.189926,0.9986390131
214,4436.91237,0.9986577182
215,4224.587009,0.9986752631
216,4252.982785,0.9986937264
217,4162.678461,0.9987116933
218,4031.33041,0.9987288403
219,4178.883112,0.9987469819
220,4334.822757,0.9987658005
221,3950.045424,0.9987830974
222,3835.903176,0.9988002313
223,4053.723936,0.9988177279
224,3537.752376,0.9988336189
225,3638.26348,0.9988495505
226,3516.630333,0.9988652583
227,3417.861677,0.9988804392
228,3413.565386,0.9988959865
229,3141.146768,0.9989107266
230,3268.793767,0.9989250814
231,3595.404194,0.9989413215
232,3065.775692,0.9989552848
233,3247.09814,0.9989702776
234,3293.255474,0.9989858968
235,3338.971331,0.9990010205
236,3278.459386,0.9990162404
237,2945.246181,0.9990302829
238,3231.216653,0.9990449997
239,2915.860041,0.9990590485
240,2969.269389,0.999072684
241,3020.073408,0.999087538
242,2669.077196,0.9991004982
243,2379.763989,0.9991117849
244,2626.769172,0.9991245726
245,2632.373725,0.9991368922
246,2498.648377,0.9991495578
247,2396.025932,0.9991611621
248,2520.122599,0.9991732409
249,2352.639495,0.9991847827
250,2374.878309,0.9991963442
251,2380.42339,0.9992082911
252,2415.802326,0.9992202639
253,2356.548079,0.9992320318
254,2155.244338,0.9992429568
255,2234.879502,0.9992543414
256,2054.132556,0.9992646249
257,1913.694506,0.9992741814
258,2038.348405,0.9992847695
259,2016.892483,0.9992950184
260,2069.906375,0.9993056666
261,1967.479769,0.9993157878
262,1927.340947,0.9993257267
263,1999.555083,0.9993361134
264,1932.796194,0.9993460562
265,1917.213182,0.9993563037
266,1769.194903,0.9993655603
267,1872.062516,0.9993753317
268,1821.684364,0.9993851143
269,1575.138501,0.9993933951
270,1759.352658,0.9994027106
271,1613.587641,0.9994114568
272,1658.229535,0.9994204449
273,1712.521314,0.9994296198
274,1742.661711,0.9994388469
275,1755.128047,0.9994485805
276,1533.076464,0.999456871
277,1638.307333,0.9994659156
278,1724.074709,0.9994753038
279,1499.827745,0.9994835275
280,1464.965115,0.9994917253
281,1405.17771,0.9994994124
282,1339.236535,0.9995068731
283,1346.263487,0.999514356
284,1366.614355,0.9995221407
285,1380.176233,0.9995299334
286,1261.615054,0.9995369142
287,1200.140184,0.9995437506
288,1236.031423,0.9995507605
289,1228.143222,0.999557818
290,1196.434791,0.9995647985
291,1131.500593,0.9995710167
292,1089.551401,0.9995775239
293,1024.755679,0.9995834256
294,996.3614112,0.9995892012
295,1057.491028,0.9995953046
296,1037.614669,0.9996014496
297,976.723192,0.9996072462
298,981.5479618,0.9996128867
299,968.3669163,0.9996185729
300,954.6821353,0.9996242147
301,988.6492972,0.9996300697
302,885.2412915,0.99963549
303,962.591675,0.9996411302
304,909.0442927,0.9996465366
305,860.4274106,0.9996518265
306,961.8369997,0.9996575468
307,850.8204403,0.9996627243
308,869.9372496,0.9996678981
