freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.016318865e+11,0.7804293721
1,235634025.7,0.7877256671
2,196279539.4,0.7998810713
3,138805143.4,0.8106261586
4,135508860.6,0.8232140599
5,83571049.3,0.8361527478
6,47608602.4,0.8427865471
7,33225231.72,0.8489593676
8,30833158.93,0.8556425058
9,20534285.5,0.8600933461
10,18710878.53,0.8650180201
11,16792717.5,0.8691778478
12,11973048.61,0.8728852451
13,9932969.922,0.8764222963
14,13409452.83,0.8809896865
15,10072293.02,0.8847322914
16,9359308.597,0.8882099696
17,6083367.998,0.890941314
18,6520859.554,0.8939700435
19,5345671.824,0.8964529361
20,5083917.98,0.898892963
21,5384384.462,0.901894011
22,4165703.6,0.9040868244
23,3751729.16,0.9061198081
24,3531713.481,0.9081976067
25,3844277.064,0.9106973669
26,3314349.022,0.9129551661
27,2744070.787,0.9146970273
28,3511169.5,0.9169801827
29,2322970.53,0.9187064948
30,2774957.599,0.9207257378
31,2516075.256,0.9227513736
32,1935019.553,0.9242492975
33,1678511.149,0.9256006292
34,1900305.402,0.9272776275
35,1747813.172,0.9286847527
36,1984330.669,0.9304666244
37,1416926.952,0.9317170467
38,1389897.761,0.9330942473
39,1600559.53,0.9346306247
40,1360865.6,0.935873712
41,976891.9778,0.9369021777
42,1078566.284,0.9380042883
43,982258.3555,0.9390992341
44,882426.3902,0.940041909
45,919321.8805,0.9410097653
46,799956.993,0.9419262659
47,782444.2902,0.9428105884
48,687643.9405,0.9436409985
49,588160.4571,0.9443330585
50,581803.3901,0.9450896996
51,671125.4203,0.9459313333
52,596962.6556,0.9466522351
53,512152.0524,0.9473341525
54,568466.0259,0.9480470448
55,538874.2039,0.948831286
56,484321.2976,0.9494761474
57,475588.0421,0.9501388334
58,432554.881,0.9507482538
59,407386.2877,0.9513285218
60,409049.0405,0.9519491562
61,393476.3858,0.9525400709
62,420042.5756,0.9531773854
63,359428.1119,0.9537338614
64,333350.2411,0.9542344799
65,305708.847,0.9547456508
66,331483.2961,0.9552588619
67,280514.7055,0.9557192201
68,295144.1186,0.9562355734
69,318978.757,0.9567491787
70,271301.6752,0.9572196194
71,260272.8088,0.9576507878
72,239688.0209,0.9580960973
73,252819.0068,0.9585501456
74,244269.295,0.9589888392
75,248223.0469,0.9594461626
76,216436.8309,0.9598482744
77,233874.2426,0.9602972663
78,244539.6388,0.9607478034
79,197057.6127,0.9611261147
80,218214.8529,0.9615653144
81,183542.3138,0.9619205206
82,206364.2249,0.9623486486
83,194030.5637,0.9627271566
84,196129.4207,0.9631340512
85,189868.1789,0.9635367749
86,184168.9158,0.9639245586
87,166556.5044,0.9642804153
88,174749.7488,0.9646348386
89,167203.9481,0.9650231428
90,188074.3739,0.9654249735
91,165264.0047,0.9657934206
92,159873.6999,0.9661523255
93,156874.4099,0.966506926
94,135037.9182,0.9668247113
95,145969.6776,0.9671524027
96,148600.7599,0.967497504
97,147077.9657,0.9678572857
98,169926.9745,0.9682571755
99,139610.8602,0.9686051757
100,151722.1378,0.9689622239
101,132603.108,0.9693030213
102,136204.5398,0.9696425307
103,125745.8854,0.9699462363
104,122288.1512,0.9702643102
105,116622.7365,0.9705550091
106,116420.575,0.9708686361
107,116900.1542,0.9711726957
108,119873.0713,0.9714807761
109,108822.3785,0.9717688798
110,116894.4954,0.9720801638
111,110492.0208,0.9723880838
112,104594.1551,0.9726714707
113,108725.533,0.9729711012
114,104502.8199,0.973272038
115,103397.411,0.9735601866
116,93314.82315,0.9738187923
117,101760.8301,0.974108682
118,91426.737,0.9743747946
119,95998.13979,0.9746556993
120,86202.40707,0.9749066057
121,88296.23837,0.9751581383
122,88706.08602,0.9754231989
123,91966.53175,0.975716512
124,86408.76889,0.975968019
125,87331.12652,0.9762411398
126,85137.94697,0.976490266
127,78208.37426,0.9767372778
128,79906.89818,0.9769921285
129,77564.89653,0.9772287019
130,82509.62206,0.9774969634
131,84276.63119,0.9777605315
132,74122.00793,0.978008408
133,62446.09123,0.9782124042
134,75069.35797,0.9784448529
135,73298.79498,0.9786945157
136,66442.20614,0.9789136236
137,68116.37957,0.9791435254
138,73041.05931,0.979387787
139,64839.69453,0.9796016103
140,67170.45959,0.979838719
141,66209.29599,0.9800621842
142,68292.52348,0.9802990245
143,59685.43161,0.9805069392
144,61096.80506,0.9807226082
145,56847.02691,0.9809285564
146,62446.66365,0.9811480235
147,55722.42035,0.9813447212
148,58500.99117,0.9815602844
149,56843.45878,0.9817679798
150,56174.31946,0.9819741
151,56078.96201,0.9821737927
152,52456.95973,0.9823719578
153,48224.06261,0.9825489062
154,55459.46961,0.9827635657
155,50838.43608,0.9829524682
156,51893.90335,0.9831485064
157,48733.60591,0.9833409055
158,43789.59069,0.9835036163
159,45569.1574,0.9836799947
160,44623.7151,0.9838534046
161,42463.47732,0.9840269663
162,42120.67087,0.9841939098
163,44586.58968,0.9843657948
164,41344.34892,0.9845322219
165,41205.53008,0.9846968142
166,39993.47759,0.9848639954
167,40766.5426,0.985026203
168,39095.90847,0.9851811581
169,39600.29076,0.985349148
170,41326.04635,0.9855212598
171,39633.23036,0.985686935
172,39133.84189,0.9858480992
173,36808.45087,0.9860065253
174,37401.89178,0.9861669265
175,33425.66349,0.9863066528
176,34100.55323,0.986453424
177,37374.99449,0.9866102379
178,35062.19615,0.9867665765
179,35895.52403,0.9869244077
180,33428.3178,0.9870677679
181,33188.30951,0.9872147233
182,31572.7381,0.987357458
183,31888.29004,0.9875026066
184,35544.23371,0.9876561418
185,30959.93815,0.9877961061
186,32153.63703,0.9879454494
187,33550.13264,0.9880976429
188,30976.89004,0.9882396023
189,29390.53466,0.9883724716
190,30025.39538,0.9885110002
191,28530.31696,0.9886466063
192,29609.01383,0.9887813802
193,27200.26968,0.9889127701
194,27420.12879,0.9890397033
195,27092.64751,0.9891705734
196,26785.77508,0.9892999611
197,25385.47675,0.9894202266
198,26936.78796,0.989551595
199,25111.71649,0.9896713411
200,21963.28905,0.9897815145
201,24602.31466,0.9898992125
202,24177.54263,0.9900152526
203,24481.4647,0.99014109
204,23705.55632,0.990257434
205,22089.85981,0.9903702943
206,22764.08413,0.9904816652
207,23120.44021,0.9905983591
208,21612.39638,0.9907091146
209,22628.95955,0.9908233278
210,22257.83093,0.9909363572
211,21720.25867,0.9910496831
212,22297.39072,0.9911649846
213,20200.35529,0.9912700676
214,19121.6194,0.991369539
215,19891.80176,0.9914714771
216,19646.48086,0.9915767206
217,20231.61413,0.9916844721
218,17492.74156,0.9917762825
219,20022.83209,0.9918835421
220,19006.98347,0.9919853599
221,17956.32016,0.9920823834
222,18896.6254,0.9921865357
223,16989.88755,0.9922770221
224,18312.44571,0.9923785216
225,17590.05075,0.992473566
226,17237.18976,0.992568572
227,16599.9323,0.9926595516
228,16930.49924,0.992754702
229,16436.63323,0.9928498761
230,16267.75488,0.9929380277
231,15782.01903,0.9930259906
232,15955.7187,0.9931156627
233,15830.60004,0.9932058571
234,15094.54469,0.9932941948
235,16142.71455,0.993384418
236,14540.45691,0.9934677121
237,14297.52968,0.9935518282
238,14094.09937,0.9936310379
239,13979.59786,0.9937141492
240,14366.83496,0.993795559
241,13459.51549,0.9938772454
242,13530.57541,0.9939583157
243,12713.41367,0.9940327183
244,11821.37161,0.9941037307
245,12062.30555,0.9941733891
246,12093.14145,0.9942490297
247,11839.50218,0.9943197843
248,11650.90888,0.9943886904
249,11424.57129,0.9944578498
250,11981.06263,0.9945298214
251,11012.88219,0.9945980232
252,10874.41149,0.9946645256
253,11337.2179,0.9947343848
254,10672.05005,0.9948011367
255,10608.08638,0.994867817
256,9700.257954,0.9949277396
257,10297.30042,0.9949911909
258,10292.58175,0.9950571628
259,9978.512573,0.9951197313
260,9738.952759,0.9951815515
261,10415.13178,0.9952476639
262,10200.20917,0.99531257
263,9213.622959,0.9953716261
264,9619.509227,0.9954326881
265,8994.872448,0.9954920133
266,9327.95605,0.9955522355
267,9290.445087,0.9956120718
268,8886.846826,0.9956709596
269,9098.013381,0.9957299791
270,8712.89884,0.9957869049
271,8879.243432,0.9958462923
272,8056.51627,0.995900177
273,7634.871058,0.9959506505
274,8217.025368,0.9960043366
275,7436.146136,0.9960552233
276,7130.764846,0.9961028059
277,7205.413936,0.9961518906
278,7411.710861,0.9962016921
279,7529.298527,0.9962526334
280,7215.92581,0.99630246
281,7269.031231,0.9963515279
282,6935.486537,0.9963992033
283,6886.795961,0.9964464374
284,6437.795755,0.9964916883
285,6704.96903,0.9965384019
286,6814.140613,0.9965849267
287,6004.937359,0.9966271351
288,6246.173982,0.9966708457
289,6100.927987,0.9967141066
