freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.822050751e+11,0.8902843044
1,591379224.4,0.8990191049
2,639086029.2,0.9178979857
3,360997045.8,0.9312279991
4,260818816.9,0.942785052
5,96634429.56,0.9499216103
6,52533590.94,0.9534133071
7,20433410.71,0.9552241428
8,11318948.22,0.9563944262
9,10009513.15,0.9574293251
10,7914090.733,0.9584229143
11,16303696.97,0.9603493877
12,9972122.151,0.9618222919
13,8850703.415,0.9633256504
14,5422931.873,0.9642067272
15,4304383.869,0.9649696475
16,3361339.048,0.9655654201
17,2439538.724,0.9660878916
18,2256760.842,0.9665878844
19,3435769.733,0.9673490904
20,3678534.394,0.9681912482
21,3664400.767,0.9691654802
22,2773849.813,0.9698619765
23,2209179.266,0.9704330025
24,1872667.913,0.9709585371
25,1656841.262,0.9714724472
26,1733285.637,0.9720356694
27,1870086.024,0.9726019117
28,1930799.95,0.9732007968
29,2125296.368,0.973954183
30,1592656.818,0.9745069945
31,1518309.766,0.9750900644
32,1163269.687,0.9755196081
33,1073477.366,0.975931851
34,1166183.227,0.9764227572
35,1208949.686,0.976887025
36,1097017.728,0.9773569175
37,1270723.489,0.9778918302
38,1026862.369,0.9783771736
39,990392.3695,0.9788306513
40,877860.2966,0.9792131538
41,736256.0167,0.9795828923
42,693744.7148,0.9799210355
43,839054.1863,0.980367184
44,668012.6731,0.9807075849
45,775066.8665,0.9810968137
46,649381.4135,0.9814516994
47,555924.4108,0.9817514055
48,485632.5563,0.9820311486
49,415454.1449,0.9822643298
50,464536.6137,0.9825525047
51,357855.7587,0.9827665718
52,409692.1346,0.9830025703
53,384850.429,0.9832469963
54,429916.4909,0.9835041697
55,370615.6965,0.9837614512
56,281805.6927,0.9839404314
57,259120.342,0.9841126583
58,244811.1074,0.9842771824
59,328629.4881,0.9845004632
60,292107.6931,0.9847118734
61,322006.5913,0.9849425446
62,296836.3148,0.9851573771
63,307859.5888,0.9853847348
64,283562.2852,0.9855878662
65,204705.1282,0.9857511374
66,215185.9916,0.9859100546
