freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.574321925e+11,0.6303769739
1,909765991.8,0.6595194523
2,342900038.1,0.6814876441
3,141584441.6,0.6928260585
4,196870933.7,0.7117451223
5,73823323.84,0.7235690123
6,80226467.7,0.7351335152
7,57572712.82,0.7461988544
8,40081958.37,0.7551864548
9,24055289.24,0.7605803861
10,20448607.71,0.7661481326
11,22277270.38,0.7718569841
12,18012356.35,0.7776268712
13,12209512.66,0.7821245967
14,15163063.7,0.7874674891
15,11450732.04,0.7918690963
16,11919619.63,0.7964509417
17,10005146.07,0.8010981081
18,8349037.893,0.8051097714
19,6659302.581,0.8083095268
20,4786126.996,0.8106858894
21,4176840.582,0.813094226
22,5102384.44,0.8158727803
23,4589076.079,0.8184453082
24,4325134.578,0.8210776968
25,4070297.684,0.8238157523
26,2865367.121,0.8258350472
27,4069058.672,0.8285070973
28,4088189.258,0.8312571883
29,3555616.337,0.8339907125
30,2505864.5,0.8358770623
31,2361713.863,0.8378440308
32,2375569.407,0.8397464426
33,2507114.783,0.8418345092
34,1769171.168,0.8434496541
35,1639004.015,0.8448147091
36,1642973.626,0.8463409581
37,1736761.336,0.8479265148
38,1688575.266,0.8496573957
39,1600831.651,0.8512470553
40,1682551.074,0.8528370184
41,1723922.496,0.8547145768
42,1508448.269,0.8563091378
43,1653544.88,0.8582159823
44,1304991.19,0.8596581755
45,1166719.529,0.860928873
46,1489931.359,0.8626947676
47,913207.7218,0.8637624921
48,1014728.403,0.8650301767
49,1069456.765,0.8663319747
50,1175733.555,0.8679137872
51,848695.5064,0.8690148287
52,1093296.531,0.8703806673
53,971499.2151,0.8717188262
54,920456.3598,0.8729129655
55,941404.0424,0.8743302946
56,867684.0403,0.8755254568
57,794748.7314,0.876671073
58,792602.7361,0.8778262905
59,793246.4448,0.8789951512
60,775570.1601,0.880212497
61,953391.1116,0.881693683
62,705100.0048,0.8828004179
63,758238.7058,0.8840148486
64,643014.0605,0.8850138336
65,674516.7666,0.8861805984
66,527548.9218,0.8870255455
67,522430.3011,0.8879124993
68,597171.1085,0.888993296
69,591665.1961,0.8899788403
70,652843.2421,0.8911499396
71,516591.8408,0.8920352552
72,498033.1282,0.8929924631
73,463921.2519,0.8938543873
74,480442.1242,0.8947470057
75,409405.3697,0.8955273159
76,466150.3769,0.8964232459
77,458185.5888,0.8973332218
78,486241.1721,0.898259978
79,483006.3674,0.899219249
80,436504.4622,0.9001281128
81,486721.3359,0.9011025575
82,416545.9249,0.9019965513
83,336711.4766,0.9026760603
84,309752.7745,0.9033408539
85,297883.7031,0.9039944871
86,373404.0261,0.9048078506
87,422147.9179,0.9057409126
88,466274.8066,0.9067192306
89,449332.5902,0.9077987389
90,374456.8164,0.9086263906
91,367252.1332,0.9094734105
92,277613.0847,0.9101181358
93,292097.8657,0.9108011787
94,302038.4794,0.9115364924
95,320412.0481,0.9122806136
96,316580.2753,0.9130411883
97,251080.1414,0.9136765723
98,309866.2129,0.9144309426
99,316705.176,0.9152476149
100,264452.3672,0.9158914251
101,208025.1717,0.9164445086
102,213901.3628,0.9169960857
103,250572.2749,0.9176221579
104,260813.3392,0.9183239458
105,311777.3535,0.919127911
106,261406.23,0.919856415
107,286941.39,0.9206285074
108,252088.7433,0.9212987443
109,242857.7644,0.9219638871
110,255478.5822,0.9226676878
111,216398.3527,0.9232915566
112,232815.919,0.9239441122
113,252990.5932,0.9246653711
114,225446.4447,0.9253369903
115,257856.6684,0.9260803819
116,243074.1312,0.9267772628
117,230310.9627,0.9274559962
118,193519.3663,0.9280387016
119,180700.7862,0.9285857033
120,180088.8743,0.9291279682
121,194739.7346,0.9297018721
122,198902.554,0.9303167155
123,171629.0469,0.9308829871
124,176923.6514,0.9314157212
125,157875.2778,0.9319264993
126,156404.5987,0.9323999537
127,162453.7229,0.9329307485
128,134028.5587,0.9333729613
129,142142.9181,0.933821457
130,132014.9532,0.9342654838
131,165731.4983,0.9348016793
132,142014.6892,0.9352929873
133,155602.3461,0.9358188416
134,160947.8733,0.9363344049
135,146924.095,0.9368521101
136,135967.7965,0.9373159653
137,135382.4433,0.9377886653
138,123061.4994,0.9382144036
139,132731.6132,0.9386672186
140,133367.166,0.9391542428
141,133756.154,0.9396212645
142,133163.5446,0.9400990139
143,128061.8626,0.9405605112
144,116287.1474,0.9409851633
145,121431.5661,0.9414402711
146,117681.0837,0.9418681287
147,107525.2035,0.9422607845
148,115761.8507,0.9427020593
149,101296.9313,0.9430849503
150,122367.5476,0.9435494456
151,141296.7223,0.9440699528
152,137770.3595,0.9446083619
153,120594.4472,0.9450661268
154,107494.2291,0.9454965463
155,105192.3796,0.9459009008
156,109707.1149,0.9463296382
157,109281.0989,0.9467759641
158,117982.2392,0.9472294822
159,129835.7817,0.9477493599
160,126315.4857,0.9482571651
161,108637.5973,0.9487165226
162,125736.4275,0.9492320692
163,100759.7155,0.9496339091
164,95788.86448,0.9500328009
165,99725.82254,0.9504448929
166,99012.97658,0.9508730692
167,104990.8568,0.951305236
168,118074.1956,0.9517893657
169,108226.0042,0.9522643169
170,102941.5952,0.9527078336
171,92062.12136,0.9531059513
172,91434.59192,0.9534954975
173,76131.94889,0.953834481
174,72179.56672,0.9541547101
175,88438.17849,0.9545371563
176,87640.9282,0.9549273844
177,87355.0327,0.9553065457
178,85573.29146,0.9557012734
179,84611.55094,0.956086144
180,89991.42056,0.9564853965
181,91347.06212,0.956903831
182,81962.26363,0.9572871528
183,80318.8828,0.9576653617
184,82700.26477,0.9580349157
185,85087.08927,0.9584328518
186,75348.09051,0.9587948949
187,77480.63163,0.959158498
188,71910.52554,0.9594994168
189,63940.90185,0.9597984562
190,72047.20422,0.9601423309
191,64106.07659,0.960457544
192,70963.38188,0.9607916994
193,84658.9518,0.9612147519
194,84122.12132,0.9616176064
195,82777.02934,0.9620312547
196,70345.17179,0.9623827792
197,75849.64327,0.9627545213
198,69989.88508,0.9631076334
199,73723.33583,0.963471316
200,72756.71205,0.963848875
201,74027.28345,0.9642152427
202,78266.80507,0.9646038456
203,68484.45572,0.9649680095
204,64870.99752,0.9652973739
205,64653.56072,0.9656390961
206,65913.15031,0.965972696
207,56771.07618,0.9662691187
208,64591.82434,0.9666115491
209,66896.41924,0.96696084
210,64028.47471,0.9672972073
211,63957.72527,0.9676424224
212,63632.44222,0.9679828242
213,71476.12175,0.9683674753
