freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.954451049e+11,0.9369908203
1,464718032.2,0.9419998314
2,113380396.3,0.9444439959
3,74304273.62,0.9464462365
4,78923781,0.9489983008
5,46644432.2,0.9515121098
6,53907883.27,0.9541268423
7,39894002.13,0.9567068519
8,29624813.22,0.9589420506
9,16607542.89,0.9601950934
10,22571953.7,0.9622630934
11,28744314.35,0.9647416818
12,11108607.71,0.9659390345
13,13917050.11,0.9676641076
14,13557592.13,0.9692715585
15,10185641.17,0.9705890023
16,9281982.317,0.9717895639
17,8892989.258,0.9731794468
18,8089688.596,0.97448738
19,6485196.89,0.9755359004
20,5147405.869,0.9763958689
21,6255732.954,0.977609574
22,5553363.234,0.9786271515
23,4577493.293,0.9794905837
24,4111529.239,0.9803325979
25,3880737.24,0.9812110054
26,3174614.318,0.9819637993
27,2695968.368,0.9825595041
28,3983592.848,0.983461193
29,3136322.164,0.9842725171
30,2296573.491,0.9848542327
31,1482232.592,0.985269619
32,1633670.459,0.9857098361
33,1645037.257,0.9861708474
34,1559020.978,0.9866497633
35,1382972.327,0.9870373326
36,1334414.721,0.9874544432
37,1209763.007,0.9878260705
38,1164835.214,0.98822784
39,986024.1764,0.9885573069
40,1273306.568,0.9889621786
41,672827.541,0.9892087514
42,837837.8379,0.9895067652
43,832540.1622,0.9898298155
44,676302.3202,0.9900813065
45,547601.722,0.9902819875
46,613074.0179,0.9905264865
47,558708.3335,0.990746293
48,526534.1609,0.9909676298
49,471982.4491,0.9911609476
50,501355.0988,0.9913879117
51,370970.2632,0.9915498526
52,453310.6949,0.9917404088
53,338063.9333,0.9918970947
54,472238.3063,0.9921032425
55,298908.1798,0.9922546676
56,326193.8402,0.9924058519
57,297640.1748,0.9925502185
58,246463.8406,0.9926710909
59,283035.7622,0.9928114244
60,281126.0673,0.9929599016
61,308261.9574,0.9931210493
62,255155.4675,0.9932558101
63,265734.6535,0.9933990225
64,228687.5686,0.9935185717
65,171845.6054,0.9936185935
66,185463.0641,0.9937185451
67,211200.2005,0.9938391966
68,207460.1137,0.993965538
69,184378.8932,0.99406888
70,252181.9977,0.9942210975
71,193838.285,0.9943328754
72,167435.8234,0.9944411588
73,158968.8717,0.9945405396
74,165153.2962,0.9946437867
75,180259.0387,0.9947593917
76,118683.5533,0.9948361462
77,143170.2444,0.9949318231
78,176757.9889,0.9950451828
79,106439.8078,0.9951163136
80,122801.1659,0.9952023493
81,127261.525,0.9952880806
82,122464.2849,0.9953765202
83,113429.6781,0.9954535448
84,120170.8448,0.9955403282
85,98578.52878,0.9956131121
86,89974.79193,0.9956790587
87,90973.58998,0.9957467179
88,85030.06696,0.995806749
89,85104.52495,0.9958755471
90,88743.63005,0.9959415478
91,101819.9578,0.9960205661
92,78795.93631,0.9960821411
93,76481.46027,0.9961423196
94,67235.37207,0.9961973971
95,78633.66586,0.9962588453
96,69356.995,0.9963149131
97,66616.03933,0.9963716373
98,63819.59781,0.9964239167
99,61040.90669,0.9964768805
100,58293.50004,0.996524633
101,58416.36588,0.9965768937
102,58138.56496,0.9966273392
103,61750.00357,0.9966792544
104,55659.56828,0.9967296487
105,63402.36467,0.9967846615
106,52862.76127,0.9968342329
107,51097.90128,0.9968804971
108,54030.94903,0.9969288345
109,51935.36067,0.9969766966
110,53983.40756,0.997026737
111,50889.1592,0.9970761033
112,49221.67661,0.9971225256
113,51919.21882,0.9971723315
114,52350.33643,0.997224808
115,55443.89908,0.9972785927
116,46492.74741,0.9973234436
117,42273.49773,0.9973653633
118,40077.36951,0.9974059692
119,41800.94493,0.9974485468
120,37917.83888,0.9974869647
121,38446.77025,0.9975250897
122,35518.76568,0.997562034
123,34982.121,0.997600871
124,40110.89464,0.9976415109
125,37745.65014,0.9976826023
126,34792.52775,0.9977180412
127,34559.28262,0.9977560363
128,31654.49855,0.997791179
129,31858.06345,0.9978250025
130,28578.27069,0.997857346
131,29872.01322,0.9978898659
132,29753.61663,0.9979245017
133,27087.69037,0.9979553043
134,28200.98073,0.997985701
135,27687.72738,0.9980185288
136,28417.89446,0.9980511504
137,26531.95782,0.9980823219
138,27830.70717,0.9981147193
139,31936.45657,0.9981513799
140,24891.82661,0.998181966
141,27577.7402,0.9982143661
142,23106.56943,0.9982422605
143,23204.48366,0.9982703981
144,27197.99902,0.9983038179
145,23240.8143,0.9983331268
146,19880.22056,0.9983574477
147,23372.8869,0.9983861674
148,21008.2083,0.9984131136
149,21535.25465,0.9984405038
150,19097.79077,0.9984648967
151,21446.64593,0.9984914807
152,19155.40818,0.9985166699
153,19726.70644,0.9985418661
154,15909.52798,0.9985633014
155,18092.24938,0.9985867025
156,17329.06865,0.99860949
157,14451.01097,0.9986293496
158,17124.92604,0.9986514996
159,16730.4114,0.9986740409
160,15549.9972,0.9986950756
161,16480.27086,0.9987185233
162,15892.38582,0.9987404494
163,16073.45312,0.998762019
164,15277.69398,0.9987834264
165,14694.88326,0.9988038587
166,13714.17175,0.9988238144
167,15728.55563,0.9988455992
168,13793.36328,0.9988646294
169,11707.51925,0.9988819175
170,12924.06848,0.9989006538
171,13394.0099,0.9989201436
172,14849.10645,0.9989414306
173,13278.14313,0.9989613242
174,12256.13134,0.9989796206
175,11904.82644,0.9989969435
176,11246.12148,0.9990137927
177,13266.44848,0.9990331684
178,10349.97094,0.9990492328
179,9977.643944,0.9990645042
180,11713.31176,0.9990819902
181,10611.4293,0.999098346
182,9663.976627,0.999113554
183,10308.40503,0.9991298872
184,10505.74285,0.9991456838
185,9071.964781,0.9991599601
186,7457.582751,0.9991720175
187,8578.806773,0.999185564
188,9394.716423,0.9992005507
189,7970.216515,0.9992130933
190,8456.302505,0.9992266742
191,7903.880193,0.9992397513
192,8724.88116,0.9992535755
193,7743.053609,0.9992665951
194,7303.51908,0.999278364
195,7125.862746,0.9992903459
196,8003.18797,0.9993038029
197,8211.001036,0.9993173439
198,7389.994623,0.9993298894
199,7875.014796,0.9993429612
200,7105.181292,0.9993553678
201,6863.087936,0.9993667968
202,7148.88102,0.9993787403
203,7339.171893,0.9993918719
204,5902.147642,0.9994019552
205,5822.266911,0.9994123099
206,5986.612632,0.9994225053
207,5974.917013,0.9994330027
208,5899.570731,0.9994435267
209,5334.329219,0.9994528986
210,5322.858383,0.9994623078
211,4853.768624,0.9994711232
212,5099.035453,0.9994803016
213,4693.951214,0.9994888014
214,4590.440837,0.9994971138
215,5224.369409,0.9995064333
216,4538.814638,0.9995148969
217,4712.303702,0.9995236331
218,4504.934754,0.9995318635
219,4169.448331,0.9995396382
220,4036.314151,0.9995471648
221,4085.349042,0.9995548488
222,4745.524918,0.9995639535
223,3865.037046,0.9995711189
224,4075.556514,0.9995789822
225,4831.343792,0.9995880693
226,4103.101063,0.9995959415
227,4047.27291,0.9996036629
228,3539.894064,0.9996105881
229,3328.737578,0.9996172975
230,3252.848108,0.9996234332
231,3298.235613,0.9996298322
232,3914.614058,0.9996374905
233,3177.210107,0.9996437917
234,2997.730676,0.9996498986
235,2653.502559,0.999655061
236,3375.025248,0.999661791
237,2734.65822,0.9996673914
238,2958.517643,0.9996731792
239,3024.37012,0.9996794381
240,2713.497959,0.9996847904
241,2554.933739,0.999690188
242,2808.855672,0.9996960463
243,2505.115813,0.9997011496
244,2671.237887,0.9997067353
245,2621.435002,0.9997120049
246,2376.036157,0.9997171782
247,2394.301523,0.999722159
248,2273.706475,0.9997268399
249,2358.927423,0.9997318107
250,2567.59616,0.9997371797
251,2350.140734,0.9997422459
252,2466.831109,0.9997474973
253,1985.999832,0.9997517571
254,2065.412659,0.9997562541
255,1944.470095,0.9997605087
256,2103.759212,0.9997650325
257,1893.643586,0.9997690942
258,1974.387302,0.9997734994
259,1705.06495,0.999777221
260,1836.777778,0.9997812796
261,1909.548143,0.9997854989
262,1696.598261,0.9997892569
263,1597.863256,0.999792822
264,1707.297707,0.9997965945
265,1615.479381,0.9998003034
266,1616.656583,0.9998039366
267,1560.404525,0.9998074349
268,1515.965283,0.9998109317
269,1525.372047,0.9998143761
270,1640.305825,0.9998181066
271,1462.241794,0.999821511
272,1349.447726,0.9998246528
273,1396.717404,0.9998278669
274,1300.07114,0.9998308237
275,1259.165531,0.9998338231
276,1296.801287,0.9998368353
277,1148.045755,0.9998395576
278,1237.342058,0.9998424517
279,1314.970641,0.9998455486
280,1353.430918,0.9998488018
281,1191.865676,0.9998516024
282,1092.61948,0.9998542168
283,1174.466429,0.9998570208
284,1136.667131,0.999859802
285,1258.82099,0.9998628548
286,1036.655461,0.9998653186
287,1087.275026,0.9998679789
288,1069.379259,0.9998705839
289,949.9031256,0.9998729285
290,882.9541795,0.9998751412
291,835.8816541,0.9998771143
292,808.8821531,0.9998791894
293,853.7528378,0.9998813013
294,925.6552085,0.999883606
295,811.7427622,0.9998856184
296,818.571558,0.9998877007
297,883.8847144,0.9998899538
298,795.0724118,0.9998919163
299,765.8394774,0.9998938479
300,759.0714724,0.9998957747
301,741.2256437,0.9998976602
302,773.4703465,0.9998996944
303,718.0456534,0.9999015016
304,683.0908606,0.9999032465
305,652.8365811,0.9999049705
306,675.8111386,0.9999066969
307,700.1314706,0.9999085269
308,608.0434124,0.9999100802
309,637.0786721,0.9999118175
310,574.0145919,0.9999133055
311,566.2403166,0.9999148008
312,582.8123414,0.999916321
313,544.1078551,0.9999177637
314,532.1336385,0.9999192177
315,514.8873084,0.9999205885
316,555.1721575,0.9999220606
317,485.4856782,0.9999233662
318,519.9447883,0.9999247784
319,505.0011169,0.9999261338
320,465.4173824,0.9999273804
321,484.8885746,0.9999286975
322,483.6296996,0.9999300372
323,448.6901372,0.9999312704
324,423.9895895,0.9999324106
325,425.1129711,0.9999335928
326,422.2269714,0.999934767
327,443.1380081,0.9999360112
328,414.4139836,0.9999371726
329,387.7859804,0.9999382343
330,362.7174066,0.9999392547
331,349.9239148,0.9999402221
332,338.5631847,0.9999411636
333,315.5090922,0.9999420818
334,373.8222626,0.9999431274
335,320.8456462,0.9999440439
336,287.7441514,0.9999448533
337,313.4373345,0.9999457284
338,284.5921249,0.9999465734
339,284.7957891,0.9999473869
340,307.7162031,0.9999482891
341,261.3333946,0.9999490369
342,260.3318533,0.9999497777
343,259.1411629,0.9999505542
344,264.5046362,0.9999513055
345,254.4685878,0.9999520652
346,259.0867674,0.9999528164
347,249.5684162,0.9999535535
348,227.4739465,0.9999542216
349,245.7529434,0.9999549342
350,222.6420835,0.9999556013
351,240.508091,0.9999563233
352,216.6272374,0.9999569724
353,219.3700354,0.9999576321
354,248.50546,0.9999583633
355,238.1685877,0.9999590937
356,214.8278152,0.9999597304
357,208.7350777,0.9999603762
358,204.4607071,0.9999609899
359,189.8845418,0.9999615589
360,190.1654352,0.9999621513
361,172.0604901,0.9999626678
362,170.3635416,0.9999631966
363,174.7282181,0.9999637239
364,165.1095074,0.9999642436
365,168.5738938,0.9999647678
366,159.1002859,0.9999652617
367,157.4307902,0.999965747
368,153.6432987,0.9999662264
369,162.7639245,0.9999667422
370,171.3404301,0.9999672778
371,151.0444798,0.9999677483
372,145.8920837,0.9999682067
373,136.3860902,0.9999686374
374,130.0940719,0.9999690581
375,139.7658356,0.9999694972
376,137.8639738,0.9999699326
377,154.4243007,0.9999704319
378,127.7367236,0.9999708374
379,122.4920645,0.9999712335
380,133.7774183,0.9999716546
381,122.9110015,0.9999720586
382,122.9960118,0.9999724597
383,121.2057681,0.9999728516
384,113.4621813,0.9999732209
385,116.804324,0.9999736005
386,108.2875093,0.99997396
387,110.3451473,0.9999743168
388,109.989641,0.9999746796
389,114.4724909,0.999975059
390,102.2054248,0.9999753939
391,108.1731258,0.9999757565
392,108.1461907,0.9999761091
393,108.8394577,0.999976474
394,110.0629594,0.9999768488
395,100.7515801,0.9999771801
396,96.23578731,0.9999775052
397,90.12518861,0.9999778015
398,97.6363611,0.9999781404
399,102.5734812,0.9999784859
400,98.61565033,0.9999788175
401,92.24891094,0.9999791357
402,97.10641914,0.9999794618
403,83.33926013,0.9999797501
404,86.20579962,0.9999800419
405,80.40396255,0.9999803157
406,86.5729837,0.9999806195
407,77.51109192,0.9999808826
408,89.78577621,0.9999811971
409,74.64236738,0.999981451
410,74.43258733,0.9999817101
411,69.45758003,0.9999819549
412,69.49045467,0.9999821915
413,74.15965542,0.9999824363
414,74.80740119,0.9999826786
415,68.1400375,0.999982905
416,68.89309415,0.9999831226
417,72.88815999,0.9999833514
418,66.24733541,0.9999835562
419,68.57303979,0.9999837742
420,74.52261859,0.9999840071
421,68.55008962,0.9999842181
422,68.83744438,0.9999844309
423,73.04952204,0.9999846521
424,81.50327678,0.9999848996
425,65.14421277,0.9999850975
426,60.14826051,0.9999852765
427,63.27568288,0.9999854685
428,62.37465692,0.9999856549
429,61.58766991,0.999985837
430,61.1009032,0.9999860145
431,67.20802868,0.9999862101
432,61.94678003,0.9999863992
433,57.83282125,0.9999865666
434,55.01448015,0.9999867296
435,54.69721484,0.9999868859
436,53.54205876,0.9999870414
437,48.70993163,0.9999871842
438,52.5700565,0.9999873344
439,47.01766975,0.9999874717
440,48.45964098,0.9999876104
441,49.4951983,0.9999877523
442,48.63491115,0.9999878908
443,49.88006356,0.9999880284
444,43.62195785,0.9999881561
445,49.785011,0.9999882966
446,44.81272677,0.9999884246
447,52.62476156,0.9999885722
448,50.01602626,0.9999887072
449,50.26479308,0.9999888542
450,48.63651516,0.9999889907
451,48.24800543,0.9999891266
452,47.0871604,0.9999892565
453,49.14668452,0.9999893931
454,46.76933513,0.9999895244
455,47.43575716,0.9999896531
456,40.96043004,0.9999897685
457,44.13202489,0.9999898914
458,45.73073198,0.999990017
459,43.1963143,0.9999901361
460,51.81873029,0.9999902753
461,43.59066892,0.9999903972
462,42.33899868,0.9999905116
463,38.26799699,0.9999906173
464,39.24651642,0.9999907247
